Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Rock Creek Ranch,224226484,,169284,183963,1434.61,41.7,296,6,6,16,true,false,true,true,true,false,false,Home/Apartment,Cabin,House/villa,5,17,2,1,Luxury,true,600,false,118,38,2026-05-14,Pinetop-Lakeside,Show Low,Pinedale,Arizona,85934,United States,mountains_lakes,https://www.airbnb.com/rooms/1426375609331601752,https://a0.muscache.com/im/pictures/hosting/Hosting-1426375609331601752/original/b0a93305-7a55-4de9-bd3f-b0cbd4786228.jpeg,1426375609331601752,4642681,34.2551,-110.2374,=AVERAGE($G$2:$G$103),=AVERAGE($D$2:$D$103),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
"Large Cabin, 17 Acres | Playground | Forest Access",248909842,,111225,117902,926.88,34.09,352,7,4,16,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,5,79,2,1,Luxury,true,599,false,120,43,2026-05-13,Pinetop-Lakeside,Show Low,Pinedale,Arizona,85934,United States,mountains_lakes,https://www.airbnb.com/rooms/954583143517845100,https://a0.muscache.com/im/pictures/miso/Hosting-954583143517845100/original/17336a18-21e1-4c47-b698-3f7fbdad33cc.png,954583143517845100,3630558,34.2541,-110.2354,=AVERAGE($G$2:$G$103),=AVERAGE($D$2:$D$103),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
GolfSim | Theatr | HotTub | 4 KingSuites | 6 Bunks,459783472,,106430,114544,879.59,39.54,336,5,5,14,true,true,true,true,true,false,false,Home/Apartment,Cabin,House/villa,5,26,3,2-5,Luxury,true,300,true,121,38,2026-05-16,Pinetop-Lakeside,Show Low,Show Low,Arizona,85901,United States,mountains_lakes,https://www.airbnb.com/rooms/1324036086365947403,https://a0.muscache.com/im/pictures/hosting/Hosting-1324036086365947403/original/c50c1078-3345-4e5b-9c3a-0adcb5efc788.jpeg,1324036086365947403,4466823,34.2282,-110.0883,=AVERAGE($G$2:$G$103),=AVERAGE($D$2:$D$103),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Beautiful Torreon Cabin Retreat in the Pines -20+,17969597,,99664,106112,844.61,37.11,333,8,6,16,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.9,107,3,2-5,Luxury,true,439,true,118,31,2026-05-11,Pinetop-Lakeside,Show Low,Show Low,Arizona,85901,United States,mountains_lakes,https://www.airbnb.com/rooms/46755955,https://a0.muscache.com/im/pictures/miso/Hosting-46755955/original/e33aedf0-83e0-44a7-821b-e4a80352f9c1.jpeg,46755955,2160259,34.22661,-110.09358,=AVERAGE($G$2:$G$103),=AVERAGE($D$2:$D$103),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Fire Pit • Ping Pong • Obstacle Course • Views,401627623,,72048,75511,367.59,57.99,338,3,2,10,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,5,129,4,6-20,Luxury,true,219,false,196,51,2026-05-17,Pinetop-Lakeside,Show Low,Show Low,Arizona,85901,United States,mountains_lakes,https://www.airbnb.com/rooms/1011662268430123056,https://a0.muscache.com/im/pictures/miso/Hosting-1011662268430123056/original/617a95e2-666e-40cc-90d1-3a248dd6de68.jpeg,1011662268430123056,3936238,34.2229,-110.0258,=AVERAGE($G$2:$G$103),=AVERAGE($D$2:$D$103),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Rock Creek Ranch - 5+ Acres | Hot Tub | Playground,201574223,,68597,84238,966.15,29.46,241,6,6,16,true,false,true,true,true,true,false,Home/Apartment,Cabin,House/villa,5,90,2,6-20,Luxury,true,600,true,71,23,2025-06-12,Pinetop-Lakeside,Show Low,Pinedale,Arizona,85934,United States,mountains_lakes,https://www.airbnb.com/rooms/771040984321660314,https://a0.muscache.com/im/pictures/prohost-api/Hosting-771040984321660314/original/9a174a48-0005-4316-8513-f2eb046052b5.jpeg,771040984321660314,3162980,34.2541,-110.23683,=AVERAGE($G$2:$G$103),=AVERAGE($D$2:$D$103),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Hidden Pond Retreat | Peaceful Mountain Getaway,,,62557,67146,638.34,37.69,310,4,3,12,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.7,3,2,1,Luxury,false,200,true,98,29,2026-03-01,Pinetop-Lakeside,Show Low,Show Low,Arizona,85901,United States,mountains_lakes,https://www.vrbo.com/3953843,https://media.vrbo.com/lodging/105000000/104070000/104063500/104063463/107f4bc3.jpg?impolicy=resizecrop&rw=1200&ra=fit,,3953843,34.245037,-110.08992,=AVERAGE($G$2:$G$103),=AVERAGE($D$2:$D$103),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Bison Ridge Retreat,146521126,,61580,66416,622.02,29.03,341,5,3,15,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.95,93,2,2-5,Luxury,true,250,true,99,36,2026-05-13,Pinetop-Lakeside,Show Low,Show Low,Arizona,85901,United States,mountains_lakes,https://www.airbnb.com/rooms/769820789345134935,https://a0.muscache.com/im/pictures/miso/Hosting-769820789345134935/original/76444f04-0fa4-441e-a823-eb9a3722d4a0.jpeg,769820789345134935,3396140,34.26447,-110.08345,=AVERAGE($G$2:$G$103),=AVERAGE($D$2:$D$103),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Mountain Chalet • 2 Primary Suites • Monthly Stays,50058494,,60842,68970,468.02,39.63,340,4,3,11,true,false,false,true,true,true,false,Home/Apartment,Chalet,House/villa,4.9,142,2,2-5,Luxury,true,310,true,130,41,2026-05-11,Pinetop-Lakeside,Show Low,Show Low,Arizona,85901,United States,mountains_lakes,https://www.airbnb.com/rooms/53853154,https://a0.muscache.com/im/pictures/miso/Hosting-53853154/original/4f3325d6-0f80-420e-817d-9ea88766d838.jpeg,53853154,3085027,34.23415,-110.05232,=AVERAGE($G$2:$G$103),=AVERAGE($D$2:$D$103),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Family & Pet Friendly Cabin In Pines Huge Deck BBQ,486336225,,60809,64809,321.74,55.43,341,3,2,10,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,5,206,1,1,Luxury,true,190,false,189,64,2026-05-17,Pinetop-Lakeside,Show Low,Show Low,Arizona,85901,United States,mountains_lakes,https://www.airbnb.com/rooms/752998350557675275,https://a0.muscache.com/im/pictures/miso/Hosting-752998350557675275/original/5319d14b-4508-42a4-947a-34a93ffdb9a5.jpeg,752998350557675275,3395259,34.2624,-110.0958,=AVERAGE($G$2:$G$103),=AVERAGE($D$2:$D$103),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
