Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
HÓZHÓ Resort: Private Luxe Estates in Sanctuary,,,1803772,2188041,14785.02,40.4,302,26,29,70,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,0,0,2,1,Luxury,false,900,true,122,29,2025-05-06,Phoenix/Scottsdale,Cave Creek,Scottsdale,Arizona,85266,United States,suburban,https://www.vrbo.com/3293302,https://media.vrbo.com/lodging/92000000/91860000/91859900/91859830/3ccd6cb2.jpg?impolicy=resizecrop&rw=1200&ra=fit,,3293302,33.753884,-111.901829,=AVERAGE($G$2:$G$329),=AVERAGE($D$2:$D$329),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Scottsdale 9BR HoZho Haven,217908712,,933128,964592,4885.49,53.95,354,9,7,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,4,2,21+,Luxury,true,204,false,191,47,2026-05-11,Phoenix/Scottsdale,Cave Creek,Scottsdale,Arizona,85266,United States,suburban,https://www.airbnb.com/rooms/1152459150071651797,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1152459150071651797/original/571a19cb-4711-4ea6-ace1-bd44c468ed0d.jpeg,1152459150071651797,2657700,33.7539,-111.9018,=AVERAGE($G$2:$G$329),=AVERAGE($D$2:$D$329),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Scottsdale 9BR HÓZHÓ Haven,15015202,,676313,743461,5830.28,41.88,281,9,7,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,2,5,21+,Luxury,true,500,true,116,24,2025-05-12,Phoenix/Scottsdale,Cave Creek,Scottsdale,Arizona,85266,United States,suburban,https://www.airbnb.com/rooms/52572848,https://a0.muscache.com/im/pictures/prohost-api/Hosting-52572848/original/1dc30a5a-c2c3-4f02-b482-706ef0a4f03b.jpeg,52572848,3988036,33.755,-111.91195,=AVERAGE($G$2:$G$329),=AVERAGE($D$2:$D$329),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
The Hozho Horizon Estate,217908712,,569044,745713,4516.22,50.4,274,11,10,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.9,47,4,21+,Luxury,true,1104,false,126,33,2026-05-11,Phoenix/Scottsdale,Cave Creek,Scottsdale,Arizona,85266,United States,suburban,https://www.airbnb.com/rooms/53132409,https://a0.muscache.com/im/pictures/prohost-api/Hosting-53132409/original/3760a856-b872-47da-8059-71e77f115ae3.jpeg,53132409,2505961,33.7535,-111.9019,=AVERAGE($G$2:$G$329),=AVERAGE($D$2:$D$329),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
The Hozho Serenity Estate,217908712,,561167,619036,2791.88,62.42,322,8,8,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,73,4,21+,Luxury,true,2106,false,201,48,2026-05-13,Phoenix/Scottsdale,Cave Creek,Scottsdale,Arizona,85266,United States,suburban,https://www.airbnb.com/rooms/54121795,https://a0.muscache.com/im/pictures/prohost-api/Hosting-54121795/original/1a22a591-89a1-4710-89cf-ce5fcf45235a.jpeg,54121795,2617321,33.7543,-111.9034,=AVERAGE($G$2:$G$329),=AVERAGE($D$2:$D$329),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
HÓZHÓ Collective at Lone Mountain,217908712,,365602,2156613,15895.74,54.76,121,27,67,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,0,0,7,21+,Luxury,true,0,true,23,3,2026-05-11,Phoenix/Scottsdale,Cave Creek,Scottsdale,Arizona,85266,United States,suburban,https://www.airbnb.com/rooms/1426113224438480426,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1426113224438480426/original/0e7a50a4-1e5f-4417-b313-54b859f17358.jpeg,1426113224438480426,,33.7543,-111.9019,=AVERAGE($G$2:$G$329),=AVERAGE($D$2:$D$329),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
The Hozho Tranquility Estate,217908712,,359866,391197,2448.07,44.41,331,8,9,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.85,46,4,21+,Luxury,true,1128,false,147,39,2026-05-17,Phoenix/Scottsdale,Cave Creek,Scottsdale,Arizona,85266,United States,suburban,https://www.airbnb.com/rooms/587134761793595239,https://a0.muscache.com/im/pictures/prohost-api/Hosting-587134761793595239/original/ef54dbf3-b63e-4242-80e0-5a8894027f93.jpeg,587134761793595239,2682732,33.7535,-111.9019,=AVERAGE($G$2:$G$329),=AVERAGE($D$2:$D$329),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Paradise Canyon Retreat - 3 Private Estates,GoodNight Stay,,332506,692424,5037.97,68.75,131,18,19,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,1,2,21+,Luxury,false,2850,true,66,17,2026-05-14,Phoenix/Scottsdale,Cave Creek,Fort Mcdowell,Arizona,85264,United States,suburban,https://www.airbnb.com/rooms/1113166488640634025,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1113166488640634025/original/97e7022f-0752-4472-b6df-b692f17d6f3c.jpeg,1113166488640634025,9939415ha,33.62613,-111.60931,=AVERAGE($G$2:$G$329),=AVERAGE($D$2:$D$329),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Paradise Canyon-3 Estates+Casita w/Horse Stables,GoodNight Stay,,329417,529400,3921.63,76.36,143,20,21,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.5,2,2,21+,Luxury,false,892,true,84,20,2026-05-11,Phoenix/Scottsdale,Cave Creek,Fort Mcdowell,Arizona,85264,United States,suburban,https://www.airbnb.com/rooms/1538565151329487460,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1538565151329487460/original/c527de4e-c168-45a9-8427-151090105a86.jpeg,1538565151329487460,20210531ha,33.6249965616,-111.6083664237,=AVERAGE($G$2:$G$329),=AVERAGE($D$2:$D$329),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Opulent 11-Bedroom Scottsdale Estate with Private,15015202,,327219,403088,4883.87,31.6,212,11,10,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,0,0,5,21+,Luxury,true,569,true,67,15,2025-05-01,Phoenix/Scottsdale,Cave Creek,Scottsdale,Arizona,85266,United States,suburban,https://www.airbnb.com/rooms/844331250231519115,https://a0.muscache.com/im/pictures/prohost-api/Hosting-844331250231519115/original/12ed18cc-3dcd-4e88-aebe-ad410aeb6b62.jpeg,844331250231519115,,33.7542892,-111.9018061,=AVERAGE($G$2:$G$329),=AVERAGE($D$2:$D$329),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
