Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
"Scottsdale Fabulous: Golf & MT Views, Pvt Htd POOL w/Waterfall, Game Room, TVs & King Beds All BRs",Arizona Vacation Home Rentals,,250247,266948,3475.65,30.13,319,6,4,16,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,5,18,1,21+,Luxury,false,654,true,72,18,2022-04-26,Phoenix/Scottsdale,Fountain Hills,Fountain Hills,Arizona,85268,United States,suburban,https://www.airbnb.com/rooms/51713856,https://a0.muscache.com/im/pictures/prohost-api/Hosting-51713856/original/eee3c1c0-87a4-4edb-98bb-7eeb5ccf3c0f.jpeg?aki_policy=x_large,51713856,2388279,33.60262,-111.75543,=AVERAGE($G$2:$G$134),=AVERAGE($D$2:$D$134),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
"BIGGEST BEST MANSION In NE Scottsdale Area- VIEWS, Infinity Pool, MOVIE THEATER!",,,213163,296464,3229.74,41.51,276,7,5,20,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,12,3,1,Luxury,false,695,true,66,15,2026-05-16,Phoenix/Scottsdale,Fountain Hills,Fountain Hills,Arizona,85268,United States,suburban,https://www.vrbo.com/2563495,https://media.vrbo.com/lodging/74000000/73280000/73273100/73273068/11741500.jpg?impolicy=resizecrop&rw=1200&ra=fit,,2563495,33.595092,-111.725498,=AVERAGE($G$2:$G$134),=AVERAGE($D$2:$D$134),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
"The Scottsdale Haven w Heated Pool, 7 bed/7 bath",4334574,,169966,218355,1847.46,36.8,311,7,5,14,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.95,38,2,6-20,Luxury,true,601,false,92,28,2026-05-13,Phoenix/Scottsdale,Fountain Hills,Scottsdale,Arizona,85259,United States,suburban,https://www.airbnb.com/rooms/785614566736575463,https://a0.muscache.com/im/pictures/miso/Hosting-785614566736575463/original/ccc2224c-f2f1-4fde-b384-38603cbddb26.jpeg,785614566736575463,3513175,33.58894,-111.81458,=AVERAGE($G$2:$G$134),=AVERAGE($D$2:$D$134),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Scottsdale Sunset Retreat | Patio, Spa  & Views",Travli Hospitality,,154639,162427,590.23,74.86,350,4,2,8,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,113,3,21+,Luxury,true,385,true,262,54,2026-05-17,Phoenix/Scottsdale,Fountain Hills,Scottsdale,Arizona,85259,United States,suburban,https://www.airbnb.com/rooms/761438750160740247,https://a0.muscache.com/im/pictures/prohost-api/Hosting-761438750160740247/original/67c3b1a8-831e-47bc-be30-857e6cdad7f5.jpeg,761438750160740247,9756525ha,33.5863,-111.7817,=AVERAGE($G$2:$G$134),=AVERAGE($D$2:$D$134),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
"Lux Fountain Hills, VIEWS, Inf Pool, Hot Tub, Golf",Arizona Vacation Home Rentals,,149312,164992,1395.44,59.44,204,5,5,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.8,63,4,21+,Luxury,false,704,false,107,24,2026-05-15,Phoenix/Scottsdale,Fountain Hills,Fountain Hills,Arizona,85268,United States,suburban,https://www.airbnb.com/rooms/1485006877266628393,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1485006877266628393/original/1ea539f9-1724-4ee2-9922-c73a366cb634.jpeg,1485006877266628393,20180288ha,33.6021,-111.7561,=AVERAGE($G$2:$G$134),=AVERAGE($D$2:$D$134),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
"VIEWS 9400 SQ FT Mansion Infinity Slide Pool, MVIE",374668104,,139725,222839,2328.75,28.17,275,7,6,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.95,67,3,2-5,Luxury,false,645,true,60,13,2026-05-13,Phoenix/Scottsdale,Fountain Hills,Fountain Hills,Arizona,85268,United States,suburban,https://www.airbnb.com/rooms/563978014938460765,https://a0.muscache.com/im/pictures/miso/Hosting-563978014938460765/original/a7c2a694-41c7-43d8-9a93-240843798ebc.jpeg,563978014938460765,,33.59334,-111.72138,=AVERAGE($G$2:$G$134),=AVERAGE($D$2:$D$134),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
3 Million Dollar Mansion #1 BEST VIEWS Movie Pool,374668104,,123899,163607,2212.48,25,291,6,4,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.95,56,3,2-5,Luxury,false,595,true,56,13,2026-05-16,Phoenix/Scottsdale,Fountain Hills,Fountain Hills,Arizona,85268,United States,suburban,https://www.airbnb.com/rooms/50745866,https://a0.muscache.com/im/pictures/miso/Hosting-50745866/original/2c4cbf5b-c5f3-4cef-bb57-5f9630addfb8.jpeg,50745866,,33.60262,-111.75716,=AVERAGE($G$2:$G$134),=AVERAGE($D$2:$D$134),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Getaway in Fountain Hills – 1 Acre Retreat w Gym,383936180,,117259,137285,644.28,57.05,319,4,3,14,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,5,47,2,1,Luxury,true,525,false,182,47,2026-05-13,Phoenix/Scottsdale,Fountain Hills,Fountain Hills,Arizona,85268,United States,suburban,https://www.airbnb.com/rooms/1353976593876819912,https://a0.muscache.com/im/pictures/hosting/Hosting-1353976593876819912/original/a290905a-8e5d-407e-86cf-cba70285d93c.jpeg,1353976593876819912,,33.5761431216,-111.7147783913,=AVERAGE($G$2:$G$134),=AVERAGE($D$2:$D$134),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Luxury Home with Mountain Views and Games,403472445,,116445,117811,501.92,64.27,361,4,3,11,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.85,95,4,21+,Luxury,false,530,false,232,47,2026-05-16,Phoenix/Scottsdale,Fountain Hills,Fountain Hills,Arizona,85268,United States,suburban,https://www.airbnb.com/rooms/54085039,https://a0.muscache.com/im/pictures/prohost-api/Hosting-54085039/original/1358f038-d074-4ae4-bd44-aec0e570c9bb.jpeg,54085039,2611979,33.5846,-111.7418,=AVERAGE($G$2:$G$134),=AVERAGE($D$2:$D$134),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Fountain Hills Retreat,165949801,,110269,132108,463.32,72.34,329,3,2,6,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,146,3,2-5,Luxury,true,276,false,238,50,2026-05-17,Phoenix/Scottsdale,Fountain Hills,Fountain Hills,Arizona,85268,United States,suburban,https://www.airbnb.com/rooms/54393369,https://a0.muscache.com/im/pictures/f8c15c3d-2434-4bd8-9b91-ae6a8761fc68.jpg,54393369,2640266,33.61723,-111.72579,=AVERAGE($G$2:$G$134),=AVERAGE($D$2:$D$134),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
