Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
"Luxury 6,000+ sq ft Hideaway with Heated Pool, Spa",380749045,,155196,166896,708.66,64.22,341,5,4,16,true,true,true,true,true,true,true,Home/Apartment,House,House/villa,5,42,5,2-5,Luxury,true,365,false,219,62,2026-05-11,Greenville,Greer,Taylors,South Carolina,29687,United States,mid_size_city,https://www.airbnb.com/rooms/1353919194026569025,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1353919194026569025/original/eec6c263-514b-450d-898b-ee0e4296c25b.jpeg,1353919194026569025,4427031,34.9353,-82.2874,=AVERAGE($G$2:$G$67),=AVERAGE($D$2:$D$67),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
NEW - Heated Pool - Hot Tub - Game Room - Sauna -,380749045,,119831,133261,644.25,57.06,326,4,3,12,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,160,5,2-5,Luxury,true,335,false,186,49,2026-05-17,Greenville,Greer,Greer,South Carolina,29651,United States,mid_size_city,https://www.airbnb.com/rooms/617424405858012565,https://a0.muscache.com/im/pictures/prohost-api/Hosting-617424405858012565/original/60588844-31f3-49da-a1bd-e3cae06ed448.jpeg,617424405858012565,2786916,34.9802,-82.27,=AVERAGE($G$2:$G$67),=AVERAGE($D$2:$D$67),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Oak View Inn A Newly Renovated Luxury Guest House,567771776,,115895,120736,1332.13,26.2,350,8,6,16,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,4.85,7,1,1,Luxury,false,450,true,87,40,2026-05-16,Greenville,Greer,Taylors,South Carolina,29687,United States,mid_size_city,https://www.airbnb.com/rooms/1115368828074908781,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1115368828074908781/original/b7c308da-66db-49dc-83a3-825a68082e81.jpeg,1115368828074908781,3910858,34.9785,-82.292,=AVERAGE($G$2:$G$67),=AVERAGE($D$2:$D$67),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Fenced In|10 Min To DT|Sleeps 14|Walk In Shower,Moose Vacations,,85785,88117,384.69,65.2,356,4,6,14,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,4.95,42,2,21+,Luxury,true,320,false,223,28,2026-05-11,Greenville,Greer,Greenville,South Carolina,29615,United States,mid_size_city,https://www.airbnb.com/rooms/956739242211907608,https://a0.muscache.com/im/pictures/prohost-api/Hosting-956739242211907608/original/82a3c37d-d9bd-46d7-92f7-dc25a2ead985.jpeg,956739242211907608,4515372,34.8697,-82.3273,=AVERAGE($G$2:$G$67),=AVERAGE($D$2:$D$67),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Stunning 6 Bedroom Lakehouse 15 min from GSP,479484237,,71360,72575,951.47,20.89,359,6,4,16,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,97,2,1,Luxury,true,248,true,75,27,2026-05-17,Greenville,Greer,Greer,South Carolina,29651,United States,mid_size_city,https://www.airbnb.com/rooms/715786583437173192,https://a0.muscache.com/im/pictures/miso/Hosting-715786583437173192/original/f151f4e5-c7e5-427a-a27c-a7abcb39a623.jpeg,715786583437173192,3011317,34.96529,-82.20327,=AVERAGE($G$2:$G$67),=AVERAGE($D$2:$D$67),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
"Private GEM in SC-Pool, Huge Porch, Fenced Yard",136506800,,63329,67705,318.24,59.76,348,3,2,6,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,4.95,45,1,2-5,Luxury,true,208,true,199,50,2026-05-16,Greenville,Greer,Greer,South Carolina,29651,United States,mid_size_city,https://www.airbnb.com/rooms/1419997677734707729,https://a0.muscache.com/im/pictures/miso/Hosting-1419997677734707729/original/8b353e2f-5529-4da8-8233-ec47317ba334.jpeg,1419997677734707729,4840078,35.0025875325,-82.2604892131,=AVERAGE($G$2:$G$67),=AVERAGE($D$2:$D$67),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Charming 3BD Home in the Heart of Greenville,481840519,,62803,62803,230.89,78.16,365,3,2,6,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.95,26,2,1,Luxury,false,130,false,272,18,2026-05-16,Greenville,Greer,Greer,South Carolina,29650,United States,mid_size_city,https://www.airbnb.com/rooms/728433053058366718,https://a0.muscache.com/im/pictures/miso/Hosting-728433053058366718/original/29832acd-ba3d-45df-b9e8-ead164f294b6.jpeg,728433053058366718,,34.86455,-82.28595,=AVERAGE($G$2:$G$67),=AVERAGE($D$2:$D$67),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Modern + Treetop + Terrace + Retreat,133633425,,62455,63733,247.84,70.59,357,3,2,6,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.95,81,1,1,Luxury,true,151,false,252,89,2026-05-13,Greenville,Greer,Greer,South Carolina,29650,United States,mid_size_city,https://www.airbnb.com/rooms/679621499336921855,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Njc5NjIxNDk5MzM2OTIxODU1/original/dba787dc-1d83-4d1b-8201-e65cafa4d48c.jpeg,679621499336921855,4541494,34.93266,-82.24135,=AVERAGE($G$2:$G$67),=AVERAGE($D$2:$D$67),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Blue Ridge Vista,Westbrook Hospitality LLC,,58624,62148,344.85,55.56,315,4,2,10,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,4.95,30,2,21+,Luxury,true,379,true,170,46,2026-05-13,Greenville,Greer,Greer,South Carolina,29651,United States,mid_size_city,https://www.airbnb.com/rooms/1435611836377898174,https://a0.muscache.com/im/pictures/miso/Hosting-1435611836377898174/original/93c14b9b-64bc-40a1-a6fe-eddb42b11403.jpeg,1435611836377898174,,34.95164,-82.27661,=AVERAGE($G$2:$G$67),=AVERAGE($D$2:$D$67),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Southern Luxury Retreat in Greer,487146123,,50935,51413,186.58,75.62,361,2,2,4,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,5,74,3,2-5,Luxury,true,150,true,273,49,2026-05-13,Greenville,Greer,Greer,South Carolina,29651,United States,mid_size_city,https://www.airbnb.com/rooms/799199453135552423,https://a0.muscache.com/im/pictures/prohost-api/Hosting-799199453135552423/original/9cd3ae23-1afb-44f4-90f8-aa8948fe9aa5.jpeg,799199453135552423,3906012,34.944,-82.2233,=AVERAGE($G$2:$G$67),=AVERAGE($D$2:$D$67),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
The Haven on Hibiscus,243137707,,49917,57608,319.98,49.52,324,3,3,8,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,72,1,6-20,Luxury,true,178,true,156,58,2026-05-17,Greenville,Greer,Greer,South Carolina,29651,United States,mid_size_city,https://www.airbnb.com/rooms/1088497757408770993,https://a0.muscache.com/im/pictures/miso/Hosting-1088497757408770993/original/595d2d5e-37c9-47ea-92f0-15e23fed861a.jpeg,1088497757408770993,3852236,34.95272,-82.18841,=AVERAGE($G$2:$G$67),=AVERAGE($D$2:$D$67),"=IFERROR(($AT12-G12)/$AT12,0)","=IFERROR(($AU12-D12)/$AU12,0)",=$AU12-D12
Fenced In|12 min to DT|New Reno,20845581,,48781,50756,195.91,85.57,291,3,2,9,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.95,54,1,1,Luxury,true,176,false,249,29,2026-03-30,Greenville,Greer,Greenville,South Carolina,29615,United States,mid_size_city,https://www.airbnb.com/rooms/1120615396293284115,https://a0.muscache.com/im/pictures/miso/Hosting-1120615396293284115/original/79361a92-3833-4d8a-b11c-b9cb54169d3f.jpeg,1120615396293284115,3940083,34.88137,-82.2967,=AVERAGE($G$2:$G$67),=AVERAGE($D$2:$D$67),"=IFERROR(($AT13-G13)/$AT13,0)","=IFERROR(($AU13-D13)/$AU13,0)",=$AU13-D13
Modern Mill House - Luxury Stay - 10 MINS TO GSP,97535011,,45380,57118,262.31,59.86,289,3,2,10,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,4.95,32,2,1,Luxury,false,124,false,173,20,2026-05-17,Greenville,Greer,Greer,South Carolina,29650,United States,mid_size_city,https://www.airbnb.com/rooms/922537349189774155,https://a0.muscache.com/im/pictures/hosting/Hosting-922537349189774155/original/00815209-6ae9-473b-bec3-c0860ce36d70.jpeg,922537349189774155,3608386,34.93611,-82.23554,=AVERAGE($G$2:$G$67),=AVERAGE($D$2:$D$67),"=IFERROR(($AT14-G14)/$AT14,0)","=IFERROR(($AU14-D14)/$AU14,0)",=$AU14-D14
Hickory Cottage - 1bdrm Retreat,,,42144,42582,208.63,55.96,361,1,1,2,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,63,3,1,Luxury,false,99,true,202,81,2026-05-17,Greenville,Greer,Taylors,South Carolina,29687,United States,mid_size_city,https://www.vrbo.com/4015146,https://media.vrbo.com/lodging/106000000/105420000/105412700/105412665/24b87885.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4015146,34.957757,-82.328983,=AVERAGE($G$2:$G$67),=AVERAGE($D$2:$D$67),"=IFERROR(($AT15-G15)/$AT15,0)","=IFERROR(($AU15-D15)/$AU15,0)",=$AU15-D15
