Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
"Comfortable and Unique Stay! Kitchen, Watersports!",BnBerry,,462991,581929,6430.43,47.06,217,2,1,12,true,false,false,true,true,true,false,Home/Apartment,House boat,Unique,0,0,1,21+,Luxury,false,0,true,72,19,2026-05-07,Arizona Area,Page,Page,Arizona,86040,United States,mountains_lakes,https://www.airbnb.com/rooms/1406463891133059658,https://a0.muscache.com/im/pictures/hosting/Hosting-1406463891133059658/original/59f68253-25ad-4e3c-981c-5f937dd26557.jpeg,1406463891133059658,4552173,36.9956,-111.4864,=AVERAGE($G$2:$G$179),=AVERAGE($D$2:$D$179),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
"WOW-Views! 7 Bd, 6 bth Infinity Pool&Spa 7000 sqft",147676453,,191637,222151,1269.12,52.98,318,7,6,14,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,41,3,2-5,Luxury,true,551,true,151,34,2026-05-11,Arizona Area,Page,Page,Arizona,86040,United States,mountains_lakes,https://www.airbnb.com/rooms/1147282516982245875,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE0NzI4MjUxNjk4MjI0NTg3NQ%3D%3D/original/925e4eab-97f4-4ce1-a9f5-e52303bb7cf2.jpeg,1147282516982245875,3958516,36.9318,-111.4657,=AVERAGE($G$2:$G$179),=AVERAGE($D$2:$D$179),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Wake Up on the Water! Stunning Lake Powell Retreat,BnBerry,,154002,232023,3850.05,43.96,217,2,1,10,true,false,false,true,true,true,false,Home/Apartment,House boat,Unique,0,0,1,21+,Luxury,false,0,true,40,13,2026-05-07,Arizona Area,Page,Page,Arizona,86040,United States,mountains_lakes,https://www.airbnb.com/rooms/1406463881125595046,https://a0.muscache.com/im/pictures/hosting/Hosting-1406463881125595046/original/45dc04b5-dae3-4a8f-942d-642066e302de.png,1406463881125595046,4552174,36.9956,-111.4864,=AVERAGE($G$2:$G$179),=AVERAGE($D$2:$D$179),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Luxury - Pool & Spa, 7 Bd. 4 Bth 4300 sq ft VIEWS!",147676453,,153738,161268,1018.13,59.22,357,7,4,14,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,248,3,2-5,Luxury,true,327,false,151,33,2026-05-11,Arizona Area,Page,Page,Arizona,86040,United States,mountains_lakes,https://www.airbnb.com/rooms/20650707,https://a0.muscache.com/im/pictures/07fdd71e-2337-4429-abe5-c774f5b0de98.jpg,20650707,644124,36.93218,-111.46644,=AVERAGE($G$2:$G$179),=AVERAGE($D$2:$D$179),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Large estate/3 Kings/Fenced yard w games/Grill/Firepit/Fire table/Dogs OK/Boat,,,128228,153687,480.25,90.2,296,4,3,14,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,5,0,2,1,Luxury,false,195,true,267,97,2026-05-17,Arizona Area,Page,Page,Arizona,86040,United States,mountains_lakes,https://www.vrbo.com/4434378,https://media.vrbo.com/lodging/114000000/113090000/113086700/113086656/da6fc1d2.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4434378,36.90822,-111.45077,=AVERAGE($G$2:$G$179),=AVERAGE($D$2:$D$179),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
"3 houses for your multi-family group, 🏜VIEW🐶PETS🚤boat parking",,,127518,206051,1314.62,42.17,266,9,6,30,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,5,11,1,1,Luxury,false,472,true,97,28,2026-05-16,Arizona Area,Page,Page,Arizona,86040,United States,mountains_lakes,https://www.vrbo.com/4838935ha,https://media.vrbo.com/lodging/46000000/45190000/45185300/45185260/930db425.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4838935ha,36.893692,-111.471096,=AVERAGE($G$2:$G$179),=AVERAGE($D$2:$D$179),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
"[The Overlook] Triple Primary Luxe, 50 Mile Views",98537285,,119159,129314,467.29,75.22,339,3,3,9,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,243,2,6-20,Luxury,true,240,false,255,112,2026-05-17,Arizona Area,Page,Page,Arizona,86040,United States,mountains_lakes,https://www.airbnb.com/rooms/879736310173499624,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODc5NzM2MzEwMTczNDk5NjI0/original/6aef3705-41c7-41f7-b133-1de1a93cc359.jpeg,879736310173499624,3393819,36.9356,-111.4629,=AVERAGE($G$2:$G$179),=AVERAGE($D$2:$D$179),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
"[The Grandview] Pool, Pickleball, Hot Tub, Views",98537285,,118234,189707,923.7,54.7,255,8,6,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,32,2,6-20,Luxury,true,650,true,128,37,2026-05-16,Arizona Area,Page,Page,Arizona,86040,United States,mountains_lakes,https://www.airbnb.com/rooms/1436609231195398676,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1436609231195398676/original/36877252-51ae-4ed0-b417-733d0a1288b6.jpeg,1436609231195398676,4542410,36.9991,-111.5548,=AVERAGE($G$2:$G$179),=AVERAGE($D$2:$D$179),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
3 houses for your big group~VIEW~PETS~boat parking,5245520,,113873,194668,1308.89,42.65,251,9,6,16,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,5,8,1,6-20,Luxury,true,650,true,87,37,2026-05-13,Arizona Area,Page,Page,Arizona,86040,United States,mountains_lakes,https://www.airbnb.com/rooms/41090061,https://a0.muscache.com/im/pictures/81e63203-9a78-4eb6-a2e2-c149e6c9e0f6.jpg,41090061,9932575ha,36.8937,-111.4711,=AVERAGE($G$2:$G$179),=AVERAGE($D$2:$D$179),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Surf Inn Lake Powell • Sleeps 16 • Hot Tub & Views,124107548,,108819,124990,552.38,63.34,312,4,2,16,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,303,1,1,Luxury,true,250,true,197,79,2026-05-17,Arizona Area,Page,Page,Arizona,86040,United States,mountains_lakes,https://www.airbnb.com/rooms/51673303,https://a0.muscache.com/im/pictures/hosting/Hosting-51673303/original/2e7fb712-93e2-4990-9911-acb9e637c90a.jpeg,51673303,2233513,36.9982,-111.5582,=AVERAGE($G$2:$G$179),=AVERAGE($D$2:$D$179),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
