Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
HÓZHÓ Luxe | Lazy River | Indoor Pickleball,482928211,,1260598,1340023,5145.3,71.64,342,11,13,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,5,22,4,21+,Luxury,true,1273,true,245,65,2026-05-13,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85259,United States,suburban,https://www.airbnb.com/rooms/1049620010277054870,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1049620010277054870/original/1d744a61-6218-4677-8a27-89abb5c49b79.jpeg,1049620010277054870,3775036,33.5938,-111.8528,"=AVERAGE($G$2:$G$596)","=AVERAGE($D$2:$D$596)","=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)","=$AU2-D2"
HÓZHÓ Sunnyside | Lazy River | Indoor Pickleball,482928211,,1244631,1412651,5683.25,70.19,312,14,16,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,5,28,4,21+,Luxury,true,1560,true,219,54,2026-05-11,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85259,United States,suburban,https://www.airbnb.com/rooms/1036390897951776857,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1036390897951776857/original/54e310ce-a296-4657-aec0-fb7f7614e07b.jpeg,1036390897951776857,3622129,33.5938,-111.8528,"=AVERAGE($G$2:$G$596)","=AVERAGE($D$2:$D$596)","=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)","=$AU3-D3"
HÓZHÓ 19th Hole | Pool | Golf Sim | Pickleball,482928211,,724900,753529,2865.22,73.33,345,10,11,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,32,4,21+,Luxury,true,1096,true,253,72,2026-05-11,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85260,United States,suburban,https://www.airbnb.com/rooms/1344276062723225221,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1344276062723225221/original/40791eb5-81e7-4ea1-a9ed-fda89b75170a.jpeg,1344276062723225221,4378019,33.6083,-111.9168,"=AVERAGE($G$2:$G$596)","=AVERAGE($D$2:$D$596)","=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)","=$AU4-D4"
HÓZHÓ Estate on Desert Hills | Pool  $80k Golf Sim,482928211,,617960,652931,2367.66,76.76,340,9,9,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,33,4,21+,Luxury,true,1072,true,261,75,2026-05-13,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85260,United States,suburban,https://www.airbnb.com/rooms/1375463518753338462,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1375463518753338462/original/d50ce9ee-df9c-4c03-94b1-0c020e17337c.jpeg,1375463518753338462,4457646,33.594,-111.8927,"=AVERAGE($G$2:$G$596)","=AVERAGE($D$2:$D$596)","=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)","=$AU5-D5"
Luxury Estate Acre Lot-Pickleball-Pool-Spa-Gym,8945407,,563887,608872,2185.61,77.01,335,8,9,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,65,2,6-20,Luxury,true,804,true,258,81,2026-05-17,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85254,United States,suburban,https://www.airbnb.com/rooms/1314575510263216526,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTMxNDU3NTUxMDI2MzIxNjUyNg%3D%3D/original/da6750db-a0e2-4ba2-80be-db4ecff26890.jpeg,1314575510263216526,4367943,33.603456452,-111.9695654271,"=AVERAGE($G$2:$G$596)","=AVERAGE($D$2:$D$596)","=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)","=$AU6-D6"
SWSS Pool • Hot Tub • Putting Green • Sleeps 24,StayWithStyleScottsdale,,544423,599628,2777.67,60.12,326,11,10,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,76,2,21+,Luxury,true,925,true,196,56,2026-05-13,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85260,United States,suburban,https://www.airbnb.com/rooms/29540710,https://a0.muscache.com/im/pictures/prohost-api/Hosting-29540710/original/ae658bc3-3a44-4d68-af25-a6a629b71d9b.jpeg,29540710,1571764,33.5991,-111.91,"=AVERAGE($G$2:$G$596)","=AVERAGE($D$2:$D$596)","=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)","=$AU7-D7"
Half Million Dollar Pool with Lazy River,Resort Style Vacation Homes,,508739,564118,2411.09,65.33,323,7,5,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,232,3,21+,Luxury,true,1423,true,211,49,2026-05-17,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85260,United States,suburban,https://www.airbnb.com/rooms/31313260,https://a0.muscache.com/im/pictures/d07e90e5-b26e-4e9e-b268-f88c6b9d1141.jpg,31313260,7517524ha,33.59093,-111.87388,"=AVERAGE($G$2:$G$596)","=AVERAGE($D$2:$D$596)","=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)","=$AU8-D8"
"Luxury Resort Retreat, Your Private Escape",392695505,,502848,553242,3104,92.57,195,5,5,12,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,2,3,2-5,Luxury,false,0,false,162,4,2026-05-14,Phoenix/Scottsdale,Paradise Valley,Paradise Valley,Arizona,85253,United States,suburban,https://www.airbnb.com/rooms/1534142511199506165,https://a0.muscache.com/im/pictures/hosting/Hosting-1534142511199506165/original/b50bcf54-163e-48f4-a1b6-5850c197cdab.jpeg,1534142511199506165,,33.58004,-111.95796,"=AVERAGE($G$2:$G$596)","=AVERAGE($D$2:$D$596)","=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)","=$AU9-D9"
HOZHO Estate on Shea,217908712,,499151,553562,2627.11,60.9,312,10,9,16,true,false,true,true,true,false,true,Home/Apartment,Villa,House/villa,4.95,81,4,21+,Luxury,true,1104,false,190,50,2026-05-17,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85254,United States,suburban,https://www.airbnb.com/rooms/802942122052617915,https://a0.muscache.com/im/pictures/prohost-api/Hosting-802942122052617915/original/afa05e4e-2264-41f8-986c-64c72443d342.jpeg,802942122052617915,2976886,33.5838,-111.9351,"=AVERAGE($G$2:$G$596)","=AVERAGE($D$2:$D$596)","=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)","=$AU10-D10"
2 Homes in 1 | Pickleball Court + Hidden Speakeasy,Excelsior Stays,,496626,699571,2559.93,74.33,261,8,8,16,true,true,true,true,true,true,true,Home/Apartment,Villa,House/villa,4.85,160,3,21+,Luxury,false,900,false,194,65,2026-05-17,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85254,United States,suburban,https://www.airbnb.com/rooms/692182642472276576,https://a0.muscache.com/im/pictures/prohost-api/Hosting-692182642472276576/original/6d47127f-2ba6-40fa-88d2-02b5f81c538d.jpeg,692182642472276576,2960065,33.5859,-111.9535,"=AVERAGE($G$2:$G$596)","=AVERAGE($D$2:$D$596)","=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)","=$AU11-D11"
