Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
6 Cabins with Kitchens+Gameroom&Playground,,,145895,425551,2559.56,50,136,11,6,34,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,5,1,2,1,Luxury,false,74,true,57,23,2026-05-14,Arizona Area,Payson,Payson,Arizona,85541,United States,mountains_lakes,https://www.vrbo.com/2218327,https://media.vrbo.com/lodging/65000000/64910000/64903000/64902926/da461f6a.jpg?impolicy=resizecrop&rw=1200&ra=fit,,2218327,34.305971,-111.011939,=AVERAGE($G$2:$G$240),=AVERAGE($D$2:$D$240),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Private 5-Acre Retreat w/ Pickleball & Hot Tub,HolidayRental.com,,135071,138082,1534.9,25.88,349,9,6,16,true,false,true,true,true,true,false,Home/Apartment,Cabin,House/villa,4.8,19,4,6-20,Luxury,true,484,true,88,29,2026-05-13,Arizona Area,Payson,Payson,Arizona,85541,United States,mountains_lakes,https://www.airbnb.com/rooms/759481444833195113,https://a0.muscache.com/im/pictures/hosting/Hosting-759481444833195113/original/15ec454c-8f38-4bfb-88ce-dc76650fbe20.jpeg,759481444833195113,1032183,34.2331,-111.3025,=AVERAGE($G$2:$G$240),=AVERAGE($D$2:$D$240),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
5 Acre Estate | Pickleball | Mountain Views | Spa,AZHolidayRental,,133040,139219,1705.64,25,344,9,6,16,true,false,true,true,true,true,false,Home/Apartment,Cabin,House/villa,4.8,53,3,21+,Luxury,true,484,false,78,24,2026-05-13,Arizona Area,Payson,Payson,Arizona,85541,United States,mountains_lakes,https://www.airbnb.com/rooms/26328015,https://a0.muscache.com/im/pictures/hosting/Hosting-26328015/original/ad9249ce-06d8-4d9b-a117-06b949e0fb85.jpeg,26328015,3671734ha,34.2328,-111.3019,=AVERAGE($G$2:$G$240),=AVERAGE($D$2:$D$240),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Secluded Forest Cabin | Hot Tub, Game Room & Views",304007303,,103839,105627,397.85,72.91,358,3,2,10,true,false,true,true,true,true,false,Home/Apartment,Cabin,House/villa,5,88,2,2-5,Luxury,true,220,false,261,54,2026-05-11,Arizona Area,Payson,Payson,Arizona,85541,United States,mountains_lakes,https://www.airbnb.com/rooms/631907738957472121,https://a0.muscache.com/im/pictures/miso/Hosting-631907738957472121/original/5bdb311d-b253-493a-abe9-e7ca9a7d1925.jpeg,631907738957472121,2838632,34.37898,-111.22111,=AVERAGE($G$2:$G$240),=AVERAGE($D$2:$D$240),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
6 Cabins with Kitchens+Gameroom&Playground,Wooden Nickel Cabins,,100569,327298,3047.55,57.89,102,11,6,16,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,4.65,39,2,6-20,Luxury,true,419,false,33,11,2026-05-17,Arizona Area,Payson,Payson,Arizona,85541,United States,mountains_lakes,https://www.airbnb.com/rooms/48317305,https://a0.muscache.com/im/pictures/prohost-api/Hosting-48317305/original/6b3b6f46-e410-4787-8cb2-2f4305e8ddda.png,48317305,2148513,34.306,-111.0119,=AVERAGE($G$2:$G$240),=AVERAGE($D$2:$D$240),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
"Dancing Bear Lodge; Pine, AZ",72948431,,95977,109051,385.45,77.33,322,3,3,6,true,false,true,true,true,true,false,Home/Apartment,Chalet,House/villa,5,392,2,1,Luxury,false,200,false,249,59,2026-05-17,Arizona Area,Payson,Pine,Arizona,85544,United States,mountains_lakes,https://www.airbnb.com/rooms/18124373,https://a0.muscache.com/im/pictures/1f5e13d2-0053-40b8-8af9-43de8971c73f.jpg,18124373,4505769ha,34.37327,-111.46754,=AVERAGE($G$2:$G$240),=AVERAGE($D$2:$D$240),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Views Everywhere! | Hiking Trails out the door!,341288790,,94605,107312,402.57,73.9,318,4,3,10,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,5,79,3,2-5,Luxury,true,275,true,235,43,2026-05-16,Arizona Area,Payson,Pine,Arizona,85544,United States,mountains_lakes,https://www.airbnb.com/rooms/727498306681593042,https://a0.muscache.com/im/pictures/prohost-api/Hosting-727498306681593042/original/70431791-fe22-4f11-85a6-55fe2a14db81.jpeg,727498306681593042,3011748,34.37284,-111.46848,=AVERAGE($G$2:$G$240),=AVERAGE($D$2:$D$240),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Reconnect in Luxury | Pine Cabin w/ Sauna +Hideout,60815649,,92267,95752,369.07,70.62,354,4,3,9,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,4.95,104,2,2-5,Luxury,true,225,false,250,70,2026-05-17,Arizona Area,Payson,Pine,Arizona,85544,United States,mountains_lakes,https://www.airbnb.com/rooms/904414683611471956,https://a0.muscache.com/im/pictures/miso/Hosting-904414683611471956/original/75c1f87d-a684-4abb-be0a-80b6a79f41de.jpeg,904414683611471956,3458135,34.39326,-111.4479,=AVERAGE($G$2:$G$240),=AVERAGE($D$2:$D$240),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Luxury Cabin on Tonto Creek,117093267,,90014,92358,500.08,50.28,358,3,2,12,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.95,278,2,2-5,Luxury,false,204,false,180,70,2026-05-11,Arizona Area,Payson,Payson,Arizona,85541,United States,mountains_lakes,https://www.airbnb.com/rooms/17338286,https://a0.muscache.com/im/pictures/miso/Hosting-17338286/original/1ac89dc5-2f3e-4e3e-921f-4dfbda0a6b7a.jpeg,17338286,933104,34.31936,-111.08985,=AVERAGE($G$2:$G$240),=AVERAGE($D$2:$D$240),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Payson perfection. Vast views. Pickleball courts!,183712351,,89341,91486,467.75,53.5,357,4,3,15,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.9,144,2,2-5,Luxury,true,296,true,191,65,2026-05-11,Arizona Area,Payson,Payson,Arizona,85541,United States,mountains_lakes,https://www.airbnb.com/rooms/640411639154517733,https://a0.muscache.com/im/pictures/miso/Hosting-640411639154517733/original/52de873e-7da2-4e41-be62-e69cc5bbad8b.jpeg,640411639154517733,2909361,34.25207,-111.31116,=AVERAGE($G$2:$G$240),=AVERAGE($D$2:$D$240),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
