Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
"Legacy Lodge & Barn Retreat, Sleeps 42",Longitude Experience,,361859,420999,3890.96,35.91,285,13,11,16,false,false,false,true,true,false,false,Home/Apartment,Cabin,House/villa,0,0,2,21+,Luxury,true,1200,true,93,28,2026-05-17,Pinetop-Lakeside,Overgaard,Heber,Arizona,85928,United States,mountains_lakes,https://www.airbnb.com/rooms/1379171847097000638,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1379171847097000638/original/2592e84f-f123-4863-ac79-5c93e99a0294.jpeg,1379171847097000638,4495246,34.3333,-110.655,=AVERAGE($G$2:$G$407),=AVERAGE($D$2:$D$407),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
"Grand Legacy Lodge, White Mountains AZ, Sleeps 34",Longitude Experience,,332962,344472,3329.62,32.89,356,9,8,16,false,false,false,true,true,false,false,Home/Apartment,Cabin,House/villa,5,5,2,21+,Luxury,true,1000,true,100,22,2026-05-17,Pinetop-Lakeside,Overgaard,Heber,Arizona,85928,United States,mountains_lakes,https://www.airbnb.com/rooms/1375576336656373092,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1375576336656373092/original/e1c2191e-2b37-418c-ad7b-b6d41e511807.jpeg,1375576336656373092,4478949,34.3333,-110.655,=AVERAGE($G$2:$G$407),=AVERAGE($D$2:$D$407),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Rock Creek Ranch,224226484,,169284,183963,1434.61,41.7,296,6,6,16,true,false,true,true,true,false,false,Home/Apartment,Cabin,House/villa,5,17,2,1,Luxury,true,600,false,118,38,2026-05-14,Pinetop-Lakeside,Show Low,Pinedale,Arizona,85934,United States,mountains_lakes,https://www.airbnb.com/rooms/1426375609331601752,https://a0.muscache.com/im/pictures/hosting/Hosting-1426375609331601752/original/b0a93305-7a55-4de9-bd3f-b0cbd4786228.jpeg,1426375609331601752,4642681,34.2551,-110.2374,=AVERAGE($G$2:$G$407),=AVERAGE($D$2:$D$407),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"4,100 sf Luxe Log Cabin on the Creek. - 2 ensuites, Kid Friendly, AC, Slps 18",,,118335,151407,735,52.1,309,4,3,18,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,4.9,29,2,1,Luxury,false,349,true,161,58,2026-05-13,Pinetop-Lakeside,Lakeside,Lakeside,Arizona,85929,United States,mountains_lakes,https://www.vrbo.com/2364532,https://media.vrbo.com/lodging/70000000/69320000/69311700/69311623/af44881d.jpg?impolicy=resizecrop&rw=1200&ra=fit,,2364532,34.152093,-109.961437,=AVERAGE($G$2:$G$407),=AVERAGE($D$2:$D$407),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
"Large Cabin, 17 Acres | Playground | Forest Access",248909842,,111225,117902,926.88,34.09,352,7,4,16,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,5,79,2,1,Luxury,true,599,false,120,43,2026-05-13,Pinetop-Lakeside,Show Low,Pinedale,Arizona,85934,United States,mountains_lakes,https://www.airbnb.com/rooms/954583143517845100,https://a0.muscache.com/im/pictures/miso/Hosting-954583143517845100/original/17336a18-21e1-4c47-b698-3f7fbdad33cc.png,954583143517845100,3630558,34.2541,-110.2354,=AVERAGE($G$2:$G$407),=AVERAGE($D$2:$D$407),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Large Group Getaway | Peaceful Views,Getaway Properties AZ,,110653,121267,1140.75,30.6,339,6,6,16,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,14,2,21+,Luxury,true,691,false,97,31,2026-05-17,Pinetop-Lakeside,Pinetop,Pinetop,Arizona,85935,United States,mountains_lakes,https://www.airbnb.com/rooms/1212321083657110835,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1212321083657110835/original/4aed1177-5267-4187-9af4-b2eb2d3b40bb.png,1212321083657110835,9990688ha,34.116,-109.8653,=AVERAGE($G$2:$G$407),=AVERAGE($D$2:$D$407),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
"*Huge Cabin Near Woodland Lake, Sleeps 36",143579158,,107889,111238,817.34,38.48,357,8,5,16,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,4.85,121,2,2-5,Luxury,true,550,true,132,38,2026-05-11,Pinetop-Lakeside,Pinetop,Pinetop,Arizona,85935,United States,mountains_lakes,https://www.airbnb.com/rooms/46854293,https://a0.muscache.com/im/pictures/b5baec4b-abcf-45aa-9a63-edfb7b245604.jpg,46854293,2065452,34.11682,-109.94608,=AVERAGE($G$2:$G$407),=AVERAGE($D$2:$D$407),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
GolfSim | Theatr | HotTub | 4 KingSuites | 6 Bunks,459783472,,106430,114544,879.59,39.54,336,5,5,14,true,true,true,true,true,false,false,Home/Apartment,Cabin,House/villa,5,26,3,2-5,Luxury,true,300,true,121,38,2026-05-16,Pinetop-Lakeside,Show Low,Show Low,Arizona,85901,United States,mountains_lakes,https://www.airbnb.com/rooms/1324036086365947403,https://a0.muscache.com/im/pictures/hosting/Hosting-1324036086365947403/original/c50c1078-3345-4e5b-9c3a-0adcb5efc788.jpeg,1324036086365947403,4466823,34.2282,-110.0883,=AVERAGE($G$2:$G$407),=AVERAGE($D$2:$D$407),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Grandma TJ’s Mountain Getaway,510461241,,99829,138701,1232.46,31.64,290,7,6,16,true,false,false,false,true,false,false,Home/Apartment,Cabin,House/villa,5,55,2,1,Luxury,false,734,false,81,23,2026-05-11,Pinetop-Lakeside,Overgaard,Heber,Arizona,85928,United States,mountains_lakes,https://www.airbnb.com/rooms/871604828748235970,https://a0.muscache.com/im/pictures/prohost-api/Hosting-871604828748235970/original/2b2bb3c4-2c86-4c08-a316-16d5e9ba4b1f.jpeg,871604828748235970,3336260,34.4068,-110.5935,=AVERAGE($G$2:$G$407),=AVERAGE($D$2:$D$407),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Beautiful Torreon Cabin Retreat in the Pines -20+,17969597,,99664,106112,844.61,37.11,333,8,6,16,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.9,107,3,2-5,Luxury,true,439,true,118,31,2026-05-11,Pinetop-Lakeside,Show Low,Show Low,Arizona,85901,United States,mountains_lakes,https://www.airbnb.com/rooms/46755955,https://a0.muscache.com/im/pictures/miso/Hosting-46755955/original/e33aedf0-83e0-44a7-821b-e4a80352f9c1.jpeg,46755955,2160259,34.22661,-110.09358,=AVERAGE($G$2:$G$407),=AVERAGE($D$2:$D$407),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
