Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Pickleball | Jacuzzi | Grand Canyon | Sleeps 15,Premier Pads Rentals,,112851,115369,419.52,75.35,357,4,3,15,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.8,213,2,21+,Luxury,true,308,true,269,120,2026-05-14,Arizona Area,Williams,Williams,Arizona,86046,United States,rural,https://www.airbnb.com/rooms/962132576877844028,https://a0.muscache.com/im/pictures/prohost-api/Hosting-962132576877844028/original/b9a3f0c3-2f51-4a89-b121-b1d14acb814a.jpeg,962132576877844028,4077141,35.3508,-112.2067,=AVERAGE($G$2:$G$155),=AVERAGE($D$2:$D$155),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
The Canyon Casa With Pickleball Theater Arcade,567561488,,112627,118206,477.23,67.05,352,4,3,12,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,130,2,1,Luxury,true,270,true,236,90,2026-05-17,Arizona Area,Williams,Williams,Arizona,86046,United States,rural,https://www.airbnb.com/rooms/1148600696466191527,https://a0.muscache.com/im/pictures/hosting/Hosting-1148600696466191527/original/33232e6b-063b-46e0-b31f-d95f4d3b38c1.png,1148600696466191527,3990109,35.26116,-112.17453,=AVERAGE($G$2:$G$155),=AVERAGE($D$2:$D$155),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Hot Tub Pool Table Bocce Court Mountain Views,50683292,,109136,110841,509.98,59.44,360,4,2,12,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.9,194,1,6-20,Luxury,true,275,true,214,91,2026-05-17,Arizona Area,Williams,Williams,Arizona,86046,United States,rural,https://www.airbnb.com/rooms/760285945907465619,https://a0.muscache.com/im/pictures/hosting/Hosting-760285945907465619/original/c7a11117-dd96-4002-a0f7-60185a79550c.jpeg,760285945907465619,3137621,35.2593,-112.1732,=AVERAGE($G$2:$G$155),=AVERAGE($D$2:$D$155),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Walk Train Depot / Route 66: 4 king beds,110994852,,108027,115768,412.32,77.51,338,4,3,12,true,false,false,true,true,true,false,Home/Apartment,Vacation home,House/villa,4.95,238,2,2-5,Luxury,true,296,false,262,86,2026-05-17,Arizona Area,Williams,Williams,Arizona,86046,United States,rural,https://www.airbnb.com/rooms/779816250959087477,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Nzc5ODE2MjUwOTU5MDg3NDc3/original/58f9b0a1-738f-4291-97b6-28cdb13bdbde.jpeg,779816250959087477,3152498,35.25227,-112.19386,=AVERAGE($G$2:$G$155),=AVERAGE($D$2:$D$155),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Aframe Grand Canyon - Views - Location - Modern,13525752,,106974,125317,384.8,93.29,312,2,2,4,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,5,47,2,2-5,Luxury,true,182,false,278,68,2026-05-13,Arizona Area,Williams,Williams,Arizona,86046,United States,rural,https://www.airbnb.com/rooms/1419122148359411759,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1419122148359411759/original/2b211120-e17b-4784-b7c5-1d2c20536cb0.jpeg,1419122148359411759,4610898,35.3330667474,-112.1485027081,=AVERAGE($G$2:$G$155),=AVERAGE($D$2:$D$155),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Cobalt Cabin Gateway to Grand Canyon Sedona & More,10796863,,102154,102360,352.26,79.67,364,3,2,10,true,false,false,true,true,false,false,Home/Apartment,Cabin,House/villa,4.85,253,2,2-5,Luxury,true,250,false,290,91,2026-05-17,Arizona Area,Williams,Williams,Arizona,86046,United States,rural,https://www.airbnb.com/rooms/575320950964443579,https://a0.muscache.com/im/pictures/miso/Hosting-575320950964443579/original/7cf0b56c-9f46-4490-b388-46a41a1f62bf.jpeg,575320950964443579,2785966,35.2378,-112.0415,=AVERAGE($G$2:$G$155),=AVERAGE($D$2:$D$155),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
20 Acre Log Cabin Ranch | Fast WiFi | Great Views,22256781,,99833,105621,506.77,56.29,350,4,3,14,false,false,true,true,true,false,false,Home/Apartment,Cabin,House/villa,4.8,163,6,6-20,Luxury,true,296,true,197,54,2026-05-17,Arizona Area,Williams,Williams,Arizona,86046,United States,rural,https://www.airbnb.com/rooms/20253799,https://a0.muscache.com/im/pictures/448144dc-abf5-4923-ab93-994c99fcf20d.jpg,20253799,1085434,35.26338,-112.08189,=AVERAGE($G$2:$G$155),=AVERAGE($D$2:$D$155),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
"Lake Front Home, near the Grand Canyon & Golf",36811937,,97775,110390,380.45,78.83,326,4,2,8,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,314,3,2-5,Luxury,true,175,false,257,43,2026-05-17,Arizona Area,Williams,Williams,Arizona,86046,United States,rural,https://www.airbnb.com/rooms/41799613,https://a0.muscache.com/im/pictures/bb253e6f-5eb1-4843-9d3b-91e646c74dd7.jpg,41799613,650396,35.25144,-112.2206,=AVERAGE($G$2:$G$155),=AVERAGE($D$2:$D$155),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Grand Getaway: Luxury Home with amazing game room!,474060263,,76317,77593,307.73,69.08,359,3,2,8,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,5,188,2,1,Luxury,false,200,true,248,81,2026-05-17,Arizona Area,Williams,Williams,Arizona,86046,United States,rural,https://www.airbnb.com/rooms/662247653651099857,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjYyMjQ3NjUzNjUxMDk5ODU3/original/0c0db13e-9241-4887-a978-7f88bbfb1fd2.jpeg,662247653651099857,2890818,35.25248,-112.22325,=AVERAGE($G$2:$G$155),=AVERAGE($D$2:$D$155),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
6-bedroom log cabin,44924691,,74543,75103,709.93,35.71,363,6,5,16,false,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,4.75,26,2,2-5,Luxury,false,400,false,105,11,2026-05-16,Arizona Area,Williams,Williams,Arizona,86046,United States,rural,https://www.airbnb.com/rooms/733611510180705405,https://a0.muscache.com/im/pictures/miso/Hosting-733611510180705405/original/b50ecd96-02b4-4313-922a-cc88e1b6bde2.jpeg,733611510180705405,,35.35014,-112.16107,=AVERAGE($G$2:$G$155),=AVERAGE($D$2:$D$155),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
