Row,Listing title,Property Manager/Host,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Contact,Website,Email,Social media link,Social media type
2,6 Cabins with Kitchens+Gameroom&Playground,,2218327,Wooden Nickel Cabins,+19284784519,https://woodennickelcabins.com/contact-us/; https://www.expedia.com/Payson-Hotels-Rent-The-Entire-Resort-5-Cabins-Plus-Game-Room.h64902926.Hotel-Information,High,"Exact title match tied the resort listing to Wooden Nickel Cabins, and the official Wooden Nickel contact page lists this phone.",property,Wooden Nickel Cabins,https://woodennickelcabins.com/,,,
3,"7BR Scottsdale Estate w/ Pool, Spa, Golf & 2BR Casita",HolidayRental.com,2417716,,+18005303660,https://www.holidayrental.com/contact/,Medium,Listing is managed by HolidayRental.com and the official HolidayRental contact page lists this phone.,manager,HolidayRental.com,https://www.holidayrental.com/,,,
4,"BIGGEST BEST MANSION In NE Scottsdale Area- VIEWS, Infinity Pool, MOVIE THEATER!",,2563495,The One,+19283161390,https://www.luxxhomevacations.com/; https://www.luxxhomevacations.com/about-us,Medium,"Exact title search matched The One, which is managed by LuXXHome Vacation Rentals, and their official site lists this phone.",manager,LuXXHome Vacation Rentals,https://www.luxxhomevacations.com/,,,
5,Five Star Luxe Private Desert Resort,,2654160,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
6,HÓZHÓ Resort: Private Luxe Estates in Sanctuary,,3293302,HÓZHÓ Scottsdale,+14805040883,https://stayhozho.com/,Medium,Exact brand match to HÓZHÓ Scottsdale and the official HÓZHÓ site lists this phone.,manager,HÓZHÓ Scottsdale,https://stayhozho.com/,,,
7,Brick & Beam A Conservatory by Gathering Tree,,4519123,The Conservatory at Brick & Beam,+19282754032,https://www.gatheringtree.com/the-conservatory-at-brick-beam-orp5b6d6a1x; https://www.gatheringtree.com/availability,High,"Exact title and brand match found the Gathering Tree Brick & Beam property page, and Gathering Tree lists this phone in its public site footer.",manager,Gathering Tree,https://www.gatheringtree.com/the-conservatory-at-brick-beam-orp5b6d6a1x,nicole@gatheringtree.com,,
8,"The Private Paradise Valley Luxe Estate- Casita, Heated Pool, Hot Tub, Views",,4704009,Paradise Canyon Retreat,+14805626226,https://goodnightstay.com/; https://goodnightstay.com/contact-us/,Medium,Listing is managed by GoodNight Stay and the official GoodNight Stay contact page lists this phone.,manager,GoodNight Stay,https://goodnightstay.com/,,,
9,SWSS Premier 10BR Estate | Pool with Swim‑Up Bar | Golf Simulator | Sport Court | Sauna & Col...,Stay With Style Scottsdale,4725986,Elite Retreat,+14808186559,https://www.staywithstylescottsdale.com/listings/elite-retreat/; https://www.staywithstylescottsdale.com/contact-us/,Medium,"Exact title and amenity match tied this listing to SWSS Elite Retreat, and the public Stay With Style contact page lists this phone.",manager,Stay With Style Scottsdale,https://www.staywithstylescottsdale.com/listings/elite-retreat/,office@staywithstylescottsdale.com,,
10,The Blue Cove Oasis | 8 Bedroom 7 Bathroom 17+Beds,,4912289,Blue Cove Mansion,+14804446930,https://lvrstays.com/,Medium,"Exact title match tied Blue Cove to LVRstays, and the official LVRstays site lists Blue Cove Mansion with this phone.",manager,LVRstays,https://lvrstays.com/,alex@lvrstays.com,,
11,The Castle – Northern Arizona's Luxury Estate,66945501,12384486,The Castle,+16024215721,https://surftosummitrentals.com/; https://surftosummitrentals.com/contact-us,High,"Exact title search matched The Castle, which is managed by Surf to Summit Rentals, and their official site lists this phone.",manager,Surf to Summit Rentals,https://surftosummitrentals.com/,aaron@halefamily.com,,
