Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap,Revenue Potential Gap,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Website,Email,Social media link,Social media type
6 Cabins with Kitchens+Gameroom&Playground,,Wooden Nickel Cabins,145895,425551,2559.56,50,136,11,6,34,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,5,1,2,1,Luxury,false,74,true,57,23,2026-05-14,Arizona Area,Payson,Payson,Arizona,85541,United States,mountains_lakes,https://www.vrbo.com/2218327,https://media.vrbo.com/lodging/65000000/64910000/64903000/64902926/da461f6a.jpg?impolicy=resizecrop&rw=1200&ra=fit,,2218327,34.305971,-111.011939,39.69,=AVERAGE($D$2:$D$240),10.31,"=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2,279656,2218327,Wooden Nickel Cabins,+19284784519,https://woodennickelcabins.com/contact-us/; https://www.expedia.com/Payson-Hotels-Rent-The-Entire-Resort-5-Cabins-Plus-Game-Room.h64902926.Hotel-Information,High,"Exact title match tied the resort listing to Wooden Nickel Cabins, and the official Wooden Nickel contact page lists this phone.",property,https://woodennickelcabins.com/,,,
"7BR Scottsdale Estate w/ Pool, Spa, Golf & 2BR Casita",HolidayRental.com,HolidayRental.com,154819,233958,2150.26,44.72,252,8,5,20,true,true,true,true,true,true,true,Home/Apartment,House,House/villa,5,3,3,6-20,Luxury,false,775,true,72,10,2026-05-15,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85254,United States,suburban,https://www.vrbo.com/2417716,https://media.vrbo.com/lodging/71000000/70150000/70144700/70144660/db90670d.jpg?impolicy=resizecrop&rw=1200&ra=fit,,2417716,33.591953,-111.930634,53.10,=AVERAGE($D$2:$D$596),-8.38,"=IFERROR(($AU163-D163)/$AU163,0)",=$AU163-D163,79139,2417716,,+18005303660,https://www.holidayrental.com/contact/,Medium,Listing is managed by HolidayRental.com and the official HolidayRental contact page lists this phone.,manager,https://www.holidayrental.com/,,,
"BIGGEST BEST MANSION In NE Scottsdale Area- VIEWS, Infinity Pool, MOVIE THEATER!",,LuXXHome Vacation Rentals,213163,296464,3229.74,41.51,276,7,5,20,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,12,3,1,Luxury,false,695,true,66,15,2026-05-16,Phoenix/Scottsdale,Fountain Hills,Fountain Hills,Arizona,85268,United States,suburban,https://www.vrbo.com/2563495,https://media.vrbo.com/lodging/74000000/73280000/73273100/73273068/11741500.jpg?impolicy=resizecrop&rw=1200&ra=fit,,2563495,33.595092,-111.725498,35.49,=AVERAGE($D$2:$D$134),6.02,"=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3,83301,2563495,The One,+19283161390,https://www.luxxhomevacations.com/; https://www.luxxhomevacations.com/about-us,Medium,"Exact title search matched The One, which is managed by LuXXHome Vacation Rentals, and their official site lists this phone.",manager,https://www.luxxhomevacations.com/,,,
Five Star Luxe Private Desert Resort,,,263629,292557,3661.51,33.8,338,8,7,20,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,5,8,3,1,Luxury,false,950,true,72,17,2025-11-08,Phoenix/Scottsdale,Cave Creek,Fort Mcdowell,Arizona,85264,United States,suburban,https://www.vrbo.com/2654160,https://media.vrbo.com/lodging/76000000/75200000/75191100/75191030/9bccdc99.jpg?impolicy=resizecrop&rw=1200&ra=fit,,2654160,33.621548,-111.609535,49.30,=AVERAGE($D$2:$D$329),-15.50,"=IFERROR(($AU15-D15)/$AU15,0)",=$AU15-D15,28928,2654160,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,
HÓZHÓ Resort: Private Luxe Estates in Sanctuary,,HÓZHÓ Scottsdale,1803772,2188041,14785.02,40.4,302,26,29,70,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,0,0,2,1,Luxury,false,900,true,122,29,2025-05-06,Phoenix/Scottsdale,Cave Creek,Scottsdale,Arizona,85266,United States,suburban,https://www.vrbo.com/3293302,https://media.vrbo.com/lodging/92000000/91860000/91859900/91859830/3ccd6cb2.jpg?impolicy=resizecrop&rw=1200&ra=fit,,3293302,33.753884,-111.901829,49.30,=AVERAGE($D$2:$D$329),-8.90,"=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2,384269,3293302,HÓZHÓ Scottsdale,+14805040883,https://stayhozho.com/,Medium,Exact brand match to HÓZHÓ Scottsdale and the official HÓZHÓ site lists this phone.,manager,https://stayhozho.com/,,,
Brick & Beam A Conservatory by Gathering Tree,,Gathering Tree,159153,208333,2486.77,25.2,300,10,10,26,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,9,3,1,Luxury,false,675,true,64,22,2026-05-17,Flagstaff,Flagstaff,Flagstaff,Arizona,86001,United States,mid_size_city,https://www.vrbo.com/4519123,https://media.vrbo.com/lodging/115000000/114600000/114594600/114594563/e92dc45b.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4519123,35.182704,-111.64669,40.01,=AVERAGE($D$2:$D$130),-14.81,"=IFERROR(($AU16-D16)/$AU16,0)",=$AU16-D16,49180,4519123,The Conservatory at Brick & Beam,+19282754032,https://www.gatheringtree.com/the-conservatory-at-brick-beam-orp5b6d6a1x; https://www.gatheringtree.com/availability,High,"Exact title and brand match found the Gathering Tree Brick & Beam property page, and Gathering Tree lists this phone in its public site footer.",manager,https://www.gatheringtree.com/the-conservatory-at-brick-beam-orp5b6d6a1x,nicole@gatheringtree.com,,
"The Private Paradise Valley Luxe Estate- Casita, Heated Pool, Hot Tub, Views",,GoodNight Stay,281668,336296,2347.23,55.81,258,5,4,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,4,3,1,Luxury,false,850,true,120,27,2026-05-15,Phoenix/Scottsdale,Paradise Valley,Paradise Valley,Arizona,85253,United States,suburban,https://www.vrbo.com/4704009,https://media.vrbo.com/lodging/119000000/118890000/118885700/118885611/e8391b1e.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4704009,33.565691,-111.976444,52.34,=AVERAGE($D$2:$D$596),3.47,"=IFERROR(($AU57-D57)/$AU57,0)",=$AU57-D57,54628,4704009,Paradise Canyon Retreat,+14805626226,https://goodnightstay.com/; https://goodnightstay.com/contact-us/,Medium,Listing is managed by GoodNight Stay and the official GoodNight Stay contact page lists this phone.,manager,https://goodnightstay.com/,,,
SWSS Premier 10BR Estate | Pool with Swim‑Up Bar | Golf Simulator | Sport Court | Sauna & Col...,Stay With Style Scottsdale,Stay With Style Scottsdale,444694,558020,3800.8,63.59,215,10,12,32,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,6,3,2-5,Luxury,false,1000,true,117,33,2026-05-17,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85260,United States,suburban,https://www.vrbo.com/4725986,https://media.vrbo.com/lodging/120000000/119260000/119256800/119256715/e051752a.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4725986,33.58586,-111.868887,53.10,=AVERAGE($D$2:$D$596),10.49,"=IFERROR(($AU19-D19)/$AU19,0)",=$AU19-D19,113326,4725986,Elite Retreat,+14808186559,https://www.staywithstylescottsdale.com/listings/elite-retreat/; https://www.staywithstylescottsdale.com/contact-us/,Medium,"Exact title and amenity match tied this listing to SWSS Elite Retreat, and the public Stay With Style contact page lists this phone.",manager,https://www.staywithstylescottsdale.com/listings/elite-retreat/,office@staywithstylescottsdale.com,,
The Blue Cove Oasis | 8 Bedroom 7 Bathroom 17+Beds,,LVRstays,100579,180720,1734.12,69.88,95,8,7,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.8,37,3,1,Luxury,false,575,false,58,16,2026-05-16,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85260,United States,suburban,https://www.vrbo.com/4912289,https://media.vrbo.com/lodging/123000000/122060000/122059600/122059518/4606e402.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4912289,33.586483,-111.866646,53.10,=AVERAGE($D$2:$D$596),16.78,"=IFERROR(($AU259-D259)/$AU259,0)",=$AU259-D259,80141,4912289,Blue Cove Mansion,+14804446930,https://lvrstays.com/,Medium,"Exact title match tied Blue Cove to LVRstays, and the official LVRstays site lists Blue Cove Mansion with this phone.",manager,https://lvrstays.com/,alex@lvrstays.com,,
The Castle – Northern Arizona's Luxury Estate,66945501,Surf to Summit Rentals,155037,167597,1211.23,39.75,335,6,5,16,true,false,true,true,true,false,false,Home/Apartment,Castle,Unique,4.8,221,3,2-5,Luxury,true,450,true,128,37,2026-05-16,Flagstaff,Flagstaff,Flagstaff,Arizona,86004,United States,mid_size_city,https://www.airbnb.com/rooms/12384486,https://a0.muscache.com/im/pictures/prohost-api/Hosting-12384486/original/c10c714f-3cb4-4d1a-b7c2-20a624af792e.jpeg,12384486,339521ha,35.1829,-111.5899,43.98,=AVERAGE($D$2:$D$130),-4.23,"=IFERROR(($AU17-D17)/$AU17,0)",=$AU17-D17,12560,12384486,The Castle,+16024215721,https://surftosummitrentals.com/; https://surftosummitrentals.com/contact-us,High,"Exact title search matched The Castle, which is managed by Surf to Summit Rentals, and their official site lists this phone.",manager,https://surftosummitrentals.com/,aaron@halefamily.com,,
Paradise Valley Estate,73347506,,165191,245052,1558.41,73.1,236,5,4,9,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.9,129,4,1,Luxury,false,449,false,106,10,2026-05-11,Phoenix/Scottsdale,Paradise Valley,Paradise Valley,Arizona,85253,United States,suburban,https://www.airbnb.com/rooms/13149139,https://a0.muscache.com/im/pictures/ee15f475-a920-4e19-9ae1-c2edc6b3dd89.jpg,13149139,870735,33.54559,-111.93441,52.34,=AVERAGE($D$2:$D$596),20.76,"=IFERROR(($AU149-D149)/$AU149,0)",=$AU149-D149,79861,13149139,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,
