Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap,Revenue Potential Gap,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Website,Email,Social media link,Social media type
8 Bedroom | Game Room | Gym | Spa | Heated Pool,Resort Style Vacation Homes,,217611,231691,1611.93,42.86,347,8,5,16,true,true,true,true,true,true,true,Home/Apartment,House,House/villa,5,187,3,21+,Luxury,true,1221,true,135,37,2026-05-11,Phoenix/Scottsdale,Cave Creek,Scottsdale,Arizona,85266,United States,suburban,https://www.airbnb.com/rooms/681860,https://a0.muscache.com/im/pictures/miso/Hosting-681860/original/7a1b8964-00c9-442e-8b30-54bd2ee429fa.jpeg,681860,435091,33.72968,-111.91306,49.30,=AVERAGE($D$2:$D$329),-6.44,"=IFERROR(($AU18-D18)/$AU18,0)",=$AU18-D18,14080,681860,8 Bedroom | Game Room | Gym | Spa | Heated Pool,,,,,,,,,
"Epic 7BR Escape w/ Pickleball, Pool, Spa & Unmatched Mountain Views",Revana Realty,,156510,398504,2335.97,31.6,231,7,5,18,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.8,7,3,21+,Luxury,false,800,true,67,19,2026-05-15,Phoenix/Scottsdale,Paradise Valley,Paradise Valley,Arizona,85253,United States,suburban,https://www.vrbo.com/3537353,https://media.vrbo.com/lodging/97000000/96450000/96449700/96449674/35f3ae1c.jpg?impolicy=resizecrop&rw=1200&ra=fit,,3537353,33.540745,-111.975664,53.10,=AVERAGE($D$2:$D$596),-21.50,"=IFERROR(($AU158-D158)/$AU158,0)",=$AU158-D158,241994,3537353,"Epic 7BR Escape w/ Pickleball, Pool, Spa & Unmatched Mountain Views",,,,,,,,,
Luxury 5BD Modern Scottsdale Villa,Absolute Vacation Rental Services,,101304,107713,1777.26,38.78,147,5,4,14,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,0,0,3,21+,Luxury,false,375,true,57,16,2025-04-04,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85254,United States,suburban,https://www.vrbo.com/4167614,https://media.vrbo.com/lodging/109000000/108380000/108375500/108375437/413964fb.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4167614,33.6099,-111.949503,52.34,=AVERAGE($D$2:$D$596),-13.56,"=IFERROR(($AU256-D256)/$AU256,0)",=$AU256-D256,6409,4167614,Luxury 5BD Modern Scottsdale Villa,,,,,,,,,
Luxurious Tuscan Villa by Troon North Golf Courses,Desert Vista Luxury Homes,,124577,132702,1448.57,27.83,341,5,5,12,true,true,true,true,true,false,true,Home/Apartment,Villa,House/villa,5,144,2,21+,Luxury,true,700,false,86,20,2026-05-13,Phoenix/Scottsdale,Cave Creek,Scottsdale,Arizona,85266,United States,suburban,https://www.airbnb.com/rooms/18749072,https://a0.muscache.com/im/pictures/527f1b0a-4d4c-4be8-9e74-ac910ec9ad7c.jpg,18749072,347735,33.74017,-111.91028,44.20,=AVERAGE($D$2:$D$329),-16.37,"=IFERROR(($AU29-D29)/$AU29,0)",=$AU29-D29,8125,18749072,Luxurious Tuscan Villa by Troon North Golf Courses,,,,,,,,,
Private Pool Oasis with Hot Tub & Golf Simulator,Best Arizona Vacation Rentals,,161797,160830,1189.68,42.24,339,6,5,12,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.85,163,4,21+,Luxury,false,525,false,136,33,2026-05-11,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85254,United States,suburban,https://www.airbnb.com/rooms/21026570,https://a0.muscache.com/im/pictures/prohost-api/Hosting-21026570/original/fdd18017-26a3-4f53-aa82-663dfe820552.jpeg,21026570,1183103,33.5853,-111.9516,47.11,=AVERAGE($D$2:$D$596),-4.87,"=IFERROR(($AU154-D154)/$AU154,0)",=$AU154-D154,-967,21026570,Private Pool Oasis with Hot Tub & Golf Simulator,,,,,,,,,
"Paradise Palms | 8BR Estate, Pool & Spa",AZHolidayRental,,102699,386258,3312.87,28.18,237,8,6,16,true,false,true,true,true,true,true,Home/Apartment,Villa,House/villa,4.75,37,3,21+,Luxury,true,884,true,31,6,2026-05-11,Phoenix/Scottsdale,Paradise Valley,Paradise Valley,Arizona,85253,United States,suburban,https://www.airbnb.com/rooms/21394105,https://a0.muscache.com/im/pictures/hosting/Hosting-21394105/original/ddc8f57c-3536-4b0a-998e-99211a40622f.jpeg,21394105,229425ha,33.5723,-111.9567,53.10,=AVERAGE($D$2:$D$596),-24.92,"=IFERROR(($AU252-D252)/$AU252,0)",=$AU252-D252,283559,21394105,"Paradise Palms | 8BR Estate, Pool & Spa",,,,,,,,,
Valley Vista Mansion by Parsons Villas,Parsons Villas,,460085,487513,2690.56,49.14,348,10,8,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.6,87,1,21+,Luxury,false,880,false,171,57,2023-06-01,Phoenix/Scottsdale,Paradise Valley,Paradise Valley,Arizona,85253,United States,suburban,https://www.airbnb.com/rooms/24752438,https://a0.muscache.com/im/pictures/prohost-api/Hosting-24752438/original/4475b43d-d8d1-4d49-b2ec-589da36472a9.jpeg?aki_policy=x_large,24752438,1329525,33.52762,-112.01081,53.10,=AVERAGE($D$2:$D$596),-3.96,"=IFERROR(($AU16-D16)/$AU16,0)",=$AU16-D16,27428,24752438,Valley Vista Mansion by Parsons Villas,,,,,,,,,
5 Acre Estate | Pickleball | Mountain Views | Spa,AZHolidayRental,,133040,139219,1705.64,25,344,9,6,16,true,false,true,true,true,true,false,Home/Apartment,Cabin,House/villa,4.8,53,3,21+,Luxury,true,484,false,78,24,2026-05-13,Arizona Area,Payson,Payson,Arizona,85541,United States,mountains_lakes,https://www.airbnb.com/rooms/26328015,https://a0.muscache.com/im/pictures/hosting/Hosting-26328015/original/ad9249ce-06d8-4d9b-a117-06b949e0fb85.jpeg,26328015,3671734ha,34.2328,-111.3019,39.69,=AVERAGE($D$2:$D$240),-14.69,"=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4,6179,26328015,5 Acre Estate | Pickleball | Mountain Views | Spa,,,,,,,,,
"Paradise Valley Resort Villa | Pool, Spa & Casita",AZHolidayRental,,229000,279764,2862.5,67.23,313,6,5,14,true,false,true,true,true,false,true,Home/Apartment,Villa,House/villa,4.7,7,3,21+,Luxury,true,984,true,80,8,2026-05-11,Phoenix/Scottsdale,Paradise Valley,Paradise Valley,Arizona,85253,United States,suburban,https://www.airbnb.com/rooms/28840109,https://a0.muscache.com/im/pictures/hosting/Hosting-28840109/original/438505f0-0966-4484-8a06-307edcefd088.jpeg,28840109,1449071,33.5343,-111.9283,47.11,=AVERAGE($D$2:$D$596),20.12,"=IFERROR(($AU91-D91)/$AU91,0)",=$AU91-D91,50764,28840109,"Paradise Valley Resort Villa | Pool, Spa & Casita",,,,,,,,,
SWSS Pool • Hot Tub • Putting Green • Games,StayWithStyleScottsdale,,132818,185178,1218.51,45.42,277,7,4,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,151,3,21+,Luxury,true,662,true,109,26,2026-05-13,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85260,United States,suburban,https://www.airbnb.com/rooms/29540629,https://a0.muscache.com/im/pictures/prohost-api/Hosting-29540629/original/c07363ba-3d03-4416-9cb6-80c91ffa1870.jpeg,29540629,773133,33.6001,-111.9101,53.10,=AVERAGE($D$2:$D$596),-7.68,"=IFERROR(($AU193-D193)/$AU193,0)",=$AU193-D193,52360,29540629,SWSS Pool • Hot Tub • Putting Green • Games,,,,,,,,,
