Row,Listing title,Property Manager/Host,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Contact,Website,Email,Social media link,Social media type
2,8 Bedroom | Game Room | Gym | Spa | Heated Pool,Resort Style Vacation Homes,,+16232270127,https://www.resortstyle.com/contact-us; https://www.resortstyle.com/,Medium,Duplicate host group search found Resort Style Vacation Homes' official contact page with a visible phone; reused across same host rows.,manager,Resort Style Vacation Homes,https://www.resortstyle.com/,info@resortstylevacationhomes.com,,
3,"Epic 7BR Escape w/ Pickleball, Pool, Spa & Unmatched Mountain Views",Revana Realty,,+18884751465,https://revanarealty.com/property-management/,Medium,Duplicate host group search found Revana Realty's property management page with a visible phone; reused across same host rows.,manager,Revana Realty,https://revanarealty.com/,Contact@RevanaRealty.com,,
4,Luxury 5BD Modern Scottsdale Villa,Absolute Vacation Rental Services,,+18332417652,https://www.absolutevacationrentals.com/contact-us/,Medium,Host search found Absolute Vacation Rental Services' official contact page with a visible phone.,manager,Absolute Vacation Rental Services,https://www.absolutevacationrentals.com/,,,
5,Luxurious Tuscan Villa by Troon North Golf Courses,Desert Vista Luxury Homes,,+14802005093,https://www.dvluxury.com/,Medium,Duplicate host group search found Desert Vista Luxury Homes' official site with a visible phone; reused across same host rows.,manager,Desert Vista Luxury Homes,https://www.dvluxury.com/,info@dvluxury.com,,
6,Private Pool Oasis with Hot Tub & Golf Simulator,Best Arizona Vacation Rentals,,+14806208307,https://book.bestazrentals.com/; https://bestazrentals.com/,Medium,Host search found Best Arizona Vacation Rentals' direct booking source with a visible phone.,manager,Best Arizona Vacation Rentals,https://bestazrentals.com/,,,
7,"Paradise Palms | 8BR Estate, Pool & Spa",AZHolidayRental,,+18005303660,https://www.holidayrental.com/contact/,Medium,"Duplicate host group search tied AZHolidayRental listings to HolidayRental.com, whose official contact page lists this phone.",manager,HolidayRental.com,https://www.holidayrental.com/,,,
8,Valley Vista Mansion by Parsons Villas,Parsons Villas,,+14807810717,https://parsonsvillas.com/contact-us/,Medium,Duplicate host group search found Parsons Villas' official contact page with a visible phone; reused across same host rows.,manager,Parsons Villas,https://parsonsvillas.com/,,,
9,5 Acre Estate | Pickleball | Mountain Views | Spa,AZHolidayRental,,+18005303660,https://www.holidayrental.com/contact/,Medium,"Duplicate host group search tied AZHolidayRental listings to HolidayRental.com, whose official contact page lists this phone.",manager,HolidayRental.com,https://www.holidayrental.com/,,,
10,"Paradise Valley Resort Villa | Pool, Spa & Casita",AZHolidayRental,,+18005303660,https://www.holidayrental.com/contact/,Medium,"Duplicate host group search tied AZHolidayRental listings to HolidayRental.com, whose official contact page lists this phone.",manager,HolidayRental.com,https://www.holidayrental.com/,,,
11,SWSS Pool • Hot Tub • Putting Green • Games,StayWithStyleScottsdale,,+14808186559,https://www.staywithstylescottsdale.com/contact-us/,Medium,Duplicate host group search found the official Stay With Style Scottsdale contact page with a visible phone; reused across same host rows.,manager,Stay With Style Scottsdale,https://www.staywithstylescottsdale.com/,office@staywithstylescottsdale.com,,
12,SWSS Pool • Sport Court • Games • Sleeps 24,StayWithStyleScottsdale,,+14808186559,https://www.staywithstylescottsdale.com/contact-us/,Medium,Duplicate host group search found the official Stay With Style Scottsdale contact page with a visible phone; reused across same host rows.,manager,Stay With Style Scottsdale,https://www.staywithstylescottsdale.com/,office@staywithstylescottsdale.com,,
13,SWSS Pool • Hot Tub • Putting Green • Sleeps 24,StayWithStyleScottsdale,,+14808186559,https://www.staywithstylescottsdale.com/contact-us/,Medium,Duplicate host group search found the official Stay With Style Scottsdale contact page with a visible phone; reused across same host rows.,manager,Stay With Style Scottsdale,https://www.staywithstylescottsdale.com/,office@staywithstylescottsdale.com,,
14,Entertainer's Paradise | Pool & Splash Pad,AZHolidayRental,,+18005303660,https://www.holidayrental.com/contact/,Medium,"Duplicate host group search tied AZHolidayRental listings to HolidayRental.com, whose official contact page lists this phone.",manager,HolidayRental.com,https://www.holidayrental.com/,,,
15,New Luxury 5 Star Celebrity Estate,Resort Style Vacation Homes,,+16232270127,https://www.resortstyle.com/contact-us; https://www.resortstyle.com/,Medium,Duplicate host group search found Resort Style Vacation Homes' official contact page with a visible phone; reused across same host rows.,manager,Resort Style Vacation Homes,https://www.resortstyle.com/,info@resortstylevacationhomes.com,,
16,Half Million Dollar Pool with Lazy River,Resort Style Vacation Homes,,+16232270127,https://www.resortstyle.com/contact-us; https://www.resortstyle.com/,Medium,Duplicate host group search found Resort Style Vacation Homes' official contact page with a visible phone; reused across same host rows.,manager,Resort Style Vacation Homes,https://www.resortstyle.com/,info@resortstylevacationhomes.com,,
17,Multi Million Dollar Entertainment Oasis,Resort Style Vacation Homes,,+16232270127,https://www.resortstyle.com/contact-us; https://www.resortstyle.com/,Medium,Duplicate host group search found Resort Style Vacation Homes' official contact page with a visible phone; reused across same host rows.,manager,Resort Style Vacation Homes,https://www.resortstyle.com/,info@resortstylevacationhomes.com,,
18,HÓZHÓ Residence on Cholla,217908712,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
19,#1 Best Family Friendly House *Kids & Adults* Wow,Resort Style Vacation Homes,,+16232270127,https://www.resortstyle.com/contact-us; https://www.resortstyle.com/,Medium,Duplicate host group search found Resort Style Vacation Homes' official contact page with a visible phone; reused across same host rows.,manager,Resort Style Vacation Homes,https://www.resortstyle.com/,info@resortstylevacationhomes.com,,
20,Million$Luxury Dream Villa+SportCourt+PuttPutt+Spa,List My Rental Home,,+12174932929,https://www.listmyrentalhome.com/contact,Medium,Duplicate host group search found the official List My Rental Home contact page with a visible phone; reused across same host rows.,manager,List My Rental Home,https://www.listmyrentalhome.com/,gm@listmyrentalhome.com,,
21,"Water Slide & Grotto Pool, Theater, Hot Tub",217908712,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
22,Mountain View Retreat | Theater and Guest House,LuxeKey,,+14803822072,https://www.crunchbase.com/organization/luxekey; https://luxekey.com/,Low,Host search found a third-party business profile phone for LuxeKey and the official LuxeKey site confirmed the matching company.,manager,LuxeKey Vacation Rentals,https://luxekey.com/,,,
23,Magnificent 10 Bedroom Scottsdale AZ Mansion,Resort Style Vacation Homes,,+16232270127,https://www.resortstyle.com/contact-us; https://www.resortstyle.com/,Medium,Duplicate host group search found Resort Style Vacation Homes' official contact page with a visible phone; reused across same host rows.,manager,Resort Style Vacation Homes,https://www.resortstyle.com/,info@resortstylevacationhomes.com,,
24,"Dream Estate with Pool, Hot Tub, lots of Games",I Love Vacations - Scottsdale,,,,,"No confirmed public phone found through title, host, listing ID, or property fingerprint search; phone left blank.",,,,,,
25,HÓZHÓ Residence on Larkspur,15015202,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
26,Relax & Play -Ultimate Retreat- Pickleball & more!,VacayAZ,,+14805901655,https://www.vacayaz.com/contact/,Medium,Duplicate host group search found the official VacayAZ contact page with a visible phone; reused across same host rows.,manager,VacayAZ,https://www.vacayaz.com/,bookings@vacayaz.com,,
27,"7BR Villa De Paradis: Pool, Slide & Ultimate Relax",15015202,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
28,HOZHO Residence on Cholla,15015202,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
29,HOZHO Residence on Cactus,15015202,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
30,Million$ParadiseResort w/Waterslide+Picklebal+Golf,List My Rental Home,,+12174932929,https://www.listmyrentalhome.com/contact,Medium,Duplicate host group search found the official List My Rental Home contact page with a visible phone; reused across same host rows.,manager,List My Rental Home,https://www.listmyrentalhome.com/,gm@listmyrentalhome.com,,
31,Scottsdale Luxury Villa | Resort Pool & Spa,AZHolidayRental,,+18005303660,https://www.holidayrental.com/contact/,Medium,"Duplicate host group search tied AZHolidayRental listings to HolidayRental.com, whose official contact page lists this phone.",manager,HolidayRental.com,https://www.holidayrental.com/,,,
32,"Entertainment Galore! Heated Pool, Spa, Game Room",HÁZ Vacation Rentals,,+14806258631,https://www.hazvacationrentals.com/contact-us/,Medium,Host search found HAZ Vacation Rentals' official contact page with a visible phone.,manager,HAZ Vacation Rentals,https://www.hazvacationrentals.com/,support@hazvacationrentals.com,,
33,Luxury Desert Oasis+Sport Court+Theater+Golf+ Spa,List My Rental Home,,+12174932929,https://www.listmyrentalhome.com/contact,Medium,Duplicate host group search found the official List My Rental Home contact page with a visible phone; reused across same host rows.,manager,List My Rental Home,https://www.listmyrentalhome.com/,gm@listmyrentalhome.com,,
