Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude
Dwa Chandra Villas & Retreats on River Gorge,516924025,,10056072452,14412872989,46341347.71,94.35,230,10,9,16,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Home/Apartment,Villa,House/villa,5,8,4,6-20,Luxury,FALSE,0,FALSE,217,33,2026-05-24,,,Bali,,,Indonesia,,https://www.airbnb.com/rooms/901870587895948173,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6OTAxODcwNTg3ODk1OTQ4MTcz/original/2a55c815-ac53-42c2-8286-82a68b15d14e.jpeg,901870587895948173,,-8.5154,115.2889
Family and Friends - All-In-Villa Perfect Getaway!,Élite Bali Villas HVR,,5298435141,6213612512,47307456.62,39.72,304,10,10,16,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Home/Apartment,House,House/villa,0,0,3,21+,Luxury,FALSE,0,TRUE,112,23,2026-05-19,,,Bali,,,Indonesia,,https://www.airbnb.com/rooms/1212070302376099577,https://a0.muscache.com/im/pictures/miso/Hosting-1212070302376099577/original/629aaf91-b0f7-4088-8acd-81701e5bf940.jpeg,1212070302376099577,,-8.687492565,115.163827
Luxury 8 BR Heart of Seminyak,367002556,,3839009763,4577541530,36561997.74,36.59,301,8,8,16,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Home/Apartment,House,House/villa,5,1,2,21+,Luxury,TRUE,0,FALSE,105,23,2026-05-19,,,Bali,,,Indonesia,,https://www.airbnb.com/rooms/896641021643762034,https://a0.muscache.com/im/pictures/99a667d8-eb8e-4127-bc99-4cafba17a079.jpg,896641021643762034,,-8.68963,115.16476
Ahura 5BR Oceanview in Bingin Uluwatu,652507315,,3507933479,4110552869,12709903.91,90.79,304,5,6,10,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Home/Apartment,Villa,House/villa,5,27,2,21+,Upscale,TRUE,0,TRUE,276,72,2026-05-24,,,Bali,,,Indonesia,,https://www.airbnb.com/rooms/1247626650107343534,https://a0.muscache.com/im/pictures/miso/Hosting-1247626650107343534/original/fba38b97-f2cf-417b-8f2c-153e44b1b687.jpeg,1247626650107343534,20227537ha,-8.803295933,115.119114
High-end Luxury Villa at the heart of canggu,55505469,,3384272755,4481570246,169213637.8,40,92,6,7,12,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Home/Apartment,House,House/villa,0,0,3,21+,Luxury,FALSE,0,FALSE,20,2,2026-05-19,,,Bali,,,Indonesia,,https://www.airbnb.com/rooms/1569250529704695522,https://a0.muscache.com/im/pictures/hosting/Hosting-1569246576039395164/original/44d591d2-7764-4441-b0a6-34c4f25e9c88.jpeg,1569250529704695522,,-8.65718,115.12862
"Luxury 8 BR Heart of Seminyak with Gym,Spa,Cinema",367002556,,2917442521,3655410994,31370349.69,33.94,289,8,8,16,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Home/Apartment,Villa,House/villa,0,0,2,21+,Luxury,TRUE,35205.9,FALSE,93,19,2026-05-19,,,Bali,,,Indonesia,,https://www.airbnb.com/rooms/641604297369232743,https://a0.muscache.com/im/pictures/a749cf75-f6cd-489e-95c3-9931fbbde7b0.jpg,641604297369232743,,-8.68834,115.16296
Baliwood Bingin,675253130,,2832807538,4454004027,57812398.73,34.75,316,14,15,16,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Home/Apartment,House,House/villa,0,0,1,6-20,Luxury,FALSE,0,FALSE,49,6,2026-05-21,,,Bali,,,Indonesia,,https://www.airbnb.com/rooms/1344383971739728279,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM0NDM4Mzk3MTczOTcyODI3OQ==/original/dc55cc68-ea09-4c20-917d-18de162564ca.jpeg,1344383971739728279,,-8.8155,115.1156
"Luxury 7 BR Heart of Seminyak with Gym,Spa,Cinema",367002556,,2687371965,3371985896,28896472.74,33.94,289,7,7,16,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Home/Apartment,Villa,House/villa,0,0,2,21+,Luxury,TRUE,0,FALSE,93,19,2026-05-19,,,Bali,,,Indonesia,,https://www.airbnb.com/rooms/641651887055497483,https://a0.muscache.com/im/pictures/a749cf75-f6cd-489e-95c3-9931fbbde7b0.jpg,641651887055497483,,-8.68982,115.16347
Grand Villa Uluwatu Ocean View 12 BR +1 extra,387974566,,2590133269,3295677108,22328735.08,39.32,295,12,14,16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Home/Apartment,Villa,House/villa,4.65,9,2,21+,Luxury,TRUE,0,FALSE,116,41,2026-05-19,,,Bali,,,Indonesia,,https://www.airbnb.com/rooms/706255142428748364,https://a0.muscache.com/im/pictures/eda62617-ae99-4c97-85f8-09e81d184ac6.jpg,706255142428748364,,-8.84107,115.139
"The Palm House, Luxury 5 bedrooms villa with 40m infinity pool & dedicated staff",,,2471489386,2678306445,23764321.02,52.26,199,5,6,12,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Home/Apartment,House,House/villa,5,1,2,1,Luxury,FALSE,440073.75,TRUE,104,19,2026-05-19,,,Bali,,,Indonesia,,https://www.vrbo.com/4683281ha,https://media.vrbo.com/lodging/22000000/21630000/21626200/21626189/1c73f20b.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4683281ha,-8.62373,115.136644
