Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Whitewater Estate! The Grand South Main Residence!,Renjoy,,339943,361028,1343.65,74.41,340,6,6,16,true,false,true,true,false,false,false,Home/Apartment,Villa,House/villa,5,7,2,21+,Luxury,false,885,false,253,83,2026-05-11,Colorado Area,Buena Vista,Buena Vista,Colorado,81211,United States,mountains_lakes,https://www.airbnb.com/rooms/1213210134886246755,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1213210134886246755/original/71b2343f-c474-4b14-be53-11bc9aedff9d.jpeg,1213210134886246755,,38.8421,-106.1224,=AVERAGE($G$2:$G$182),=AVERAGE($D$2:$D$182),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Whitewater Villa! Signature BV South Main Manor!,Renjoy,,230670,248839,1288.66,54.24,330,5,5,16,true,false,true,true,false,false,false,Home/Apartment,House,House/villa,4.85,36,2,21+,Luxury,true,684,false,179,55,2026-05-11,Colorado Area,Buena Vista,Buena Vista,Colorado,81211,United States,mountains_lakes,https://www.airbnb.com/rooms/1213251972621526514,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1213251972621526514/original/b52a8c81-1ec9-4701-a9b8-e126f8d0c2a7.jpeg,1213251972621526514,4126385,38.8421,-106.1224,=AVERAGE($G$2:$G$182),=AVERAGE($D$2:$D$182),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Whitewater Villa! Signature BV South Main Manor!,Renjoy,,205107,212575,1041.15,56.45,349,5,5,20,true,false,true,true,false,false,false,Home/Apartment,House,House/villa,5,9,3,21+,Luxury,false,350,true,197,57,2026-05-17,Colorado Area,Buena Vista,Buena Vista,Colorado,81211,United States,mountains_lakes,https://www.vrbo.com/4126387,https://media.vrbo.com/lodging/108000000/107380000/107376900/107376817/07370a99.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4126387,38.842085,-106.122388,=AVERAGE($G$2:$G$182),=AVERAGE($D$2:$D$182),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Grand Riverfront Retreat + Studio,130957760,,181639,210786,1094.21,55.89,313,5,4,10,false,false,false,true,true,true,false,Home/Apartment,House,House/villa,4.95,45,2,6-20,Luxury,false,552,true,166,45,2026-05-11,Colorado Area,Buena Vista,Buena Vista,Colorado,81211,United States,mountains_lakes,https://www.airbnb.com/rooms/897687977728480797,https://a0.muscache.com/im/pictures/miso/Hosting-897687977728480797/original/18fb6e96-5a2b-4f96-bfaa-e056aef9f99d.jpeg,897687977728480797,,38.83074,-106.11257,=AVERAGE($G$2:$G$182),=AVERAGE($D$2:$D$182),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Casa Del Rio | Riverfront Retreat Hot Tub #020796,475335261,,166814,215769,738.12,76.09,297,4,3,8,false,false,false,false,false,true,false,Home/Apartment,House,House/villa,4.95,149,2,1,Luxury,true,301,true,226,60,2026-05-17,Colorado Area,Buena Vista,Buena Vista,Colorado,81211,United States,mountains_lakes,https://www.airbnb.com/rooms/694940773293539741,https://a0.muscache.com/im/pictures/prohost-api/Hosting-694940773293539741/original/be27ad0f-e4e0-4981-ba9c-5667ee3f3128.jpeg,694940773293539741,2961285,38.768,-106.0974,=AVERAGE($G$2:$G$182),=AVERAGE($D$2:$D$182),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Casa Immaculata on Chalk Creek w/ Views!,Evolve,,162763,175984,968.83,50,336,5,3,14,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.85,143,2,21+,Luxury,true,356,true,168,50,2026-05-11,Colorado Area,Buena Vista,Nathrop,Colorado,81236,United States,mountains_lakes,https://www.airbnb.com/rooms/36277097,https://a0.muscache.com/im/pictures/prohost-api/Hosting-36277097/original/60c7dfbb-95f9-4ef2-bcd0-3ca8172a9700.jpeg,36277097,7918605ha,38.7142,-106.205,=AVERAGE($G$2:$G$182),=AVERAGE($D$2:$D$182),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Merrifield Cabin on Creek & Private Hot-Springs,54894696,,151775,165168,662.77,68.15,336,2,1,4,false,false,true,true,true,true,false,Home/Apartment,Cabin,House/villa,4.95,289,1,2-5,Luxury,true,152,false,229,95,2026-05-17,Colorado Area,Buena Vista,Buena Vista,Colorado,81211,United States,mountains_lakes,https://www.airbnb.com/rooms/15483944,https://a0.muscache.com/im/pictures/6d385e5a-2bd9-4916-aa08-ed7a4252fed4.jpg,15483944,4448096ha,38.81199,-106.22579,=AVERAGE($G$2:$G$182),=AVERAGE($D$2:$D$182),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
"Casa Del Rio hot tub, sauna, movie theater #020796",,,141446,239767,785.81,77.25,233,4,3,8,true,false,true,true,false,true,false,Home/Apartment,House,House/villa,5,39,2,1,Luxury,false,300,true,180,48,2026-05-16,Colorado Area,Buena Vista,Buena Vista,Colorado,81211,United States,mountains_lakes,https://www.vrbo.com/3826711,https://media.vrbo.com/lodging/102000000/101980000/101973500/101973476/w1200h784x6y0-169f48c4.jpg?impolicy=resizecrop&rw=1200&ra=fit,,3826711,38.767963,-106.097194,=AVERAGE($G$2:$G$182),=AVERAGE($D$2:$D$182),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
"Escape to an Extraordinary Log Home, amazing views, hot tub, secluded, tranquil",,,135451,163602,591.49,73.4,312,4,3,10,false,false,true,true,true,false,false,Home/Apartment,Cabin,House/villa,5,383,2,1,Luxury,false,350,true,229,62,2026-05-17,Colorado Area,Buena Vista,Buena Vista,Colorado,81211,United States,mountains_lakes,https://www.vrbo.com/515634,https://media.vrbo.com/lodging/28000000/27130000/27130000/27129934/36621323.jpg?impolicy=resizecrop&rw=1200&ra=fit,,515634,38.848021,-106.183976,=AVERAGE($G$2:$G$182),=AVERAGE($D$2:$D$182),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Riverfront Retreat w/ Mountain Views,130957760,,131871,151058,757.88,55.06,316,4,3,9,false,false,false,true,true,true,false,Home/Apartment,House,House/villa,4.95,65,2,6-20,Luxury,false,400,true,174,49,2026-05-11,Colorado Area,Buena Vista,Buena Vista,Colorado,81211,United States,mountains_lakes,https://www.airbnb.com/rooms/831810305493022983,https://a0.muscache.com/im/pictures/miso/Hosting-831810305493022983/original/3ab30f2f-000b-4ec5-a486-df82c51d99b6.jpeg,831810305493022983,3337069,38.83192,-106.11114,=AVERAGE($G$2:$G$182),=AVERAGE($D$2:$D$182),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
