Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Carolina in the Pines - 12 BR/12.5 Bth - sleeps 28,22811410,,238266,327642,2127.38,60.87,268,12,12,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,79,5,6-20,Luxury,false,699,false,112,10,2026-05-15,Frisco/Silverthorne,Dillon,Silverthorne,Colorado,80498,United States,mountains_lakes,https://www.airbnb.com/rooms/23393497,https://a0.muscache.com/im/pictures/32089302-d4ab-42f7-bacc-69ae16ed0f3e.jpg,23393497,13074,39.62626,-106.06326,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Gold Run Single Family in coveted neighborhood.,225636924,,53692,53692,1789.73,52.63,71,5,4,12,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,0,6,4,2-5,Luxury,false,0,true,30,1,2025-11-16,Frisco/Silverthorne,Dillon,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/1552428040767257633,https://a0.muscache.com/im/pictures/be48a5f4-5e2b-4b0a-82f6-ccd876578c6c.jpg,1552428040767257633,1839788,39.63031,-106.04257,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Lake Dillon Views -FREE Ski Pass,233396607,,31613,43872,554.61,32.57,267,2,2,6,false,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,5,62,2,2-5,Luxury,false,174,false,57,14,2026-05-16,Frisco/Silverthorne,Dillon,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/762121025026706863,https://a0.muscache.com/im/pictures/miso/Hosting-762121025026706863/original/9e8e8610-d060-4bb4-bcc2-12b95bd67150.jpeg,762121025026706863,49997,39.62633,-106.05242,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Views of Lake Dillon,Central location w/ Hot tub!",Book by Owner Dillon,,21392,37605,548.51,76.47,56,2,2,4,false,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.9,6,3,21+,Luxury,true,589,false,39,8,2026-05-15,Frisco/Silverthorne,Dillon,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/1432100701880599533,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1432100701880599533/original/6d2632cf-1c6e-41ec-b73a-3e998de1019e.jpeg,1432100701880599533,2592896,39.6303,-106.0434,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Dillon Reservoir On-Site: Central & Scenic Condo!,Evolve,,0,13119,0,0,28,3,2,6,false,false,false,true,true,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.35,15,4,21+,Luxury,false,295,true,0,0,2026-05-14,Frisco/Silverthorne,Dillon,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/26057977,https://a0.muscache.com/im/pictures/prohost-api/Hosting-26057977/original/f86429e5-81ea-4702-b8ed-b077ffb8ebfb.jpeg,26057977,7144797ha,39.6304,-106.0394,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Beautiful NEW 3 BR Home - Keystone/A Basin 5 Star,63796482,,0,19434,0,0,23,3,2,4,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,3,30,1,Luxury,false,250,false,0,0,2025-12-26,Frisco/Silverthorne,Dillon,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/52426577,https://a0.muscache.com/im/pictures/2cec6a18-3d35-4096-ad15-b1619b88e9a9.jpg,52426577,3716815,39.59178,-105.99745,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Ensign | 4 Bedroom House,71119572,,0,0,0,0,1,4,4,8,false,true,true,true,true,false,true,Home/Apartment,House,House/villa,5,8,4,6-20,Luxury,true,550,false,0,0,2025-07-23,Frisco/Silverthorne,Dillon,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/53841687,https://a0.muscache.com/im/pictures/miso/Hosting-53841687/original/d5818dbf-b5bf-44c3-b5b9-3e5afaf69454.jpeg,53841687,2777825,39.6242,-106.02639,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
House close to Keystone.,417799283,,0,0,0,0,61,3,3,8,false,false,false,true,false,false,false,Home/Apartment,House,House/villa,0,0,4,2-5,Luxury,false,250,false,0,0,2025-05-04,Frisco/Silverthorne,Dillon,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/553546283785463385,https://a0.muscache.com/im/pictures/99750cf8-1100-4b60-adc9-9895a50c810a.jpg,553546283785463385,2661437,39.59173,-105.99843,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Elegant Lake & Ski Home: Luxury Penthouse,34532975,,0,4831,0,0,198,2,2,4,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.65,3,1,6-20,Luxury,false,150,false,0,0,2026-05-13,Frisco/Silverthorne,Dillon,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/6600906,https://a0.muscache.com/im/pictures/83495830/11f9b0a1_original.jpg,6600906,,39.6307,-106.0404,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Charming townhouse on the shores of Lake Dillon,,,0,0,0,0,365,2,2,6,false,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,4,30,1,Luxury,false,0,true,0,0,2026-05-13,Frisco/Silverthorne,Dillon,Dillon,Colorado,80435,United States,mountains_lakes,https://www.vrbo.com/31621,https://media.vrbo.com/lodging/31000000/30750000/30748000/30747916/2bad6f93.jpg?impolicy=resizecrop&rw=1200&ra=fit,,31621,39.633172,-106.046995,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
