Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
"Steps from Slopes, Award Winning Modern Luxury!",Summit Luxury Estates,,838142,897806,7619.47,46.81,333,5,5,14,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,96,1,21+,Luxury,true,4832,true,110,21,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/592862494276217958,https://a0.muscache.com/im/pictures/prohost-api/Hosting-592862494276217958/original/4ef61417-4ced-4463-8aac-4be36bbbcda8.jpeg,592862494276217958,2732999,39.4984,-106.1767,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
"Snow Maker Manor: Pet-Friendly, True Ski-in/Out, H",River Ridge Rentals,,430829,538617,3682.3,48.75,282,7,7,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,120,2,21+,Luxury,true,1723,true,117,23,2026-05-13,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/37114520,https://a0.muscache.com/im/pictures/prohost-api/Hosting-37114520/original/14643753-54dd-46e8-96c6-a76d29e18ab9.jpeg,37114520,7863719ha,39.49904,-106.17029,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
"Grand Timbers – Largest Home in Copper, Ski-In/Out",153911362,,418936,495825,2909.28,51.8,301,11,11,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,30,3,6-20,Luxury,false,1000,true,144,30,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/1373965059648423617,https://a0.muscache.com/im/pictures/miso/Hosting-1373965059648423617/original/8b5d85af-b3c8-4ccb-af04-e6116f6f1c5d.jpeg,1373965059648423617,3924865,39.4997471852,-106.1682497496,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Summit Grove Lodge | Ski in/out, Hot Tub + Theater",153911362,,416496,456585,2795.28,55.6,313,8,8,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,28,3,6-20,Luxury,false,950,true,149,32,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/1373957149123364574,https://a0.muscache.com/im/pictures/miso/Hosting-1373957149123364574/original/d38ffaa4-f99a-47fd-b92b-33f95e27f1f8.jpeg,1373957149123364574,2808785,39.4983429138,-106.1669592623,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Altitude Adjustment | True Copper Mountain Luxury,153911362,,404210,447586,2846.55,49.48,327,7,8,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,64,3,6-20,Luxury,false,949,false,142,28,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/33492793,https://a0.muscache.com/im/pictures/hosting/Hosting-33492793/original/08dd5cf5-66cb-47f7-8082-9f6ac5450792.jpeg,33492793,1718907,39.4978269843,-106.1756634222,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Heavens Gate| Ski in/out & Hot Tub | Silvercrest,153911362,,370657,473501,3013.47,44.89,293,8,9,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,21,3,6-20,Luxury,false,949,true,123,25,2026-05-17,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/1373909743836613038,https://a0.muscache.com/im/pictures/miso/Hosting-1373909743836613038/original/1511276b-7d97-4446-a0e6-68c84a93f406.jpeg,1373909743836613038,4213307,39.5002909132,-106.1682574607,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
"Skibakken Chalet: Ski-in/out, Panoramic Deck Views",River Ridge Rentals,,322825,647562,3797.94,59.44,195,5,7,12,false,true,true,true,true,true,false,Home/Apartment,House,House/villa,5,10,1,21+,Luxury,true,1392,true,85,14,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/1258822383529413128,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1258822383529413128/original/0dd8f68d-7b53-4d37-9c24-f1a24cc98f28.jpeg,1258822383529413128,20054740ha,39.4962531622,-106.1421291724,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
"MS316G - Condo 1 Bed plus loft, Updated Top Floor",Bighorn Rentals of Summit County,,310124,316510,5002,100,218,1,1,6,false,false,true,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.65,27,5,21+,Luxury,true,195,true,62,1,2025-11-21,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/24989731,https://a0.muscache.com/im/pictures/prohost-api/Hosting-24989731/original/29f33722-ee2c-47db-8df9-542bc1868499.jpeg,24989731,1383319,39.5689468118,-106.0957846066,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Lumber Jack Lodge: Spacious Ski-In/Out Home w/ Hot,River Ridge Rentals,,301764,502344,3079.22,49.49,264,7,7,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.6,125,2,21+,Luxury,true,1244,true,98,18,2026-05-17,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/24984189,https://a0.muscache.com/im/pictures/prohost-api/Hosting-24984189/original/4ba35df6-2d2a-4223-9e7a-3a9a132d617d.jpeg,24984189,170415ha,39.49739,-106.17363,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
True Ski-In/Out Custom Home - Pinnacle Lodge,153911362,,293592,309391,2669.02,46.41,318,6,7,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,73,3,6-20,Luxury,false,949,true,110,24,2026-05-14,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/1373953862181546318,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1373953862181546318/original/6c8d8a3a-8054-4802-a4f5-5b170b70ec4f.jpeg,1373953862181546318,310703,39.4997720322,-106.1693909797,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
