Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Compound on Lake - Gameroom/Dock/Pool/Hot tub - Sleeps 37,,,247609,302204,1491.62,58.45,291,9,8,37,true,false,false,false,false,false,true,Home/Apartment,House,House/villa,5,2,3,1,Luxury,false,400,true,166,43,2026-05-14,Grand Lake O' the Cherokees,Vinita,Vinita,Oklahoma,74301,United States,mountains_lakes,https://www.vrbo.com/4191722,https://media.vrbo.com/lodging/109000000/108900000/108890500/108890411/w1434h894x0y0-c3d23b25.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4191722,36.499463,-95.041961,=AVERAGE($G$2:$G$203),=AVERAGE($D$2:$D$203),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
The Grove Estate on Grand Lake - 2 hot tubs & pool,43027192,,172127,173678,1870.95,33.7,354,10,7,16,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,5,45,1,6-20,Luxury,true,398,false,92,24,2026-05-16,Grand Lake O' the Cherokees,Grove,Grove,Oklahoma,74344,United States,mountains_lakes,https://www.airbnb.com/rooms/905812048620576717,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6OTA1ODEyMDQ4NjIwNTc2NzE3/original/79a7cc07-4757-4954-94f9-1a12db41fb3e.jpeg,905812048620576717,4141100,36.6095,-94.8095,=AVERAGE($G$2:$G$203),=AVERAGE($D$2:$D$203),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Unbelievable lake or golf course views from every,376490539,,155213,160699,1282.75,40.33,343,5,5,14,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.8,20,2,21+,Luxury,true,500,true,121,40,2026-05-13,Grand Lake O' the Cherokees,Afton,Afton,Oklahoma,74331,United States,mountains_lakes,https://www.airbnb.com/rooms/842905700266207391,https://a0.muscache.com/im/pictures/prohost-api/Hosting-842905700266207391/original/c19c5379-214b-4211-8879-f9f3c3be3521.jpeg,842905700266207391,3291767,36.5774,-94.8501,=AVERAGE($G$2:$G$203),=AVERAGE($D$2:$D$203),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Monkey Island Club & Court House (44X20 BOAT SLIP),394026048,,136478,141291,1819.71,36.95,360,5,4,16,true,true,true,true,true,false,false,Home/Apartment,House,House/villa,5,4,3,6-20,Luxury,false,2,false,75,14,2026-05-17,Grand Lake O' the Cherokees,Afton,Afton,Oklahoma,74331,United States,mountains_lakes,https://www.airbnb.com/rooms/1424788301423177944,https://a0.muscache.com/im/pictures/hosting/Hosting-1424788301423177944/original/556b9847-10b3-4cb7-b96d-1ddb86d58224.jpeg,1424788301423177944,4617901,36.5725266301,-94.8549106832,=AVERAGE($G$2:$G$203),=AVERAGE($D$2:$D$203),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Great Location! Lakefront  Modern Home!,376490539,,98137,103549,1344.34,30.42,354,5,4,16,true,false,false,true,false,false,false,Home/Apartment,House,House/villa,5,11,2,21+,Luxury,true,476,false,73,23,2026-05-16,Grand Lake O' the Cherokees,Afton,Afton,Oklahoma,74331,United States,mountains_lakes,https://www.airbnb.com/rooms/809371569296052032,https://a0.muscache.com/im/pictures/prohost-api/Hosting-809371569296052032/original/93606b67-3114-4f10-8d8c-f79d6eff8775.jpeg,809371569296052032,3214423,36.5769,-94.85,=AVERAGE($G$2:$G$203),=AVERAGE($D$2:$D$203),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
SummerHill Ranch at Grand Lake 32 Acres/ Boat Slip,153570399,,92781,168177,1364.43,50.75,245,8,8,15,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,5,17,4,2-5,Luxury,true,0,false,68,9,2026-05-11,Grand Lake O' the Cherokees,Grove,Grove,Oklahoma,74344,United States,mountains_lakes,https://www.airbnb.com/rooms/908869996573655158,https://a0.muscache.com/im/pictures/miso/Hosting-908869996573655158/original/21c7b556-813c-41e0-af07-27ec769543b9.jpeg,908869996573655158,,36.5563,-94.80155,=AVERAGE($G$2:$G$203),=AVERAGE($D$2:$D$203),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
New Monkey Island Modern Lodge Retreat w/Hot Tub!,Grand Life Vacation Rentals,,90332,106025,1348.24,25.38,306,5,4,16,true,false,true,true,false,false,true,Home/Apartment,House,House/villa,4.95,16,2,6-20,Luxury,true,525,true,67,24,2026-03-14,Grand Lake O' the Cherokees,Afton,Afton,Oklahoma,74331,United States,mountains_lakes,https://www.airbnb.com/rooms/1122743877525946353,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1122743877525946353/original/7f016f48-7b10-49b5-94fe-c216e947afa6.jpeg,1122743877525946353,3918269,36.6211,-94.8826,=AVERAGE($G$2:$G$203),=AVERAGE($D$2:$D$203),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Events welcome! Three homes for Large Groups!,376490539,,86310,111780,1215.63,32.42,321,3,5,16,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,1,2,21+,Luxury,true,800,false,71,19,2026-05-14,Grand Lake O' the Cherokees,Afton,Afton,Oklahoma,74331,United States,mountains_lakes,https://www.airbnb.com/rooms/1365432367065211355,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1365432367065211355/original/d759d749-e9f2-41a8-b616-4aaa1ecdc710.jpeg,1365432367065211355,4455932,36.5803,-94.8639,=AVERAGE($G$2:$G$203),=AVERAGE($D$2:$D$203),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Beautiful Monkey Island Lake Front Home W/ Dock,412090901,,86119,86838,828.07,32.4,344,4,3,12,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.9,34,3,1,Luxury,false,295,true,104,28,2026-05-13,Grand Lake O' the Cherokees,Afton,Afton,Oklahoma,74331,United States,mountains_lakes,https://www.airbnb.com/rooms/570890232127039722,https://a0.muscache.com/im/pictures/miso/Hosting-570890232127039722/original/e5104e53-773d-4fa9-8a23-de1cca9fff2a.png,570890232127039722,2683895,36.5742,-94.8632,=AVERAGE($G$2:$G$203),=AVERAGE($D$2:$D$203),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
The Point Property at DreamCatcher Resorts,172177675,,76556,82863,2392.38,23.19,358,12,7,16,true,true,true,true,true,false,false,Home/Apartment,House,House/villa,4.85,31,3,2-5,Luxury,false,350,true,32,9,2023-01-18,Grand Lake O' the Cherokees,Eucha,Eucha,Oklahoma,74342,United States,mountains_lakes,https://www.airbnb.com/rooms/30150045,https://a0.muscache.com/im/pictures/c1927742-6d1b-40ec-b21b-0c0a126579a0.jpg?aki_policy=x_large,30150045,3007693ha,36.49314,-94.97598,=AVERAGE($G$2:$G$203),=AVERAGE($D$2:$D$203),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
Duck Creek Luxury Waterfront Retreat,366618033,,75261,87316,1175.95,22.54,322,8,8,16,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,4.85,18,2,6-20,Luxury,false,285,false,64,23,2026-05-16,Grand Lake O' the Cherokees,Afton,Afton,Oklahoma,74331,United States,mountains_lakes,https://www.airbnb.com/rooms/1364597245549268901,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1364597245549268901/original/d92e8aae-303b-436b-befe-1fc5cfbb67da.jpeg,1364597245549268901,4453062,36.5311514636,-94.9734471965,=AVERAGE($G$2:$G$203),=AVERAGE($D$2:$D$203),"=IFERROR(($AT12-G12)/$AT12,0)","=IFERROR(($AU12-D12)/$AU12,0)",=$AU12-D12
The Monkey Island Club House,394026048,,70339,102730,1496.57,41.59,133,3,3,12,true,true,true,true,true,false,false,Home/Apartment,House,House/villa,0,0,2,6-20,Luxury,false,0,false,47,9,2025-08-25,Grand Lake O' the Cherokees,Afton,Afton,Oklahoma,74331,United States,mountains_lakes,https://www.airbnb.com/rooms/1422712935260308710,https://a0.muscache.com/im/pictures/miso/Hosting-1422712935260308710/original/05f7d8d5-a336-4a30-850e-60fc5e3961d3.jpeg,1422712935260308710,,36.5708287269,-94.8549865912,=AVERAGE($G$2:$G$203),=AVERAGE($D$2:$D$203),"=IFERROR(($AT13-G13)/$AT13,0)","=IFERROR(($AU13-D13)/$AU13,0)",=$AU13-D13
