Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Star Mtn Lodge•Sleeps23•Grotto•Theater•Gym,HFTH,,665941,793741,2845.9,77.48,302,9,10,16,false,true,true,true,true,true,false,Home/Apartment,House,House/villa,5,206,2,21+,Luxury,true,1130,false,234,64,2026-05-17,Frisco/Silverthorne,Keystone,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/675452527722518295,https://a0.muscache.com/im/pictures/prohost-api/Hosting-675452527722518295/original/124b0a58-f78c-4a62-9ea3-feb4ad9bc8b2.jpeg,675452527722518295,2916664,39.6014,-105.9876,=AVERAGE($G$2:$G$439),=AVERAGE($D$2:$D$439),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
"Crown Jewel of Keystone | Pool, Gym, Sleeps 19",AvantStay,,491082,566199,3252.2,51.01,300,7,12,16,false,true,true,true,true,true,true,Home/Apartment,House,House/villa,5,25,2,21+,Luxury,false,2120,true,151,36,2026-05-14,Frisco/Silverthorne,Keystone,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/1374660213903264050,https://a0.muscache.com/im/pictures/hosting/Hosting-1374660213903264050/original/fe36429b-ab22-4f17-ba9e-20925276d470.jpeg,1374660213903264050,4477258,39.60612,-105.97081,=AVERAGE($G$2:$G$439),=AVERAGE($D$2:$D$439),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
The Country Club • Lux • Sleeps 19 $0 Cleaning Fee,HFTH,,415703,499170,1989.01,69.44,301,8,6,16,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,5,102,2,21+,Luxury,true,1005,false,209,59,2026-05-17,Frisco/Silverthorne,Keystone,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/1061060651261837058,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1061060651261837058/original/3e9586d4-066b-445c-b1d8-57e80e6b866f.png,1061060651261837058,3790080,39.6023,-105.9874,=AVERAGE($G$2:$G$439),=AVERAGE($D$2:$D$439),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Soda Ridge 1608,Summit County Mountain Retreats,,304444,320874,2306.39,39.29,351,8,7,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.45,272,2,21+,Luxury,false,797,true,132,44,2026-05-11,Frisco/Silverthorne,Keystone,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/5546733,https://a0.muscache.com/im/pictures/miso/Hosting-5546733/original/7da71c24-1e80-4bb2-a667-b65bd2aadd49.jpeg,5546733,168910,39.6002,-105.9806,=AVERAGE($G$2:$G$439),=AVERAGE($D$2:$D$439),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
"Amazing New Home, Hot Tub, Near Village",SummitCove,,276177,321495,2076.52,52.78,312,5,5,16,false,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,11,3,21+,Luxury,true,933,false,133,22,2026-05-13,Frisco/Silverthorne,Keystone,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/806139940857685012,https://a0.muscache.com/im/pictures/prohost-api/Hosting-806139940857685012/original/136b5817-78da-4894-98c0-66c6b3353cd2.jpeg,806139940857685012,3205493,39.607,-105.936,=AVERAGE($G$2:$G$439),=AVERAGE($D$2:$D$439),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Luxury Ski-In/Out 3 Bedroom Kindred Residence at the River Run Gondola,Gondola Resorts,,258111,366552,3852.4,72.83,104,3,3,8,true,true,true,true,true,true,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,0,0,2,21+,Luxury,false,269,false,67,4,2026-05-14,Frisco/Silverthorne,Keystone,Dillon,Colorado,80435,United States,mountains_lakes,https://www.vrbo.com/4938544,https://media.vrbo.com/lodging/123000000/122640000/122632800/122632727/w1023h682x0y0-3ada5d6d.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4938544,39.606191,-105.941577,=AVERAGE($G$2:$G$439),=AVERAGE($D$2:$D$439),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
"Keystone Luxury 3BR | Balcony, Fireplace & Ski-in",Leavetown,,253191,402456,3246.04,100,83,3,3,10,true,false,true,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,0,0,1,21+,Luxury,false,0,true,78,2,2026-05-15,Frisco/Silverthorne,Keystone,Dillon,Colorado,80435,United States,mountains_lakes,https://www.vrbo.com/4793592,https://media.vrbo.com/lodging/121000000/120120000/120113100/120113027/3d2cdf9b.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4793592,39.60508,-105.946472,=AVERAGE($G$2:$G$439),=AVERAGE($D$2:$D$439),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
"Twin Peaks Lodge, Views, Hot Tub, Golf, Ski, Lake",HFTH,,214644,249577,1022.11,72.41,290,3,4,12,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,5,130,2,21+,Luxury,true,656,false,210,67,2026-05-17,Frisco/Silverthorne,Keystone,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/725456633955396011,https://a0.muscache.com/im/pictures/prohost-api/Hosting-725456633955396011/original/5dacdab5-2b3e-46f1-a22a-017e0356adc4.jpeg,725456633955396011,3033184,39.6027,-105.987,=AVERAGE($G$2:$G$439),=AVERAGE($D$2:$D$439),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Lux Penthouse•Pool/Spa•Ski In/Out•$0 Cleaning Fee,HFTH,,214308,230958,867.64,74.17,333,4,3,12,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.95,174,1,21+,Luxury,true,382,false,247,73,2026-05-17,Frisco/Silverthorne,Keystone,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/906499027024159347,https://a0.muscache.com/im/pictures/prohost-api/Hosting-906499027024159347/original/b6a96a51-7852-40b9-bc65-61cce373aa8f.jpeg,906499027024159347,3442416,39.6076,-105.9425,=AVERAGE($G$2:$G$439),=AVERAGE($D$2:$D$439),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
"Keystone Luxury 3BR | Balcony, Fireplace & Ski-in",Leavetown,,201882,272318,3541.79,67.86,90,3,3,10,true,true,false,true,false,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,0,0,1,21+,Luxury,false,468,true,57,2,2026-05-11,Frisco/Silverthorne,Keystone,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/1501495742764508631,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1501495742764508631/original/4ced912e-b287-49dc-9e38-d216312d9f02.jpeg,1501495742764508631,4793462,39.6069789313,-105.9423501103,=AVERAGE($G$2:$G$439),=AVERAGE($D$2:$D$439),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
