Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Uncompahgre Lodge 8BR/5BA,Mountain Adventure Retreats,,151171,170737,1171.87,47.08,314,8,5,16,false,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,10,2,6-20,Luxury,true,794,false,129,38,2026-05-16,Colorado Area,Ouray,Ouray,Colorado,81427,United States,mountains_lakes,https://www.airbnb.com/rooms/1372647090313021316,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM3MjY0NzA5MDMxMzAyMTMxNg==/original/781d2db3-7677-44b5-90d2-89e8e3e38e81.jpeg,1372647090313021316,4513265,38.01891,-107.67304,=AVERAGE($G$2:$G$234),=AVERAGE($D$2:$D$234),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Camp Bird Retreat STR2023-083,Mountain Adventure Retreats,,130219,179746,1627.74,40.4,286,6,4,14,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.8,75,2,6-20,Luxury,true,794,true,80,21,2026-05-13,Colorado Area,Ouray,Ouray,Colorado,81427,United States,mountains_lakes,https://www.airbnb.com/rooms/48563603,https://a0.muscache.com/im/pictures/d1266e3b-07d6-46b0-8680-1ed9875107ed.jpg,48563603,2249149,38.011,-107.686,=AVERAGE($G$2:$G$234),=AVERAGE($D$2:$D$234),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Ultra Modern Home | Close to Downtown | Hot Tub,Vacation Rental Collective,,127416,145134,758.43,54.02,318,3,2,8,false,false,true,true,false,true,false,Home/Apartment,House,House/villa,4.95,72,3,21+,Luxury,true,496,true,168,38,2026-05-17,Colorado Area,Ouray,Ouray,Colorado,81427,United States,mountains_lakes,https://www.airbnb.com/rooms/726816938951219798,https://a0.muscache.com/im/pictures/prohost-api/Hosting-726816938951219798/original/5cac1bd7-8d9b-4224-824e-aa5411650b1d.jpeg,726816938951219798,2998121,38.0236,-107.6736,=AVERAGE($G$2:$G$234),=AVERAGE($D$2:$D$234),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Rooftop Deck | Beautiful Updated Condo | Downtown,Vacation Rental Collective,,126775,140653,630.72,60.18,334,3,3,6,false,true,false,true,false,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4,2,1,21+,Luxury,true,394,true,201,52,2026-05-16,Colorado Area,Ouray,Ouray,Colorado,81427,United States,mountains_lakes,https://www.airbnb.com/rooms/1305245053747394516,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1305245053747394516/original/c9d10c6a-bcf1-4216-bec1-350f887137ea.jpeg,1305245053747394516,3944064,38.0246,-107.6717,=AVERAGE($G$2:$G$234),=AVERAGE($D$2:$D$234),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Cutler Creek Main 8Br. STR2023-005,125511692,,126726,183620,1473.56,40.76,286,8,6,16,false,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.85,47,2,21+,Luxury,true,794,true,86,21,2026-05-13,Colorado Area,Ouray,Ridgway,Colorado,81432,United States,mountains_lakes,https://www.airbnb.com/rooms/27538793,https://a0.muscache.com/im/pictures/miso/Hosting-27538793/original/6a90d863-c1e9-48f9-8c8f-6c1311d72269.jpeg,27538793,,38.0858,-107.7013,=AVERAGE($G$2:$G$234),=AVERAGE($D$2:$D$234),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Lavish Ouray Downtown Getaway,456684095,,124875,140735,709.52,63.31,319,4,2,8,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,104,2,1,Luxury,true,350,true,176,48,2026-05-17,Colorado Area,Ouray,Ouray,Colorado,81427,United States,mountains_lakes,https://www.airbnb.com/rooms/615996841808415861,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjE1OTk2ODQxODA4NDE1ODYx/original/a3007d05-66d5-4672-8a01-3f7012a2e43a.png,615996841808415861,2942058,38.0248,-107.673,=AVERAGE($G$2:$G$234),=AVERAGE($D$2:$D$234),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Hooray for Ouray! - 2 blocks from Main w/ Hot Tub,Vacation Rental Collective,,123693,136775,552.2,66.08,339,2,3,8,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,5,55,2,21+,Luxury,true,342,false,224,74,2026-05-13,Colorado Area,Ouray,Ouray,Colorado,81427,United States,mountains_lakes,https://www.airbnb.com/rooms/1378632333817573972,https://a0.muscache.com/im/pictures/miso/Hosting-1378632333817573972/original/0c4afe8d-013f-4442-8ca2-b19728b1ae22.jpeg,1378632333817573972,4535926,38.0226,-107.6732,=AVERAGE($G$2:$G$234),=AVERAGE($D$2:$D$234),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Cozy Cabin | Beautiful Views of Peaks | Hot Tub,Vacation Rental Collective,,115237,122450,402.93,83.38,343,2,1,4,false,false,true,true,false,true,false,Home/Apartment,Cabin,House/villa,4.85,219,3,21+,Luxury,true,404,true,286,70,2026-05-17,Colorado Area,Ouray,Ridgway,Colorado,81432,United States,mountains_lakes,https://www.airbnb.com/rooms/28620420,https://a0.muscache.com/im/pictures/prohost-api/Hosting-28620420/original/0ad2676b-871b-49c0-bd58-2997d6d0e60c.jpeg,28620420,2168351,38.1616,-107.8411,=AVERAGE($G$2:$G$234),=AVERAGE($D$2:$D$234),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
The Victorian Off Main St | Hot Tub | Fireplace,Vacation Rental Collective,,111120,144604,817.06,58.37,243,5,3,10,false,false,true,true,false,true,false,Home/Apartment,House,House/villa,5,28,3,21+,Luxury,true,628,true,136,33,2026-05-13,Colorado Area,Ouray,Ouray,Colorado,81427,United States,mountains_lakes,https://www.airbnb.com/rooms/46599244,https://a0.muscache.com/im/pictures/prohost-api/Hosting-46599244/original/1f3480e0-766e-4ae9-91a7-3afe9b982acd.jpeg,46599244,2903419,38.0237,-107.67264,=AVERAGE($G$2:$G$234),=AVERAGE($D$2:$D$234),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Riverfront Bungalow (Max:10) & Private Spa!,Ouray RV Park and Cabins,,106607,112117,740.33,42.73,341,2,2,10,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,16,2,21+,Luxury,true,34,true,144,53,2026-05-13,Colorado Area,Ouray,Ouray,Colorado,81427,United States,mountains_lakes,https://www.airbnb.com/rooms/1189957978590864324,https://a0.muscache.com/im/pictures/hosting/Hosting-1189957978590864324/original/60ecb974-2f89-42fd-96d2-48782d50eba3.jpeg,1189957978590864324,,38.03806,-107.67882,=AVERAGE($G$2:$G$234),=AVERAGE($D$2:$D$234),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
