Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Slopeside 6 Bedroom (S1A),27275851,,745063,755566,6008.57,56.88,221,5,5,14,false,false,false,true,true,false,false,Home/Apartment,Apartment,Apt/Condo/Loft,0,0,1,21+,Luxury,false,0,true,124,16,2026-05-14,Telluride,Telluride,Telluride,Colorado,81435,United States,mountains_lakes,https://www.airbnb.com/rooms/1333940432910883654,https://a0.muscache.com/im/pictures/miso/Hosting-1333940432910883654/original/0c428802-d7b0-4cdc-97c0-89db258d4a10.jpeg,1333940432910883654,,37.9367915323,-107.817110891,=AVERAGE($G$2:$G$151),=AVERAGE($D$2:$D$151),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
South Oak Retreat - convenient luxury by gondola!,Basecamp Management,,426918,452888,3071.35,58.4,353,4,5,11,true,false,false,false,true,false,false,Home/Apartment,House,House/villa,5,1,5,6-20,Luxury,false,869,true,139,5,2026-05-14,Telluride,Telluride,Telluride,Colorado,81435,United States,mountains_lakes,https://www.airbnb.com/rooms/1385140741255147932,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM4NTE0MDc0MTI1NTE0NzkzMg==/original/eb8a6e45-adbe-4d55-9d75-59f052fbb404.jpeg,1385140741255147932,4501583,37.9364795032,-107.8144136641,=AVERAGE($G$2:$G$151),=AVERAGE($D$2:$D$151),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Luxury 5-Bed Home on Main St. BBQ & Hot Tub,Exceptional Stays,,360665,364179,3920.27,61.74,361,5,4,12,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,0,0,14,21+,Luxury,true,1381,false,92,6,2026-05-14,Telluride,Telluride,Telluride,Colorado,81435,United States,mountains_lakes,https://www.airbnb.com/rooms/1222442229045464880,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1222442229045464880/original/21ec5665-d026-4918-83b1-3cf66634ee66.jpeg,1222442229045464880,4145381,37.93858,-107.81501,=AVERAGE($G$2:$G$151),=AVERAGE($D$2:$D$151),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
TruLux Penthouse: A Premier Telluride Experience,Wild Oak Telluride,,329389,350068,2369.71,45.13,338,4,4,8,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.95,41,2,21+,Luxury,true,1098,true,139,31,2026-05-11,Telluride,Telluride,Telluride,Colorado,81435,United States,mountains_lakes,https://www.airbnb.com/rooms/614416059470693943,https://a0.muscache.com/im/pictures/miso/Hosting-614416059470693943/original/361ae512-dc69-4924-a2fe-9925371abae7.jpeg,614416059470693943,2779793,37.9371,-107.8094,=AVERAGE($G$2:$G$151),=AVERAGE($D$2:$D$151),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Splendid Home in the Heart of Telluride Town.,376292653,,310028,314141,2672.66,44.44,358,4,4,8,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,51,4,1,Luxury,false,0,true,116,17,2026-05-13,Telluride,Telluride,Telluride,Colorado,81435,United States,mountains_lakes,https://www.airbnb.com/rooms/46527429,https://a0.muscache.com/im/pictures/4c28e350-d759-4bfb-9e85-dc7132d8ec26.jpg,46527429,2132428,37.93689,-107.81218,=AVERAGE($G$2:$G$151),=AVERAGE($D$2:$D$151),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
"Hillside Luxury with Hot Tub, Canyon Views, Gym",Lodging in Telluride,,301334,304500,7174.62,22.95,364,4,5,10,true,true,true,true,true,false,false,Home/Apartment,House,House/villa,5,1,3,21+,Luxury,true,800,true,42,8,2026-05-14,Telluride,Telluride,Telluride,Colorado,81435,United States,mountains_lakes,https://www.airbnb.com/rooms/1268127192687042210,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1268127192687042210/original/2dc28ffb-f6bc-4f3c-8b05-f2e5a4f6af67.jpeg,1268127192687042210,4243216,37.9345,-107.7874,=AVERAGE($G$2:$G$151),=AVERAGE($D$2:$D$151),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Loft House 101 by Exceptional Stays,Exceptional Stays,,299634,361730,2539.27,48.96,320,4,4,8,true,true,false,true,true,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,5,7,3,21+,Luxury,true,891,true,118,17,2026-05-16,Telluride,Telluride,Telluride,Colorado,81435,United States,mountains_lakes,https://www.airbnb.com/rooms/44488339,https://a0.muscache.com/im/pictures/prohost-api/Hosting-44488339/original/2afbfede-a646-404d-9b1d-d31e952010e2.jpeg,44488339,2024573,37.9356,-107.81154,=AVERAGE($G$2:$G$151),=AVERAGE($D$2:$D$151),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Haven on South Oak Telluride BL#615,268843182,,280305,342710,2335.88,56.87,285,4,7,10,false,false,false,false,true,false,false,Home/Apartment,House,House/villa,5,11,3,1,Luxury,false,599,true,120,9,2026-05-13,Telluride,Telluride,Telluride,Colorado,81435,United States,mountains_lakes,https://www.airbnb.com/rooms/45729001,https://a0.muscache.com/im/pictures/prohost-api/Hosting-45729001/original/f73cdc11-4f33-4591-9abf-694f13d666b4.jpeg,45729001,2030936,37.93708,-107.81436,=AVERAGE($G$2:$G$151),=AVERAGE($D$2:$D$151),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
211 South Oak by Exceptional Stays,Exceptional Stays,,267473,477096,4611.6,39.73,285,5,4,10,false,true,false,true,true,false,false,Home/Apartment,House,House/villa,5,8,3,21+,Luxury,true,1255,true,58,10,2026-05-13,Telluride,Telluride,Telluride,Colorado,81435,United States,mountains_lakes,https://www.airbnb.com/rooms/14980347,https://a0.muscache.com/im/pictures/prohost-api/Hosting-14980347/original/f9b45d09-c9fa-4662-a0d5-0c01705dd15c.jpeg,14980347,671993,37.93548,-107.8136,=AVERAGE($G$2:$G$151),=AVERAGE($D$2:$D$151),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Four Bedroom Penthouse in Center of Telluride,Telluride Luxury Rentals and Real Estate,,255655,263177,2938.56,46.52,318,4,3,10,false,false,true,true,true,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,5,15,1,21+,Luxury,false,575,true,87,14,2026-05-13,Telluride,Telluride,Telluride,Colorado,81435,United States,mountains_lakes,https://www.airbnb.com/rooms/31958325,https://a0.muscache.com/im/pictures/prohost-api/Hosting-31958325/original/9fe4ce5b-4283-40a3-ba21-0a5b9df27014.jpeg,31958325,1508670,37.9351,-107.8113,=AVERAGE($G$2:$G$151),=AVERAGE($D$2:$D$151),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
