Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Ski In Out Chalet 277 - Discounted Attractions,Winter Park Escapes,,298807,312227,1737.25,49.71,346,4,4,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.85,94,4,21+,Luxury,true,798,true,172,49,2026-05-17,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/714509840504889634,https://a0.muscache.com/im/pictures/prohost-api/Hosting-714509840504889634/original/12f98672-02d9-4e67-8b79-b8da2c751d03.jpeg,714509840504889634,9687480ha,39.879,-105.7622,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
"Emberwood Lodge | Winter Park, Colorado",58466113,,292548,294980,2734.09,38.49,360,9,6,16,true,false,false,false,true,false,true,Home/Apartment,House,House/villa,5,103,2,2-5,Luxury,false,800,true,107,27,2026-05-13,Winter Park/Idaho Springs,Winter Park,Fraser,Colorado,80442,United States,mountains_lakes,https://www.airbnb.com/rooms/16195154,https://a0.muscache.com/im/pictures/prohost-api/Hosting-16195154/original/6c961117-5a92-4782-9396-6432e6255c3a.jpeg,16195154,973005,39.9459,-105.8059,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
"Lux 8000SQ Ft, 9 BDR, 15 Beds, Hot Tub, Lrg Grps",Centric OASIS,,283912,342225,1559.96,58.9,315,9,7,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.85,208,3,21+,Luxury,true,700,false,182,50,2026-05-10,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/20534823,https://a0.muscache.com/im/pictures/prohost-api/Hosting-20534823/original/cf3bab79-59ea-4a82-9da4-f4515f442514.jpeg,20534823,3447686,39.94339,-105.78472,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Sleeps 19 | Winterhaven Estate by AvantStay,AvantStay,,277238,316564,2567.02,41.7,290,11,8,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.8,17,2,21+,Luxury,false,1610,true,108,26,2026-05-14,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/1436475335926327540,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1436475335926327540/original/93098c07-d75a-4627-8261-324ea6df60dc.jpeg,1436475335926327540,4628676,39.91569,-105.7955,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Creekside Luxury Retreat • 8BR • Walk to Downtown,109231599,,237285,322199,2081.45,45.6,293,8,8,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,189,3,1,Luxury,false,849,false,114,26,2026-05-11,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/16575813,https://a0.muscache.com/im/pictures/b9d51026-9244-453f-a80c-4686df004846.jpg,16575813,371047,39.91543,-105.7896,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
"Fraser River Compound | 7BR, 2 Hot Tubs & Downtown",378417451,,223418,225410,5077.68,32.35,211,7,5,14,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,0,0,1,21+,Luxury,true,1035,true,44,7,2026-05-11,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/1526088862076717382,https://a0.muscache.com/im/pictures/hosting/Hosting-1526088862076717382/original/2caedefd-1d7e-4daf-881b-f4c632bcc250.jpeg,1526088862076717382,4884262,39.9269,-105.7865,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
9 BR home in downtown Winter Park,Centric OASIS,,222193,291060,1553.8,51.62,285,9,6,16,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.85,203,3,21+,Luxury,true,700,false,143,38,2026-05-11,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/20731879,https://a0.muscache.com/im/pictures/prohost-api/Hosting-20731879/original/6bdea63b-291a-4d3d-ac82-7fb75e7b1aa9.jpeg,20731879,3447690,39.91778,-105.79408,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Resort Villa 510 - Hot Tub - Dscounted Attractions,Winter Park Escapes,,201495,274143,1334.4,55.51,277,5,5,14,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.95,54,2,21+,Luxury,true,948,true,151,40,2026-05-13,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/1134265223418214424,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1134265223418214424/original/17695232-4bf0-4b86-9a1c-55a482affbb9.jpeg,1134265223418214424,9948385ha,39.8943,-105.7601,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Jane's Ski Chalet | Sleeps 17 | Private Hot Tub,Winter Park Lodging Company,,199995,207443,1694.87,43.7,338,5,4,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,68,3,21+,Luxury,true,541,true,118,23,2026-05-16,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/22386839,https://a0.muscache.com/im/pictures/prohost-api/Hosting-22386839/original/51968d9a-bb73-4d03-afbd-a9fa6023c6c8.jpeg,22386839,1234091,39.8774,-105.7603,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
The Ultimate TREEHOUSE AND Cabin Experience!!!,224885326,,187689,197892,778.79,69.86,345,3,2,6,false,false,false,true,true,true,false,Home/Apartment,Treehouse,Unique,5,404,3,1,Luxury,true,195,true,241,80,2026-05-17,Winter Park/Idaho Springs,Black Hawk,Black Hawk,Colorado,80422,United States,mountains_lakes,https://www.airbnb.com/rooms/29907627,https://a0.muscache.com/im/pictures/hosting/Hosting-29907627/original/3a75080a-e134-476a-b9db-e77a262c4e6c.jpeg,29907627,308054ha,39.83486,-105.56735,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
