Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap,Revenue Potential Gap,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Website,Email,Social media link,Social media type
"Timberline Lodge: True Ski in/Out, Featured on the cover of Denver Life magazine",,,156719,210194,1983.78,40.93,311,5,5,18,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,79,3,1,Luxury,false,750,true,79,19,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.vrbo.com/254739,https://media.vrbo.com/lodging/34000000/33500000/33492500/33492407/021fdd6b.jpg?impolicy=resizecrop&rw=1200&ra=fit,,254739,39.499329,-106.167865,51.79,=AVERAGE($D$2:$D$501),-10.86,"=IFERROR(($AU28-D28)/$AU28,0)",=$AU28-D28,53475,254739,"Timberline Lodge: True Ski in/Out, Featured on the cover of Denver Life magazine",,,,,,,,,
TRUE SKI-IN/SKI-OUT; ELEVATOR; 6BR; HOT TUB; SKI ROOM; GAME ROOM; MEDIA ROOM,,,204990,299143,3867.74,40.46,327,6,9,24,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,90,5,1,Luxury,false,750,false,53,7,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.vrbo.com/256890,https://media.vrbo.com/lodging/34000000/33980000/33979000/33978960/58a14ce6.jpg?impolicy=resizecrop&rw=1200&ra=fit,,256890,39.499478,-106.167458,43.11,=AVERAGE($D$2:$D$501),-2.65,"=IFERROR(($AU16-D16)/$AU16,0)",=$AU16-D16,94153,256890,TRUE SKI-IN/SKI-OUT; ELEVATOR; 6BR; HOT TUB; SKI ROOM; GAME ROOM; MEDIA ROOM,,,,,,,,,
Ski In Ski Out on Tiehack/Buttermilk mountain,,,460270,460270,9205.4,49.02,364,6,6,15,true,true,true,true,true,false,false,Home/Apartment,Chalet,House/villa,5,4,10,1,Luxury,false,1500,false,50,4,2026-05-16,Aspen/Snowmass,Snowmass Village,Aspen,Colorado,81611,United States,mountains_lakes,https://www.vrbo.com/462320,https://media.vrbo.com/lodging/35000000/34510000/34509700/34509608/2cb9ff72.jpg?impolicy=resizecrop&rw=1200&ra=fit,,462320,39.194448,-106.85732,49.02,=AVERAGE($D$2:$D$105),0,"=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3,0,462320,Ski In Ski Out on Tiehack/Buttermilk mountain,,,,,,,,,
"Wonderful Ski Access, Privacy and Views -  5+Bed/5.5 Bath Sleeps 18+",,,122543,172206,2450.86,45.45,338,5,5,18,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,59,5,1,Luxury,false,690,false,50,10,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.vrbo.com/513037,https://media.vrbo.com/lodging/35000000/34750000/34748300/34748227/803546df.jpg?impolicy=resizecrop&rw=1200&ra=fit,,513037,39.49895,-106.174874,51.79,=AVERAGE($D$2:$D$501),-6.34,"=IFERROR(($AU40-D40)/$AU40,0)",=$AU40-D40,49663,513037,"Wonderful Ski Access, Privacy and Views -  5+Bed/5.5 Bath Sleeps 18+",,,,,,,,,
"Chateau Bella Rose - Amazing New TRUE Ski InOut!!  7 Bedrooms, Sleeps 19",,,123461,314734,2165.98,48.72,234,7,8,18,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,69,5,1,Luxury,false,745,false,57,9,2026-05-17,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.vrbo.com/884345,https://media.vrbo.com/lodging/34000000/33500000/33491600/33491511/f8af1ab1.jpg?impolicy=resizecrop&rw=1200&ra=fit,,884345,39.497905,-106.175311,46.58,=AVERAGE($D$2:$D$501),2.14,"=IFERROR(($AU39-D39)/$AU39,0)",=$AU39-D39,191273,884345,"Chateau Bella Rose - Amazing New TRUE Ski InOut!!  7 Bedrooms, Sleeps 19",,,,,,,,,
"Aspen Falls 20-NCD0226 Private 30 acre luxury estate, sleeps up to 28",,,476832,558628,7816.92,29.05,323,13,15,28,false,true,true,true,true,false,false,Home/Apartment,House,House/villa,5,21,3,1,Luxury,false,3249,false,61,10,2026-05-01,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.vrbo.com/1491596,https://media.vrbo.com/lodging/37000000/36690000/36689000/36688969/7c2fbfc3.jpg?impolicy=resizecrop&rw=1200&ra=fit,,1491596,40.391495,-105.50542,38.56,=AVERAGE($D$2:$D$501),-9.51,"=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5,81796,1491596,"Aspen Falls 20-NCD0226 Private 30 acre luxury estate, sleeps up to 28",,,,,,,,,
"Majestic Manor with Private Pool, Theater Room, Large outdoor wedding altar",,,157794,208761,3757,38.18,139,10,12,38,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.9,6,2,1,Luxury,false,1200,true,42,9,2025-11-11,Durango,Durango,Durango,Colorado,81301,United States,mountains_lakes,https://www.vrbo.com/4129704,https://media.vrbo.com/lodging/108000000/107450000/107440200/107440170/df1f444b.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4129704,37.352325,-107.65797,38.44,=AVERAGE($D$2:$D$448),-0.26,"=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5,50967,4129704,"Majestic Manor with Private Pool, Theater Room, Large outdoor wedding altar",,,,,,,,,
Compound on Lake - Gameroom/Dock/Pool/Hot tub - Sleeps 37,,,247609,302204,1491.62,58.45,291,9,8,37,true,false,false,false,false,false,true,Home/Apartment,House,House/villa,5,2,3,1,Luxury,false,400,true,166,43,2026-05-14,Grand Lake O' the Cherokees,Vinita,Vinita,Oklahoma,74301,United States,mountains_lakes,https://www.vrbo.com/4191722,https://media.vrbo.com/lodging/109000000/108900000/108890500/108890411/w1434h894x0y0-c3d23b25.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4191722,36.499463,-95.041961,46.08,=AVERAGE($D$2:$D$203),12.38,"=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2,54595,4191722,Compound on Lake - Gameroom/Dock/Pool/Hot tub - Sleeps 37,,,,,,,,,
"Private Estate 🏔️ 9,400 sq ft ✨ Game Room 🎱 Steam Sauna 💦 1.5 Acres 🧖‍♀️ Spa",,,107293,244036,3251.3,41.25,106,9,9,18,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,5,1,2,2-5,Luxury,false,0,false,33,9,2026-05-17,Frisco/Silverthorne,Silverthorne,Silverthorne,Colorado,80498,United States,mountains_lakes,https://www.vrbo.com/4918995,https://media.vrbo.com/lodging/123000000/122170000/122163000/122162942/e2bf2047.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4918995,39.673004,-106.095574,49.79,=AVERAGE($D$2:$D$29),-8.54,"=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4,136743,4918995,"Private Estate 🏔️ 9,400 sq ft ✨ Game Room 🎱 Steam Sauna 💦 1.5 Acres 🧖‍♀️ Spa",,,,,,,,,
Home Close to RMNP & Estes Park W/Game Rm 2Ac 3279,81979881,,117109,118025,661.63,51.16,361,5,2,10,false,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.9,170,5,1,Luxury,false,250,false,177,43,2026-05-06,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/13866486,https://a0.muscache.com/im/pictures/8cc73469-dec6-4203-96aa-3de64302cb3a.jpg,13866486,869852,40.38431,-105.55635,48.54,=AVERAGE($D$2:$D$501),2.62,"=IFERROR(($AU102-D102)/$AU102,0)",=$AU102-D102,916,13866486,Home Close to RMNP & Estes Park W/Game Rm 2Ac 3279,,,,,,,,,
"Emberwood Lodge | Winter Park, Colorado",58466113,,292548,294980,2734.09,38.49,360,9,6,16,true,false,false,false,true,false,true,Home/Apartment,House,House/villa,5,103,2,2-5,Luxury,false,800,true,107,27,2026-05-13,Winter Park/Idaho Springs,Winter Park,Fraser,Colorado,80442,United States,mountains_lakes,https://www.airbnb.com/rooms/16195154,https://a0.muscache.com/im/pictures/prohost-api/Hosting-16195154/original/6c961117-5a92-4782-9396-6432e6255c3a.jpeg,16195154,973005,39.9459,-105.8059,44.09,=AVERAGE($D$2:$D$501),-5.60,"=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3,2432,16195154,"Emberwood Lodge | Winter Park, Colorado",,,,,,,,,
Creekside Luxury Retreat • 8BR • Walk to Downtown,109231599,,237285,322199,2081.45,45.6,293,8,8,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,189,3,1,Luxury,false,849,false,114,26,2026-05-11,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/16575813,https://a0.muscache.com/im/pictures/b9d51026-9244-453f-a80c-4686df004846.jpg,16575813,371047,39.91543,-105.7896,44.09,=AVERAGE($D$2:$D$501),1.51,"=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6,84914,16575813,Creekside Luxury Retreat • 8BR • Walk to Downtown,,,,,,,,,
Carolina in the Pines - 12 BR/12.5 Bth - sleeps 28,22811410,,238266,327642,2127.38,60.87,268,12,12,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,79,5,6-20,Luxury,false,699,false,112,10,2026-05-15,Frisco/Silverthorne,Dillon,Silverthorne,Colorado,80498,United States,mountains_lakes,https://www.airbnb.com/rooms/23393497,https://a0.muscache.com/im/pictures/32089302-d4ab-42f7-bacc-69ae16ed0f3e.jpg,23393497,13074,39.62626,-106.06326,60.87,=AVERAGE($D$2:$D$11),0,"=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2,89376,23393497,Carolina in the Pines - 12 BR/12.5 Bth - sleeps 28,,,,,,,,,
Altitude Adjustment | True Copper Mountain Luxury,153911362,,404210,447586,2846.55,49.48,327,7,8,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,64,3,6-20,Luxury,false,949,false,142,28,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/33492793,https://a0.muscache.com/im/pictures/hosting/Hosting-33492793/original/08dd5cf5-66cb-47f7-8082-9f6ac5450792.jpeg,33492793,1718907,39.4978269843,-106.1756634222,46.58,=AVERAGE($D$2:$D$501),2.90,"=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6,43376,33492793,Altitude Adjustment | True Copper Mountain Luxury,,,,,,,,,
Slope Side Luxury Mountain Home,153911362,,212329,289446,2188.96,41.81,267,7,5,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,76,3,6-20,Luxury,false,948,false,97,23,2026-05-13,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/33510174,https://a0.muscache.com/im/pictures/hosting/Hosting-33510174/original/9a9b6eb5-1257-40ea-8e4a-74aa3e7ea28f.jpeg,33510174,1426610,39.4998,-106.167,46.58,=AVERAGE($D$2:$D$501),-4.77,"=IFERROR(($AU15-D15)/$AU15,0)",=$AU15-D15,77117,33510174,Slope Side Luxury Mountain Home,,,,,,,,,
ParkEntranceLodge-RMNP Views! FirePit HTub BBCourt,299343661,,244570,275751,2329.24,37.5,309,8,5,16,true,true,true,true,true,false,false,Home/Apartment,Cabin,House/villa,5,287,2,2-5,Luxury,true,964,false,105,24,2026-05-13,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/39057072,https://a0.muscache.com/im/pictures/046f00da-4ad8-41d4-ab67-c87db23cf31a.jpg,39057072,200074,40.3692,-105.5493,38.56,=AVERAGE($D$2:$D$501),-1.06,"=IFERROR(($AU19-D19)/$AU19,0)",=$AU19-D19,31181,39057072,ParkEntranceLodge-RMNP Views! FirePit HTub BBCourt,,,,,,,,,
Timber Creek Ranch,352216379,,252907,290688,1708.83,50.68,300,7,3,16,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,4.85,82,2,2-5,Luxury,false,600,true,148,32,2026-05-11,Colorado Area,Salida,Salida,Colorado,81201,United States,mountains_lakes,https://www.airbnb.com/rooms/43478268,https://a0.muscache.com/im/pictures/hosting/Hosting-43478268/original/642c3a28-c4eb-4f2b-b757-e962e783d16d.jpeg,43478268,1947485,38.545,-106.0419,50.68,=AVERAGE($D$2:$D$205),0,"=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2,37781,43478268,Timber Creek Ranch,,,,,,,,,
Onaledge House Manitou Springs,SunMountain Center,,194769,290879,1623.08,48,270,8,5,16,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,121,2,6-20,Luxury,true,451,false,120,30,2026-05-11,Colorado Springs,Manitou Springs,Manitou Springs,Colorado,80829,United States,mid_size_city,https://www.airbnb.com/rooms/45482497,https://a0.muscache.com/im/pictures/miso/Hosting-45482497/original/d864e821-cbf7-41f9-bc8d-b4c751f0dad2.jpeg,45482497,2089387,38.85886,-104.90282,49.88,=AVERAGE($D$2:$D$98),-1.88,"=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3,96110,45482497,Onaledge House Manitou Springs,,,,,,,,,
