Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap,Revenue Potential Gap,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Website,Email,Social media link,Social media type
Whitewater Villa! Signature BV South Main Manor!,Renjoy,,205107,212575,1041.15,56.45,349,5,5,20,true,false,true,true,false,false,false,Home/Apartment,House,House/villa,5,9,3,21+,Luxury,false,350,true,197,57,2026-05-17,Colorado Area,Buena Vista,Buena Vista,Colorado,81211,United States,mountains_lakes,https://www.vrbo.com/4126387,https://media.vrbo.com/lodging/108000000/107380000/107376900/107376817/07370a99.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4126387,38.842085,-106.122388,54.15,=AVERAGE($D$2:$D$182),2.30,"=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4,7468,4126387,Whitewater Villa! Signature BV South Main Manor!,,,,,,,,,
Soda Ridge 1608,Summit County Mountain Retreats,,304444,320874,2306.39,39.29,351,8,7,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.45,272,2,21+,Luxury,false,797,true,132,44,2026-05-11,Frisco/Silverthorne,Keystone,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/5546733,https://a0.muscache.com/im/pictures/miso/Hosting-5546733/original/7da71c24-1e80-4bb2-a667-b65bd2aadd49.jpeg,5546733,168910,39.6002,-105.9806,59.30,=AVERAGE($D$2:$D$439),-20.02,"=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5,16430,5546733,Soda Ridge 1608,,,,,,,,,
Aspen Falls 20-NCD0226  30acreLuxury Estate Rental,VILLANO PROPERTY MANAGEMENT,,932947,933422,8042.65,34.94,364,17,15,16,true,true,true,true,true,false,false,Home/Apartment,House,House/villa,4.95,30,2,21+,Luxury,false,2565,false,116,35,2026-05-14,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/12284334,https://a0.muscache.com/im/pictures/hosting/Hosting-12284334/original/5b1f48e8-08f6-4aee-bd60-1ffd812596ff.jpeg,12284334,5167351,40.39441,-105.50615,38.56,=AVERAGE($D$2:$D$501),-3.62,"=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2,475,12284334,Aspen Falls 20-NCD0226  30acreLuxury Estate Rental,,,,,,,,,
211 South Oak by Exceptional Stays,Exceptional Stays,,267473,477096,4611.6,39.73,285,5,4,10,false,true,false,true,true,false,false,Home/Apartment,House,House/villa,5,8,3,21+,Luxury,true,1255,true,58,10,2026-05-13,Telluride,Telluride,Telluride,Colorado,81435,United States,mountains_lakes,https://www.airbnb.com/rooms/14980347,https://a0.muscache.com/im/pictures/prohost-api/Hosting-14980347/original/f9b45d09-c9fa-4662-a0d5-0c01705dd15c.jpeg,14980347,671993,37.93548,-107.8136,42.79,=AVERAGE($D$2:$D$151),-3.06,"=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10,209623,14980347,211 South Oak by Exceptional Stays,,,,,,,,,
Bridger's Cache Ski Lodge | Sleeps 18 | Hot Tub,Winter Park Lodging Company,,165994,172964,1551.35,44.58,343,5,5,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.8,64,3,21+,Luxury,true,541,true,107,23,2026-05-13,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/16392733,https://a0.muscache.com/im/pictures/prohost-api/Hosting-16392733/original/6de67a88-4009-4f44-b9fd-450c7cdabe6e.jpeg,16392733,777616,39.8784,-105.7617,44.88,=AVERAGE($D$2:$D$501),-0.30,"=IFERROR(($AU17-D17)/$AU17,0)",=$AU17-D17,6970,16392733,Bridger's Cache Ski Lodge | Sleeps 18 | Hot Tub,,,,,,,,,
"Huge Ski-in/ski-out Condo! Dog Friendly, Great For",SkyRun Vacation Rentals,,202338,226441,2129.87,44.19,286,7,4,16,false,true,false,true,true,true,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.2,37,3,21+,Luxury,true,928,true,95,25,2026-05-13,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/16664395,https://a0.muscache.com/im/pictures/prohost-api/Hosting-16664395/original/e6e4963d-472a-4ee6-bcdb-e36357c6f9f0.jpeg,16664395,49154,39.4995,-106.1538,46.58,=AVERAGE($D$2:$D$501),-2.39,"=IFERROR(($AU18-D18)/$AU18,0)",=$AU18-D18,24103,16664395,"Huge Ski-in/ski-out Condo! Dog Friendly, Great For",,,,,,,,,
Incredible Executive Private Home!,SkyRun Vacation Rentals,,243162,255372,2532.94,36.78,341,5,5,16,false,true,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,84,3,21+,Luxury,true,1470,false,96,28,2026-05-11,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/16664977,https://a0.muscache.com/im/pictures/prohost-api/Hosting-16664977/original/8256791f-60bf-4821-98e8-3602beb7d2c6.jpeg,16664977,1031388,39.4989,-106.1736,51.79,=AVERAGE($D$2:$D$501),-15.01,"=IFERROR(($AU12-D12)/$AU12,0)",=$AU12-D12,12210,16664977,Incredible Executive Private Home!,,,,,,,,,
Ski In/Out 8BR Center Village Pet Friendly,SkyRun Vacation Rentals,,176179,262945,2986.08,44.03,240,8,5,16,false,true,false,true,true,true,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,3.55,8,3,21+,Luxury,true,931,true,59,15,2026-05-13,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/17113658,https://a0.muscache.com/im/pictures/prohost-api/Hosting-17113658/original/eb270fbd-f0bc-4788-94eb-6e780f5c4754.jpeg,17113658,2080322,39.4996,-106.1539,46.58,=AVERAGE($D$2:$D$501),-2.55,"=IFERROR(($AU20-D20)/$AU20,0)",=$AU20-D20,86766,17113658,Ski In/Out 8BR Center Village Pet Friendly,,,,,,,,,
"Lux 8000SQ Ft, 9 BDR, 15 Beds, Hot Tub, Lrg Grps",Centric OASIS,,283912,342225,1559.96,58.9,315,9,7,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.85,208,3,21+,Luxury,true,700,false,182,50,2026-05-10,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/20534823,https://a0.muscache.com/im/pictures/prohost-api/Hosting-20534823/original/cf3bab79-59ea-4a82-9da4-f4515f442514.jpeg,20534823,3447686,39.94339,-105.78472,44.09,=AVERAGE($D$2:$D$501),14.81,"=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4,58313,20534823,"Lux 8000SQ Ft, 9 BDR, 15 Beds, Hot Tub, Lrg Grps",,,,,,,,,
9 BR home in downtown Winter Park,Centric OASIS,,222193,291060,1553.8,51.62,285,9,6,16,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.85,203,3,21+,Luxury,true,700,false,143,38,2026-05-11,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/20731879,https://a0.muscache.com/im/pictures/prohost-api/Hosting-20731879/original/6bdea63b-291a-4d3d-ac82-7fb75e7b1aa9.jpeg,20731879,3447690,39.91778,-105.79408,44.09,=AVERAGE($D$2:$D$501),7.53,"=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8,68867,20731879,9 BR home in downtown Winter Park,,,,,,,,,
