Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap,Revenue Potential Gap,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Website,Email,Social media link,Social media type
"Aspen Falls 20-NCD0226 Private 30 acre luxury estate, sleeps up to 28",,,476832,558628,7816.92,29.05,323,13,15,28,false,true,true,true,true,false,false,Home/Apartment,House,House/villa,5,21,3,1,Luxury,false,3249,false,61,10,2026-05-01,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.vrbo.com/1491596,https://media.vrbo.com/lodging/37000000/36690000/36689000/36688969/7c2fbfc3.jpg?impolicy=resizecrop&rw=1200&ra=fit,,1491596,40.391495,-105.50542,38.56,=AVERAGE($D$2:$D$501),-9.51,"=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5,81796,1491596,"Aspen Falls 20-NCD0226 Private 30 acre luxury estate, sleeps up to 28",,,,,,,,,
Aspen Falls 20-NCD0226  30acreLuxury Estate Rental,VILLANO PROPERTY MANAGEMENT,,932947,933422,8042.65,34.94,364,17,15,16,true,true,true,true,true,false,false,Home/Apartment,House,House/villa,4.95,30,2,21+,Luxury,false,2565,false,116,35,2026-05-14,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/12284334,https://a0.muscache.com/im/pictures/hosting/Hosting-12284334/original/5b1f48e8-08f6-4aee-bd60-1ffd812596ff.jpeg,12284334,5167351,40.39441,-105.50615,38.56,=AVERAGE($D$2:$D$501),-3.62,"=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2,475,12284334,Aspen Falls 20-NCD0226  30acreLuxury Estate Rental,,,,,,,,,
Home Close to RMNP & Estes Park W/Game Rm 2Ac 3279,81979881,,117109,118025,661.63,51.16,361,5,2,10,false,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.9,170,5,1,Luxury,false,250,false,177,43,2026-05-06,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/13866486,https://a0.muscache.com/im/pictures/8cc73469-dec6-4203-96aa-3de64302cb3a.jpg,13866486,869852,40.38431,-105.55635,48.54,=AVERAGE($D$2:$D$501),2.62,"=IFERROR(($AU102-D102)/$AU102,0)",=$AU102-D102,916,13866486,Home Close to RMNP & Estes Park W/Game Rm 2Ac 3279,,,,,,,,,
Panorama - Your Private Resort by Estes Park Homes,Estes Park Homes,,784134,788306,4752.33,46.22,361,6,6,14,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.95,129,2,21+,Luxury,false,950,false,165,39,2026-05-13,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/24909468,https://a0.muscache.com/im/pictures/prohost-api/Hosting-24909468/original/3dc9dd57-7ac7-453a-b88d-da305e9078ea.jpeg,24909468,892191,40.38354,-105.50856,41.50,=AVERAGE($D$2:$D$501),4.72,"=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3,4172,24909468,Panorama - Your Private Resort by Estes Park Homes,,,,,,,,,
Stewart Highlands Vacation Home at Windcliff,RedAwning,,168390,259906,2551.36,44.59,206,6,5,10,false,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.2,6,2,21+,Luxury,false,952,true,66,14,2025-11-15,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/27747795,https://a0.muscache.com/im/pictures/5553218e-12a2-47bd-a0bb-e00ff635d86c.jpg,27747795,7263558ha,40.33826,-105.55787,41.50,=AVERAGE($D$2:$D$501),3.09,"=IFERROR(($AU52-D52)/$AU52,0)",=$AU52-D52,91516,27747795,Stewart Highlands Vacation Home at Windcliff,,,,,,,,,
Hyler Mountain Lodge Vacation Home at Windcliff,RedAwning,,349773,385608,3761,39.74,267,5,3,10,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,2,2,21+,Luxury,false,951,true,93,22,2025-11-15,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/27747869,https://a0.muscache.com/im/pictures/prohost-api/Hosting-27747869/original/3b986601-6adf-4438-8b19-e0d933208a7d.jpeg,27747869,7263554ha,40.325993,-105.552094,48.54,=AVERAGE($D$2:$D$501),-8.80,"=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9,35835,27747869,Hyler Mountain Lodge Vacation Home at Windcliff,,,,,,,,,
"Moose Lodge, Estes Park CO",VILLANO PROPERTY MANAGEMENT,,227995,238460,1499.97,44.44,342,6,7,14,true,false,false,true,true,false,false,Home/Apartment,Cabin,House/villa,4.95,221,2,21+,Luxury,true,616,true,152,44,2026-05-10,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/30537536,https://a0.muscache.com/im/pictures/prohost-api/Hosting-30537536/original/744d1bc7-ffc8-4b5d-b20d-0c65ce15604b.jpeg,30537536,1502116,40.3646,-105.5361,41.50,=AVERAGE($D$2:$D$501),2.94,"=IFERROR(($AU27-D27)/$AU27,0)",=$AU27-D27,10465,30537536,"Moose Lodge, Estes Park CO",,,,,,,,,
Blue Spruce Manor - Distinguished Mtn Lodging,Ponderosa Realty Management,,269664,300535,1278.03,70.1,327,5,5,12,false,true,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,100,3,21+,Luxury,true,415,true,211,44,2026-05-17,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/33801151,https://a0.muscache.com/im/pictures/54e1e918-14eb-4f60-99fe-ea1e797305bc.jpg,33801151,3266494,40.3522,-105.5633,48.54,=AVERAGE($D$2:$D$501),21.56,"=IFERROR(($AU14-D14)/$AU14,0)",=$AU14-D14,30871,33801151,Blue Spruce Manor - Distinguished Mtn Lodging,,,,,,,,,
The Cedars Vacation Home at Windcliff,RedAwning,,193807,392631,3727.06,81.25,171,5,5,12,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,1,2,21+,Luxury,false,6982,true,52,9,2026-05-13,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/36250788,https://a0.muscache.com/im/pictures/prohost-api/Hosting-36250788/original/15c9e2c9-4682-44eb-a363-b8cf22e41fae.jpeg,36250788,7920488ha,40.3387,-105.5533,48.54,=AVERAGE($D$2:$D$501),32.71,"=IFERROR(($AU42-D42)/$AU42,0)",=$AU42-D42,198824,36250788,The Cedars Vacation Home at Windcliff,,,,,,,,,
ParkEntranceLodge-RMNP Views! FirePit HTub BBCourt,299343661,,244570,275751,2329.24,37.5,309,8,5,16,true,true,true,true,true,false,false,Home/Apartment,Cabin,House/villa,5,287,2,2-5,Luxury,true,964,false,105,24,2026-05-13,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/39057072,https://a0.muscache.com/im/pictures/046f00da-4ad8-41d4-ab67-c87db23cf31a.jpg,39057072,200074,40.3692,-105.5493,38.56,=AVERAGE($D$2:$D$501),-1.06,"=IFERROR(($AU19-D19)/$AU19,0)",=$AU19-D19,31181,39057072,ParkEntranceLodge-RMNP Views! FirePit HTub BBCourt,,,,,,,,,
