Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap,Revenue Potential Gap,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Website,Email,Social media link,Social media type
"Timberline Lodge: True Ski in/Out, Featured on the cover of Denver Life magazine",,,156719,210194,1983.78,40.93,311,5,5,18,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,79,3,1,Luxury,false,750,true,79,19,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.vrbo.com/254739,https://media.vrbo.com/lodging/34000000/33500000/33492500/33492407/021fdd6b.jpg?impolicy=resizecrop&rw=1200&ra=fit,,254739,39.499329,-106.167865,51.79,=AVERAGE($D$2:$D$501),-10.86,"=IFERROR(($AU28-D28)/$AU28,0)",=$AU28-D28,53475,254739,"Timberline Lodge: True Ski in/Out, Featured on the cover of Denver Life magazine",,,,,,,,,
TRUE SKI-IN/SKI-OUT; ELEVATOR; 6BR; HOT TUB; SKI ROOM; GAME ROOM; MEDIA ROOM,,,204990,299143,3867.74,40.46,327,6,9,24,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,90,5,1,Luxury,false,750,false,53,7,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.vrbo.com/256890,https://media.vrbo.com/lodging/34000000/33980000/33979000/33978960/58a14ce6.jpg?impolicy=resizecrop&rw=1200&ra=fit,,256890,39.499478,-106.167458,43.11,=AVERAGE($D$2:$D$501),-2.65,"=IFERROR(($AU16-D16)/$AU16,0)",=$AU16-D16,94153,256890,TRUE SKI-IN/SKI-OUT; ELEVATOR; 6BR; HOT TUB; SKI ROOM; GAME ROOM; MEDIA ROOM,,,,,,,,,
"Wonderful Ski Access, Privacy and Views -  5+Bed/5.5 Bath Sleeps 18+",,,122543,172206,2450.86,45.45,338,5,5,18,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,59,5,1,Luxury,false,690,false,50,10,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.vrbo.com/513037,https://media.vrbo.com/lodging/35000000/34750000/34748300/34748227/803546df.jpg?impolicy=resizecrop&rw=1200&ra=fit,,513037,39.49895,-106.174874,51.79,=AVERAGE($D$2:$D$501),-6.34,"=IFERROR(($AU40-D40)/$AU40,0)",=$AU40-D40,49663,513037,"Wonderful Ski Access, Privacy and Views -  5+Bed/5.5 Bath Sleeps 18+",,,,,,,,,
"Chateau Bella Rose - Amazing New TRUE Ski InOut!!  7 Bedrooms, Sleeps 19",,,123461,314734,2165.98,48.72,234,7,8,18,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,69,5,1,Luxury,false,745,false,57,9,2026-05-17,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.vrbo.com/884345,https://media.vrbo.com/lodging/34000000/33500000/33491600/33491511/f8af1ab1.jpg?impolicy=resizecrop&rw=1200&ra=fit,,884345,39.497905,-106.175311,46.58,=AVERAGE($D$2:$D$501),2.14,"=IFERROR(($AU39-D39)/$AU39,0)",=$AU39-D39,191273,884345,"Chateau Bella Rose - Amazing New TRUE Ski InOut!!  7 Bedrooms, Sleeps 19",,,,,,,,,
"Huge Ski-in/ski-out Condo! Dog Friendly, Great For",SkyRun Vacation Rentals,,202338,226441,2129.87,44.19,286,7,4,16,false,true,false,true,true,true,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.2,37,3,21+,Luxury,true,928,true,95,25,2026-05-13,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/16664395,https://a0.muscache.com/im/pictures/prohost-api/Hosting-16664395/original/e6e4963d-472a-4ee6-bcdb-e36357c6f9f0.jpeg,16664395,49154,39.4995,-106.1538,46.58,=AVERAGE($D$2:$D$501),-2.39,"=IFERROR(($AU18-D18)/$AU18,0)",=$AU18-D18,24103,16664395,"Huge Ski-in/ski-out Condo! Dog Friendly, Great For",,,,,,,,,
Incredible Executive Private Home!,SkyRun Vacation Rentals,,243162,255372,2532.94,36.78,341,5,5,16,false,true,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,84,3,21+,Luxury,true,1470,false,96,28,2026-05-11,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/16664977,https://a0.muscache.com/im/pictures/prohost-api/Hosting-16664977/original/8256791f-60bf-4821-98e8-3602beb7d2c6.jpeg,16664977,1031388,39.4989,-106.1736,51.79,=AVERAGE($D$2:$D$501),-15.01,"=IFERROR(($AU12-D12)/$AU12,0)",=$AU12-D12,12210,16664977,Incredible Executive Private Home!,,,,,,,,,
Ski In/Out 8BR Center Village Pet Friendly,SkyRun Vacation Rentals,,176179,262945,2986.08,44.03,240,8,5,16,false,true,false,true,true,true,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,3.55,8,3,21+,Luxury,true,931,true,59,15,2026-05-13,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/17113658,https://a0.muscache.com/im/pictures/prohost-api/Hosting-17113658/original/eb270fbd-f0bc-4788-94eb-6e780f5c4754.jpeg,17113658,2080322,39.4996,-106.1539,46.58,=AVERAGE($D$2:$D$501),-2.55,"=IFERROR(($AU20-D20)/$AU20,0)",=$AU20-D20,86766,17113658,Ski In/Out 8BR Center Village Pet Friendly,,,,,,,,,
Lumber Jack Lodge: Spacious Ski-In/Out Home w/ Hot,River Ridge Rentals,,301764,502344,3079.22,49.49,264,7,7,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.6,125,2,21+,Luxury,true,1244,true,98,18,2026-05-17,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/24984189,https://a0.muscache.com/im/pictures/prohost-api/Hosting-24984189/original/4ba35df6-2d2a-4223-9e7a-3a9a132d617d.jpeg,24984189,170415ha,39.49739,-106.17363,46.58,=AVERAGE($D$2:$D$501),2.91,"=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10,200580,24984189,Lumber Jack Lodge: Spacious Ski-In/Out Home w/ Hot,,,,,,,,,
"Warming Hut: True Ski-in/Out, Hot Tub, Video Wall,",River Ridge Rentals,,135526,251902,1831.43,81.32,168,5,5,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,107,2,21+,Luxury,true,2100,true,74,8,2026-05-17,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/24984193,https://a0.muscache.com/im/pictures/prohost-api/Hosting-24984193/original/a14e0cac-9924-4506-a940-6a491656aeed.jpeg,24984193,3165330ha,39.50025,-106.16715,51.79,=AVERAGE($D$2:$D$501),29.53,"=IFERROR(($AU34-D34)/$AU34,0)",=$AU34-D34,116376,24984193,"Warming Hut: True Ski-in/Out, Hot Tub, Video Wall,",,,,,,,,,
Altitude Adjustment | True Copper Mountain Luxury,153911362,,404210,447586,2846.55,49.48,327,7,8,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,64,3,6-20,Luxury,false,949,false,142,28,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/33492793,https://a0.muscache.com/im/pictures/hosting/Hosting-33492793/original/08dd5cf5-66cb-47f7-8082-9f6ac5450792.jpeg,33492793,1718907,39.4978269843,-106.1756634222,46.58,=AVERAGE($D$2:$D$501),2.90,"=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6,43376,33492793,Altitude Adjustment | True Copper Mountain Luxury,,,,,,,,,
Slope Side Luxury Mountain Home,153911362,,212329,289446,2188.96,41.81,267,7,5,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,76,3,6-20,Luxury,false,948,false,97,23,2026-05-13,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/33510174,https://a0.muscache.com/im/pictures/hosting/Hosting-33510174/original/9a9b6eb5-1257-40ea-8e4a-74aa3e7ea28f.jpeg,33510174,1426610,39.4998,-106.167,46.58,=AVERAGE($D$2:$D$501),-4.77,"=IFERROR(($AU15-D15)/$AU15,0)",=$AU15-D15,77117,33510174,Slope Side Luxury Mountain Home,,,,,,,,,
"Snow Maker Manor: Pet-Friendly, True Ski-in/Out, H",River Ridge Rentals,,430829,538617,3682.3,48.75,282,7,7,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,120,2,21+,Luxury,true,1723,true,117,23,2026-05-13,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/37114520,https://a0.muscache.com/im/pictures/prohost-api/Hosting-37114520/original/14643753-54dd-46e8-96c6-a76d29e18ab9.jpeg,37114520,7863719ha,39.49904,-106.17029,46.58,=AVERAGE($D$2:$D$501),2.17,"=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3,107788,37114520,"Snow Maker Manor: Pet-Friendly, True Ski-in/Out, H",,,,,,,,,
"Steps from Slopes, Award Winning Modern Luxury!",Summit Luxury Estates,,838142,897806,7619.47,46.81,333,5,5,14,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,96,1,21+,Luxury,true,4832,true,110,21,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/592862494276217958,https://a0.muscache.com/im/pictures/prohost-api/Hosting-592862494276217958/original/4ef61417-4ced-4463-8aac-4be36bbbcda8.jpeg,592862494276217958,2732999,39.4984,-106.1767,51.79,=AVERAGE($D$2:$D$501),-4.98,"=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2,59664,592862494276217958,"Steps from Slopes, Award Winning Modern Luxury!",,,,,,,,,
The Timber Lodge at Copper Mountain,SkyRun Vacation Rentals,,234997,314503,2732.52,43,281,7,6,16,false,true,true,true,true,false,false,Home/Apartment,House,House/villa,5,17,3,21+,Luxury,true,1050,true,86,21,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/623491022742275438,https://a0.muscache.com/im/pictures/prohost-api/Hosting-623491022742275438/original/5f17dca6-a8e8-40a4-92d2-dcb78708c5b9.jpeg,623491022742275438,2799063,39.4995,-106.1747,46.58,=AVERAGE($D$2:$D$501),-3.58,"=IFERROR(($AU13-D13)/$AU13,0)",=$AU13-D13,79506,623491022742275438,The Timber Lodge at Copper Mountain,,,,,,,,,
"Skibakken Chalet: Ski-in/out, Panoramic Deck Views",River Ridge Rentals,,322825,647562,3797.94,59.44,195,5,7,12,false,true,true,true,true,true,false,Home/Apartment,House,House/villa,5,10,1,21+,Luxury,true,1392,true,85,14,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/1258822383529413128,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1258822383529413128/original/0dd8f68d-7b53-4d37-9c24-f1a24cc98f28.jpeg,1258822383529413128,20054740ha,39.4962531622,-106.1421291724,51.79,=AVERAGE($D$2:$D$501),7.65,"=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8,324737,1258822383529413128,"Skibakken Chalet: Ski-in/out, Panoramic Deck Views",,,,,,,,,
"Bee Line Escape: Ski-in/out, Golf, Private Hot Tub",River Ridge Rentals,,170154,226622,2238.87,42.46,254,6,6,16,false,true,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,25,1,21+,Luxury,true,1006,true,76,17,2026-05-11,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/1279122852064675247,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1279122852064675247/original/25df2655-83a9-4fa1-ae7f-4a7f723675ad.jpeg,1279122852064675247,20057637ha,39.4966568007,-106.1430225479,43.11,=AVERAGE($D$2:$D$501),-0.65,"=IFERROR(($AU21-D21)/$AU21,0)",=$AU21-D21,56468,1279122852064675247,"Bee Line Escape: Ski-in/out, Golf, Private Hot Tub",,,,,,,,,
Heavens Gate| Ski in/out & Hot Tub | Silvercrest,153911362,,370657,473501,3013.47,44.89,293,8,9,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,21,3,6-20,Luxury,false,949,true,123,25,2026-05-17,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/1373909743836613038,https://a0.muscache.com/im/pictures/miso/Hosting-1373909743836613038/original/1511276b-7d97-4446-a0e6-68c84a93f406.jpeg,1373909743836613038,4213307,39.5002909132,-106.1682574607,46.58,=AVERAGE($D$2:$D$501),-1.69,"=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7,102844,1373909743836613038,Heavens Gate| Ski in/out & Hot Tub | Silvercrest,,,,,,,,,
