Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap,Revenue Potential Gap,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Website,Email,Social media link,Social media type
"Timberline Lodge: True Ski in/Out, Featured on the cover of Denver Life magazine",,,156719,210194,1983.78,40.93,311,5,5,18,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,79,3,1,Luxury,false,750,true,79,19,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.vrbo.com/254739,https://media.vrbo.com/lodging/34000000/33500000/33492500/33492407/021fdd6b.jpg?impolicy=resizecrop&rw=1200&ra=fit,,254739,39.499329,-106.167865,51.79,=AVERAGE($D$2:$D$501),-10.86,"=IFERROR(($AU28-D28)/$AU28,0)",=$AU28-D28,53475,254739,"Timberline Lodge: True Ski in/Out, Featured on the cover of Denver Life magazine",,,,,,,,,
TRUE SKI-IN/SKI-OUT; ELEVATOR; 6BR; HOT TUB; SKI ROOM; GAME ROOM; MEDIA ROOM,,,204990,299143,3867.74,40.46,327,6,9,24,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,90,5,1,Luxury,false,750,false,53,7,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.vrbo.com/256890,https://media.vrbo.com/lodging/34000000/33980000/33979000/33978960/58a14ce6.jpg?impolicy=resizecrop&rw=1200&ra=fit,,256890,39.499478,-106.167458,43.11,=AVERAGE($D$2:$D$501),-2.65,"=IFERROR(($AU16-D16)/$AU16,0)",=$AU16-D16,94153,256890,TRUE SKI-IN/SKI-OUT; ELEVATOR; 6BR; HOT TUB; SKI ROOM; GAME ROOM; MEDIA ROOM,,,,,,,,,
"Wonderful Ski Access, Privacy and Views -  5+Bed/5.5 Bath Sleeps 18+",,,122543,172206,2450.86,45.45,338,5,5,18,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,59,5,1,Luxury,false,690,false,50,10,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.vrbo.com/513037,https://media.vrbo.com/lodging/35000000/34750000/34748300/34748227/803546df.jpg?impolicy=resizecrop&rw=1200&ra=fit,,513037,39.49895,-106.174874,51.79,=AVERAGE($D$2:$D$501),-6.34,"=IFERROR(($AU40-D40)/$AU40,0)",=$AU40-D40,49663,513037,"Wonderful Ski Access, Privacy and Views -  5+Bed/5.5 Bath Sleeps 18+",,,,,,,,,
"Chateau Bella Rose - Amazing New TRUE Ski InOut!!  7 Bedrooms, Sleeps 19",,,123461,314734,2165.98,48.72,234,7,8,18,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,69,5,1,Luxury,false,745,false,57,9,2026-05-17,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.vrbo.com/884345,https://media.vrbo.com/lodging/34000000/33500000/33491600/33491511/f8af1ab1.jpg?impolicy=resizecrop&rw=1200&ra=fit,,884345,39.497905,-106.175311,46.58,=AVERAGE($D$2:$D$501),2.14,"=IFERROR(($AU39-D39)/$AU39,0)",=$AU39-D39,191273,884345,"Chateau Bella Rose - Amazing New TRUE Ski InOut!!  7 Bedrooms, Sleeps 19",,,,,,,,,
Altitude Adjustment | True Copper Mountain Luxury,153911362,,404210,447586,2846.55,49.48,327,7,8,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,64,3,6-20,Luxury,false,949,false,142,28,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/33492793,https://a0.muscache.com/im/pictures/hosting/Hosting-33492793/original/08dd5cf5-66cb-47f7-8082-9f6ac5450792.jpeg,33492793,1718907,39.4978269843,-106.1756634222,46.58,=AVERAGE($D$2:$D$501),2.90,"=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6,43376,33492793,Altitude Adjustment | True Copper Mountain Luxury,,,,,,,,,
Slope Side Luxury Mountain Home,153911362,,212329,289446,2188.96,41.81,267,7,5,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,76,3,6-20,Luxury,false,948,false,97,23,2026-05-13,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/33510174,https://a0.muscache.com/im/pictures/hosting/Hosting-33510174/original/9a9b6eb5-1257-40ea-8e4a-74aa3e7ea28f.jpeg,33510174,1426610,39.4998,-106.167,46.58,=AVERAGE($D$2:$D$501),-4.77,"=IFERROR(($AU15-D15)/$AU15,0)",=$AU15-D15,77117,33510174,Slope Side Luxury Mountain Home,,,,,,,,,
Heavens Gate| Ski in/out & Hot Tub | Silvercrest,153911362,,370657,473501,3013.47,44.89,293,8,9,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,21,3,6-20,Luxury,false,949,true,123,25,2026-05-17,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/1373909743836613038,https://a0.muscache.com/im/pictures/miso/Hosting-1373909743836613038/original/1511276b-7d97-4446-a0e6-68c84a93f406.jpeg,1373909743836613038,4213307,39.5002909132,-106.1682574607,46.58,=AVERAGE($D$2:$D$501),-1.69,"=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7,102844,1373909743836613038,Heavens Gate| Ski in/out & Hot Tub | Silvercrest,,,,,,,,,
Lodge @ Lewis Ranch True Ski In/Out - Green Access,153911362,,234968,290846,2900.84,37.16,308,7,7,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,26,3,6-20,Luxury,false,798,true,81,20,2026-05-14,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/1373949674401270390,https://a0.muscache.com/im/pictures/hosting/Hosting-1373949674401270390/original/af3d9de1-d1d9-4bf0-9cf2-94e4ed116182.jpeg,1373949674401270390,2280235,39.50002,-106.16752,46.58,=AVERAGE($D$2:$D$501),-9.42,"=IFERROR(($AU14-D14)/$AU14,0)",=$AU14-D14,55878,1373949674401270390,Lodge @ Lewis Ranch True Ski In/Out - Green Access,,,,,,,,,
True Ski-In/Out Custom Home - Pinnacle Lodge,153911362,,293592,309391,2669.02,46.41,318,6,7,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,73,3,6-20,Luxury,false,949,true,110,24,2026-05-14,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/1373953862181546318,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1373953862181546318/original/6c8d8a3a-8054-4802-a4f5-5b170b70ec4f.jpeg,1373953862181546318,310703,39.4997720322,-106.1693909797,43.11,=AVERAGE($D$2:$D$501),3.30,"=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11,15799,1373953862181546318,True Ski-In/Out Custom Home - Pinnacle Lodge,,,,,,,,,
"Summit Grove Lodge | Ski in/out, Hot Tub + Theater",153911362,,416496,456585,2795.28,55.6,313,8,8,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,28,3,6-20,Luxury,false,950,true,149,32,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/1373957149123364574,https://a0.muscache.com/im/pictures/miso/Hosting-1373957149123364574/original/d38ffaa4-f99a-47fd-b92b-33f95e27f1f8.jpeg,1373957149123364574,2808785,39.4983429138,-106.1669592623,46.58,=AVERAGE($D$2:$D$501),9.02,"=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5,40089,1373957149123364574,"Summit Grove Lodge | Ski in/out, Hot Tub + Theater",,,,,,,,,
"Grand Timbers – Largest Home in Copper, Ski-In/Out",153911362,,418936,495825,2909.28,51.8,301,11,11,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,30,3,6-20,Luxury,false,1000,true,144,30,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/1373965059648423617,https://a0.muscache.com/im/pictures/miso/Hosting-1373965059648423617/original/8b5d85af-b3c8-4ccb-af04-e6116f6f1c5d.jpeg,1373965059648423617,3924865,39.4997471852,-106.1682497496,46.58,=AVERAGE($D$2:$D$501),5.22,"=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4,76889,1373965059648423617,"Grand Timbers – Largest Home in Copper, Ski-In/Out",,,,,,,,,
