Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap,Revenue Potential Gap,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Website,Email,Social media link,Social media type
"Emberwood Lodge | Winter Park, Colorado",58466113,,292548,294980,2734.09,38.49,360,9,6,16,true,false,false,false,true,false,true,Home/Apartment,House,House/villa,5,103,2,2-5,Luxury,false,800,true,107,27,2026-05-13,Winter Park/Idaho Springs,Winter Park,Fraser,Colorado,80442,United States,mountains_lakes,https://www.airbnb.com/rooms/16195154,https://a0.muscache.com/im/pictures/prohost-api/Hosting-16195154/original/6c961117-5a92-4782-9396-6432e6255c3a.jpeg,16195154,973005,39.9459,-105.8059,44.09,=AVERAGE($D$2:$D$501),-5.60,"=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3,2432,16195154,"Emberwood Lodge | Winter Park, Colorado",,,,,,,,,
Bridger's Cache Ski Lodge | Sleeps 18 | Hot Tub,Winter Park Lodging Company,,165994,172964,1551.35,44.58,343,5,5,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.8,64,3,21+,Luxury,true,541,true,107,23,2026-05-13,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/16392733,https://a0.muscache.com/im/pictures/prohost-api/Hosting-16392733/original/6de67a88-4009-4f44-b9fd-450c7cdabe6e.jpeg,16392733,777616,39.8784,-105.7617,44.88,=AVERAGE($D$2:$D$501),-0.30,"=IFERROR(($AU17-D17)/$AU17,0)",=$AU17-D17,6970,16392733,Bridger's Cache Ski Lodge | Sleeps 18 | Hot Tub,,,,,,,,,
Creekside Luxury Retreat • 8BR • Walk to Downtown,109231599,,237285,322199,2081.45,45.6,293,8,8,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,189,3,1,Luxury,false,849,false,114,26,2026-05-11,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/16575813,https://a0.muscache.com/im/pictures/b9d51026-9244-453f-a80c-4686df004846.jpg,16575813,371047,39.91543,-105.7896,44.09,=AVERAGE($D$2:$D$501),1.51,"=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6,84914,16575813,Creekside Luxury Retreat • 8BR • Walk to Downtown,,,,,,,,,
"Lux 8000SQ Ft, 9 BDR, 15 Beds, Hot Tub, Lrg Grps",Centric OASIS,,283912,342225,1559.96,58.9,315,9,7,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.85,208,3,21+,Luxury,true,700,false,182,50,2026-05-10,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/20534823,https://a0.muscache.com/im/pictures/prohost-api/Hosting-20534823/original/cf3bab79-59ea-4a82-9da4-f4515f442514.jpeg,20534823,3447686,39.94339,-105.78472,44.09,=AVERAGE($D$2:$D$501),14.81,"=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4,58313,20534823,"Lux 8000SQ Ft, 9 BDR, 15 Beds, Hot Tub, Lrg Grps",,,,,,,,,
9 BR home in downtown Winter Park,Centric OASIS,,222193,291060,1553.8,51.62,285,9,6,16,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.85,203,3,21+,Luxury,true,700,false,143,38,2026-05-11,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/20731879,https://a0.muscache.com/im/pictures/prohost-api/Hosting-20731879/original/6bdea63b-291a-4d3d-ac82-7fb75e7b1aa9.jpeg,20731879,3447690,39.91778,-105.79408,44.09,=AVERAGE($D$2:$D$501),7.53,"=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8,68867,20731879,9 BR home in downtown Winter Park,,,,,,,,,
Two Brother's Lodge | Hot Tub w/ Views | Game Room,Winter Park Lodging Company,,176009,216939,1430.97,44.57,297,6,4,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,94,3,21+,Luxury,true,625,true,123,31,2026-05-17,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/20947114,https://a0.muscache.com/im/pictures/prohost-api/Hosting-20947114/original/03ec8011-6573-4260-ad71-4981cf80b637.jpeg,20947114,1142566,39.9175,-105.7957,42.33,=AVERAGE($D$2:$D$501),2.24,"=IFERROR(($AU13-D13)/$AU13,0)",=$AU13-D13,40930,20947114,Two Brother's Lodge | Hot Tub w/ Views | Game Room,,,,,,,,,
Jane's Ski Chalet | Sleeps 17 | Private Hot Tub,Winter Park Lodging Company,,199995,207443,1694.87,43.7,338,5,4,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,68,3,21+,Luxury,true,541,true,118,23,2026-05-16,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/22386839,https://a0.muscache.com/im/pictures/prohost-api/Hosting-22386839/original/51968d9a-bb73-4d03-afbd-a9fa6023c6c8.jpeg,22386839,1234091,39.8774,-105.7603,44.88,=AVERAGE($D$2:$D$501),-1.18,"=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10,7448,22386839,Jane's Ski Chalet | Sleeps 17 | Private Hot Tub,,,,,,,,,
Casa de Montana | Hot Tub | Games Room,Winter Park Lodging Company,,135318,402216,4832.79,40,236,7,7,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,19,3,21+,Luxury,true,900,true,28,5,2026-05-13,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/49345124,https://a0.muscache.com/im/pictures/prohost-api/Hosting-49345124/original/dba7bfa2-fd07-44b1-a84b-35905a2377af.jpeg,49345124,2286344,39.87897,-105.7598,44.09,=AVERAGE($D$2:$D$501),-4.09,"=IFERROR(($AU30-D30)/$AU30,0)",=$AU30-D30,266898,49345124,Casa de Montana | Hot Tub | Games Room,,,,,,,,,
Trestle House | On Corridor Trail | Hot Tub,Winter Park Lodging Company,,172029,267461,2123.81,50.62,295,5,4,12,false,true,true,true,true,false,false,Home/Apartment,House,House/villa,5,17,3,21+,Luxury,true,900,true,81,11,2026-05-17,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/49773738,https://a0.muscache.com/im/pictures/prohost-api/Hosting-49773738/original/ce354fee-3e89-4e5e-b069-5b58dd03e15e.jpeg,49773738,2301248,39.87904,-105.76088,44.88,=AVERAGE($D$2:$D$501),5.74,"=IFERROR(($AU16-D16)/$AU16,0)",=$AU16-D16,95432,49773738,Trestle House | On Corridor Trail | Hot Tub,,,,,,,,,
Ranch Creek Log Home,516190858,,147517,150820,1404.92,33.44,351,5,5,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,45,2,2-5,Luxury,true,500,true,105,31,2026-05-13,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/897819634480326640,https://a0.muscache.com/im/pictures/prohost-api/Hosting-897819634480326640/original/daed3235-2404-412f-aeb1-a7c570e1a62d.jpeg,897819634480326640,3493495,39.946,-105.7635,44.88,=AVERAGE($D$2:$D$501),-11.44,"=IFERROR(($AU23-D23)/$AU23,0)",=$AU23-D23,3303,897819634480326640,Ranch Creek Log Home,,,,,,,,,
