Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
"Isla Sands Collection: Sleeps 24, Waterfront",Newman Hospitality,,669811,730719,2733.92,72.49,338,12,12,16,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,0,0,1,21+,Luxury,false,184,true,245,38,2025-09-14,Key West,Islamorada,Islamorada,Florida,33036,United States,coastal,https://www.airbnb.com/rooms/1255029569132312232,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1255029569132312232/original/18c0889d-870b-4f8f-a621-3681ed8cc5db.jpeg,1255029569132312232,20055754ha,24.92353,-80.62703,=AVERAGE($G$2:$G$191),=AVERAGE($D$2:$D$191),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Island Beach House Oasis Your Memory Maker awaits,2428723,,413624,413624,5825.69,23.36,365,6,6,16,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,5,5,3,6-20,Luxury,false,999,true,71,20,2026-05-14,Key West,Islamorada,Islamorada,Florida,33036,United States,coastal,https://www.airbnb.com/rooms/665868898027104148,https://a0.muscache.com/im/pictures/prohost-api/Hosting-665868898027104148/original/45318440-8bec-45b5-81f2-38d08275cebe.jpeg,665868898027104148,2900265,24.87004,-80.70607,=AVERAGE($G$2:$G$191),=AVERAGE($D$2:$D$191),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
BeachFront Paradise/By The Glam Homes,The Glam Homes,,390698,409178,1669.65,66.86,350,4,4,15,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4,29,28,21+,Luxury,false,601,true,234,63,2026-05-11,Key West,Islamorada,Islamorada,Florida,33036,United States,coastal,https://www.airbnb.com/rooms/1293010400201207090,https://a0.muscache.com/im/pictures/hosting/Hosting-1293010400201207090/original/0bd2e980-c063-4aa0-acd7-9a9eca785e75.jpeg,1293010400201207090,4448826,24.8652,-80.7112,=AVERAGE($G$2:$G$191),=AVERAGE($D$2:$D$191),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Beachfront Villa |Kayak|Cinema|Fire Pit|Pool,The Glam Homes,,378983,397834,1923.77,57.43,343,4,4,15,true,false,true,true,true,true,true,Home/Apartment,Villa,House/villa,4.8,119,7,21+,Luxury,false,651,true,197,45,2025-12-28,Key West,Islamorada,Islamorada,Florida,33036,United States,coastal,https://www.airbnb.com/rooms/640557361586046314,https://a0.muscache.com/im/pictures/miso/Hosting-640557361586046314/original/c3610f5b-9847-478c-a620-c686837a1030.png,640557361586046314,2931273,24.8651891,-80.7104615,=AVERAGE($G$2:$G$191),=AVERAGE($D$2:$D$191),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Private Beach / Pickleball Court and Tiki Bar,Latitude Key,,351941,505269,3351.82,45.65,259,6,4,16,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,5,3,7,21+,Luxury,true,1071,false,105,19,2026-05-16,Key West,Islamorada,Islamorada,Florida,33036,United States,coastal,https://www.airbnb.com/rooms/1290974928235010589,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1290974928235010589/original/a60433ad-5a71-4404-9013-2aba5c878530.jpeg,1290974928235010589,4291235,24.873,-80.704,=AVERAGE($G$2:$G$191),=AVERAGE($D$2:$D$191),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Pineapple Beach,Keys Ocean Vacation Rentals,,350654,691716,2827.85,79.49,181,5,4,10,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.65,12,7,21+,Luxury,true,1285,true,124,17,2026-05-17,Key West,Islamorada,Islamorada,Florida,33036,United States,coastal,https://www.airbnb.com/rooms/1138315818880859894,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1138315818880859894/original/a9fffc6f-ea87-4580-92e4-b6124a605d74.jpeg,1138315818880859894,3738364,24.9733,-80.5515,=AVERAGE($G$2:$G$191),=AVERAGE($D$2:$D$191),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Private Beach | Heated Pool | Mahi Key,Latitude Key,,309737,317100,1420.81,61.76,353,3,3,6,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,4.9,10,7,21+,Luxury,true,481,true,218,33,2026-05-13,Key West,Islamorada,Islamorada,Florida,33036,United States,coastal,https://www.airbnb.com/rooms/1351654477680236438,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1351654477680236438/original/6b099a7d-a18d-40bf-a375-7a3c7af679c3.jpeg,1351654477680236438,4422456,24.8705,-80.7027,=AVERAGE($G$2:$G$191),=AVERAGE($D$2:$D$191),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Island Palm Estate,507528739,,282657,408279,2798.58,50.5,240,10,10,16,true,true,false,true,true,false,true,Home/Apartment,Villa,House/villa,5,3,28,21+,Luxury,false,1000,true,101,14,2026-05-16,Key West,Islamorada,Islamorada,Florida,33036,United States,coastal,https://www.airbnb.com/rooms/913854835472738027,https://a0.muscache.com/im/pictures/prohost-api/Hosting-913854835472738027/original/d8cb1072-2e72-4905-80b5-1b6801d960cc.jpeg,913854835472738027,3306767,24.92436,-80.62476,=AVERAGE($G$2:$G$191),=AVERAGE($D$2:$D$191),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Turtle Nest Estate,507528739,,278603,384821,1556.44,65.81,272,4,4,12,true,false,false,true,true,false,true,Home/Apartment,Villa,House/villa,4.75,15,7,21+,Luxury,false,650,true,179,29,2026-05-17,Key West,Islamorada,Islamorada,Florida,33036,United States,coastal,https://www.airbnb.com/rooms/907259643452189381,https://a0.muscache.com/im/pictures/prohost-api/Hosting-907259643452189381/original/87f6bfd4-9d3a-4c6f-81b6-4880b9827601.jpeg,907259643452189381,2980153,24.86627,-80.70935,=AVERAGE($G$2:$G$191),=AVERAGE($D$2:$D$191),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Tea Table Key Private Island  5 BR Oceanfront home,Island Villa Rental Properties,,266642,442615,3212.55,44.39,229,6,5,10,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,5,1,7,6-20,Luxury,false,666,false,83,17,2026-05-14,Key West,Islamorada,Islamorada,Florida,33036,United States,coastal,https://www.airbnb.com/rooms/652029010838901807,https://a0.muscache.com/im/pictures/miso/Hosting-652029010838901807/original/ebf35115-ca28-4362-b6d8-8c90e9c48c89.jpeg,652029010838901807,2867194,24.89302,-80.65708,=AVERAGE($G$2:$G$191),=AVERAGE($D$2:$D$191),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
Islamorada Penthouse with Private Beach & Pool!,Equity Residences,,223351,280891,1151.29,71.59,292,3,3,8,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.9,31,7,21+,Luxury,true,699,false,194,34,2026-05-17,Key West,Islamorada,Islamorada,Florida,33036,United States,coastal,https://www.airbnb.com/rooms/50345715,https://a0.muscache.com/im/pictures/prohost-api/Hosting-50345715/original/d5b6d7fe-5019-4db4-919a-eaf20b4938b3.jpeg,50345715,2352171,24.9067,-80.6458,=AVERAGE($G$2:$G$191),=AVERAGE($D$2:$D$191),"=IFERROR(($AT12-G12)/$AT12,0)","=IFERROR(($AU12-D12)/$AU12,0)",=$AU12-D12
"Waterfront private home, pool, dock, sunsets, tiki",431196631,,209036,260350,1266.88,65.74,276,4,3,7,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,56,7,1,Luxury,true,450,false,165,24,2026-05-11,Key West,Islamorada,Islamorada,Florida,33036,United States,coastal,https://www.airbnb.com/rooms/836818708997811556,https://a0.muscache.com/im/pictures/bb030042-3ce8-4ea7-8b66-c15581c97eed.jpg,836818708997811556,3999773,24.9202,-80.6335,=AVERAGE($G$2:$G$191),=AVERAGE($D$2:$D$191),"=IFERROR(($AT13-G13)/$AT13,0)","=IFERROR(($AU13-D13)/$AU13,0)",=$AU13-D13
4 Bedroom Oceanfront Accessible Villa – Capacity 8,369863983,,200819,241748,2256.39,28.08,318,4,4,8,true,true,false,true,true,true,true,Home/Apartment,Villa,House/villa,5,4,2,6-20,Luxury,true,0,true,89,29,2026-05-13,Key West,Islamorada,Islamorada,Florida,33036,United States,coastal,https://www.airbnb.com/rooms/46756700,https://a0.muscache.com/im/pictures/prohost-api/Hosting-46756700/original/10a3dd80-d2dc-4b90-afbc-985c11c7b3ba.jpeg,46756700,4963158,24.9275,-80.6223,=AVERAGE($G$2:$G$191),=AVERAGE($D$2:$D$191),"=IFERROR(($AT14-G14)/$AT14,0)","=IFERROR(($AU14-D14)/$AU14,0)",=$AU14-D14
Oceanfront Keys Escape | Private Beach & Pool | 3,63349033,,189964,228911,1544.42,60,320,3,2,8,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,5,56,7,2-5,Luxury,false,699,true,123,15,2026-05-13,Key West,Islamorada,Islamorada,Florida,33036,United States,coastal,https://www.airbnb.com/rooms/51857893,https://a0.muscache.com/im/pictures/prohost-api/Hosting-51857893/original/b93fd0a1-fe03-4081-8341-a2bb2a8e2c90.jpeg,51857893,2409559,24.9259,-80.6238,=AVERAGE($G$2:$G$191),=AVERAGE($D$2:$D$191),"=IFERROR(($AT15-G15)/$AT15,0)","=IFERROR(($AU15-D15)/$AU15,0)",=$AU15-D15
Islamorada ~ Your Hammock Awaits,65533720,,186321,353823,1433.24,83.33,179,4,5,12,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,5,97,7,1,Luxury,false,0,false,130,14,2026-05-14,Key West,Islamorada,Islamorada,Florida,33036,United States,coastal,https://www.airbnb.com/rooms/932821202304065938,https://a0.muscache.com/im/pictures/miso/Hosting-932821202304065938/original/5023893c-78f2-49e3-8834-f17ad6830ff8.jpeg,932821202304065938,311833ha,24.872,-80.7016,=AVERAGE($G$2:$G$191),=AVERAGE($D$2:$D$191),"=IFERROR(($AT16-G16)/$AT16,0)","=IFERROR(($AU16-D16)/$AU16,0)",=$AU16-D16
