Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
**ALL TOGETHER NOW @ OLD TOWN** Three Homes & Pools + LAST KEY SERVICES…,Last Key,,1199102,1744766,5259.22,93.44,244,13,13,16,true,false,false,false,true,true,true,Home/Apartment,House,House/villa,5,5,3,21+,Luxury,false,1625,true,228,65,2022-06-20,Key West,Key West,Key West,Florida,33040,United States,coastal,https://www.airbnb.com/rooms/28663495,https://a0.muscache.com/im/pictures/4dd82c32-1a8b-46be-883f-d64acbc4aa48.jpg?aki_policy=x_large,28663495,7348031ha,24.55338,-81.80159,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
1 Block to Duval St | Banana's Foster Guesthouse,Brightwild,,940978,944724,2808.89,92.03,364,7,7,16,true,false,false,true,true,true,true,Home/Apartment,Apartment,Apt/Condo/Loft,4.8,37,1,21+,Luxury,false,972,true,335,143,2026-05-17,Key West,Key West,Key West,Florida,33040,United States,coastal,https://www.airbnb.com/rooms/53513303,https://a0.muscache.com/im/pictures/prohost-api/Hosting-53513303/original/b79c90cc-b50a-41d7-9137-b82dffe3ce90.jpeg,53513303,9631635ha,24.559,-81.8034,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Takeover at the Grand Maloney,Brightwild,,906163,1137726,3343.77,94.43,287,6,6,16,true,false,false,false,true,false,true,Home/Apartment,House,House/villa,4.75,29,1,21+,Luxury,false,600,true,271,94,2026-05-17,Key West,Key West,Key West,Florida,33040,United States,coastal,https://www.airbnb.com/rooms/48712703,https://a0.muscache.com/im/pictures/prohost-api/Hosting-48712703/original/24ac31c0-cd68-4c2d-a3e8-bb5964dbb19e.jpeg,48712703,9555994ha,24.5588,-81.8037,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Watson House Grande Estate on Simonton Street,Rent Key West Vacations,,899931,1184513,3829.49,84.23,279,11,11,16,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.8,8,5,21+,Luxury,true,1496,true,235,51,2026-05-16,Key West,Key West,Key West,Florida,33040,United States,coastal,https://www.airbnb.com/rooms/1197664977822575642,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1197664977822575642/original/36daf0aa-e537-4ebf-a50d-793b6b9fd2ab.jpeg,1197664977822575642,2801419,24.55495,-81.79961,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Key West Oasis - Truman Annex Estate,Conch Collection,,776047,796666,4880.8,73.27,351,5,4,8,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,3,28,21+,Luxury,false,850,true,159,4,2026-05-14,Key West,Key West,Key West,Florida,33040,United States,coastal,https://www.vrbo.com/2700590,https://media.vrbo.com/lodging/77000000/76330000/76324200/76324120/095fe324.jpg?impolicy=resizecrop&rw=1200&ra=fit,,2700590,24.552563,-81.807021,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Southern Palms - Steps to Duval with Private Pool,Brightwild,,729895,801064,2552.08,84.12,340,5,4,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.6,55,1,21+,Luxury,false,600,true,286,115,2026-05-11,Key West,Key West,Key West,Florida,33040,United States,coastal,https://www.airbnb.com/rooms/44428255,https://a0.muscache.com/im/pictures/prohost-api/Hosting-44428255/original/3dba2943-4a1f-4c1e-a355-81437dd1dbec.jpeg,44428255,9485540ha,24.5525,-81.8018,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
**THE DUKE & THE DUCHESS @ DUVAL** Compound w/ Pool & Hot Tub + LAST KEY SERVICE,Last Key,,685509,971530,3101.85,84.35,262,7,8,22,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,2,4,21+,Luxury,false,750,true,221,56,2026-05-13,Key West,Key West,Key West,Florida,33040,United States,coastal,https://www.vrbo.com/9865877ha,https://media.vrbo.com/lodging/98000000/97050000/97044300/97044212/59398b96.jpg?impolicy=resizecrop&rw=1200&ra=fit,,9865877ha,24.549365,-81.797335,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Harbor Luxe Celebration Suites,Keys Vacation Rentals,,681851,1024061,4370.84,60.7,257,8,8,16,true,false,false,true,false,true,false,Home/Apartment,Apartment,Apt/Condo/Loft,4.75,6,1,21+,Luxury,true,1373,true,156,60,2026-05-17,Key West,Key West,Key West,Florida,33040,United States,coastal,https://www.airbnb.com/rooms/1360906643329834448,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1360906643329834448/original/077657b5-83b1-4d3d-a2bc-11ddec60077a.jpeg,1360906643329834448,20115452ha,24.5600392141,-81.8075765504,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
**DOS CASITAS @ DUVAL** Old Town Cottage & Private Pool + LAST KEY SERVICES,Last Key,,680678,828868,2568.6,90.44,293,2,5,14,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,0,0,3,21+,Luxury,false,800,true,265,73,2026-05-14,Key West,Key West,Key West,Florida,33040,United States,coastal,https://www.vrbo.com/20132985ha,https://media.vrbo.com/lodging/115000000/114570000/114569600/114569577/5a9d3dee.jpg?impolicy=resizecrop&rw=1200&ra=fit,,20132985ha,24.54948,-81.797279,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Star of the Seaport at Old Town,Last Key,,670884,800501,2716.13,80.46,307,5,5,12,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,5,105,4,21+,Luxury,true,3633,true,247,43,2026-05-13,Key West,Key West,Key West,Florida,33040,United States,coastal,https://www.airbnb.com/rooms/21996917,https://a0.muscache.com/im/pictures/prohost-api/Hosting-21996917/original/30a0c06f-3418-45d0-b5e0-f354f5a48a50.jpeg,21996917,4287054ha,24.56077,-81.80362,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
