Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Somewhere With You|Easy Beach Access|Gulf Views,Echelon Luxury Properties,,307861,392270,2724.43,77.93,171,,,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,4,4,21+,Luxury,true,2374,true,113,18,2026-01-11,Santa Rosa/Rosemary Beach,Rosemary Beach / 30a,Rosemary Beach,Florida,32413,United States,coastal,https://www.airbnb.com/rooms/1143564388102983710,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1143564388102983710/original/fde22b53-e346-4e41-be4a-1b8cd7be11ff.jpeg,1143564388102983710,3771979,30.27559,-86.00822,"=AVERAGE($G$2:$G$1233)","=AVERAGE($D$2:$D$1233)","=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)","=$AU2-D2"
20% Off to Start the Year | Luxury Gulf Front,Oversee Rentals,,252441,275940,1717.29,67.74,234,2,2,6,true,false,false,true,true,false,false,Home/Apartment,Townhouse,Apt/Condo/Loft,5,9,3,21+,Luxury,false,2826,true,147,35,2026-02-20,Santa Rosa/Rosemary Beach,Rosemary Beach / 30a,Rosemary Beach,Florida,32413,United States,coastal,https://www.airbnb.com/rooms/1223864729125417142,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1223864729125417142/original/7d790e37-a6f3-4d03-b57a-2cc22d2fe4e2.jpeg,1223864729125417142,4156709,30.2913,-86.0544,"=AVERAGE($G$2:$G$1233)","=AVERAGE($D$2:$D$1233)","=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)","=$AU3-D3"
Into The Mystic - Luxurious Beach Front Townhouse,Oversee Rentals,,247330,272430,1294.92,68.71,328,2,2,6,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.8,34,3,21+,Luxury,true,598,true,191,40,2026-05-11,Santa Rosa/Rosemary Beach,Rosemary Beach / 30a,Rosemary Beach,Florida,32413,United States,coastal,https://www.airbnb.com/rooms/821132838708971848,https://a0.muscache.com/im/pictures/prohost-api/Hosting-821132838708971848/original/9c916e89-0d40-4c41-88ee-1532ba5c69f2.jpeg,821132838708971848,2588576,30.29187,-86.05316,"=AVERAGE($G$2:$G$1233)","=AVERAGE($D$2:$D$1233)","=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)","=$AU4-D4"
The Good Life,Exclusive 30A,,236560,242128,755.78,88.67,353,2,2,5,true,false,false,true,true,false,false,Home/Apartment,Townhouse,Apt/Condo/Loft,4.85,96,3,21+,Luxury,true,720,true,313,68,2026-05-17,Santa Rosa/Rosemary Beach,Rosemary Beach / 30a,Rosemary Beach,Florida,32413,United States,coastal,https://www.airbnb.com/rooms/651290791309352253,https://a0.muscache.com/im/pictures/prohost-api/Hosting-651290791309352253/original/46c6c970-ccf7-439f-b2f4-f0291829e41c.jpeg,651290791309352253,1666258,30.29079,-86.05232,"=AVERAGE($G$2:$G$1233)","=AVERAGE($D$2:$D$1233)","=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)","=$AU5-D5"
45W What the Heck @High Pointe w/Pool &Pickleball,30A Escapes,,207025,224199,742.03,84.55,330,2,2,8,true,false,true,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.7,20,3,21+,Luxury,true,578,true,279,59,2026-05-11,Santa Rosa/Rosemary Beach,Rosemary Beach / 30a,Rosemary Beach,Florida,32413,United States,coastal,https://www.airbnb.com/rooms/888663179255742716,https://a0.muscache.com/im/pictures/prohost-api/Hosting-888663179255742716/original/6e6b7162-d275-450f-9784-bba123b00ccf.jpeg,888663179255742716,3358518,30.2793114132,-86.0209440906,"=AVERAGE($G$2:$G$1233)","=AVERAGE($D$2:$D$1233)","=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)","=$AU6-D6"
Orleans 3A: Your Perfect Beach Rental Awaits!,Best Beach Getaways,,205450,212181,749.82,78.06,351,2,3,6,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.7,55,3,21+,Luxury,false,561,true,274,80,2026-05-17,Santa Rosa/Rosemary Beach,Rosemary Beach / 30a,Rosemary Beach,Florida,32413,United States,coastal,https://www.airbnb.com/rooms/852790497390795337,https://a0.muscache.com/im/pictures/prohost-api/Hosting-852790497390795337/original/6353cf07-51cb-4350-bd53-b2c4682a4b60.jpeg,852790497390795337,2780905,30.2795,-86.0171,"=AVERAGE($G$2:$G$1233)","=AVERAGE($D$2:$D$1233)","=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)","=$AU7-D7"
HP 24W Condo @ High Pointe w/Pool & Pickleball,30A Escapes,,202860,207570,699.52,81.46,356,2,2,6,true,false,true,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.9,43,3,21+,Luxury,true,578,true,290,59,2026-05-11,Santa Rosa/Rosemary Beach,Rosemary Beach / 30a,Rosemary Beach,Florida,32413,United States,coastal,https://www.airbnb.com/rooms/913688383632703311,https://a0.muscache.com/im/pictures/prohost-api/Hosting-913688383632703311/original/716255a4-ac8b-4e76-962f-4384312dd4e2.jpeg,913688383632703311,1545832,30.2801625699,-86.0216438654,"=AVERAGE($G$2:$G$1233)","=AVERAGE($D$2:$D$1233)","=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)","=$AU8-D8"
South Shore 30A by AvantStay | Gulf View w/ Pool,30A Beach Girls,,199769,217216,679.49,88.29,333,2,2,6,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.9,144,3,21+,Luxury,true,478,true,294,68,2026-05-17,Santa Rosa/Rosemary Beach,Rosemary Beach / 30a,Rosemary Beach,Florida,32413,United States,coastal,https://www.airbnb.com/rooms/52629825,https://a0.muscache.com/im/pictures/prohost-api/Hosting-52629825/original/72055848-6b07-4a53-b144-6f93985c1ac3.jpeg,52629825,1910283,30.2811,-86.02102,"=AVERAGE($G$2:$G$1233)","=AVERAGE($D$2:$D$1233)","=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)","=$AU9-D9"
High Pointe 44E | 30A | Beachfront | Pool,My Beach Getaways,,196765,232329,799.86,86.32,285,2,2,6,true,false,false,true,false,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.75,22,3,21+,Luxury,true,623,true,246,52,2026-05-17,Santa Rosa/Rosemary Beach,Rosemary Beach / 30a,Rosemary Beach,Florida,32413,United States,coastal,https://www.airbnb.com/rooms/1057238052247428234,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1057238052247428234/original/065b4415-10ee-4af3-b181-bc1d094843ce.jpeg,1057238052247428234,3277509,30.27916,-86.01889,"=AVERAGE($G$2:$G$1233)","=AVERAGE($D$2:$D$1233)","=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)","=$AU10-D10"
HP15W Salt & Light@ High Pointe w/Pool &Pickleball,30A Escapes,,196374,217458,743.84,82.24,321,2,2,8,true,false,true,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.6,24,3,21+,Luxury,true,578,true,264,60,2026-05-17,Santa Rosa/Rosemary Beach,Rosemary Beach / 30a,Rosemary Beach,Florida,32413,United States,coastal,https://www.airbnb.com/rooms/913685912071000907,https://a0.muscache.com/im/pictures/prohost-api/Hosting-913685912071000907/original/06a9f7e1-d8a6-4a26-8c2a-a0a3718c9942.jpeg,913685912071000907,2256440,30.280168191,-86.0216158266,"=AVERAGE($G$2:$G$1233)","=AVERAGE($D$2:$D$1233)","=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)","=$AU11-D11"
