Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
3 Beachfront Homes | Heated Pools | Hot Tubs | 80,151947999,,449845,570240,7255.56,37.58,193,18,16,16,true,true,true,true,true,true,true,Home/Apartment,House,House/villa,0,0,3,6-20,Luxury,true,2100,true,62,14,2026-05-11,Galveston,Port Bolivar,Gilchrist,Texas,77617,United States,coastal,https://www.airbnb.com/rooms/1508077922952428584,"https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTUwODA3NzkyMjk1MjQyODU4NA==/original/ffa73d89-07e0-40ea-bff3-fe9cfbe90578.png",1508077922952428584,,29.50127,-94.51594,"=AVERAGE($G$2:$G$830)","=AVERAGE($D$2:$D$830)","=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)","=$AU2-D2"
5 O' Clock Somewhere,Swedes Real Estate,,435824,514598,2212.3,60.43,330,10,11,16,true,true,false,true,true,false,true,Home/Apartment,House,House/villa,4.9,9,2,21+,Luxury,false,420,true,197,45,2026-05-13,Galveston,Port Bolivar,Port Bolivar,Texas,77650,United States,coastal,https://www.airbnb.com/rooms/1120389915021561443,https://a0.muscache.com/im/pictures/hosting/Hosting-1120389915021561443/original/83353b6c-af17-4d28-b75a-3d27fc2cd7d6.jpeg,1120389915021561443,3880302,29.4408,-94.6567,"=AVERAGE($G$2:$G$830)","=AVERAGE($D$2:$D$830)","=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)","=$AU3-D3"
2 Beachfront Homes | Heated Pools | Hot Tubs | 56,151947999,,430272,459336,4021.23,40.38,306,13,11,16,true,true,true,true,true,true,true,Home/Apartment,House,House/villa,0,0,3,6-20,Luxury,true,1750,true,107,26,2026-05-14,Galveston,Port Bolivar,Gilchrist,Texas,77617,United States,coastal,https://www.airbnb.com/rooms/1389878138399394766,"https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM4OTg3ODEzODM5OTM5NDc2Ng==/original/bad71e30-5285-43b7-9097-03c94a4d7349.png",1389878138399394766,,29.5012703907,-94.5143202009,"=AVERAGE($G$2:$G$830)","=AVERAGE($D$2:$D$830)","=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)","=$AU4-D4"
"3 Beachfront Homes | Sleeps 54, Perfect for Groups",Bolivar Vacations,,373998,438288,2266.65,62.98,266,15,12,16,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,4,1,2,21+,Luxury,true,1212,true,165,45,2026-05-13,Galveston,Port Bolivar,Gilchrist,Texas,77617,United States,coastal,https://www.airbnb.com/rooms/1358846641819379540,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1358846641819379540/original/5107c8a2-6cd2-41ad-8b87-231b28a001fe.jpeg,1358846641819379540,4439795,29.5004927253,-94.522622363,"=AVERAGE($G$2:$G$830)","=AVERAGE($D$2:$D$830)","=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)","=$AU5-D5"
"2 Beachfront Homes, Each with Pool. Sleep 26",22259364,,318435,509245,1759.31,84.58,214,8,5,16,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.6,5,3,6-20,Luxury,false,572,true,181,50,2026-05-17,Galveston,Port Bolivar,Gilchrist,Texas,77617,United States,coastal,https://www.airbnb.com/rooms/844047269479516327,https://a0.muscache.com/im/pictures/prohost-api/Hosting-844047269479516327/original/60b6b4d2-bbf6-465a-b2f6-09b39b740247.jpeg,844047269479516327,3328279,29.5156,-94.4794,"=AVERAGE($G$2:$G$830)","=AVERAGE($D$2:$D$830)","=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)","=$AU6-D6"
Dragonfly & Flamingo,Bolivar Vacations,,316364,358216,2309.23,45.07,309,10,8,16,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,4,1,2,21+,Luxury,true,1043,true,137,46,2026-05-13,Galveston,Port Bolivar,Gilchrist,Texas,77617,United States,coastal,https://www.airbnb.com/rooms/1360294174115385670,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1360294174115385670/original/497cffce-307d-44b8-93a8-b53478a857c2.jpeg,1360294174115385670,4441869,29.4969418299,-94.5294771621,"=AVERAGE($G$2:$G$830)","=AVERAGE($D$2:$D$830)","=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)","=$AU7-D7"
"Beachfront Luxury | 2 Homes, Pools & Hot Tubs",Bolivar Vacations,,309499,350658,2119.86,53.28,281,8,8,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,0,0,2,21+,Luxury,true,1033,true,146,36,2026-05-16,Galveston,Port Bolivar,Port Bolivar,Texas,77650,United States,coastal,https://www.airbnb.com/rooms/1350222084483360461,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1350222084483360461/original/2a9f6ee3-8f07-43cd-a388-4149cdb22d6e.jpeg,1350222084483360461,4420277,29.4254643684,-94.6824339971,"=AVERAGE($G$2:$G$830)","=AVERAGE($D$2:$D$830)","=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)","=$AU8-D8"
The Shores at Galveston,497003474,,284505,320662,1571.85,55.86,324,9,7,16,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,4.95,110,2,6-20,Luxury,true,300,false,181,36,2026-05-11,Galveston,Galveston,Galveston,Texas,77554,United States,coastal,https://www.airbnb.com/rooms/816076951256804658,https://a0.muscache.com/im/pictures/miso/Hosting-816076951256804658/original/2e33a798-25a2-4d38-9a13-9dd02ca145f7.jpeg,816076951256804658,,29.1699,-94.9925,"=AVERAGE($G$2:$G$830)","=AVERAGE($D$2:$D$830)","=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)","=$AU9-D9"
Beachfront-Heated Pool | Hot Tub | Lift | Sleep 32,151947999,,276216,284121,2192.19,38.3,346,8,6,16,true,true,true,true,true,true,true,Home/Apartment,House,House/villa,5,73,3,6-20,Luxury,true,975,true,126,33,2026-05-11,Galveston,Port Bolivar,Gilchrist,Texas,77617,United States,coastal,https://www.airbnb.com/rooms/1041383605099362122,https://a0.muscache.com/im/pictures/miso/Hosting-1041383605099362122/original/42f5aa5a-4809-4abe-8a72-38ee90ea9831.jpeg,1041383605099362122,3751855,29.50107,-94.51444,"=AVERAGE($G$2:$G$830)","=AVERAGE($D$2:$D$830)","=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)","=$AU10-D10"
Beachfront Estate w/ Expansive Deck & Ocean Views,StayBeachBox Vacations,,270376,300344,1228.98,69.18,318,8,4,16,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,4.5,238,1,21+,Luxury,false,276,true,220,74,2026-05-17,Galveston,Galveston,Galveston,Texas,77554,United States,coastal,https://www.airbnb.com/rooms/42141353,https://a0.muscache.com/im/pictures/prohost-api/Hosting-42141353/original/80de675d-7dd7-48be-81ab-16e8a0b18aa1.jpeg,42141353,1945033,29.16845,-94.99116,"=AVERAGE($G$2:$G$830)","=AVERAGE($D$2:$D$830)","=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)","=$AU11-D11"
