Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
New-Vacationers Paradise-2 Luxury Homes-Sleeps 36,Vunique Vacations,,1152013,1413211,5165.98,77.16,295,12,14,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,3,3,21+,Luxury,true,4624,true,223,36,2026-05-14,Sarasota,Siesta Key,Sarasota,Florida,34242,United States,coastal,https://www.airbnb.com/rooms/1410861599971687676,https://a0.muscache.com/im/pictures/hosting/Hosting-1410861599971687676/original/f1cb8e48-f419-49d9-b4a2-2cefc2f38639.jpeg,1410861599971687676,4563867,27.2517256315,-82.531382053,"=AVERAGE($G$2:$G$1012)","=AVERAGE($D$2:$D$1012)","=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)","=$AU2-D2"
Luxe Lagoon Luxury Siesta Key Beach Home with Pool,The Cottages,,1065361,1227573,4756.08,72.26,310,7,8,16,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,4.95,25,2,21+,Luxury,true,6312,true,224,35,2026-05-13,Sarasota,Siesta Key,Sarasota,Florida,34242,United States,coastal,https://www.airbnb.com/rooms/1060258738460680013,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1060258738460680013/original/78ae2eff-835c-4d39-9477-69707c4d331b.jpeg,1060258738460680013,9909999ha,27.2763,-82.5664,"=AVERAGE($G$2:$G$1012)","=AVERAGE($D$2:$D$1012)","=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)","=$AU3-D3"
"Tropical Oasis | Luxury SK Home, Steps To Beach!",The Cottages,,848802,1027935,4467.38,61.29,315,7,6,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.85,39,2,21+,Luxury,true,0,true,190,29,2026-05-13,Sarasota,Siesta Key,Sarasota,Florida,34242,United States,coastal,https://www.airbnb.com/rooms/812905353380967244,https://a0.muscache.com/im/pictures/prohost-api/Hosting-812905353380967244/original/6062c4f0-cd59-417f-a279-32df3aca3819.jpeg,812905353380967244,9624249ha,27.27404,-82.56571,"=AVERAGE($G$2:$G$1012)","=AVERAGE($D$2:$D$1012)","=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)","=$AU4-D4"
Experience the Ultimate in Coastal Luxury,The Cottages,,798794,1084118,4204.18,83.7,234,8,8,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,12,2,21+,Luxury,true,0,true,190,33,2026-05-14,Sarasota,Siesta Key,Sarasota,Florida,34242,United States,coastal,https://www.airbnb.com/rooms/1330471040740352277,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1330471040740352277/original/de351a2b-352e-4c5f-9f1c-3a5166825f25.jpeg,1330471040740352277,20097942ha,27.2469135407,-82.5329136029,"=AVERAGE($G$2:$G$1012)","=AVERAGE($D$2:$D$1012)","=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)","=$AU5-D5"
Sandy Rocks | Walking Distance To Crescent Beach!,The Cottages,,687361,1273710,4140.73,86.91,201,10,8,16,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,5,1,2,21+,Luxury,true,0,true,166,31,2026-05-15,Sarasota,Siesta Key,Sarasota,Florida,34242,United States,coastal,https://www.airbnb.com/rooms/812906970821648904,https://a0.muscache.com/im/pictures/prohost-api/Hosting-812906970821648904/original/5eacb4e5-394b-45a4-aa9e-0ec42e6e6d99.jpeg,812906970821648904,9623156ha,27.24647,-82.53191,"=AVERAGE($G$2:$G$1012)","=AVERAGE($D$2:$D$1012)","=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)","=$AU6-D6"
Siesta Key Oceanfront Palace with Private Beach,9286538,,682652,703735,3771.56,54.03,347,5,7,12,true,true,true,true,true,true,true,Home/Apartment,House,House/villa,4.85,86,1,6-20,Luxury,true,1500,false,181,39,2026-05-13,Sarasota,Siesta Key,Sarasota,Florida,34242,United States,coastal,https://www.airbnb.com/rooms/48378411,https://a0.muscache.com/im/pictures/b51c48b4-3a40-43b2-ad97-887cec1a5bf3.jpg,48378411,2254087,27.29766,-82.5585,"=AVERAGE($G$2:$G$1012)","=AVERAGE($D$2:$D$1012)","=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)","=$AU7-D7"
Island Escape | Walking Distance to SK Beach!,The Cottages,,657672,771669,2500.65,93.59,285,4,2,12,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.95,42,2,21+,Luxury,true,0,true,263,43,2026-05-17,Sarasota,Siesta Key,Sarasota,Florida,34242,United States,coastal,https://www.airbnb.com/rooms/812906796811722567,https://a0.muscache.com/im/pictures/prohost-api/Hosting-812906796811722567/original/95c6f30b-bc22-43ca-b18d-80b0f41f5637.jpeg,812906796811722567,9650462ha,27.26795,-82.55724,"=AVERAGE($G$2:$G$1012)","=AVERAGE($D$2:$D$1012)","=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)","=$AU8-D8"
New–2 Homes–Big Waterslide–Sport Court–Sleeps 37,Vunique Vacations,,647437,825108,4904.83,86.84,168,13,14,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,0,0,3,21+,Luxury,true,5491,true,132,18,2026-05-11,Sarasota,Siesta Key,Sarasota,Florida,34242,United States,coastal,https://www.airbnb.com/rooms/1531137702614245012,https://a0.muscache.com/im/pictures/hosting/Hosting-1531137702614245012/original/620460e1-f50e-4495-b71c-ee8d827fc046.jpeg,1531137702614245012,4978943,27.2508392128,-82.5312759213,"=AVERAGE($G$2:$G$1012)","=AVERAGE($D$2:$D$1012)","=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)","=$AU9-D9"
#1 Rooftop Gulf Views-Theatre Room-Unmatched Slide,Vunique Vacations,,647412,692320,2452.32,78.57,336,5,6,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,15,3,21+,Luxury,true,2624,true,264,55,2026-05-17,Sarasota,Siesta Key,Sarasota,Florida,34242,United States,coastal,https://www.airbnb.com/rooms/1287733969162254144,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1287733969162254144/original/c4ba5fc4-c4c3-42aa-91bd-b882bb487d55.jpeg,1287733969162254144,4284795,27.26922,-82.55752,"=AVERAGE($G$2:$G$1012)","=AVERAGE($D$2:$D$1012)","=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)","=$AU10-D10"
Siesta Soul | Located in Siesta Key Village,The Cottages,,588759,785521,2505.36,87.04,270,4,3,8,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.9,62,2,21+,Luxury,true,11667,true,235,33,2026-05-17,Sarasota,Siesta Key,Sarasota,Florida,34242,United States,coastal,https://www.airbnb.com/rooms/812995397260952457,https://a0.muscache.com/im/pictures/prohost-api/Hosting-812995397260952457/original/18dcee16-e20d-41bd-8403-7dcf3cdabbdd.jpeg,812995397260952457,9450567ha,27.27358,-82.56219,"=AVERAGE($G$2:$G$1012)","=AVERAGE($D$2:$D$1012)","=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)","=$AU11-D11"
