Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap,Revenue Potential Gap,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Website,Email,Social media link,Social media type
 Private pool Sleeps 18. 2min walk to beach. Free beach set ups plenty of Beach!,,,165705,312331,1949.47,65.38,163,6,5,18,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,5,105,3,1,Luxury,false,800,true,85,15,2026-05-17,Santa Rosa/Rosemary Beach,Rosemary Beach / 30a,Rosemary Beach,Florida,32413,United States,coastal,https://www.vrbo.com/168400,https://media.vrbo.com/lodging/34000000/33400000/33394100/33394059/13c9c279.jpg?impolicy=resizecrop&rw=1200&ra=fit,,168400,30.276056,-86.010139,54.76,=AVERAGE($D$2:$D$1233),10.62,"=IFERROR(($AU1106-D1106)/$AU1106,0)",=$AU1106-D1106,146626,168400,Private pool Sleeps 18. 2min walk to beach. Free beach set ups plenty of Beach!,,,,,,,,,
"Private beach, heated pool, game room, tiki bar, parking for up to 18 vehicles! ",,,214058,307282,1928.45,45.87,286,10,7,44,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.9,151,3,1,Luxury,false,772,true,111,23,2026-05-15,Santa Rosa/Rosemary Beach,Miramar Beach,Miramar Beach,Florida,32550,United States,coastal,https://www.vrbo.com/429585,https://media.vrbo.com/lodging/35000000/34120000/34113000/34112997/bd06d3f6_edited_ddb0.jpg?impolicy=resizecrop&rw=1200&ra=fit,,429585,30.372913,-86.347055,57.20,=AVERAGE($D$2:$D$554),-11.33,"=IFERROR(($AU39-D39)/$AU39,0)",=$AU39-D39,93224,429585,"Private beach, heated pool, game room, tiki bar, parking for up to 18 vehicles!",,,,,,,,,
"SeaOatsCaptivaIsland: Private Waterfront Estate, Beach, Pool, Dock & Pickleball",,,1061066,1112711,5862.24,52.01,348,11,11,30,true,true,true,true,true,true,true,Home/Apartment,House,House/villa,5,45,2,1,Luxury,false,3500,false,181,30,2026-05-13,Cape Coral/Fort Myers,Captiva,Captiva,Florida,33924,United States,coastal,https://www.vrbo.com/475504,https://media.vrbo.com/lodging/35000000/34400000/34391700/34391662/65880137.jpg?impolicy=resizecrop&rw=1200&ra=fit,,475504,26.494657,-82.184485,52.23,=AVERAGE($D$2:$D$501),-0.22,"=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4,51645,475504,"SeaOatsCaptivaIsland: Private Waterfront Estate, Beach, Pool, Dock & Pickleball",,,,,,,,,
"BEACHFRONT, HEATED POOL, KAYAKS/SUP, LANAI W/ GULF VIEWS, 85' DOCK, 2 GOLF CARTS",,,162295,234988,1363.82,55.35,226,5,5,12,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.9,170,7,1,Luxury,false,725,true,119,17,2026-05-17,Cape Coral/Fort Myers,Captiva,Captiva,Florida,33924,United States,coastal,https://www.vrbo.com/758594,https://media.vrbo.com/lodging/33000000/32430000/32420100/32420023/c33dd0db.jpg?impolicy=resizecrop&rw=1200&ra=fit,,758594,26.595018,-82.223669,55.98,=AVERAGE($D$2:$D$501),-0.63,"=IFERROR(($AU31-D31)/$AU31,0)",=$AU31-D31,72693,758594,"BEACHFRONT, HEATED POOL, KAYAKS/SUP, LANAI W/ GULF VIEWS, 85' DOCK, 2 GOLF CARTS",,,,,,,,,
Large Luxury Near Beach Home On Captiva in the Village. Great for Groups!,,,191380,308191,2990.31,37.65,307,5,5,18,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.7,37,3,1,Luxury,false,680,false,64,9,2026-05-14,Cape Coral/Fort Myers,Captiva,Captiva,Florida,33924,United States,coastal,https://www.vrbo.com/772868,https://media.vrbo.com/lodging/34000000/33940000/33933300/33933250/12c87f22.jpg?impolicy=resizecrop&rw=1200&ra=fit,,772868,26.522766,-82.190303,55.98,=AVERAGE($D$2:$D$501),-18.33,"=IFERROR(($AU22-D22)/$AU22,0)",=$AU22-D22,116811,772868,Large Luxury Near Beach Home On Captiva in the Village. Great for Groups!,,,,,,,,,
"Delightful Sea Island Beach Cottage, Private Pool, Hot Tub & Steps from Beach",,,118445,280290,1850.7,43.54,204,6,6,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,33,3,1,Luxury,false,795,true,64,14,2026-05-16,Amelia/St. Simons/Jekyll Islands,Saint Simons Island,Sea Island,Georgia,31561,United States,coastal,https://www.vrbo.com/1091049,https://media.vrbo.com/lodging/35000000/34120000/34112700/34112627/06968fb5.jpg?impolicy=resizecrop&rw=1200&ra=fit,,1091049,31.198731,-81.330922,52.55,=AVERAGE($D$2:$D$1001),-9.01,"=IFERROR(($AU583-D583)/$AU583,0)",=$AU583-D583,161845,1091049,"Delightful Sea Island Beach Cottage, Private Pool, Hot Tub & Steps from Beach",,,,,,,,,
Ultimate Beach House that Sleeps 20 with Amazing Gulf Views! Private 50' Pool!!!,,,268761,438427,2133.02,71.59,209,7,6,20,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,5,45,3,1,Luxury,false,995,true,126,22,2026-05-15,Santa Rosa/Rosemary Beach,Rosemary Beach / 30a,Rosemary Beach,Florida,32413,United States,coastal,https://www.vrbo.com/1465539,https://media.vrbo.com/lodging/35000000/34210000/34201400/34201309/8fb51b98.jpg?impolicy=resizecrop&rw=1200&ra=fit,,1465539,30.27414,-86.002779,54.21,=AVERAGE($D$2:$D$1233),17.38,"=IFERROR(($AU1049-D1049)/$AU1049,0)",=$AU1049-D1049,169666,1465539,Ultimate Beach House that Sleeps 20 with Amazing Gulf Views! Private 50' Pool!!!,,,,,,,,,
No Regrets ~ Luxury at the Beach ~ pool & spa ~ 6 bedrooms & 5 full bathrooms ~,,,103956,113791,1315.9,27.43,349,6,5,22,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,89,2,1,Luxury,false,373,true,79,26,2026-05-17,Galveston,Port Bolivar,Port Bolivar,Texas,77650,United States,coastal,https://www.vrbo.com/1802763,https://media.vrbo.com/lodging/43000000/42380000/42378600/42378531/36817735.jpg?impolicy=resizecrop&rw=1200&ra=fit,,1802763,29.47213,-94.59269,38.40,=AVERAGE($D$2:$D$830),-10.97,"=IFERROR(($AU116-D116)/$AU116,0)",=$AU116-D116,9835,1802763,No Regrets ~ Luxury at the Beach ~ pool & spa ~ 6 bedrooms & 5 full bathrooms ~,,,,,,,,,
 New~ 6 Bedroom 5 bath ~ Pool and Spa ~ Beach Views~ Direct Beach Access,,,148379,170155,1226.27,41.02,326,6,5,22,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,5,100,2,1,Luxury,false,375,true,121,34,2026-05-16,Galveston,Port Bolivar,Port Bolivar,Texas,77650,United States,coastal,https://www.vrbo.com/1962198,https://media.vrbo.com/lodging/52000000/51670000/51661000/51660915/0be61eb4.jpg?impolicy=resizecrop&rw=1200&ra=fit,,1962198,29.453376,-94.632304,38.40,=AVERAGE($D$2:$D$830),2.62,"=IFERROR(($AU50-D50)/$AU50,0)",=$AU50-D50,21776,1962198,New~ 6 Bedroom 5 bath ~ Pool and Spa ~ Beach Views~ Direct Beach Access,,,,,,,,,
Breathtaking Pointe West Beachfront Luxurious Home with Elevator,,,117326,170740,1289.3,49.19,274,5,5,20,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,5,143,3,1,Luxury,false,390,true,91,21,2026-05-15,Galveston,Galveston,Galveston,Texas,77554,United States,coastal,https://www.vrbo.com/2089225,https://media.vrbo.com/lodging/60000000/59200000/59197700/59197674/89eb475c.jpg?impolicy=resizecrop&rw=1200&ra=fit,,2089225,29.106103,-95.092022,45.23,=AVERAGE($D$2:$D$830),3.96,"=IFERROR(($AU85-D85)/$AU85,0)",=$AU85-D85,53414,2089225,Breathtaking Pointe West Beachfront Luxurious Home with Elevator,,,,,,,,,
