Row,Listing title,Property Manager/Host,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Contact,Website,Email,Social media link,Social media type
2,Classic Key West Estate - 7BR Mansion off Duval St w/Pool & Guesthouse Sleeps 16,Vacation Homes of Key West,138048,,+13052947358,https://ns3.vacationhomesofkeywest.com/contact-us.html,Medium,Duplicate Property Manager/Host group found Vacation Homes of Key West contact page with local phone; reused across same host rows.,manager,Vacation Homes of Key West,https://vacationhomesofkeywest.com/,info@vhkw.com,,
3,"Gulf Views, 8 Bikes, 6-Passenger LSV, and Elegant Group Retreat",360 Blue,824144,,+18775502017,https://www.naturalretreats.com/content/360blue/us/en/about-us/contact-us.html,Medium,Duplicate Property Manager/Host group found official 360 Blue contact page with visible guest phone; reused across same host rows.,manager,360 Blue,https://www.360blue.com/,,,
4,"Gulf-Front Home with Infinity Pool, Game Room and Beach Access",360 Blue,935164,,+18775502017,https://www.naturalretreats.com/content/360blue/us/en/about-us/contact-us.html,Medium,Duplicate Property Manager/Host group found official 360 Blue contact page with visible guest phone; reused across same host rows.,manager,360 Blue,https://www.360blue.com/,,,
5,Verona - Huge Ocean Front Home in Gulf Pines with Private Pool & Beach Access,Five Star Gulf Rentals,1004307,,+18002082324,https://www.fivestargulfrentals.com/group-vacation-accommodations-destin/,Medium,Duplicate Property Manager/Host group found Five Star Gulf Rentals page with public reservations phone; reused across same host rows.,manager,Five Star Gulf Rentals,https://www.fivestargulfrentals.com/,info@fivestargulfrentals.com,,
6,"Multi-home tropical paradise with large, heated pool, & wraparound sundeck",Vacasa,1204539,,+18005440300,https://www.vacasa.com/support,Medium,Duplicate Property Manager/Host group found Vacasa official support page with guest support phone; reused across same host rows.,manager,Vacasa,https://www.vacasa.com/,info@vacasa.com,,
7,"Magnificent East Beach Home! Heated Pool, 5BR/5.5BA Sleeps 16",,1533366,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
8,"Spectacular Ocean Views! Immaculate Family Oceanfront Home, Pool, Rooftop Deck! Emmeline Cottage",,1671565,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
9,"Checked Out Cottage - LUXURY HOME! PRIVATE POOL, CONCIERGE SERVICES!",Rosemary Beach Cottage Rental Company,1831918,,+18448655783,https://therosemarybeachinn.com/faqs,Medium,Duplicate Property Manager/Host group found Rosemary Beach Inn FAQ naming Rosemary Beach Cottage Rental Company as property manager with phone.,manager,Rosemary Beach Cottage Rental Company,https://rosemarybeach.com/rentals/rosemary-beach-cottage-rentals/,rentals@rosemarybeach.com,,
10,"McDonald Cottage - Gulf Views! Close to Beach! Free Bikes, Fitness & Tennis!",Rosemary Beach Cottage Rental Company,1831925,,+18448655783,https://therosemarybeachinn.com/faqs,Medium,Duplicate Property Manager/Host group found Rosemary Beach Inn FAQ naming Rosemary Beach Cottage Rental Company as property manager with phone.,manager,Rosemary Beach Cottage Rental Company,https://rosemarybeach.com/rentals/rosemary-beach-cottage-rentals/,rentals@rosemarybeach.com,,
11,"Beachview Cottage & CH - LUXURY HOME! PRIVATE POOL, $100 CONCIERGE CREDIT",Rosemary Beach Cottage Rental Company,1832085,,+18448655783,https://therosemarybeachinn.com/faqs,Medium,Duplicate Property Manager/Host group found Rosemary Beach Inn FAQ naming Rosemary Beach Cottage Rental Company as property manager with phone.,manager,Rosemary Beach Cottage Rental Company,https://rosemarybeach.com/rentals/rosemary-beach-cottage-rentals/,rentals@rosemarybeach.com,,
