Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Old Town Overlook - Stay & Swim,535852608,,69137,75771,853.54,27.84,337,4,3,16,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.95,50,2,2-5,Luxury,true,350,false,81,25,2026-05-13,Sedona,Cottonwood,Cottonwood,Arizona,86326,United States,mountains_lakes,https://www.airbnb.com/rooms/974705698890823357,https://a0.muscache.com/im/pictures/miso/Hosting-974705698890823357/original/f215ef91-d138-47d6-b30a-e20042906146.jpeg,974705698890823357,3866500,34.74482,-112.02796,=AVERAGE($G$2:$G$12),=AVERAGE($D$2:$D$12),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Private POOL & HOT TUB Serenity Privacy ZEN Oasis,109188727,,52636,54926,286.07,52.72,349,1,1,2,true,true,true,true,true,false,true,Home/Apartment,Guest house,House/villa,5,390,2,2-5,Luxury,true,75,true,184,64,2026-05-11,Sedona,Cottonwood,Cottonwood,Arizona,86326,United States,mountains_lakes,https://www.airbnb.com/rooms/16572035,https://a0.muscache.com/im/pictures/miso/Hosting-16572035/original/1473d218-c0b1-4fe8-acb7-a84d7e0fa1bf.jpeg,16572035,993372,34.69738,-112.01281,=AVERAGE($G$2:$G$12),=AVERAGE($D$2:$D$12),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
"Modern 3 BD House in Cottonwood Downtown, 20 mins to Sedona. ",,,42779,46988,388.9,43.14,304,3,3,10,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,4.6,10,2,1,Luxury,false,150,false,110,17,2026-05-14,Sedona,Cottonwood,Cottonwood,Arizona,86326,United States,mountains_lakes,https://www.vrbo.com/2971433,https://media.vrbo.com/lodging/84000000/83940000/83934900/83934844/370babfa.jpg?impolicy=resizecrop&rw=1200&ra=fit,,2971433,34.739188,-112.009879,=AVERAGE($G$2:$G$12),=AVERAGE($D$2:$D$12),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Bootlegger's Loft Luxury 2 Bedroom, 2 F/Bath Condo",11916051,,39075,43745,379.37,32.19,325,2,2,4,true,false,false,true,true,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,5,151,2,2-5,Luxury,true,100,false,103,37,2026-05-16,Sedona,Cottonwood,Cottonwood,Arizona,86326,United States,mountains_lakes,https://www.airbnb.com/rooms/46789983,https://a0.muscache.com/im/pictures/b0f48b58-ca29-4ced-a8fa-1a86c92e7c97.jpg,46789983,2163266,34.749,-112.0273,=AVERAGE($G$2:$G$12),=AVERAGE($D$2:$D$12),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Oasis on Main Walk to Tasting Rooms & Restaurants!,109188727,,35207,39864,338.53,35.62,306,3,2,6,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,48,2,2-5,Luxury,true,125,false,104,39,2026-05-13,Sedona,Cottonwood,Cottonwood,Arizona,86326,United States,mountains_lakes,https://www.airbnb.com/rooms/21477333,https://a0.muscache.com/im/pictures/monet/Select-21477333/original/37cbf7d7-8bdd-4f9c-8b81-20dab1d823e4,21477333,1199651,34.74386,-112.02315,=AVERAGE($G$2:$G$12),=AVERAGE($D$2:$D$12),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Main Street Loft/Luxury 2nd Floor 1100 sq ft Condo,11916051,,28630,34938,260.27,40.44,292,1,1,2,true,false,false,true,true,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,5,178,2,2-5,Luxury,true,76,false,110,38,2026-05-11,Sedona,Cottonwood,Cottonwood,Arizona,86326,United States,mountains_lakes,https://www.airbnb.com/rooms/46814188,https://a0.muscache.com/im/pictures/miso/Hosting-46814188/original/85d0ca72-7de0-417c-b9f6-8bde6119cd68.jpeg,46814188,2175100,34.7489,-112.0271,=AVERAGE($G$2:$G$12),=AVERAGE($D$2:$D$12),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
2 Bedroom Home - Seasonal Saltwater Pool 1.5 Bath,222742530,,18189,22675,356.65,21.34,290,2,1,8,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,5,17,1,1,Luxury,false,0,true,51,27,2026-03-07,Sedona,Cottonwood,Cottonwood,Arizona,86326,United States,mountains_lakes,https://www.airbnb.com/rooms/29590300,https://a0.muscache.com/im/pictures/miso/Hosting-29590300/original/b685e740-a232-481b-a286-05d36c26af64.jpeg,29590300,,34.72367,-112.00725,=AVERAGE($G$2:$G$12),=AVERAGE($D$2:$D$12),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Luxury Desert Retreat Near Sedona & Wine Country,68446015,,14124,18343,470.8,62.5,66,3,2,6,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,0,0,3,21+,Luxury,false,399,false,30,6,2026-03-12,Sedona,Cottonwood,Cottonwood,Arizona,86326,United States,mountains_lakes,https://www.airbnb.com/rooms/1612618688462709649,https://a0.muscache.com/im/pictures/hosting/Hosting-1612618688462709649/original/162eb093-74bf-4a28-82a0-b4062eb5fa46.png,1612618688462709649,5087165,34.70828,-112.00137,=AVERAGE($G$2:$G$12),=AVERAGE($D$2:$D$12),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
"Two Side-By-Side Cabins, Fire Pits, More: TinyCamp",1463735,,4786,5168,435.09,7.91,357,2,2,8,true,false,true,false,true,true,false,Home/Apartment,Tiny house,Unique,0,0,2,21+,Luxury,true,200,false,11,4,2026-03-19,Sedona,Cottonwood,Cottonwood,Arizona,86326,United States,mountains_lakes,https://www.airbnb.com/rooms/1139266278611021212,https://a0.muscache.com/im/pictures/miso/Hosting-1139266278611021212/original/c824c27f-5331-4816-932b-c7d3b0221661.jpeg,1139266278611021212,,34.7446,-112.0257,=AVERAGE($G$2:$G$12),=AVERAGE($D$2:$D$12),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Two Side-By-Side Cabins with Outdoor Spa: TinyCamp,1463735,,2206,2787,441.2,6.1,362,2,2,4,true,false,true,false,true,true,false,Home/Apartment,Tiny house,Unique,0,0,2,21+,Luxury,true,200,false,5,2,2026-03-19,Sedona,Cottonwood,Cottonwood,Arizona,86326,United States,mountains_lakes,https://www.airbnb.com/rooms/1139218572463450430,https://a0.muscache.com/im/pictures/miso/Hosting-1139218572463450430/original/faca92bb-ba7a-4b6d-9b35-a03d38e2bff8.jpeg,1139218572463450430,,34.7447,-112.026,=AVERAGE($G$2:$G$12),=AVERAGE($D$2:$D$12),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
