Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Iconic Views w/Pickleball & Gameroom | Pool & Spa,158774122,,221355,293256,1505.82,60,259,7,6,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,56,2,6-20,Luxury,true,695,true,147,39,2026-05-11,Lake Havasu/Kingman,Lake Havasu City,Lake Havasu City,Arizona,86406,United States,mountains_lakes,https://www.airbnb.com/rooms/1288472630280657707,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTI4ODQ3MjYzMDI4MDY1NzcwNw==/original/0c8b4715-b390-48a3-be08-5f171e838513.jpeg,1288472630280657707,4377365,34.4546191672,-114.3241369602,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Resort Backyard | Lakeviews | Near Riviera Marina,158774122,,201459,240886,932.68,70.13,308,5,4,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,157,2,6-20,Luxury,true,549,true,216,65,2026-05-17,Lake Havasu/Kingman,Lake Havasu City,Lake Havasu City,Arizona,86406,United States,mountains_lakes,https://www.airbnb.com/rooms/583438115830632696,https://a0.muscache.com/im/pictures/hosting/Hosting-583438115830632696/original/ca55b7d7-4efd-414e-b120-3622f423ea0e.jpeg,583438115830632696,2731221,34.45519,-114.31366,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
"8BR/9BA Desert Oasis: Pool, Sand Beach & Game Barn",525152848,,186175,192066,1443.22,37.39,354,8,9,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,64,3,2-5,Luxury,true,694,true,129,35,2026-05-13,Lake Havasu/Kingman,Lake Havasu City,Lake Havasu City,Arizona,86404,United States,mountains_lakes,https://www.airbnb.com/rooms/955286605424179513,https://a0.muscache.com/im/pictures/miso/Hosting-955286605424179513/original/c1f0afc5-0846-4e49-94cf-d8f63cdded2e.jpeg,955286605424179513,3552769,34.52426,-114.28077,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Lakeview Villa w/heated pool & spa, 1 mle marina",158774122,,150156,194495,747.04,68.84,292,4,3,12,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,9,2,6-20,Luxury,true,449,true,201,56,2026-05-17,Lake Havasu/Kingman,Lake Havasu City,Lake Havasu City,Arizona,86406,United States,mountains_lakes,https://www.airbnb.com/rooms/1108329063411228341,https://a0.muscache.com/im/pictures/8cf3908a-639f-4681-8f8e-99eb04bc3aca.jpg,1108329063411228341,,34.45351,-114.31512,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Pickleball | Pool • Spa • Sleeps 26 | Near Marina,158774122,,144161,245260,1275.76,58.85,203,7,6,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,70,2,6-20,Luxury,true,750,true,113,36,2026-05-17,Lake Havasu/Kingman,Lake Havasu City,Lake Havasu City,Arizona,86406,United States,mountains_lakes,https://www.airbnb.com/rooms/1222098788094563970,https://a0.muscache.com/im/pictures/hosting/Hosting-1222098788094563970/original/f911724d-d4b8-4de2-958f-7fb4b4cab2a6.jpeg,1222098788094563970,4183192,34.46156,-114.29117,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Multi-Million Dollar Luxury Resort Estate/Sleeps18,399226186,,136855,165475,2443.84,33.14,298,8,8,16,true,false,true,true,true,false,true,Home/Apartment,Villa,House/villa,4.9,41,3,2-5,Luxury,true,699,true,56,17,2026-05-17,Lake Havasu/Kingman,Lake Havasu City,Lake Havasu City,Arizona,86406,United States,mountains_lakes,https://www.airbnb.com/rooms/51520493,https://a0.muscache.com/im/pictures/miso/Hosting-51520493/original/01616304-1c9a-4b1f-953e-b9cc7a6a533c.jpeg,51520493,2425137,34.45621,-114.32109,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Lake Havasu Lagoon,97696230,,126733,169699,918.36,55.87,285,6,5,14,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.95,75,4,1,Luxury,true,501,false,138,21,2026-05-17,Lake Havasu/Kingman,Lake Havasu City,Lake Havasu City,Arizona,86404,United States,mountains_lakes,https://www.airbnb.com/rooms/1009503596567019771,https://a0.muscache.com/im/pictures/miso/Hosting-1009503596567019771/original/2ce26bc5-0a35-482b-875e-58d28417b559.jpeg,1009503596567019771,,34.5166,-114.3547,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Golf • Pool • Spa | Mtn Views | Near Marina,158774122,,121284,136208,566.75,65.64,326,4,2,14,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,120,2,6-20,Luxury,true,451,true,214,59,2026-05-17,Lake Havasu/Kingman,Lake Havasu City,Lake Havasu City,Arizona,86406,United States,mountains_lakes,https://www.airbnb.com/rooms/903199346719747713,https://a0.muscache.com/im/pictures/hosting/Hosting-903199346719747713/original/b0000735-b019-4940-84ce-d96d1af0b4b4.jpeg,903199346719747713,3489132,34.4642,-114.3116,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Rayo Del Sol - Luxury New Build,598120875,,103433,111265,623.09,48.97,339,4,3,12,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,55,3,1,Luxury,false,350,true,166,51,2026-05-11,Lake Havasu/Kingman,Lake Havasu City,Lake Havasu City,Arizona,86403,United States,mountains_lakes,https://www.airbnb.com/rooms/1233643034789620719,https://a0.muscache.com/im/pictures/hosting/Hosting-1233643034789620719/original/207db9d7-19a2-44b0-a5e0-61362163640e.jpeg,1233643034789620719,4190850,34.4807,-114.3277,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Pool | Spa | Pool Table | Lake View | Sleeps 24,StayEasyLLC,,102830,115978,934.82,34.81,329,7,5,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.95,35,2,21+,Luxury,true,480,false,110,32,2026-03-03,Lake Havasu/Kingman,Lake Havasu City,Lake Havasu City,Arizona,86404,United States,mountains_lakes,https://www.airbnb.com/rooms/1126200401403454639,https://a0.muscache.com/im/pictures/miso/Hosting-1126200401403454639/original/c57796b2-7e48-4294-8706-2ce847fa4e25.jpeg,1126200401403454639,,34.51409,-114.29246,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
