Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Zebra Ranch 150 Guest Venue & Lodging| Mtn Vu•Farm,388294263,,244470,272546,5093.12,68.57,80,,,16,true,false,false,true,true,true,false,Home/Apartment,Ranch,Unique,0,0,2,21+,Luxury,true,6635,false,48,10,2026-05-11,Arizona Area,Prescott,Prescott,Arizona,86305,United States,rural,https://www.airbnb.com/rooms/1614597921121243495,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1614597921121243495/original/17086b66-7899-46a0-ba87-3ebc61028da3.png,1614597921121243495,5088086,34.6512001765,-112.5152069985,=AVERAGE($G$2:$G$283),=AVERAGE($D$2:$D$283),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
View ~ATV~Karaoke Bar ~Kayaks/Bikes ~Hot Tub/Sauna,341516015,,119758,134232,1069.27,38.23,329,5,3,16,true,false,true,true,true,true,false,Home/Apartment,Cabin,House/villa,4.95,78,3,1,Luxury,true,597,false,112,22,2026-05-11,Arizona Area,Prescott,Prescott,Arizona,86303,United States,rural,https://www.airbnb.com/rooms/734136588867847427,https://a0.muscache.com/im/pictures/hosting/Hosting-734136588867847427/original/d5fddbc1-735b-48ad-b8bd-7357d190a117.jpeg,734136588867847427,3051644,34.51264,-112.48894,=AVERAGE($G$2:$G$283),=AVERAGE($D$2:$D$283),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
"Luxury Prescott Retreat with Casita, Spa, Patios!",STRM,,104487,110728,916.55,32.95,350,4,3,10,true,false,true,true,true,false,false,Home/Apartment,Cabin,House/villa,4.95,65,2,21+,Luxury,true,529,true,114,40,2026-05-13,Arizona Area,Prescott,Prescott,Arizona,86305,United States,rural,https://www.airbnb.com/rooms/823300113249805366,https://a0.muscache.com/im/pictures/prohost-api/Hosting-823300113249805366/original/1707741b-1c1b-44c0-b962-e4c651324a41.jpeg,823300113249805366,3249616,34.54918,-112.50955,=AVERAGE($G$2:$G$283),=AVERAGE($D$2:$D$283),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Green Roof A-Frame: Endless Views | Modern Cabin,Home Team Vacation Rentals,,104433,110175,460.06,65.8,345,4,2,14,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,4.9,78,4,21+,Luxury,true,236,true,227,75,2026-05-17,Arizona Area,Prescott,Prescott,Arizona,86303,United States,rural,https://www.airbnb.com/rooms/1155884189563454173,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1155884189563454173/original/78b1924f-a62b-469f-b540-9854d89c3a71.jpeg,1155884189563454173,4002218,34.4532,-112.3818,=AVERAGE($G$2:$G$283),=AVERAGE($D$2:$D$283),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
"Luxury Home Near Golf Course, Airport",RedAwning,,89233,93234,354.1,73.04,345,3,2,5,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,13,2,21+,Luxury,false,218,true,252,32,2026-05-11,Arizona Area,Prescott,Prescott,Arizona,86301,United States,rural,https://www.airbnb.com/rooms/908531311156263430,https://a0.muscache.com/im/pictures/prohost-api/Hosting-908531311156263430/original/1daec355-0dd9-489e-8d3a-ebd2b92e6af1.jpeg,908531311156263430,9836591ha,34.6344,-112.429,=AVERAGE($G$2:$G$283),=AVERAGE($D$2:$D$283),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Million Dollar Views at Secluded Mountain Home!,486267410,,86715,93070,495.51,51.78,338,4,2,12,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,117,3,1,Luxury,true,507,false,175,50,2026-04-20,Arizona Area,Prescott,Prescott,Arizona,86303,United States,rural,https://www.airbnb.com/rooms/752806539888660846,https://a0.muscache.com/im/pictures/hosting/Hosting-752806539888660846/original/f392db20-03d1-4572-b519-84fb9a63e2b2.jpeg,752806539888660846,3777073,34.46546,-112.37814,=AVERAGE($G$2:$G$283),=AVERAGE($D$2:$D$283),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
the Vista! Walk to the Square!,31617347,,84685,86546,371.43,63.87,357,3,2,8,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.95,26,2,2-5,Luxury,true,250,true,228,64,2026-05-11,Arizona Area,Prescott,Prescott,Arizona,86303,United States,rural,https://www.airbnb.com/rooms/1186964986393581636,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE4Njk2NDk4NjM5MzU4MTYzNg%3D%3D/original/1b100071-15cc-41c0-a24a-05d265ce35eb.jpeg,1186964986393581636,,34.5401,-112.4809,=AVERAGE($G$2:$G$283),=AVERAGE($D$2:$D$283),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Tombstone Hideaway*In the Pines* Quiet Retreat,STRM,,80489,81162,609.77,36.46,362,4,3,16,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,4.85,122,2,21+,Luxury,true,444,true,132,47,2026-05-16,Arizona Area,Prescott,Prescott,Arizona,86305,United States,rural,https://www.airbnb.com/rooms/726083529667737626,https://a0.muscache.com/im/pictures/prohost-api/Hosting-726083529667737626/original/d74d3a83-1437-4656-b7c0-f7b6d926efce.jpeg,726083529667737626,3033277,34.55207,-112.56119,=AVERAGE($G$2:$G$283),=AVERAGE($D$2:$D$283),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Pleasant Downtown Haven *0.3 Miles *Pet Friendly,MyHost Prescott,,73348,77123,282.11,74.93,347,3,2,6,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,5,181,2,21+,Luxury,true,140,true,260,82,2026-05-17,Arizona Area,Prescott,Prescott,Arizona,86301,United States,rural,https://www.airbnb.com/rooms/858712795002406002,https://a0.muscache.com/im/pictures/prohost-api/Hosting-858712795002406002/original/fa966c16-5e3a-4f82-a439-492415d47747.jpeg,858712795002406002,3456751,34.543,-112.4649,=AVERAGE($G$2:$G$283),=AVERAGE($D$2:$D$283),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Whiskey Row's 1927 Speakeasy w/hot tub,315056313,,73126,74138,353.27,57.5,360,3,2,6,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.85,255,1,6-20,Luxury,true,149,true,207,105,2026-05-13,Arizona Area,Prescott,Prescott,Arizona,86301,United States,rural,https://www.airbnb.com/rooms/721989428427294334,https://a0.muscache.com/im/pictures/miso/Hosting-721989428427294334/original/a588fc3a-1b70-4ba3-b48a-859b11468beb.jpeg,721989428427294334,,34.54475,-112.46639,=AVERAGE($G$2:$G$283),=AVERAGE($D$2:$D$283),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
