Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Twin Creeks Ranch | 17min to DT Aspen + Skiing!,451829889,,791720,928622,4887.16,54.18,313,8,9,16,true,false,true,true,true,true,false,Home/Apartment,Villa,House/villa,5,25,4,2-5,Luxury,false,901,true,162,26,2026-05-16,Glenwood Springs,Carbondale,Snowmass,Colorado,81654,United States,mountains_lakes,https://www.airbnb.com/rooms/593697918174860171,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTkzNjk3OTE4MTc0ODYwMTcx/original/e0681728-fa04-4971-8705-ad423d268f6d.jpeg,593697918174860171,3067545,39.30948,-106.97761,"=AVERAGE($G$2:$G$239)","=AVERAGE($D$2:$D$239)","=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)","=$AU2-D2"
Snowmass Contemporary Ranch,449262,,194333,196685,1542.33,43.6,363,5,4,10,true,true,true,true,true,false,false,Home/Apartment,House,House/villa,5,11,4,2-5,Luxury,false,750,false,126,15,2026-05-17,Glenwood Springs,Carbondale,Snowmass,Colorado,81654,United States,mountains_lakes,https://www.airbnb.com/rooms/1081304037616195118,https://a0.muscache.com/im/pictures/miso/Hosting-1081304037616195118/original/d616cf46-6836-4aa9-b878-5f36522107f2.jpeg,1081304037616195118,3832282,39.3203,-106.9813,"=AVERAGE($G$2:$G$239)","=AVERAGE($D$2:$D$239)","=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)","=$AU3-D3"
Luxurious Estate with Stunning Views,E&V Aspen SM Rentals,,189072,189072,1616,81.25,319,5,6,14,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,0,0,30,21+,Luxury,false,895,false,117,1,2026-02-05,Glenwood Springs,Carbondale,Basalt,Colorado,81621,United States,mountains_lakes,https://www.airbnb.com/rooms/1282771927793801014,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1282771927793801014/original/5047cb63-3ba2-4d4f-a5ce-5224d206300d.jpeg,1282771927793801014,4274338,39.3531,-107.011,"=AVERAGE($G$2:$G$239)","=AVERAGE($D$2:$D$239)","=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)","=$AU4-D4"
Sky Door Ranch,52776855,,188717,214735,1377.5,62.84,292,5,6,12,true,true,false,true,true,true,true,Home/Apartment,House,House/villa,5,43,7,2-5,Luxury,false,801,false,137,11,2026-05-13,Glenwood Springs,Carbondale,Carbondale,Colorado,81623,United States,mountains_lakes,https://www.airbnb.com/rooms/43325852,https://a0.muscache.com/im/pictures/1f6fa3d5-6b97-4afe-ba98-d09029a98e56.jpg,43325852,1976718,39.43272,-107.17041,"=AVERAGE($G$2:$G$239)","=AVERAGE($D$2:$D$239)","=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)","=$AU5-D5"
Waterfront Luxury Mountain Retreat,Blue Gems Mgmt,,182928,239486,1576.97,63.04,263,5,5,13,true,false,false,true,false,false,false,Home/Apartment,Villa,House/villa,4.7,13,3,21+,Luxury,false,494,true,116,29,2026-05-11,Glenwood Springs,Carbondale,Snowmass,Colorado,81654,United States,mountains_lakes,https://www.airbnb.com/rooms/760932843204621095,https://a0.muscache.com/im/pictures/miso/Hosting-760932843204621095/original/fa497181-2040-476f-9e0b-35b598273c33.jpeg,760932843204621095,3802684,39.33257,-106.98817,"=AVERAGE($G$2:$G$239)","=AVERAGE($D$2:$D$239)","=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)","=$AU6-D6"
Aspen Valley Sky Ranch,505199904,,180561,183306,2285.58,29.26,321,5,3,12,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,14,3,2-5,Luxury,true,900,false,79,17,2026-05-17,Glenwood Springs,Carbondale,Carbondale,Colorado,81623,United States,mountains_lakes,https://www.airbnb.com/rooms/846300604765747633,https://a0.muscache.com/im/pictures/prohost-api/Hosting-846300604765747633/original/caff08d5-5411-4a9e-9333-3870812bbb4d.jpeg,846300604765747633,3521079,39.45503,-107.20044,"=AVERAGE($G$2:$G$239)","=AVERAGE($D$2:$D$239)","=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)","=$AU7-D7"
"Brookie Lodge on Beaver Lake (MARBLE, COLORADO)",166849848,,145861,210050,1389.15,43.03,282,5,4,14,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.75,57,2,2-5,Luxury,true,200,false,105,19,2026-05-16,Glenwood Springs,Carbondale,Carbondale,Colorado,81623,United States,mountains_lakes,https://www.airbnb.com/rooms/40309364,https://a0.muscache.com/im/pictures/01f23406-726c-4c2f-8556-d1f45546c5a4.jpg,40309364,,39.0714,-107.177,"=AVERAGE($G$2:$G$239)","=AVERAGE($D$2:$D$239)","=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)","=$AU8-D8"
Stunning Log Home - Breathtaking views over Snowmass and Aspen - 5 Bedrooms,,,141120,156367,2106.27,36.02,312,5,5,10,true,true,true,true,true,false,false,Home/Apartment,House,House/villa,4.8,10,4,1,Luxury,false,1000,false,67,11,2026-05-14,Glenwood Springs,Carbondale,Snowmass,Colorado,81654,United States,mountains_lakes,https://www.vrbo.com/3693292,"https://media.vrbo.com/lodging/101000000/100160000/100156100/100156052/ff769346.jpg?impolicy=resizecrop&rw=1200&ra=fit",,3693292,39.255747,-106.97859,"=AVERAGE($G$2:$G$239)","=AVERAGE($D$2:$D$239)","=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)","=$AU9-D9"
Valinor Ranch — Thirty-Five Acres Above the Valley,2338855,,130161,138768,544.61,70.09,341,2,2,4,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.95,194,3,2-5,Luxury,true,179,true,239,70,2026-05-17,Glenwood Springs,Carbondale,Carbondale,Colorado,81623,United States,mountains_lakes,https://www.airbnb.com/rooms/50070903,https://a0.muscache.com/im/pictures/prohost-api/Hosting-50070903/original/39b2b8e9-56e9-42ca-98ae-e3ed15c0d480.jpeg,50070903,4465936,39.42623,-107.1258,"=AVERAGE($G$2:$G$239)","=AVERAGE($D$2:$D$239)","=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)","=$AU10-D10"
Twin Peaks w/ Hot Tub & Elevated Sopris Views,Boutique Mountain Homes,,127038,141705,460.28,84.4,327,2,2,4,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.95,293,4,21+,Luxury,true,258,false,276,75,2026-05-17,Glenwood Springs,Carbondale,Carbondale,Colorado,81623,United States,mountains_lakes,https://www.airbnb.com/rooms/45453217,https://a0.muscache.com/im/pictures/prohost-api/Hosting-45453217/original/43de7878-6946-40a8-b667-4dac11688014.jpeg,45453217,2067959,39.42133,-107.12063,"=AVERAGE($G$2:$G$239)","=AVERAGE($D$2:$D$239)","=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)","=$AU11-D11"
