Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Aspen Falls 20-NCD0226  30acreLuxury Estate Rental,VILLANO PROPERTY MANAGEMENT,,932947,933422,8042.65,34.94,364,17,15,16,true,true,true,true,true,false,false,Home/Apartment,House,House/villa,4.95,30,2,21+,Luxury,false,2565,false,116,35,2026-05-14,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/12284334,https://a0.muscache.com/im/pictures/hosting/Hosting-12284334/original/5b1f48e8-08f6-4aee-bd60-1ffd812596ff.jpeg,12284334,5167351,40.39441,-105.50615,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Panorama - Your Private Resort by Estes Park Homes,Estes Park Homes,,784134,788306,4752.33,46.22,361,6,6,14,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.95,129,2,21+,Luxury,false,950,false,165,39,2026-05-13,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/24909468,https://a0.muscache.com/im/pictures/prohost-api/Hosting-24909468/original/3dc9dd57-7ac7-453a-b88d-da305e9078ea.jpeg,24909468,892191,40.38354,-105.50856,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Panorama Vacation Home by Estes Park Homes,RedAwning,,734289,747656,6170.5,40.2,296,6,5,14,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,0,0,2,21+,Luxury,false,3130,true,119,23,2025-11-15,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/44435622,https://a0.muscache.com/im/pictures/prohost-api/Hosting-44435622/original/05bb20f9-b888-4100-a1ea-8e912ba2d8fe.jpeg,44435622,9458505ha,40.38455,-105.50961,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Aspen Falls 20-NCD0226 Private 30 acre luxury estate, sleeps up to 28",,,476832,558628,7816.92,29.05,323,13,15,28,false,true,true,true,true,false,false,Home/Apartment,House,House/villa,5,21,3,1,Luxury,false,3249,false,61,10,2026-05-01,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.vrbo.com/1491596,https://media.vrbo.com/lodging/37000000/36690000/36689000/36688969/7c2fbfc3.jpg?impolicy=resizecrop&rw=1200&ra=fit,,1491596,40.391495,-105.50542,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Steps away from RMNP! Terra Furma - Quiet Luxury,Estes Park Homes,,456083,468753,2682.84,52.31,353,4,4,10,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,5,15,2,21+,Luxury,false,4054,false,170,28,2026-05-15,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/1451554067440065408,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1451554067440065408/original/edca20bd-c797-4fb0-83d3-ef0787f7c424.jpeg,1451554067440065408,1999700,40.3256,-105.548,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Hearthstone Luxury Vacation Rental at Windcliff,RedAwning,,430159,573420,5245.84,49.1,190,5,4,10,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,0,0,2,21+,Luxury,false,952,true,82,15,2025-11-15,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/1420223914759494129,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1420223914759494129/original/0e7d30e6-c0bb-45fd-be06-8be1841e5b09.jpeg,1420223914759494129,20148508ha,40.332429,-105.552158,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Divine Destiny Vacation Home at Windcliff,RedAwning,,397436,430422,2220.31,52.8,346,6,6,16,false,false,false,true,true,true,false,Home/Apartment,House,House/villa,4.55,7,2,21+,Luxury,false,1236,true,179,43,2026-05-11,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/42181344,https://a0.muscache.com/im/pictures/prohost-api/Hosting-42181344/original/045975bc-f50b-4d88-8ebe-9964801fb6c5.jpeg,42181344,9383406ha,40.3375,-105.5548,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Hyler Mountain Lodge Vacation Home at Windcliff,RedAwning,,349773,385608,3761,39.74,267,5,3,10,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,2,2,21+,Luxury,false,951,true,93,22,2025-11-15,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/27747869,https://a0.muscache.com/im/pictures/prohost-api/Hosting-27747869/original/3b986601-6adf-4438-8b19-e0d933208a7d.jpeg,27747869,7263554ha,40.325993,-105.552094,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Aspen Leaf Chalet Luxury Vacation Home @ Windcliff,RedAwning,,340236,361388,3179.78,51.2,263,5,3,10,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,4,2,21+,Luxury,false,1819,true,107,18,2025-12-13,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/42465842,https://a0.muscache.com/im/pictures/ff661a69-a60e-4ec5-ba25-66583029fe51.jpg,42465842,7289077ha,40.332844,-105.551987,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
New build | Hot tub | Luxury furnishings | Views,Estes Park Homes,,337648,451363,3554.19,42.99,307,5,4,10,true,false,true,true,false,false,false,Home/Apartment,House,House/villa,5,1,2,21+,Luxury,false,5500,false,95,17,2026-05-13,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/1555158149497005983,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1555158149497005983/original/19f9c5fb-47ce-465a-9730-cddce3c89304.jpeg,1555158149497005983,4587093,40.332701517,-105.551717064,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
