Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
The Avenue! Historic Mansion in DT Manitou Springs,Renjoy,,243579,250322,1383.97,51.76,348,9,8,16,true,false,true,true,true,false,false,Home/Apartment,Villa,House/villa,5,71,3,21+,Luxury,false,838,false,176,47,2026-05-13,Colorado Springs,Manitou Springs,Manitou Springs,Colorado,80829,United States,mid_size_city,https://www.airbnb.com/rooms/1151037016175739743,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1151037016175739743/original/68114fec-6633-4102-9936-86167d352c36.jpeg,1151037016175739743,3999421,38.8567,-104.915,=AVERAGE($G$2:$G$98),=AVERAGE($D$2:$D$98),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Onaledge House Manitou Springs,SunMountain Center,,194769,290879,1623.08,48,270,8,5,16,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,121,2,6-20,Luxury,true,451,false,120,30,2026-05-11,Colorado Springs,Manitou Springs,Manitou Springs,Colorado,80829,United States,mid_size_city,https://www.airbnb.com/rooms/45482497,https://a0.muscache.com/im/pictures/miso/Hosting-45482497/original/d864e821-cbf7-41f9-bc8d-b4c751f0dad2.jpeg,45482497,2089387,38.85886,-104.90282,=AVERAGE($G$2:$G$98),=AVERAGE($D$2:$D$98),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
"Indoor POOL, Hot Tub, Sauna! Garden of the Gods",522530326,,129400,143233,813.84,61.63,306,4,3,10,true,false,true,false,true,false,true,Home/Apartment,House,House/villa,4.95,62,3,1,Luxury,true,300,true,159,37,2026-05-17,Colorado Springs,Manitou Springs,Colorado Springs,Colorado,80904,United States,mid_size_city,https://www.airbnb.com/rooms/923798827274547676,https://a0.muscache.com/im/pictures/prohost-api/Hosting-923798827274547676/original/e194331b-856f-49b1-9b53-e855078d8ac5.jpeg,923798827274547676,3472058,38.8596,-104.8813,=AVERAGE($G$2:$G$98),=AVERAGE($D$2:$D$98),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Modern Manitou | Streamside Deck Dining | Wildlife,Five Star BnB,,119074,119898,459.75,71.75,361,4,3,10,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.9,283,3,21+,Luxury,true,275,false,259,59,2026-05-17,Colorado Springs,Manitou Springs,Manitou Springs,Colorado,80829,United States,mid_size_city,https://www.airbnb.com/rooms/21446405,https://a0.muscache.com/im/pictures/392ecab6-c741-453a-8268-b4b214c92f9d.jpg,21446405,275238,38.85118,-104.89484,=AVERAGE($G$2:$G$98),=AVERAGE($D$2:$D$98),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
The Painted Pony l Garden of the Gods,94525341,,109278,112339,417.09,74.01,354,3,2,7,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,193,4,6-20,Luxury,true,140,false,262,76,2026-05-17,Colorado Springs,Manitou Springs,Colorado Springs,Colorado,80904,United States,mid_size_city,https://www.airbnb.com/rooms/815935771665833351,https://a0.muscache.com/im/pictures/miso/Hosting-815935771665833351/original/51e6d9d6-553e-4f58-a236-8e59ef1606d9.jpeg,815935771665833351,3848708,38.8594,-104.8864,=AVERAGE($G$2:$G$98),=AVERAGE($D$2:$D$98),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Heart of Manitou Springs. Rent all 3 apartments.,175336607,,108903,151047,756.27,49.66,290,4,4,11,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,146,1,2-5,Luxury,true,240,false,144,52,2026-05-17,Colorado Springs,Manitou Springs,Manitou Springs,Colorado,80829,United States,mid_size_city,https://www.airbnb.com/rooms/23485933,https://a0.muscache.com/im/pictures/609bdfe5-c5d5-4a83-87c4-aa0aac5421b2.jpg,23485933,1194615,38.86057,-104.91862,=AVERAGE($G$2:$G$98),=AVERAGE($D$2:$D$98),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Relaxing Colorado Mountain Vacation Home,,,104472,108490,452.26,65.07,355,3,3,6,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,374,3,1,Luxury,false,184,true,231,59,2026-05-14,Colorado Springs,Manitou Springs,Manitou Springs,Colorado,80829,United States,mid_size_city,https://www.vrbo.com/470247,https://media.vrbo.com/lodging/19000000/19000000/18993800/18993788/362bc883.jpg?impolicy=resizecrop&rw=1200&ra=fit,,470247,38.860266,-104.915554,=AVERAGE($G$2:$G$98),=AVERAGE($D$2:$D$98),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
"Historic 4BR Home, Walk Downtown",6586902,,88750,91323,513.01,49.43,355,4,4,8,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,142,3,6-20,Luxury,true,287,false,173,47,2026-05-11,Colorado Springs,Manitou Springs,Manitou Springs,Colorado,80829,United States,mid_size_city,https://www.airbnb.com/rooms/602365363627599786,https://a0.muscache.com/im/pictures/miso/Hosting-602365363627599786/original/dd213e52-bc65-4de1-8992-43f371f4e140.jpeg,602365363627599786,3102934,38.85687,-104.91637,=AVERAGE($G$2:$G$98),=AVERAGE($D$2:$D$98),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Secluded Mountain Lodge in Manitou Springs,189080029,,87432,127122,1135.48,41.85,256,5,5,14,true,false,false,false,true,false,false,Home/Apartment,House,House/villa,5,30,2,6-20,Luxury,true,300,false,77,13,2026-05-05,Colorado Springs,Manitou Springs,Manitou Springs,Colorado,80829,United States,mid_size_city,https://www.airbnb.com/rooms/800809402519334969,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODAwODA5NDAyNTE5MzM0OTY5/original/970b2eb3-0df6-46ec-b5e7-d43130360dd0.jpeg,800809402519334969,,38.8463,-104.9165,=AVERAGE($G$2:$G$98),=AVERAGE($D$2:$D$98),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
"3BR Manitou Springs 2min to Restaurants, Hot Tub!","Hoste, LLC",,85055,89333,405.02,78.07,269,3,2,8,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.6,26,3,21+,Luxury,true,342,true,210,68,2026-03-01,Colorado Springs,Manitou Springs,Manitou Springs,Colorado,80829,United States,mid_size_city,https://www.airbnb.com/rooms/43362946,https://a0.muscache.com/im/pictures/db1af177-1cdc-40c8-8590-1c964c8a1bc8.jpg,43362946,9472807ha,38.8622,-104.9174,=AVERAGE($G$2:$G$98),=AVERAGE($D$2:$D$98),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
