Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Timber Creek Ranch,352216379,,252907,290688,1708.83,50.68,300,7,3,16,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,4.85,82,2,2-5,Luxury,false,600,true,148,32,2026-05-11,Colorado Area,Salida,Salida,Colorado,81201,United States,mountains_lakes,https://www.airbnb.com/rooms/43478268,https://a0.muscache.com/im/pictures/hosting/Hosting-43478268/original/642c3a28-c4eb-4f2b-b757-e962e783d16d.jpeg,43478268,1947485,38.545,-106.0419,=AVERAGE($G$2:$G$205),=AVERAGE($D$2:$D$205),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Riverside Hacienda | Downtown Salida + Hot Tub 0251,383451960,,169123,187458,801.53,63.94,330,5,3,14,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.95,271,2,2-5,Luxury,true,300,true,211,61,2026-05-17,Colorado Area,Salida,Salida,Colorado,81201,United States,mountains_lakes,https://www.airbnb.com/rooms/558802483050374829,https://a0.muscache.com/im/pictures/hosting/Hosting-558802483050374829/original/15f557dd-82f9-47ab-87ca-80cdb440574e.jpeg,558802483050374829,869751,38.53956,-105.99128,=AVERAGE($G$2:$G$205),=AVERAGE($D$2:$D$205),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Salida Lodge 1.5 Miles to Town *No Cleaning Fee*,98254702,,165541,169051,1244.67,40.92,355,6,6,15,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,5,20,2,6-20,Luxury,true,0,true,133,35,2026-05-11,Colorado Area,Salida,Salida,Colorado,81201,United States,mountains_lakes,https://www.airbnb.com/rooms/48675502,https://a0.muscache.com/im/pictures/miso/Hosting-48675502/original/03cdac3f-44dc-468d-ac14-e718074b2d9c.jpeg,48675502,3906378,38.5153,-105.9856,=AVERAGE($G$2:$G$205),=AVERAGE($D$2:$D$205),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Hot Tub • Mountain Getaway • Dog Friendly,Pinon Vacation,,122362,168059,703.23,63.74,278,4,3,8,false,false,false,true,false,true,false,Home/Apartment,Cabin,House/villa,4.9,53,2,21+,Luxury,true,340,true,174,51,2026-05-11,Colorado Area,Salida,Salida,Colorado,81201,United States,mountains_lakes,https://www.airbnb.com/rooms/1010288763119253130,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1010288763119253130/original/6245ebb5-695f-4b71-8e72-56d051592d92.jpeg,1010288763119253130,441863,38.53964,-106.31884,=AVERAGE($G$2:$G$205),=AVERAGE($D$2:$D$205),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Mountain Views• Private Hot Tub•Large Deck,Pinon Vacation,,117574,125104,517.95,66.76,340,3,3,6,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.9,84,2,21+,Luxury,true,335,true,227,64,2026-05-17,Colorado Area,Salida,Salida,Colorado,81201,United States,mountains_lakes,https://www.airbnb.com/rooms/908679282025969905,https://a0.muscache.com/im/pictures/prohost-api/Hosting-908679282025969905/original/b37e154e-ecfa-487d-b48c-bf5da5508673.jpeg,908679282025969905,3449263,38.5702,-105.9842,=AVERAGE($G$2:$G$205),=AVERAGE($D$2:$D$205),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Spectacular Mtn Getaway + Deck ~ 2 Mi to Dtwn,Evolve,,116307,124444,528.67,66.47,335,4,2,8,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.95,59,2,21+,Luxury,true,284,true,220,62,2024-04-23,Colorado Area,Salida,Salida,Colorado,81201,United States,mountains_lakes,https://www.airbnb.com/rooms/608279784342932174,https://a0.muscache.com/im/pictures/prohost-api/Hosting-608279784342932174/original/26b2558b-c8e8-4fdd-95ff-167ff8d4e415.jpeg?aki_policy=x_large,608279784342932174,3967910,38.50704,-105.96551,=AVERAGE($G$2:$G$205),=AVERAGE($D$2:$D$205),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Mountain View Ranch with Hot Tub,573834004,,112617,122042,507.28,66.27,335,4,2,8,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.9,71,2,1,Luxury,true,508,true,222,63,2026-05-17,Colorado Area,Salida,Salida,Colorado,81201,United States,mountains_lakes,https://www.airbnb.com/rooms/1141239539072223360,https://a0.muscache.com/im/pictures/miso/Hosting-1141239539072223360/original/2106b09e-258d-4d72-b03f-8190a59a3f20.jpeg,1141239539072223360,,38.5067,-105.9662,=AVERAGE($G$2:$G$205),=AVERAGE($D$2:$D$205),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Hot Tub • Riverfront • Breathtaking Views,Pinon Vacation,,111549,144858,536.29,73.76,282,4,3,6,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.85,96,2,21+,Luxury,true,310,true,208,57,2026-05-17,Colorado Area,Salida,Nathrop,Colorado,81236,United States,mountains_lakes,https://www.airbnb.com/rooms/54307310,https://a0.muscache.com/im/pictures/prohost-api/Hosting-54307310/original/37167b6f-a297-4d52-9434-91f93ef29832.jpeg,54307310,2622277,38.72349,-106.1728,=AVERAGE($G$2:$G$205),=AVERAGE($D$2:$D$205),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
The Aspen Alcove,425210016,,108209,113595,358.31,94.67,345,1,1,2,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,4.85,7,1,6-20,Luxury,true,35,true,302,162,2026-05-13,Colorado Area,Salida,Salida,Colorado,81201,United States,mountains_lakes,https://www.airbnb.com/rooms/1427668990016553892,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1427668990016553892/original/80cb9e0c-21fa-4a4c-bf29-4d38b1e96f63.jpeg,1427668990016553892,,38.4279982308,-106.0963875339,=AVERAGE($G$2:$G$205),=AVERAGE($D$2:$D$205),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Frontside Hacienda | Downtown Salida STR # 012962,383451960,,96927,108089,438.58,67.79,326,3,2,6,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.95,318,2,2-5,Luxury,true,250,true,221,62,2026-05-17,Colorado Area,Salida,Salida,Colorado,81201,United States,mountains_lakes,https://www.airbnb.com/rooms/47507219,https://a0.muscache.com/im/pictures/d3540beb-47b3-47a9-90ed-96f9d0fb35c7.jpg,47507219,1128337,38.53971,-105.99182,=AVERAGE($G$2:$G$205),=AVERAGE($D$2:$D$205),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
