Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Resort Amenities | Near Trails | Mnt Views,Summit Sky Ranch,,176637,185233,1328.1,42.36,340,4,3,10,false,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.95,28,3,21+,Luxury,true,519,false,133,28,2026-05-13,Frisco/Silverthorne,Silverthorne,Silverthorne,Colorado,80498,United States,mountains_lakes,https://www.airbnb.com/rooms/805813318127926995,https://a0.muscache.com/im/pictures/prohost-api/Hosting-805813318127926995/original/5ce85e88-396a-48bb-af4f-876749844fe7.jpeg,805813318127926995,3205467,39.6816,-106.1079,=AVERAGE($G$2:$G$29),=AVERAGE($D$2:$D$29),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Luxury Private Estate • Spa • GameRoom • 1.5 Acres,HFTH,,174571,236163,2493.87,58.33,160,9,9,16,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,5,8,2,21+,Luxury,true,1420,false,70,16,2026-05-11,Frisco/Silverthorne,Silverthorne,Silverthorne,Colorado,80498,United States,mountains_lakes,https://www.airbnb.com/rooms/1541579100535665841,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1541579100535665841/original/c34404e4-8f08-46e0-9b1a-a09fcc0cbb2c.jpeg,1541579100535665841,,39.672802433,-106.0948451299,=AVERAGE($G$2:$G$29),=AVERAGE($D$2:$D$29),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
"Private Estate 🏔️ 9,400 sq ft ✨ Game Room 🎱 Steam Sauna 💦 1.5 Acres 🧖‍♀️ Spa",,,107293,244036,3251.3,41.25,106,9,9,18,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,5,1,2,2-5,Luxury,false,0,false,33,9,2026-05-17,Frisco/Silverthorne,Silverthorne,Silverthorne,Colorado,80498,United States,mountains_lakes,https://www.vrbo.com/4918995,https://media.vrbo.com/lodging/123000000/122170000/122163000/122162942/e2bf2047.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4918995,39.673004,-106.095574,=AVERAGE($G$2:$G$29),=AVERAGE($D$2:$D$29),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Cozy A-Frame with Million Dollar Views!,94846610,,88070,108013,607.38,47.54,305,1,1,5,false,false,true,true,true,true,false,Home/Apartment,Cabin,House/villa,4.85,126,3,2-5,Luxury,true,143,true,145,38,2026-05-11,Frisco/Silverthorne,Silverthorne,Silverthorne,Colorado,80498,United States,mountains_lakes,https://www.airbnb.com/rooms/650021948566372594,https://a0.muscache.com/im/pictures/miso/Hosting-650021948566372594/original/4aebf4f4-371a-422c-83b9-05f58fc22cea.jpeg,650021948566372594,2875582,39.63563,-106.06555,=AVERAGE($G$2:$G$29),=AVERAGE($D$2:$D$29),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Hot Tub & Mtn Views - Private Luxury Retreat,Evolve,,61213,62828,816.17,33.48,334,4,3,10,false,false,true,true,false,true,false,Home/Apartment,House,House/villa,5,66,1,21+,Luxury,false,360,false,75,9,2026-05-13,Frisco/Silverthorne,Silverthorne,Silverthorne,Colorado,80498,United States,mountains_lakes,https://www.airbnb.com/rooms/682707630441505476,https://a0.muscache.com/im/pictures/miso/Hosting-682707630441505476/original/d67dd776-1621-4310-8a83-c83f78c3e2e1.jpeg,682707630441505476,9751311ha,39.67533,-106.10857,=AVERAGE($G$2:$G$29),=AVERAGE($D$2:$D$29),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Colorado Mountains Dreamhouse,577870064,,57531,97352,1598.08,30.77,181,5,6,12,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,9,3,1,Luxury,false,698,true,36,7,2025-08-29,Frisco/Silverthorne,Silverthorne,Silverthorne,Colorado,80498,United States,mountains_lakes,https://www.airbnb.com/rooms/1215238997512047000,https://a0.muscache.com/im/pictures/hosting/Hosting-1215238997512047000/original/f155dbda-af9b-4ea4-b36f-e5087faa0c3a.jpeg,1215238997512047000,4129881,39.6683383,-106.0998815,=AVERAGE($G$2:$G$29),=AVERAGE($D$2:$D$29),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Grand Estate in Summit County: Private Retreat Near Colorado World-Class Skiing,,,56760,84915,2702.86,15.44,342,8,7,14,false,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.3,18,3,1,Luxury,false,849,false,21,6,2026-05-01,Frisco/Silverthorne,Silverthorne,Silverthorne,Colorado,80498,United States,mountains_lakes,https://www.vrbo.com/2837511,https://media.vrbo.com/lodging/79000000/78670000/78662600/78662512/w2649h1759x1y1-70a507ab.jpg?impolicy=resizecrop&rw=1200&ra=fit,,2837511,39.64474,-106.08548,=AVERAGE($G$2:$G$29),=AVERAGE($D$2:$D$29),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Lakefront Retreat | Private Hot Tub + Firepit,Summit Sky Ranch,,55331,73392,709.37,34.21,254,3,3,8,false,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.9,19,3,21+,Luxury,true,444,false,78,21,2026-05-14,Frisco/Silverthorne,Silverthorne,Silverthorne,Colorado,80498,United States,mountains_lakes,https://www.airbnb.com/rooms/53515321,https://a0.muscache.com/im/pictures/prohost-api/Hosting-53515321/original/faa2ab9d-506f-4328-9e61-4feb29c35a6d.jpeg,53515321,2980621,39.685,-106.107,=AVERAGE($G$2:$G$29),=AVERAGE($D$2:$D$29),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
"Lincoln Lodge | Log Cabin, Mountain Views, Hot Tub",678680088,,55054,55054,965.86,45.6,163,4,4,10,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.6,5,1,2-5,Luxury,false,477,true,57,15,2026-04-07,Frisco/Silverthorne,Silverthorne,Silverthorne,Colorado,80498,United States,mountains_lakes,https://www.airbnb.com/rooms/1542790639729232444,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1542790639729232444/original/e07c75f9-94c9-4f99-86cd-e6fac78bc218.jpeg,1542790639729232444,4923502,39.6562,-106.0872,=AVERAGE($G$2:$G$29),=AVERAGE($D$2:$D$29),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Moose Haven Hideaway- Dog Friendly Luxury Escape!,Summit Sky Ranch,,51030,64911,739.57,28.05,325,3,3,8,false,false,false,true,true,true,true,Home/Apartment,House,House/villa,5,11,3,21+,Luxury,true,464,false,69,20,2026-05-13,Frisco/Silverthorne,Silverthorne,Silverthorne,Colorado,80498,United States,mountains_lakes,https://www.airbnb.com/rooms/1176167111274038683,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1176167111274038683/original/2e063181-910b-4eac-b648-a477ab32e0cd.jpeg,1176167111274038683,4049981,39.68284,-106.10645,=AVERAGE($G$2:$G$29),=AVERAGE($D$2:$D$29),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
