Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Lumin Residence 3,East West Hospitality,,497296,633901,4440.14,58.03,215,4,4,10,true,true,true,true,false,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.35,3,2,21+,Luxury,true,731,true,112,14,2026-05-15,Aspen/Snowmass,Snowmass Village,Snowmass Village,Colorado,81615,United States,mountains_lakes,https://www.airbnb.com/rooms/42137333,https://a0.muscache.com/im/pictures/prohost-api/Hosting-42137333/original/c13e1a8d-f263-442d-b8bb-ad32b72f65fa.jpeg,42137333,1909021,39.2089,-106.9484,=AVERAGE($G$2:$G$105),=AVERAGE($D$2:$D$105),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Ski In Ski Out on Tiehack/Buttermilk mountain,,,460270,460270,9205.4,49.02,364,6,6,15,true,true,true,true,true,false,false,Home/Apartment,Chalet,House/villa,5,4,10,1,Luxury,false,1500,false,50,4,2026-05-16,Aspen/Snowmass,Snowmass Village,Aspen,Colorado,81611,United States,mountains_lakes,https://www.vrbo.com/462320,https://media.vrbo.com/lodging/35000000/34510000/34509700/34509608/2cb9ff72.jpg?impolicy=resizecrop&rw=1200&ra=fit,,462320,39.194448,-106.85732,=AVERAGE($G$2:$G$105),=AVERAGE($D$2:$D$105),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
One Snowmass West 603,East West Hospitality,,450744,607412,6091.14,97.37,88,4,4,10,true,true,true,true,true,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,5,3,2,21+,Luxury,true,730,true,74,11,2026-05-15,Aspen/Snowmass,Snowmass Village,Snowmass Village,Colorado,81615,United States,mountains_lakes,https://www.airbnb.com/rooms/49386130,https://a0.muscache.com/im/pictures/prohost-api/Hosting-49386130/original/af1eed1a-7d78-48d0-8177-f6766c0d1c77.jpeg,49386130,2293512,39.21,-106.9476,=AVERAGE($G$2:$G$105),=AVERAGE($D$2:$D$105),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Luxury Mountain Living,159006912,,406378,503268,3945.42,58.19,319,3,3,8,true,false,true,true,false,false,true,Home/Apartment,Apartment,Apt/Condo/Loft,5,2,4,21+,Luxury,false,699,true,103,7,2026-05-17,Aspen/Snowmass,Snowmass Village,Snowmass Village,Colorado,81615,United States,mountains_lakes,https://www.airbnb.com/rooms/903693604467119426,https://a0.muscache.com/im/pictures/miso/Hosting-903693604467119426/original/34e34ac4-e2bc-4d79-b4c8-73df8512fb1d.jpeg,903693604467119426,3447984,39.21046,-106.94748,=AVERAGE($G$2:$G$105),=AVERAGE($D$2:$D$105),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
One Snowmass Residence Club 507,East West Hospitality,,354919,564219,4328.28,100,89,4,4,10,true,true,true,true,true,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,5,1,2,21+,Luxury,true,730,true,82,4,2026-05-14,Aspen/Snowmass,Snowmass Village,Snowmass Village,Colorado,81615,United States,mountains_lakes,https://www.airbnb.com/rooms/1218307218590512956,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1218307218590512956/original/cabd14cd-6934-4d71-9c92-42df06ad206f.jpeg,1218307218590512956,4136809,39.20854,-106.9482,=AVERAGE($G$2:$G$105),=AVERAGE($D$2:$D$105),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Elegant Tiehack Estate,Christie'S Aspen Snowmass Rental Dept,,330085,334506,5239.44,60.58,269,4,6,9,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,0,0,5,21+,Luxury,false,1500,false,63,2,2026-05-14,Aspen/Snowmass,Snowmass Village,Aspen,Colorado,81611,United States,mountains_lakes,https://www.airbnb.com/rooms/1155949223959149711,https://a0.muscache.com/im/pictures/miso/Hosting-1155949223959149711/original/9f4b04ef-a90d-4dcf-9dea-efc63dec903a.jpeg,1155949223959149711,4201514,39.1896,-106.8552,=AVERAGE($G$2:$G$105),=AVERAGE($D$2:$D$105),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
One Snowmass East 703,East West Hospitality,,326716,335008,4243.06,45.29,279,3,3,8,true,true,true,true,true,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,0,0,2,21+,Luxury,true,670,true,77,12,2026-05-13,Aspen/Snowmass,Snowmass Village,Snowmass Village,Colorado,81615,United States,mountains_lakes,https://www.airbnb.com/rooms/50190098,https://a0.muscache.com/im/pictures/prohost-api/Hosting-50190098/original/1823a447-3e62-46d3-9626-eb9482aae8f1.jpeg,50190098,,39.2093,-106.9471,=AVERAGE($G$2:$G$105),=AVERAGE($D$2:$D$105),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Havens 1,East West Hospitality,,285621,292529,3245.69,38.6,315,3,3,9,false,true,true,true,true,false,false,Home/Apartment,House,House/villa,4.75,4,3,21+,Luxury,true,671,true,88,15,2026-05-13,Aspen/Snowmass,Snowmass Village,Snowmass Village,Colorado,81615,United States,mountains_lakes,https://www.airbnb.com/rooms/877662380391057012,https://a0.muscache.com/im/pictures/prohost-api/Hosting-877662380391057012/original/7f2d50c9-73f0-4c2c-91a0-99bc0810885d.jpeg,877662380391057012,3372115,39.2069,-106.9494,=AVERAGE($G$2:$G$105),=AVERAGE($D$2:$D$105),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
One Snowmass East 303,East West Hospitality,,278005,300163,3756.82,46.84,310,3,3,8,true,true,true,true,true,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,5,4,2,21+,Luxury,true,671,true,74,17,2026-05-15,Aspen/Snowmass,Snowmass Village,Snowmass Village,Colorado,81615,United States,mountains_lakes,https://www.airbnb.com/rooms/51577415,https://a0.muscache.com/im/pictures/prohost-api/Hosting-51577415/original/b47e6565-9156-4139-85fc-84c0aef89871.jpeg,51577415,2424243,39.2096,-106.95,=AVERAGE($G$2:$G$105),=AVERAGE($D$2:$D$105),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
One Snowmass West 601,East West Hospitality,,272173,360889,5443.46,46.73,112,3,3,7,true,true,true,true,true,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,0,0,2,21+,Luxury,true,671,true,50,11,2026-05-14,Aspen/Snowmass,Snowmass Village,Snowmass Village,Colorado,81615,United States,mountains_lakes,https://www.airbnb.com/rooms/1242018856420616007,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1242018856420616007/original/3a1a0b4f-30d6-4e3d-a089-8c59fd049065.jpeg,1242018856420616007,4187748,39.21067,-106.94646,=AVERAGE($G$2:$G$105),=AVERAGE($D$2:$D$105),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
