Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Luxury Riverside Retreat | Yampa Vista Grande,Moving Mountains,,471105,488796,5745.18,49.7,200,10,8,16,true,false,true,true,true,true,false,Home/Apartment,Townhouse,Apt/Condo/Loft,0,0,4,21+,Luxury,true,249,false,82,16,2026-05-11,Steamboat Springs,Steamboat Springs Downtown,Steamboat Springs,Colorado,80487,United States,mountains_lakes,https://www.airbnb.com/rooms/1492878155576098315,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1492878155576098315/original/4a8bdccb-c53f-4f6d-8a95-bb6fcb41fea4.jpeg,1492878155576098315,4771236,40.4828355903,-106.8310941581,=AVERAGE($G$2:$G$32),=AVERAGE($D$2:$D$32),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
6 Bdrm Riverfront House Down TWN,91867371,,255036,269779,2452.27,40.94,307,6,6,15,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,12,3,6-20,Luxury,false,300,true,104,29,2026-05-14,Steamboat Springs,Steamboat Springs Downtown,Steamboat Springs,Colorado,80487,United States,mountains_lakes,https://www.airbnb.com/rooms/1387787609058585816,https://a0.muscache.com/im/pictures/hosting/Hosting-1387787609058585816/original/08e18b1d-3edb-4569-91bb-9190a33d385a.jpeg,1387787609058585816,4452224,40.4838321326,-106.8295826193,=AVERAGE($G$2:$G$32),=AVERAGE($D$2:$D$32),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Modern Riverfront Retreat with Views | Riverlight,Moving Mountains,,198259,206200,3146.97,57.8,206,5,4,12,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,0,0,4,21+,Luxury,true,225,false,63,11,2026-05-11,Steamboat Springs,Steamboat Springs Downtown,Steamboat Springs,Colorado,80487,United States,mountains_lakes,https://www.airbnb.com/rooms/1451468232444459033,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1451468232444459033/original/435c5454-def9-42c6-b36e-20bd7bb9b18b.jpeg,1451468232444459033,4665418,40.4812832442,-106.8312729191,=AVERAGE($G$2:$G$32),=AVERAGE($D$2:$D$32),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Yampa Lux Living, AC! On the river, Upscale Galore",Four Seasons Steamboat,,111667,129291,922.87,49.59,285,3,2,6,true,false,false,true,false,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,5,12,3,21+,Luxury,true,454,true,121,31,2026-05-14,Steamboat Springs,Steamboat Springs Downtown,Steamboat Springs,Colorado,80487,United States,mountains_lakes,https://www.airbnb.com/rooms/1416034124959993535,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1416034124959993535/original/bb7cafbe-bb46-4960-86b7-75da58cc1073.jpeg,1416034124959993535,4554951,40.48413,-106.83415,=AVERAGE($G$2:$G$32),=AVERAGE($D$2:$D$32),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
OL301 | Urban Loft | Downtown | Free City Bus,Mountain Resorts,,96421,120322,790.34,49.8,314,3,2,8,true,false,false,true,true,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,5,46,3,21+,Luxury,false,472,true,122,29,2026-05-16,Steamboat Springs,Steamboat Springs Downtown,Steamboat Springs,Colorado,80487,United States,mountains_lakes,https://www.airbnb.com/rooms/1122599642377501007,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1122599642377501007/original/ea7b4bc4-2706-498b-84f1-6080b4e173e1.jpeg,1122599642377501007,9582152ha,40.4832,-106.83265,=AVERAGE($G$2:$G$32),=AVERAGE($D$2:$D$32),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Chic Downtown Penthouse - Butterfly Lofts,Moving Mountains,,93076,152779,2216.1,46.67,90,4,4,13,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,6,4,21+,Luxury,true,250,false,42,9,2026-05-13,Steamboat Springs,Steamboat Springs Downtown,Steamboat Springs,Colorado,80487,United States,mountains_lakes,https://www.airbnb.com/rooms/45783644,https://a0.muscache.com/im/pictures/hosting/Hosting-45783644/original/388afa72-1afc-46f8-9aee-2b08d49e3732.jpeg,45783644,2086783,40.48535,-106.83785,=AVERAGE($G$2:$G$32),=AVERAGE($D$2:$D$32),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Luxury Downtown Condo | Riverfront + Mt Views!,Retreatia,,92213,93010,895.27,48.13,264,2,2,4,true,false,true,true,true,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,5,15,2,21+,Luxury,false,314,true,103,30,2026-05-13,Steamboat Springs,Steamboat Springs Downtown,Steamboat Springs,Colorado,80487,United States,mountains_lakes,https://www.airbnb.com/rooms/991363449538975470,https://a0.muscache.com/im/pictures/prohost-api/Hosting-991363449538975470/original/a9c32875-b2cd-46f4-b675-830abd459b13.jpeg,991363449538975470,3635348,40.48488,-106.83328,=AVERAGE($G$2:$G$32),=AVERAGE($D$2:$D$32),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Chic 1BR Riverfront Retreat | Rooftop Hot Tub!,Retreatia,,84789,95078,561.52,55.11,280,1,1,2,false,false,true,true,true,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.7,31,2,21+,Luxury,false,261,true,151,51,2026-05-11,Steamboat Springs,Steamboat Springs Downtown,Steamboat Springs,Colorado,80487,United States,mountains_lakes,https://www.airbnb.com/rooms/991363676258983713,https://a0.muscache.com/im/pictures/prohost-api/Hosting-991363676258983713/original/f93b834a-49bd-4954-9423-580a71aaa478.jpeg,991363676258983713,3635349,40.48376,-106.83498,=AVERAGE($G$2:$G$32),=AVERAGE($D$2:$D$32),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Penthouse in the Heart of Downtown!,SkyRun Vacation Rentals,,64552,69967,424.68,51.18,346,1,1,4,true,false,false,true,true,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.85,197,2,21+,Luxury,true,290,true,152,43,2026-05-13,Steamboat Springs,Steamboat Springs Downtown,Steamboat Springs,Colorado,80487,United States,mountains_lakes,https://www.airbnb.com/rooms/16287742,https://a0.muscache.com/im/pictures/prohost-api/Hosting-16287742/original/73ef261c-b94f-4987-8038-d2b1bd229a0b.jpeg,16287742,899636,40.487,-106.8368,=AVERAGE($G$2:$G$32),=AVERAGE($D$2:$D$32),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
*NEW* Downtown Penthouse Luxury Amazing Views,91867371,,63706,76659,650.06,44.95,288,2,2,6,true,false,false,true,true,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.95,33,3,6-20,Luxury,false,251,true,98,27,2026-05-11,Steamboat Springs,Steamboat Springs Downtown,Steamboat Springs,Colorado,80487,United States,mountains_lakes,https://www.airbnb.com/rooms/972678222302844151,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6OTcyNjc4MjIyMzAyODQ0MTUx/original/90878439-a040-4ead-a9cf-e44e3503f77a.jpeg,972678222302844151,3592347,40.48544,-106.83214,=AVERAGE($G$2:$G$32),=AVERAGE($D$2:$D$32),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
