Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
"Atlantic Ocean View Condo, Access to Pool & Beach",RedAwning,,291865,403832,2130.4,83.03,181,2,2,6,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.5,9,2,21+,Luxury,false,5192,true,137,8,2025-11-05,Amelia/St. Simons/Jekyll Islands,Fernandina Beach,Fernandina Beach,Florida,32034,United States,coastal,https://www.airbnb.com/rooms/37604654,https://a0.muscache.com/im/pictures/prohost-api/Hosting-37604654/original/5fbfb41b-4527-4e05-924a-9a0701710467.jpeg,37604654,4900988ha,30.619459,-81.440979,"=AVERAGE($G$2:$G$1001)","=AVERAGE($D$2:$D$1001)","=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)","=$AU2-D2"
"Great Ocean house for families, plenty of parking.",ERA Fernandina Beach Realty,,198408,211562,1600.06,38.87,323,2,2,10,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.75,41,3,21+,Luxury,false,614,true,124,27,2026-05-13,Amelia/St. Simons/Jekyll Islands,Fernandina Beach,Fernandina Beach,Florida,32034,United States,coastal,https://www.airbnb.com/rooms/35031817,https://a0.muscache.com/im/pictures/prohost-api/Hosting-35031817/original/6f7e1849-772c-46d6-8be9-dd2f3e11c7b1.jpeg,35031817,4804646ha,30.6396,-81.43695,"=AVERAGE($G$2:$G$1001)","=AVERAGE($D$2:$D$1001)","=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)","=$AU3-D3"
Brand New Balcony at our Oceanfront Private Home,Stay Better Vacations,,196344,200628,1175.71,70.46,299,2,2,5,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,0,0,29,21+,Luxury,true,195,false,167,6,2026-05-14,Amelia/St. Simons/Jekyll Islands,Fernandina Beach,Fernandina Beach,Florida,32034,United States,coastal,https://www.airbnb.com/rooms/1310209506867906478,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1310209506867906478/original/0268678f-a068-4e67-adc1-939d17a2d7ae.jpeg,1310209506867906478,4121366,30.651479544,-81.4328655207,"=AVERAGE($G$2:$G$1001)","=AVERAGE($D$2:$D$1001)","=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)","=$AU4-D4"
Oceanfront/Recently renovated and decorated,ERA Fernandina Beach Realty,,194755,237196,1583.37,60.29,226,2,2,4,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.6,5,2,21+,Luxury,false,519,true,123,18,2026-05-14,Amelia/St. Simons/Jekyll Islands,Fernandina Beach,Fernandina Beach,Florida,32034,United States,coastal,https://www.airbnb.com/rooms/35031208,https://a0.muscache.com/im/pictures/prohost-api/Hosting-35031208/original/ab4ac0fc-a170-4bf4-82d2-6682486e13d9.jpeg,35031208,,30.66176,-81.433,"=AVERAGE($G$2:$G$1001)","=AVERAGE($D$2:$D$1001)","=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)","=$AU5-D5"
Enhanced Unit with View of Atlantic from Balcony,RedAwning,,171859,197352,1753.66,46.01,285,2,2,6,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,5,1,2,21+,Luxury,false,469,true,98,16,2026-04-18,Amelia/St. Simons/Jekyll Islands,Fernandina Beach,Fernandina Beach,Florida,32034,United States,coastal,https://www.airbnb.com/rooms/37783166,https://a0.muscache.com/im/pictures/prohost-api/Hosting-37783166/original/407cd5e6-3434-49d2-a119-fd37e5381b57.jpeg,37783166,,30.6196,-81.4401,"=AVERAGE($G$2:$G$1001)","=AVERAGE($D$2:$D$1001)","=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)","=$AU6-D6"
Kid Friendly Condo with View of the Atlantic,RedAwning,,154434,174562,1178.89,60.09,264,2,2,6,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.85,24,2,21+,Luxury,false,1112,true,131,18,2026-04-14,Amelia/St. Simons/Jekyll Islands,Fernandina Beach,Fernandina Beach,Florida,32034,United States,coastal,https://www.airbnb.com/rooms/37603628,https://a0.muscache.com/im/pictures/prohost-api/Hosting-37603628/original/3748ff7b-2ca6-4dd1-b8e8-d46011f8de66.jpeg,37603628,4901001ha,30.6196,-81.4401,"=AVERAGE($G$2:$G$1001)","=AVERAGE($D$2:$D$1001)","=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)","=$AU7-D7"
Pure Luxury that rivals a suite at the Ritz!,14792804,,151951,165227,479.34,94.91,334,2,2,4,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,5,343,1,2-5,Luxury,true,174,false,317,73,2026-05-17,Amelia/St. Simons/Jekyll Islands,Fernandina Beach,Fernandina Beach,Florida,32034,United States,coastal,https://www.airbnb.com/rooms/22394504,https://a0.muscache.com/im/pictures/miso/Hosting-22394504/original/bcca3127-aa7b-4a54-8b28-87eb368365b4.png,22394504,1194225,30.5907,-81.4447,"=AVERAGE($G$2:$G$1001)","=AVERAGE($D$2:$D$1001)","=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)","=$AU8-D8"
Seaside Elegance: Oceanfront Sunrise Splendor,Stay Better Vacations,,149931,164119,557.36,80.3,335,2,2,4,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,5,39,4,21+,Luxury,false,200,true,269,58,2026-05-16,Amelia/St. Simons/Jekyll Islands,Fernandina Beach,Fernandina Beach,Florida,32034,United States,coastal,https://www.vrbo.com/3619320,"https://media.vrbo.com/lodging/100000000/99030000/99027800/99027747/80aec117.jpg?impolicy=resizecrop&rw=1200&ra=fit",,3619320,30.590057,-81.444596,"=AVERAGE($G$2:$G$1001)","=AVERAGE($D$2:$D$1001)","=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)","=$AU9-D9"
Experience beachfront luxury at 663 Amelia by the,ERA Fernandina Beach Realty,,148330,185873,1360.83,48.23,330,1,2,6,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,0,0,2,21+,Luxury,false,801,true,109,24,2026-05-14,Amelia/St. Simons/Jekyll Islands,Fernandina Beach,Fernandina Beach,Florida,32034,United States,coastal,https://www.airbnb.com/rooms/1415971970044382157,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1415971970044382157/original/20e31ff8-f82e-4b68-941a-6970484c8c94.jpeg,1415971970044382157,20181604ha,30.62117,-81.44104,"=AVERAGE($G$2:$G$1001)","=AVERAGE($D$2:$D$1001)","=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)","=$AU10-D10"
6th Floor condo with private balcony!,ERA Fernandina Beach Realty,,148054,149682,1383.68,44.96,359,2,2,6,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,0,0,2,21+,Luxury,false,536,true,107,22,2026-05-14,Amelia/St. Simons/Jekyll Islands,Fernandina Beach,Fernandina Beach,Florida,32034,United States,coastal,https://www.airbnb.com/rooms/1415971991789630385,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1415971991789630385/original/25a40d77-4748-4070-a3a6-9005f617094f.jpeg,1415971991789630385,,30.6218201456,-81.4388372123,"=AVERAGE($G$2:$G$1001)","=AVERAGE($D$2:$D$1001)","=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)","=$AU11-D11"
"Condo W/ Atlantic View from Patio,walk Tothebeach",RedAwning,,144949,241694,1294.19,61.54,248,2,2,6,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,0,0,2,21+,Luxury,false,3446,true,112,24,2026-04-18,Amelia/St. Simons/Jekyll Islands,Fernandina Beach,Fernandina Beach,Florida,32034,United States,coastal,https://www.airbnb.com/rooms/37603554,https://a0.muscache.com/im/pictures/prohost-api/Hosting-37603554/original/bcc1493c-efd4-494a-a46d-886815b51c39.jpeg,37603554,,30.6196,-81.4401,"=AVERAGE($G$2:$G$1001)","=AVERAGE($D$2:$D$1001)","=IFERROR(($AT12-G12)/$AT12,0)","=IFERROR(($AU12-D12)/$AU12,0)","=$AU12-D12"
Oceanfront Beach Escape Condo with Wifi,RedAwning,,144732,240388,1929.76,57.69,190,2,2,4,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.8,17,2,21+,Luxury,false,447,true,75,14,2026-04-18,Amelia/St. Simons/Jekyll Islands,Fernandina Beach,Fernandina Beach,Florida,32034,United States,coastal,https://www.airbnb.com/rooms/37604714,https://a0.muscache.com/im/pictures/prohost-api/Hosting-37604714/original/406b9b40-d72b-4691-8004-736df670da29.jpeg,37604714,7552584ha,30.6621,-81.4319,"=AVERAGE($G$2:$G$1001)","=AVERAGE($D$2:$D$1001)","=IFERROR(($AT13-G13)/$AT13,0)","=IFERROR(($AU13-D13)/$AU13,0)","=$AU13-D13"
Beautiful Corner Unit! Dog Friendly!,ERA Fernandina Beach Realty,,143630,166117,646.98,82.53,289,2,1,4,true,false,false,true,true,true,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.8,11,2,21+,Luxury,false,876,true,222,53,2026-05-14,Amelia/St. Simons/Jekyll Islands,Fernandina Beach,Fernandina Beach,Florida,32034,United States,coastal,https://www.airbnb.com/rooms/35031772,https://a0.muscache.com/im/pictures/prohost-api/Hosting-35031772/original/387519a6-98ec-42fe-9755-11f4f0c1d2ad.jpeg,35031772,,30.66104,-81.4328,"=AVERAGE($G$2:$G$1001)","=AVERAGE($D$2:$D$1001)","=IFERROR(($AT14-G14)/$AT14,0)","=IFERROR(($AU14-D14)/$AU14,0)","=$AU14-D14"
Enjoy the simple life in J1 Amelia South,ERA Fernandina Beach Realty,,137623,189806,983.02,60.09,277,2,2,6,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.25,4,3,21+,Luxury,false,682,true,140,32,2026-05-13,Amelia/St. Simons/Jekyll Islands,Fernandina Beach,Fernandina Beach,Florida,32034,United States,coastal,https://www.airbnb.com/rooms/35031727,https://a0.muscache.com/im/pictures/prohost-api/Hosting-35031727/original/680576b5-a042-42b9-a30d-b8880b810aaf.jpeg,35031727,4901010ha,30.61893,-81.43939,"=AVERAGE($G$2:$G$1001)","=AVERAGE($D$2:$D$1001)","=IFERROR(($AT15-G15)/$AT15,0)","=IFERROR(($AU15-D15)/$AU15,0)","=$AU15-D15"
Dragonfly Dunes: Your Oceanfront Retreat,Stay Better Vacations,,132480,141144,501.82,79.76,333,2,2,5,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.95,31,4,21+,Luxury,true,210,false,264,59,2026-05-17,Amelia/St. Simons/Jekyll Islands,Fernandina Beach,Fernandina Beach,Florida,32034,United States,coastal,https://www.airbnb.com/rooms/1236913063507686795,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1236913063507686795/original/d52a31ba-918d-451f-a1ec-79800948b053.jpeg,1236913063507686795,4148503,30.59041,-81.44318,"=AVERAGE($G$2:$G$1001)","=AVERAGE($D$2:$D$1001)","=IFERROR(($AT16-G16)/$AT16,0)","=IFERROR(($AU16-D16)/$AU16,0)","=$AU16-D16"
