Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Sea Palms Estate on the Beaches of Captiva Island!,12270751,,1094953,1094953,7156.56,42.27,365,9,8,16,true,true,true,true,true,true,true,Home/Apartment,House,House/villa,4.95,25,3,6-20,Luxury,false,2800,true,153,30,2026-05-16,Cape Coral/Fort Myers,Captiva,Captiva,Florida,33924,United States,coastal,https://www.airbnb.com/rooms/43497837,https://a0.muscache.com/im/pictures/miso/Hosting-43497837/original/670c3351-4db5-49d6-b73f-f596349c56cb.jpeg,43497837,1983940,26.49449,-82.18713,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Waterfront Sea Oats - Luxe 11 bedroom - Book Now!,12270751,,1094093,1252766,6287.89,54.55,319,11,9,16,true,true,true,true,true,true,true,Home/Apartment,Villa,House/villa,5,3,3,6-20,Luxury,false,2800,false,174,28,2026-05-14,Cape Coral/Fort Myers,Captiva,Captiva,Florida,33924,United States,coastal,https://www.airbnb.com/rooms/2401153,https://a0.muscache.com/im/pictures/miso/Hosting-2401153/original/f4813b5b-333b-4494-af01-ec89a96f47fe.jpeg,2401153,,26.49503,-82.183,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
"SeaOatsCaptivaIsland: Private Waterfront Estate, Beach, Pool, Dock & Pickleball",,,1061066,1112711,5862.24,52.01,348,11,11,30,true,true,true,true,true,true,true,Home/Apartment,House,House/villa,5,45,2,1,Luxury,false,3500,false,181,30,2026-05-13,Cape Coral/Fort Myers,Captiva,Captiva,Florida,33924,United States,coastal,https://www.vrbo.com/475504,https://media.vrbo.com/lodging/35000000/34400000/34391700/34391662/65880137.jpg?impolicy=resizecrop&rw=1200&ra=fit,,475504,26.494657,-82.184485,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Bella Luna ~ Ultimate luxury awaits,Dream Vacation Rentals,,810400,841536,6093.23,45.39,352,7,7,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.85,6,1,21+,Luxury,true,11271,true,133,18,2026-05-13,Cape Coral/Fort Myers,Captiva,Captiva,Florida,33924,United States,coastal,https://www.airbnb.com/rooms/549256933799296370,https://a0.muscache.com/im/pictures/prohost-api/Hosting-549256933799296370/original/b31ab8d1-dfd2-47ff-a90f-1717b081fdbe.jpeg,549256933799296370,9643071ha,26.4872,-82.1846,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Suraya - 921 Luxury,Dream Vacation Rentals,,406425,427635,2709.5,50,346,4,4,8,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.8,5,5,21+,Luxury,true,1699,true,150,23,2026-05-14,Cape Coral/Fort Myers,Captiva,Captiva,Florida,33924,United States,coastal,https://www.airbnb.com/rooms/1418110623410225801,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1418110623410225801/original/eb587197-362d-4b42-a406-abf0bf79a61d.jpeg,1418110623410225801,20147811ha,26.5463,-82.1979,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Beachfront Estate 5 BR / 6 BA,"American Realty Group of Captiva, LLC",,387591,578281,3491.81,90.24,123,5,5,10,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.75,25,1,21+,Luxury,true,795,true,111,7,2026-05-13,Cape Coral/Fort Myers,Captiva,Captiva,Florida,33924,United States,coastal,https://www.airbnb.com/rooms/42497318,https://a0.muscache.com/im/pictures/prohost-api/Hosting-42497318/original/2d787b1c-4342-4671-ad3b-aa19a28d5a57.jpeg,42497318,1725036,26.4896,-82.1853,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
"Gulf-Front w/ Heated Pool, Hot Tub & Golf Carts",Vanage Vacation Homes,,306922,428488,1511.93,79.61,257,5,4,12,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,30,5,21+,Luxury,true,1191,true,203,34,2026-05-14,Cape Coral/Fort Myers,Captiva,Pineland,Florida,33945,United States,coastal,https://www.airbnb.com/rooms/1370571818332275800,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1370571818332275800/original/53d037ee-2f69-4f4a-8f13-f593b7c56dd5.jpeg,1370571818332275800,4385336,26.6028,-82.2232,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Your Beachfront Oasis Awaits,Dream Vacation Rentals,,261386,332205,2398.04,48.88,272,10,8,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.35,15,1,21+,Luxury,true,1046,true,109,18,2026-05-13,Cape Coral/Fort Myers,Captiva,Captiva,Florida,33924,United States,coastal,https://www.airbnb.com/rooms/1395066288227832812,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1395066288227832812/original/5cd15c76-bc14-48e4-8cc6-3f40ac336c34.jpeg,1395066288227832812,20134813ha,26.5443,-82.1972,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Luxury BeachFront~Fishing Dock~Swim Spa~Shelling~,690214744,,251205,343679,1141.84,78.57,280,4,4,10,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.95,31,4,1,Luxury,true,450,true,220,40,2026-05-13,Cape Coral/Fort Myers,Captiva,Captiva,Florida,33924,United States,coastal,https://www.airbnb.com/rooms/1400104895145083480,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTQwMDEwNDg5NTE0NTA4MzQ4MA==/original/889016ed-5efd-43ea-a0fc-9ab4e693a2b1.jpeg,1400104895145083480,4513634,26.6066,-82.2195,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
"Captiva Dr - Waterfront Home, Heated Pool & Dock",73083297,,243078,292520,2008.91,51.71,267,6,5,15,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,22,5,2-5,Luxury,true,848,false,121,19,2026-05-13,Cape Coral/Fort Myers,Captiva,Captiva,Florida,33924,United States,coastal,https://www.airbnb.com/rooms/1038527461329223589,https://a0.muscache.com/im/pictures/miso/Hosting-1038527461329223589/original/17701e54-bd67-42e4-9fb8-bb2dcd0c0207.jpeg,1038527461329223589,3818167,26.5197,-82.1895,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
