Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Bumpa's Big House - Bring the Grandkids!,Keys Ocean Vacation Rentals,,739548,774333,2866.47,75.44,348,10,11,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,33,7,21+,Luxury,true,1766,true,258,39,2026-05-17,Key West,Marathon,Marathon,Florida,33050,United States,coastal,https://www.airbnb.com/rooms/1138314805831878521,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1138314805831878521/original/5634922e-a6e8-4da4-97e6-c8d0647b8e9a.jpeg,1138314805831878521,3614558,24.6951,-81.08,=AVERAGE($G$2:$G$85),=AVERAGE($D$2:$D$85),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Great Large Group Retreat! Sleeps Up To 30!,201636065,,570732,666914,3544.92,54.03,335,13,10,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.8,86,7,6-20,Luxury,false,1651,true,161,21,2026-05-11,Key West,Marathon,Marathon,Florida,33050,United States,coastal,https://www.airbnb.com/rooms/1082504328835284038,https://a0.muscache.com/im/pictures/miso/Hosting-1082504328835284038/original/57950173-b7a7-4bc1-be18-2bca189463d7.jpeg,1082504328835284038,465340,24.69358,-81.08014,=AVERAGE($G$2:$G$85),=AVERAGE($D$2:$D$85),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Private Island ~Oceanfront-Fishing-Diving~ FL Keys,21682753,,427284,444961,1802.89,67.33,354,3,2,8,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,5,33,7,2-5,Luxury,false,450,true,237,31,2026-05-17,Key West,Marathon,Marathon,Florida,33050,United States,coastal,https://www.airbnb.com/rooms/11818704,https://a0.muscache.com/im/pictures/prohost-api/Hosting-11818704/original/2fd07750-8371-4b52-938b-f369863f8ebf.jpeg,11818704,4637048ha,24.69143,-81.0769,=AVERAGE($G$2:$G$85),=AVERAGE($D$2:$D$85),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
New Waterfront Luxe: Pool-Spa-Dock-Beach-Gulf View,579053242,,383736,502611,2052.06,68.25,284,4,5,10,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,16,7,1,Luxury,false,801,false,187,27,2026-05-13,Key West,Marathon,Marathon,Florida,33050,United States,coastal,https://www.airbnb.com/rooms/1223938124631821656,https://a0.muscache.com/im/pictures/miso/Hosting-1223938124631821656/original/8bbca2fd-a52b-409e-ba83-a581d3a14107.jpeg,1223938124631821656,4045424,24.73365,-81.03645,=AVERAGE($G$2:$G$85),=AVERAGE($D$2:$D$85),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
"Private Island, FL Keys Entire Island, Home, A/C, Boat, Dock, Beach, Bikes, WiFi",,,379852,439692,1889.81,64.01,324,3,3,8,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,5,95,7,1,Luxury,false,0,true,201,30,2026-05-13,Key West,Marathon,Marathon,Florida,33050,United States,coastal,https://www.vrbo.com/102524ha,https://media.vrbo.com/lodging/32000000/31950000/31945000/31944954/8912b296_edited_2889.jpg?impolicy=resizecrop&rw=1200&ra=fit,,102524ha,24.740452,-81.036139,=AVERAGE($G$2:$G$85),=AVERAGE($D$2:$D$85),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Luxe Waterfront Retreat-2 Pools-Beach-Spa-Dockage,119120767,,367299,492218,2803.81,47.99,311,7,6,16,true,true,true,true,true,false,true,Home/Apartment,Villa,House/villa,5,71,7,6-20,Luxury,true,1350,false,131,25,2026-05-11,Key West,Marathon,Marathon,Florida,33050,United States,coastal,https://www.airbnb.com/rooms/39527229,https://a0.muscache.com/im/pictures/prohost-api/Hosting-39527229/original/48361f0d-d3aa-44a0-9fb7-3a47498a5974.jpeg,39527229,888679,24.7072,-81.0783,=AVERAGE($G$2:$G$85),=AVERAGE($D$2:$D$85),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
"Private Island Oceanfront, Fishing, Diving & Beach",56647654,,199438,280022,1796.74,71.61,241,4,2,8,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,5,6,7,2-5,Luxury,false,400,false,111,15,2026-05-11,Key West,Marathon,Marathon,Florida,33050,United States,coastal,https://www.airbnb.com/rooms/39794614,https://a0.muscache.com/im/pictures/hosting/Hosting-39794614/original/f6e4f417-ea6e-4e23-a540-d5f54de4ef3c.jpeg,39794614,,24.7405,-81.0361,=AVERAGE($G$2:$G$85),=AVERAGE($D$2:$D$85),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Lux Oceanfront | Views-Kayaks-Pool-Dock-Putt Green,159629674,,175900,325267,1418.55,65.26,221,4,3,10,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,22,7,21+,Luxury,true,698,true,124,17,2026-05-11,Key West,Marathon,Marathon,Florida,33050,United States,coastal,https://www.airbnb.com/rooms/1326811165214962738,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1326811165214962738/original/6d28d8d9-62ef-4335-be1f-afdde3c7f903.jpeg,1326811165214962738,3897206,24.71928,-81.0557,=AVERAGE($G$2:$G$85),=AVERAGE($D$2:$D$85),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
"Luxury Seaside Retreat, Pool, Dock, Kayaks, Views",159629674,,167562,236951,1745.44,82.05,168,4,4,10,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,17,7,21+,Luxury,true,698,false,96,9,2026-05-13,Key West,Marathon,Marathon,Florida,33050,United States,coastal,https://www.airbnb.com/rooms/1055857160175210855,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1055857160175210855/original/e950fc51-745e-4b0f-a8a9-aea1666e51b2.jpeg,1055857160175210855,3780361,24.72504,-81.04388,=AVERAGE($G$2:$G$85),=AVERAGE($D$2:$D$85),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Beautiful Beachfront Villa  w/ Pool/Tiki/Dock,162237509,,124914,210822,757.05,75.34,227,3,3,8,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.95,168,7,2-5,Luxury,true,450,false,165,23,2026-05-17,Key West,Marathon,Marathon,Florida,33050,United States,coastal,https://www.airbnb.com/rooms/22202264,https://a0.muscache.com/im/pictures/miso/Hosting-22202264/original/7d9edc10-4455-4cc2-b912-c144a1d92040.jpeg,22202264,4368055ha,24.69384,-81.08521,=AVERAGE($G$2:$G$85),=AVERAGE($D$2:$D$85),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
