Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Rare walkout condo on Sanibel beach,10061637,,135777,137977,461.83,86.73,339,2,2,6,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.95,371,4,2-5,Luxury,true,175,true,294,58,2026-05-17,Cape Coral/Fort Myers,Sanibel,Sanibel,Florida,33957,United States,coastal,https://www.airbnb.com/rooms/1945247,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTk0NTI0Nw%3D%3D/original/41f2383b-9348-42f8-b253-77f2b805b440.jpeg,1945247,800527,26.42496,-82.0955,"=AVERAGE($G$2:$G$689)","=AVERAGE($D$2:$D$689)","=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)","=$AU2-D2"
Blue Gulf 202,Kingfisher Vacations,,134618,153846,577.76,71.91,324,3,2,8,true,false,false,true,true,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,5,12,7,21+,Luxury,true,351,true,233,32,2026-05-11,Cape Coral/Fort Myers,Sanibel,Sanibel,Florida,33957,United States,coastal,https://www.airbnb.com/rooms/1352165629220953203,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1352165629220953203/original/7b26318e-7121-411c-8bf0-294b2b99b581.jpeg,1352165629220953203,4423091,26.4237690204,-82.0913768925,"=AVERAGE($G$2:$G$689)","=AVERAGE($D$2:$D$689)","=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)","=$AU3-D3"
Amazing Gulf Views! Beachfront Condo + Pickleball,133236393,,133989,150022,439.31,92.71,329,2,2,4,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.95,78,7,2-5,Luxury,true,140,true,305,74,2026-05-11,Cape Coral/Fort Myers,Sanibel,Sanibel,Florida,33957,United States,coastal,https://www.airbnb.com/rooms/629750902006793176,https://a0.muscache.com/im/pictures/miso/Hosting-629750902006793176/original/65268d86-a5eb-4c23-94b2-834e3353b2e4.jpeg,629750902006793176,2856797,26.4497,-82.0199,"=AVERAGE($G$2:$G$689)","=AVERAGE($D$2:$D$689)","=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)","=$AU4-D4"
Sundial A201- Gorgeous Beachfront Condo at Sundial,Rosen Vacations,,133525,137531,440.68,85.11,356,2,2,8,true,false,false,true,true,false,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.95,37,3,21+,Luxury,true,422,true,303,67,2026-05-11,Cape Coral/Fort Myers,Sanibel,Sanibel,Florida,33957,United States,coastal,https://www.airbnb.com/rooms/1371833614530033926,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1371833614530033926/original/f66d0ff3-18ca-4e55-87ad-dc1286f1f650.jpeg,1371833614530033926,4486185,26.4309,-82.0536,"=AVERAGE($G$2:$G$689)","=AVERAGE($D$2:$D$689)","=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)","=$AU5-D5"
Modern Gulf-Front Condo in Sanibel – Newly Renovat,Glass Casa,,129586,208756,629.06,95.81,244,2,2,6,true,false,true,true,false,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.9,55,1,21+,Luxury,true,594,true,206,31,2026-05-14,Cape Coral/Fort Myers,Sanibel,Sanibel,Florida,33957,United States,coastal,https://www.airbnb.com/rooms/1430486359955835047,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1430486359955835047/original/78bdd997-8ed6-4194-a6fd-e59d4f3d3cda.jpeg,1430486359955835047,282725ha,26.4228,-82.0776,"=AVERAGE($G$2:$G$689)","=AVERAGE($D$2:$D$689)","=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)","=$AU6-D6"
Sundial A208- Stunning Beachfront 2BR at Sundial,Rosen Vacations,,126725,133546,454.21,79.94,349,2,2,8,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.95,36,3,21+,Luxury,true,424,true,279,62,2026-05-11,Cape Coral/Fort Myers,Sanibel,Sanibel,Florida,33957,United States,coastal,https://www.airbnb.com/rooms/1379120582480922327,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1379120582480922327/original/c0967370-9822-4536-84fc-1083fc52b2cd.jpeg,1379120582480922327,4486187,26.4309,-82.0536,"=AVERAGE($G$2:$G$689)","=AVERAGE($D$2:$D$689)","=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)","=$AU7-D7"
Sundial A301- Gorgeous Beachfront Residence,Rosen Vacations,,116087,125424,439.72,79.04,334,2,2,8,true,false,false,true,false,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.9,35,3,21+,Luxury,true,424,true,264,61,2026-05-11,Cape Coral/Fort Myers,Sanibel,Sanibel,Florida,33957,United States,coastal,https://www.airbnb.com/rooms/1379120292772158503,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1379120292772158503/original/541ffba1-0051-4d20-9485-552a84467b22.jpeg,1379120292772158503,4486186,26.4309,-82.0536,"=AVERAGE($G$2:$G$689)","=AVERAGE($D$2:$D$689)","=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)","=$AU8-D8"
Pointe Santo E44,Kingfisher Vacations,,115671,124636,472.13,79.29,330,3,2,8,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.25,8,4,21+,Luxury,true,350,true,245,34,2026-05-16,Cape Coral/Fort Myers,Sanibel,Sanibel,Florida,33957,United States,coastal,https://www.airbnb.com/rooms/1417490772126423976,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1417490772126423976/original/21bb7d90-7d54-4013-86e3-93beb87e3b68.jpeg,1417490772126423976,4583556,26.4237006963,-82.0771281949,"=AVERAGE($G$2:$G$689)","=AVERAGE($D$2:$D$689)","=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)","=$AU9-D9"
Pointe Santo E4,Kingfisher Vacations,,115507,150868,485.32,83.51,296,3,2,8,true,false,false,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,5,18,4,21+,Luxury,true,350,true,238,44,2026-05-13,Cape Coral/Fort Myers,Sanibel,Sanibel,Florida,33957,United States,coastal,https://www.airbnb.com/rooms/1417493309219650566,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1417493309219650566/original/694ef237-cbb5-4df8-a4ea-a7bde57588e8.jpeg,1417493309219650566,4583557,26.42189,-82.07758,"=AVERAGE($G$2:$G$689)","=AVERAGE($D$2:$D$689)","=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)","=$AU10-D10"
3BR Sanibel Retreat - gulf views - SIGI 18,Gulf Coast Vacation Rentals,,114572,148846,475.4,82.25,293,3,2,8,true,false,true,true,true,true,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.85,17,3,21+,Luxury,false,451,true,241,44,2026-05-11,Cape Coral/Fort Myers,Sanibel,Sanibel,Florida,33957,United States,coastal,https://www.airbnb.com/rooms/1131176267015091342,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1131176267015091342/original/6f3b81c5-afc1-4f9a-b100-90eb4efdf808.jpeg,1131176267015091342,9947428ha,26.42827,-82.06102,"=AVERAGE($G$2:$G$689)","=AVERAGE($D$2:$D$689)","=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)","=$AU11-D11"
