Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Events & Weddings 14 Cabin Retreat Sleeps 100,Starlight Horizon,,703020,1484879,5624.16,74.85,175,36,49,16,true,false,true,true,true,true,true,Home/Apartment,Cabin,House/villa,0,0,2,21+,Luxury,true,1214,false,125,49,2026-05-13,San Antonio,Canyon Lake,Canyon Lake,Texas,78133,United States,suburban,https://www.airbnb.com/rooms/1054382200409839690,https://a0.muscache.com/im/pictures/hosting/Hosting-1054382200409839690/original/dc0aaeec-910a-4920-98e9-1f15d7ab531b.jpeg,1054382200409839690,4065186,29.9364,-98.2617,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
8Sages Estate,226540303,,415598,759879,4074.49,62.96,198,13,8,16,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,0,0,2,21+,Luxury,true,850,false,102,35,2026-05-11,San Antonio,Canyon Lake,New Braunfels,Texas,78132,United States,suburban,https://www.airbnb.com/rooms/1197080415879074577,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1197080415879074577/original/4560bf1a-d960-4be0-8360-fddf0b34cd2c.jpeg,1197080415879074577,,29.73925,-98.11867,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Riverfront Twin Homes | Perfect Group Escape,Born Again Vacation Properties,,363820,367163,1461.12,70.74,362,8,6,16,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,5,2,1,21+,Luxury,false,450,false,249,121,2026-05-15,San Antonio,Canyon Lake,New Braunfels,Texas,78132,United States,suburban,https://www.airbnb.com/rooms/1658922879688467903,https://a0.muscache.com/im/pictures/hosting/Hosting-1658922879688467903/original/d5da99bd-baa5-4476-8d62-bf8b7e3f5f04.jpeg,1658922879688467903,3974649,29.7794882673,-98.1603895449,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
8Sages-Gruene*Luxury Getaway* Accommodates 18,Big Chief Rentals,,243028,272666,1578.1,47.24,326,7,4,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.75,56,2,21+,Luxury,true,450,true,154,53,2026-05-17,San Antonio,Canyon Lake,New Braunfels,Texas,78132,United States,suburban,https://www.airbnb.com/rooms/760025644124350453,https://a0.muscache.com/im/pictures/prohost-api/Hosting-760025644124350453/original/30165bdd-c321-4c87-8a2d-ce38aa6740ed.jpeg,760025644124350453,3111363,29.7377,-98.1189,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Ultimate Group Getaway at Canyon Lake - Sleeps 28!,661826107,,207969,549501,2363.28,74.58,126,12,8,16,true,false,true,true,true,true,false,Home/Apartment,Cabin,House/villa,0,0,2,6-20,Luxury,true,600,true,88,43,2026-05-11,San Antonio,Canyon Lake,Canyon Lake,Texas,78133,United States,suburban,https://www.airbnb.com/rooms/1305281598865654492,https://a0.muscache.com/im/pictures/miso/Hosting-1305281598865654492/original/06b4be4b-a4fb-40db-87a3-851f352eb0be.jpeg,1305281598865654492,4397743,29.8396,-98.2506,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
"Your Own High-End Resort. 1-Story, KingBeds GameRm",376774908,,189762,327083,1273.57,74.5,215,6,5,16,true,false,true,true,true,true,true,Home/Apartment,Villa,House/villa,5,188,8,2-5,Luxury,true,465,true,149,42,2026-05-17,San Antonio,Canyon Lake,Canyon Lake,Texas,78133,United States,suburban,https://www.airbnb.com/rooms/606418442391773009,https://a0.muscache.com/im/pictures/hosting/Hosting-606418442391773009/original/35a6dbcf-e179-46f5-b4ac-270719454847.jpeg,606418442391773009,2783992,29.8493,-98.2557,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Contained in Gruene X 4!,106199615,,189427,289748,872.94,92.74,249,6,4,16,true,false,true,true,true,false,false,Home/Apartment,Shipping container,Unique,0,0,2,6-20,Luxury,true,425,false,217,78,2026-05-14,San Antonio,Canyon Lake,New Braunfels,Texas,78132,United States,suburban,https://www.airbnb.com/rooms/1052907386083164227,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTA1MjkwNzM4NjA4MzE2NDIyNw==/original/06f4e1d9-02ae-4a8c-9186-169154c72618.jpeg,1052907386083164227,,29.738226812,-98.1176937339,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
"High-End! Gated, 1-Story, 5 King Beds, Game Room",376774908,,180138,239685,905.22,74.25,268,5,5,8,true,false,true,true,true,true,true,Home/Apartment,Villa,House/villa,4.95,38,2,2-5,Luxury,true,295,true,199,54,2026-05-17,San Antonio,Canyon Lake,Canyon Lake,Texas,78133,United States,suburban,https://www.airbnb.com/rooms/733862180475113076,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzMzODYyMTgwNDc1MTEzMDc2/original/9b72387d-47a5-4c6a-a8eb-83fff47a126e.jpeg,733862180475113076,,29.8519,-98.2556,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
SKYHOUSE Canyon Lake: Private Pool and Lake Views,47063171,,174618,192905,684.78,78.46,325,3,2,8,true,false,true,true,true,false,true,Home/Apartment,Villa,House/villa,4.9,449,2,2-5,Luxury,false,384,true,255,91,2026-05-17,San Antonio,Canyon Lake,Canyon Lake,Texas,78133,United States,suburban,https://www.airbnb.com/rooms/1062709,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTA2MjcwOQ%3D%3D/original/8e00fb36-08d5-41cd-9d20-e66bedf9b55b.jpeg,1062709,3831545,29.83988,-98.24342,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
"Starlight Horizon 5 Cabins -Group Retreat, Hot Tub",Starlight Horizon,,172829,268609,1129.6,66.81,233,13,9,16,true,false,true,true,true,true,true,Home/Apartment,Cabin,House/villa,5,3,1,21+,Luxury,true,600,true,153,65,2026-05-11,San Antonio,Canyon Lake,Canyon Lake,Texas,78133,United States,suburban,https://www.airbnb.com/rooms/1329796647876110248,https://a0.muscache.com/im/pictures/hosting/Hosting-1329796647876110248/original/d980c988-364e-43d0-ab94-5d7a0f352749.jpeg,1329796647876110248,5113791,29.9364,-98.2617,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
