Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Settler's Crossing Sanctuary! Sleeps 35 | Weddings,NomadSTR,,698568,877930,3189.81,75.52,290,18,10,16,true,false,false,true,true,true,true,Home/Apartment,Villa,House/villa,5,3,2,21+,Luxury,true,800,true,219,92,2026-05-17,Fredericksburg,Fredericksburg,Fredericksburg,Texas,78624,United States,mountains_lakes,https://www.airbnb.com/rooms/1156780601037488895,https://a0.muscache.com/im/pictures/miso/Hosting-1156780601037488895/original/0912b0c3-d4ac-45e1-bbf1-86a86ba7db1d.jpeg,1156780601037488895,4111736,30.2148,-98.80309,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
The Retreat at Fredericksburg,greatstay vacations and rentals,,503367,620108,3289.98,49.84,307,16,16,16,true,true,true,true,true,false,true,Home/Apartment,Villa,House/villa,5,2,1,21+,Luxury,true,850,true,153,50,2026-05-11,Fredericksburg,Fredericksburg,Fredericksburg,Texas,78624,United States,mountains_lakes,https://www.airbnb.com/rooms/1189122457668592047,https://a0.muscache.com/im/pictures/prohost-api/Hosting-676257025595513371/original/537b23da-98b0-42ba-8332-e7560f254950.jpeg,1189122457668592047,4299357,30.22796,-98.84964,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Cross Mountain Cottages | Great for Gatherings,Gastehaus Schmidt Lodging Service,,478315,666390,4512.41,39.7,280,20,20,16,true,false,true,false,true,true,false,Home/Apartment,Cottage,House/villa,0,0,2,21+,Luxury,true,1226,true,106,44,2026-05-13,Fredericksburg,Fredericksburg,Fredericksburg,Texas,78624,United States,mountains_lakes,https://www.airbnb.com/rooms/1171169974594327519,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1171169974594327519/original/f44484ee-a379-4b87-a97b-d5b222d1af00.jpeg,1171169974594327519,9963864ha,30.23463,-98.82471,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
The Villa at The Retreat,greatstay vacations and rentals,,468866,479456,2309.68,56.7,358,12,11,16,true,false,true,true,true,false,true,Home/Apartment,Villa,House/villa,5,92,1,21+,Luxury,true,550,true,203,71,2026-05-11,Fredericksburg,Fredericksburg,Fredericksburg,Texas,78624,United States,mountains_lakes,https://www.airbnb.com/rooms/676257025595513371,https://a0.muscache.com/im/pictures/hosting/Hosting-676257025595513371/original/ab70ad70-b57d-45ea-9877-af12564fe07c.jpeg,676257025595513371,2925531,30.2342,-98.84557,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
"100 Acre Ranch with Pool, Game Barn & Wedding Area",69246211,,350419,350885,1968.65,49.86,364,7,4,16,true,false,true,true,true,true,true,Home/Apartment,Farm stay,Unique,4.95,217,2,6-20,Luxury,true,600,true,178,42,2026-05-11,Fredericksburg,Fredericksburg,Fredericksburg,Texas,78624,United States,mountains_lakes,https://www.airbnb.com/rooms/39922426,https://a0.muscache.com/im/pictures/fed7d900-625f-42f9-be70-1747bb192d34.jpg,39922426,,30.33621,-98.81572,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
"Great Lodge: Private Pool, Hot Tub & Kitchen Use",288550029,,345585,592953,2928.69,58.42,207,8,8,16,true,false,true,true,true,true,true,Home/Apartment,Villa,House/villa,5,1,2,21+,Luxury,true,500,true,118,41,2026-05-14,Fredericksburg,Fredericksburg,Fredericksburg,Texas,78624,United States,mountains_lakes,https://www.airbnb.com/rooms/1319599942772673207,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTMxOTU5OTk0Mjc3MjY3MzIwNw==/original/14e83f99-0b5f-433d-9fc1-2e8d9bbe6646.jpeg,1319599942772673207,,30.2816213596,-98.8919867157,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Lost Creek Lodge Estate,82737140,,339832,479413,2178.41,59.54,265,9,9,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,127,2,6-20,Luxury,false,640,false,156,34,2026-04-21,Fredericksburg,Fredericksburg,Fredericksburg,Texas,78624,United States,mountains_lakes,https://www.airbnb.com/rooms/1067564838780652702,https://a0.muscache.com/im/pictures/miso/Hosting-1067564838780652702/original/2f904cfd-c453-495f-9e03-286b7df809f7.jpeg,1067564838780652702,9478851ha,30.2746,-98.8672,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
5 cabins+2400 Sq ft Event Center!,124070217,,335435,475380,2772.19,45.83,264,9,8,16,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,5,4,1,6-20,Luxury,true,0,true,121,52,2026-05-13,Fredericksburg,Fredericksburg,Fredericksburg,Texas,78624,United States,mountains_lakes,https://www.airbnb.com/rooms/811030974408541788,https://a0.muscache.com/im/pictures/miso/Hosting-811030974408541788/original/6ca787d3-b508-467a-b5b7-9d353f76ea80.jpeg,811030974408541788,4003903,30.21804,-98.87226,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Agave Luxury Estate,461896159,,306686,336624,3882.1,26.42,334,10,8,16,true,false,false,true,true,false,true,Private Room,Apartment,Apt/Condo/Loft,5,3,2,6-20,Luxury,true,795,false,79,32,2026-05-14,Fredericksburg,Fredericksburg,Fredericksburg,Texas,78624,United States,mountains_lakes,https://www.airbnb.com/rooms/802043211605617936,https://a0.muscache.com/im/pictures/miso/Hosting-802043211605617936/original/4e6c53bd-1c34-4054-9172-2d4e73e35adb.jpeg,802043211605617936,,30.2934,-98.8352,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
"Cloud 9 Main House, Shared Pool, Hot Tub!",Heavenly Hosts,,300290,310043,3128.02,41.03,234,6,5,12,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,4,2,21+,Luxury,true,195,true,96,30,2025-06-11,Fredericksburg,Fredericksburg,Fredericksburg,Texas,78624,United States,mountains_lakes,https://www.airbnb.com/rooms/1101580190026260542,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1101580190026260542/original/679164fc-b7bc-4d4e-a55c-3f107af4af9b.jpeg,1101580190026260542,3879941,30.2818,-98.88222,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
