Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Largest Retreat|Lake LBJ|Pool|Beach|Rope Swing,Log Country Cove,,831173,932372,3392.54,74.92,328,5,7,16,true,true,true,true,false,false,true,Home/Apartment,Cabin,House/villa,5,29,1,21+,Luxury,true,730,true,245,29,2026-05-16,Texas East Area,Granite Shoals / Horseshoe Bay,Burnet,Texas,78611,United States,rural,https://www.airbnb.com/rooms/634687462347460639,https://a0.muscache.com/im/pictures/prohost-api/Hosting-634687462347460639/original/e0cbdbc5-2ee1-4a56-bf30-222068a5dafe.jpeg,634687462347460639,2828885,30.67572,-98.39947,"=AVERAGE($G$2:$G$422)","=AVERAGE($D$2:$D$422)","=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)","=$AU2-D2"
46 Acre Glamping Horse Ranch in Texas Hill Country,23303403,,549312,845579,4193.22,50.38,260,10,10,16,true,false,true,true,true,false,true,Home/Apartment,Place,House/villa,5,20,2,6-20,Luxury,false,599,false,131,44,2026-05-11,Texas East Area,Granite Shoals / Horseshoe Bay,Marble Falls,Texas,78654,United States,rural,https://www.airbnb.com/rooms/51824408,https://a0.muscache.com/im/pictures/prohost-api/Hosting-51824408/original/d432916a-9f61-4c0a-8c65-dad126500a35.jpeg,51824408,2439872,30.48198,-98.2996,"=AVERAGE($G$2:$G$422)","=AVERAGE($D$2:$D$422)","=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)","=$AU3-D3"
Side by Side Lux Homes } Concierge Services,Horseshoe Bay Living,,417760,533271,4055.92,51.24,286,9,12,16,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,5,5,2,21+,Luxury,true,1221,true,103,32,2026-05-11,Texas East Area,Granite Shoals / Horseshoe Bay,Kingsland,Texas,78639,United States,rural,https://www.airbnb.com/rooms/742404751736271747,https://a0.muscache.com/im/pictures/prohost-api/Hosting-742404751736271747/original/0e4b8246-250c-44eb-bb5e-d86d82e7797c.jpeg,742404751736271747,3071599,30.6552,-98.4263,"=AVERAGE($G$2:$G$422)","=AVERAGE($D$2:$D$422)","=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)","=$AU4-D4"
Palm Paradise on Lake LBJ | Concierge Services,Horseshoe Bay Living,,334896,414182,1969.98,53.97,315,6,8,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,55,2,21+,Luxury,true,836,true,170,54,2026-05-11,Texas East Area,Granite Shoals / Horseshoe Bay,Burnet,Texas,78611,United States,rural,https://www.airbnb.com/rooms/1166033001958911197,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1166033001958911197/original/c52c3778-ff30-4015-b28a-a82466cfd25d.jpeg,1166033001958911197,4024799,30.7209,-98.4023,"=AVERAGE($G$2:$G$422)","=AVERAGE($D$2:$D$422)","=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)","=$AU5-D5"
Campa Royale | Concierge Services,Horseshoe Bay Living,,233608,271081,1567.84,51.92,290,5,7,16,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,4.95,41,2,21+,Luxury,true,777,true,149,42,2026-05-11,Texas East Area,Granite Shoals / Horseshoe Bay,Kingsland,Texas,78639,United States,rural,https://www.airbnb.com/rooms/1130309138592381034,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1130309138592381034/original/02c62a72-2041-4d78-b500-2e944426eb3c.jpeg,1130309138592381034,3944134,30.6527,-98.4218,"=AVERAGE($G$2:$G$422)","=AVERAGE($D$2:$D$422)","=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)","=$AU6-D6"
"Highland Harmony, Infinity Pool, Hot Tub, Kayaks",Horseshoe Bay Living,,232895,236675,1651.74,40.75,357,5,6,16,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,5,69,2,21+,Luxury,true,721,true,141,39,2026-05-11,Texas East Area,Granite Shoals / Horseshoe Bay,Marble Falls,Texas,78654,United States,rural,https://www.airbnb.com/rooms/923077954352943215,https://a0.muscache.com/im/pictures/prohost-api/Hosting-923077954352943215/original/7db5933a-c216-4536-a9c7-0f79426b3aa2.jpeg,923077954352943215,3380129,30.6,-98.3963,"=AVERAGE($G$2:$G$422)","=AVERAGE($D$2:$D$422)","=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)","=$AU7-D7"
NEW Lake Retreat: Sleep 18- King suites/Pool/Slide,184973818,,222167,237311,1322.42,51.38,345,5,5,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,53,3,2-5,Luxury,true,445,false,168,52,2026-05-11,Texas East Area,Granite Shoals / Horseshoe Bay,Marble Falls,Texas,78654,United States,rural,https://www.airbnb.com/rooms/1190888128007614926,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE5MDg4ODEyODAwNzYxNDkyNg%3D%3D/original/fe296bd6-f202-4be4-b47e-f573e9c728a4.jpeg,1190888128007614926,4085551,30.5885,-98.4016,"=AVERAGE($G$2:$G$422)","=AVERAGE($D$2:$D$422)","=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)","=$AU8-D8"
Rolling Waves Haven | Concierge Services Available,Horseshoe Bay Living,,213608,224228,1525.77,42.81,347,5,8,16,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,5,57,2,21+,Luxury,true,726,true,140,43,2026-05-11,Texas East Area,Granite Shoals / Horseshoe Bay,Kingsland,Texas,78639,United States,rural,https://www.airbnb.com/rooms/954371613931532383,https://a0.muscache.com/im/pictures/prohost-api/Hosting-954371613931532383/original/efc3f9df-e5fb-4faa-af4f-b4a84e6aa1a3.jpeg,954371613931532383,3551474,30.654,-98.4229,"=AVERAGE($G$2:$G$422)","=AVERAGE($D$2:$D$422)","=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)","=$AU9-D9"
Bent Oak Highland Ranch | Events | Concierge Servi,Horseshoe Bay Living,,195537,209271,1386.79,51.09,289,5,6,16,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,5,24,2,21+,Luxury,true,835,true,141,33,2026-05-17,Texas East Area,Granite Shoals / Horseshoe Bay,Burnet,Texas,78611,United States,rural,https://www.airbnb.com/rooms/1097705760311509766,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1097705760311509766/original/aabf77fe-4d0b-43e7-8e56-6862be3b56d0.jpeg,1097705760311509766,3871244,30.6879,-98.2801,"=AVERAGE($G$2:$G$422)","=AVERAGE($D$2:$D$422)","=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)","=$AU10-D10"
Lakeview Landing | Concierge Services,Horseshoe Bay Living,,189940,210371,1472.4,41.61,329,6,6,16,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.9,40,2,21+,Luxury,true,720,true,129,39,2026-05-13,Texas East Area,Granite Shoals / Horseshoe Bay,Horseshoe Bay,Texas,78657,United States,rural,https://www.airbnb.com/rooms/1136095008806868412,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1136095008806868412/original/f4d86043-8a60-4964-84d7-23b31c2cabef.jpeg,1136095008806868412,3958169,30.5617,-98.3164,"=AVERAGE($G$2:$G$422)","=AVERAGE($D$2:$D$422)","=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)","=$AU11-D11"
