Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Waterfront retreat on Lake Conroe - Sleeps 24!,42954181,,279109,309759,1924.89,45.03,330,7,6,16,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.95,77,3,1,Luxury,true,435,false,145,39,2026-05-11,Houston,Lake Conroe,Willis,Texas,77318,United States,suburban,https://www.airbnb.com/rooms/617835956744163900,https://a0.muscache.com/im/pictures/miso/Hosting-617835956744163900/original/b1b94719-ed47-4609-b993-82606deaff3c.jpeg,617835956744163900,2946876,30.4768,-95.57184,=AVERAGE($G$2:$G$418),=AVERAGE($D$2:$D$418),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Ultimate Lake Resort Xtravaganza. XXXL ShOReLinE,291186388,,181533,212497,1163.67,49.52,315,5,4,16,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,5,53,2,2-5,Luxury,true,650,false,156,58,2026-05-13,Houston,Lake Conroe,Montgomery,Texas,77356,United States,suburban,https://www.airbnb.com/rooms/1258637642858845330,https://a0.muscache.com/im/pictures/hosting/Hosting-1258637642858845330/original/dfa9adf7-d05a-43ae-8398-9fd5f3eac44e.png,1258637642858845330,4575204,30.3718974507,-95.6262450292,=AVERAGE($G$2:$G$418),=AVERAGE($D$2:$D$418),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
"2 houses, 1 amazing property!",654794296,,171768,219201,2602.55,29.2,263,16,11,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,3,2,2-5,Luxury,false,800,true,66,27,2026-05-17,Houston,Lake Conroe,Conroe,Texas,77304,United States,suburban,https://www.airbnb.com/rooms/1397183985531880637,https://a0.muscache.com/im/pictures/miso/Hosting-1397183985531880637/original/4baba7f8-3be6-487f-bc73-5d9ad5712649.jpeg,1397183985531880637,4278462,30.3256,-95.5479,=AVERAGE($G$2:$G$418),=AVERAGE($D$2:$D$418),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Luxury Lakefront 5BR, Pool/Spa, Dock, Boat Fun",97803555,,169336,212656,1020.1,52.7,316,5,4,14,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,83,3,6-20,Luxury,true,495,false,166,35,2026-05-17,Houston,Lake Conroe,Montgomery,Texas,77356,United States,suburban,https://www.airbnb.com/rooms/601705629565690029,https://a0.muscache.com/im/pictures/miso/Hosting-601705629565690029/original/4eb0b805-4c9d-4bb7-9acc-0b28d4f0ccd9.png,601705629565690029,2748686,30.36855,-95.58821,=AVERAGE($G$2:$G$418),=AVERAGE($D$2:$D$418),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Beautiful hidden estate,654794296,,164734,192088,1810.26,41.94,279,9,6,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,19,2,2-5,Luxury,false,450,true,91,29,2026-05-13,Houston,Lake Conroe,Conroe,Texas,77304,United States,suburban,https://www.airbnb.com/rooms/1257431322904663009,https://a0.muscache.com/im/pictures/miso/Hosting-1257431322904663009/original/bcb16cdb-85e7-4f99-a354-aba80cba14f2.jpeg,1257431322904663009,4216455,30.3251,-95.544,=AVERAGE($G$2:$G$418),=AVERAGE($D$2:$D$418),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
The Waterfront Villa,29598063,,159551,168327,778.3,59.77,343,5,3,16,true,false,true,true,true,false,true,Home/Apartment,Villa,House/villa,4.95,244,2,2-5,Luxury,true,300,true,205,73,2026-05-17,Houston,Lake Conroe,Montgomery,Texas,77356,United States,suburban,https://www.airbnb.com/rooms/52865602,https://a0.muscache.com/im/pictures/prohost-api/Hosting-52865602/original/aaed7c70-ba39-483d-8b3e-31004acc7720.jpeg,52865602,2513984,30.40588,-95.628,=AVERAGE($G$2:$G$418),=AVERAGE($D$2:$D$418),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
"Lux Treehouse: Lake, Views, Gameroom, Kayaks, Fun",331196230,,152096,159984,792.17,55.33,347,4,4,16,true,false,false,true,true,false,false,Home/Apartment,Treehouse,Unique,5,169,2,6-20,Luxury,true,218,true,192,76,2026-05-17,Houston,Lake Conroe,Montgomery,Texas,77316,United States,suburban,https://www.airbnb.com/rooms/836888488050073684,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODM2ODg4NDg4MDUwMDczNjg0/original/532ec64b-7120-43c8-8a6b-af24202f223f.png,836888488050073684,,30.3656,-95.63085,=AVERAGE($G$2:$G$418),=AVERAGE($D$2:$D$418),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Waterfront Home with private pool and dock.,221549288,,147252,154691,1487.39,29.38,347,6,6,10,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.8,22,2,6-20,Luxury,true,500,true,99,35,2026-05-17,Houston,Lake Conroe,Montgomery,Texas,77356,United States,suburban,https://www.airbnb.com/rooms/1388425002829775214,https://a0.muscache.com/im/pictures/miso/Hosting-1388425002829775214/original/4c84d2f3-9fe5-4af8-9943-238f2e6f8c75.jpeg,1388425002829775214,4507844,30.4123,-95.6502,=AVERAGE($G$2:$G$418),=AVERAGE($D$2:$D$418),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Lux Retreat | Private Pool & Spa | 2 King Primarys,iTrip North Houston,,140569,149145,1011.29,41.74,343,4,4,14,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,29,5,21+,Luxury,true,418,false,139,44,2026-05-16,Houston,Lake Conroe,Montgomery,Texas,77356,United States,suburban,https://www.airbnb.com/rooms/1041476690218145698,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1041476690218145698/original/ecf97f63-5d62-4fe9-821b-c057b7777037.jpeg,1041476690218145698,3638742,30.3736,-95.6058,=AVERAGE($G$2:$G$418),=AVERAGE($D$2:$D$418),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Lux 5 BR Lakefront | Hot Tub | Firepit | Gameroom,iTrip North Houston,,135946,138864,1235.87,37.67,327,5,4,14,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.7,17,5,21+,Luxury,true,417,false,110,32,2026-05-14,Houston,Lake Conroe,Montgomery,Texas,77356,United States,suburban,https://www.airbnb.com/rooms/1441531122407203487,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1441531122407203487/original/b804ffe3-ef41-4faa-845f-67bdab40d96c.jpeg,1441531122407203487,4579799,30.4007,-95.6475,=AVERAGE($G$2:$G$418),=AVERAGE($D$2:$D$418),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
