Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
"Full Costa Bahia | Pool, Pet-Friendly, Sleeps 100",Sway Vacation Homes,,776420,1454487,5585.76,97.89,147,30,,16,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,4,1,2,21+,Luxury,true,2988,true,139,38,2026-05-14,Corpus Christi,Port Aransas,Port Aransas,Texas,78373,United States,coastal,https://www.airbnb.com/rooms/1411047777663575247,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1411047777663575247/original/7616e397-06a2-42a0-87f2-fdfbea4a0a75.jpeg,1411047777663575247,4884882,27.8173,-97.0721,"=AVERAGE($G$2:$G$696)","=AVERAGE($D$2:$D$696)","=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)","=$AU2-D2"
"Costa Bahia Full Bldg | Pool, Beach, Sleeps 100",AvantStay,,489917,1270487,6446.28,100,83,30,30,100,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,0,0,2,21+,Luxury,false,2491,true,76,13,2026-05-16,Corpus Christi,Port Aransas,Port Aransas,Texas,78373,United States,coastal,https://www.vrbo.com/4563408,"https://media.vrbo.com/lodging/116000000/115690000/115689700/115689630/20f773a2.jpg?impolicy=resizecrop&rw=1200&ra=fit",,4563408,27.817315,-97.072124,"=AVERAGE($G$2:$G$696)","=AVERAGE($D$2:$D$696)","=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)","=$AU3-D3"
Sea of Dreams 174 SE,Cinnamon Shore,,349015,372468,3061.54,36.77,343,6,6,16,true,true,false,true,true,false,true,Home/Apartment,House,House/villa,5,2,2,21+,Luxury,true,742,true,114,29,2026-05-16,Corpus Christi,Port Aransas,Port Aransas,Texas,78373,United States,coastal,https://www.airbnb.com/rooms/1421205844686059712,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1421205844686059712/original/3dee64ba-a1d8-414f-8a9f-66210968d555.jpeg,1421205844686059712,20095536ha,27.771,-97.1043,"=AVERAGE($G$2:$G$696)","=AVERAGE($D$2:$D$696)","=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)","=$AU4-D4"
9 Costa Bahia Condos | Sleeps 50 w/ Shared Pool,Sway Vacation Homes,,336591,801752,2804.93,96,128,15,15,16,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,0,0,2,21+,Luxury,true,1481,true,120,37,2026-05-14,Corpus Christi,Port Aransas,Port Aransas,Texas,78373,United States,coastal,https://www.airbnb.com/rooms/1410262612480539482,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1410262612480539482/original/0468c8a8-249c-487d-b152-d9b791b3525c.jpeg,1410262612480539482,4560851,27.8173,-97.0721,"=AVERAGE($G$2:$G$696)","=AVERAGE($D$2:$D$696)","=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)","=$AU5-D5"
Pet friendly Sweeping Beach Views Private Pool!,Port A Escapes,,272256,344731,2143.75,50.6,270,6,5,16,true,false,false,true,false,true,true,Home/Apartment,House,House/villa,4.9,139,2,21+,Luxury,false,583,true,127,33,2026-05-11,Corpus Christi,Port Aransas,Port Aransas,Texas,78373,United States,coastal,https://www.airbnb.com/rooms/33967400,https://a0.muscache.com/im/pictures/hosting/Hosting-33967400/original/636c18ed-acfe-45d1-a338-6cda06734862.jpeg,33967400,1424998,27.7585,-97.1134,"=AVERAGE($G$2:$G$696)","=AVERAGE($D$2:$D$696)","=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)","=$AU6-D6"
"Sleeps 33! 4 Condos, Walk to the Beach, Resort-Style Pool, Endless Summer Resort",AvantStay,,269369,447186,1704.87,76.33,220,12,12,33,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,5,2,2,21+,Luxury,false,973,true,158,45,2026-05-14,Corpus Christi,Port Aransas,Port Aransas,Texas,78373,United States,coastal,https://www.vrbo.com/4542053,"https://media.vrbo.com/lodging/116000000/115070000/115069000/115068969/68ea09c3.jpg?impolicy=resizecrop&rw=1200&ra=fit",,4542053,27.817566,-97.068842,"=AVERAGE($G$2:$G$696)","=AVERAGE($D$2:$D$696)","=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)","=$AU7-D7"
7 Costa Bahia Condos | Sleeps 42 w/ Shared Pool,Sway Vacation Homes,,259803,497860,2061.93,92.65,159,13,13,16,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,0,0,2,21+,Luxury,true,1118,true,126,43,2026-05-14,Corpus Christi,Port Aransas,Port Aransas,Texas,78373,United States,coastal,https://www.airbnb.com/rooms/1410443798158786031,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1410443798158786031/original/f800ead2-f43f-4e76-954d-1ab99916bb72.jpeg,1410443798158786031,4560862,27.8173,-97.0721,"=AVERAGE($G$2:$G$696)","=AVERAGE($D$2:$D$696)","=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)","=$AU8-D8"
"9 Condos at Costa Bahia | Sleeps 50, Mins to Beach",Sway Vacation Homes,,250170,402486,2050.57,69.71,197,15,15,16,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,0,0,2,21+,Luxury,true,784,true,122,42,2026-05-14,Corpus Christi,Port Aransas,Port Aransas,Texas,78373,United States,coastal,https://www.airbnb.com/rooms/1373963451058681042,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1373963451058681042/original/feb903f2-a3aa-4f47-8e5c-b577b244cacf.jpeg,1373963451058681042,4475299,27.8173,-97.0721,"=AVERAGE($G$2:$G$696)","=AVERAGE($D$2:$D$696)","=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)","=$AU9-D9"
Blue Havana 104 DAR,Cinnamon Shore,,248858,367011,3231.92,55,223,7,6,16,true,true,false,true,true,false,true,Home/Apartment,House,House/villa,5,3,3,21+,Luxury,true,834,true,77,18,2026-05-17,Corpus Christi,Port Aransas,Port Aransas,Texas,78373,United States,coastal,https://www.airbnb.com/rooms/1095104748380881228,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1095104748380881228/original/45b8f6ee-9fab-4806-9761-210c108fcc93.jpeg,1095104748380881228,9927417ha,27.7526,-97.1181,"=AVERAGE($G$2:$G$696)","=AVERAGE($D$2:$D$696)","=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)","=$AU10-D10"
"Beach Home w/Pool, Elevator & Gulf Views",Port A Escapes,,230119,270999,2036.45,43.8,309,6,5,16,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,5,20,2,21+,Luxury,false,1153,true,113,36,2026-05-13,Corpus Christi,Port Aransas,Port Aransas,Texas,78373,United States,coastal,https://www.airbnb.com/rooms/1134848250851356645,https://a0.muscache.com/im/pictures/hosting/Hosting-1134848250851356645/original/9bd94fe4-278a-4e25-a151-b396c4f728b9.jpeg,1134848250851356645,3387569,27.8174,-97.0658,"=AVERAGE($G$2:$G$696)","=AVERAGE($D$2:$D$696)","=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)","=$AU11-D11"
