Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
New Build/360 View/Bball court/Heated Pool/HotTub,SPI Rentals LLC,,473165,540199,3092.58,52.58,307,10,10,16,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.85,35,2,21+,Luxury,false,1259,true,153,43,2026-05-13,South Padre Island,South Padre Island,South Padre Island,Texas,78597,United States,coastal,https://www.airbnb.com/rooms/754977407341133929,https://a0.muscache.com/im/pictures/prohost-api/Hosting-754977407341133929/original/5d261ec3-1ba6-4b63-8ca6-2e2d375ddb21.jpeg,754977407341133929,3100179,26.09938,-97.16622,=AVERAGE($G$2:$G$385),=AVERAGE($D$2:$D$385),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Elegant Oceanfront Home w/ Pool & Beach Boardwalk!,SPI Rentals LLC,,427534,480586,1850.8,75.74,307,5,5,14,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.8,123,2,21+,Luxury,false,1779,true,231,51,2026-05-17,South Padre Island,South Padre Island,South Padre Island,Texas,78597,United States,coastal,https://www.airbnb.com/rooms/36807518,https://a0.muscache.com/im/pictures/prohost-api/Hosting-36807518/original/7a924c62-5bbe-4b1a-90e9-83ff3979efa1.jpeg,36807518,1623431,26.12376,-97.16615,=AVERAGE($G$2:$G$385),=AVERAGE($D$2:$D$385),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Modern Oceanfront Home w/ Pool & Beach Boardwalk!,SPI Rentals LLC,,361244,418603,1995.82,57.64,314,5,5,14,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.5,87,2,21+,Luxury,false,1542,true,181,50,2026-05-11,South Padre Island,South Padre Island,South Padre Island,Texas,78597,United States,coastal,https://www.airbnb.com/rooms/43946208,https://a0.muscache.com/im/pictures/prohost-api/Hosting-43946208/original/3ff2387e-ed4d-4b5c-98b5-50a9bcf60129.jpeg,43946208,1710077,26.12408,-97.16703,=AVERAGE($G$2:$G$385),=AVERAGE($D$2:$D$385),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Gulf Breeze: Oceanfront Home w/ Pool & Bch Access!,SPI Rentals LLC,,280591,354708,1690.31,67.76,247,4,3,10,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.6,78,2,21+,Luxury,false,2268,true,166,37,2026-05-11,South Padre Island,South Padre Island,South Padre Island,Texas,78597,United States,coastal,https://www.airbnb.com/rooms/21105520,https://a0.muscache.com/im/pictures/prohost-api/Hosting-21105520/original/6a535dfc-0976-4517-a1cf-6e30a4d1caa9.jpeg,21105520,409790,26.12435,-97.1671,=AVERAGE($G$2:$G$385),=AVERAGE($D$2:$D$385),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Bella Vita: Huge Beach House w/ Incredible Views!,SPI Rentals LLC,,280331,327078,1341.3,75.72,296,4,5,10,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.8,101,3,21+,Luxury,false,992,true,209,41,2026-05-17,South Padre Island,South Padre Island,South Padre Island,Texas,78597,United States,coastal,https://www.airbnb.com/rooms/26537203,https://a0.muscache.com/im/pictures/prohost-api/Hosting-26537203/original/7c69f020-255c-4d9a-a4c6-c347e41e4a3a.jpeg,26537203,1379347,26.13528,-97.16771,=AVERAGE($G$2:$G$385),=AVERAGE($D$2:$D$385),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Oceanfront Elegance with Private Pool! Sleeps 10!,SPI Rentals LLC,,275497,342167,1669.68,67.9,263,4,3,10,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.9,28,2,21+,Luxury,false,986,true,165,40,2026-05-11,South Padre Island,South Padre Island,South Padre Island,Texas,78597,United States,coastal,https://www.airbnb.com/rooms/1355112522969141536,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1355112522969141536/original/5ada2fba-5906-48ae-becd-aa3261cf7a0e.jpeg,1355112522969141536,4430169,26.12284,-97.16753,=AVERAGE($G$2:$G$385),=AVERAGE($D$2:$D$385),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Massive Oceanfront Home w/ Pool! Sleeps 20!,SPI Rentals LLC,,274102,357841,2284.18,46.51,267,7,7,16,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,4,55,2,21+,Luxury,false,1117,true,120,34,2026-05-13,South Padre Island,South Padre Island,South Padre Island,Texas,78597,United States,coastal,https://www.airbnb.com/rooms/26420722,https://a0.muscache.com/im/pictures/prohost-api/Hosting-26420722/original/2de98f72-5a5b-415b-8334-4edeb4b2253a.jpeg,26420722,1344460,26.11915,-97.16629,=AVERAGE($G$2:$G$385),=AVERAGE($D$2:$D$385),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Private Home Large Heated Pool/Hot Tub/BBall court,SPI Rentals LLC,,269709,431765,2210.73,52.81,234,9,5,16,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.7,93,2,21+,Luxury,false,893,true,122,29,2026-05-11,South Padre Island,South Padre Island,South Padre Island,Texas,78597,United States,coastal,https://www.airbnb.com/rooms/37491815,https://a0.muscache.com/im/pictures/prohost-api/Hosting-37491815/original/e4830cb3-5533-4cfb-af52-29e1f19332ea.jpeg,37491815,1711954,26.09987,-97.16344,=AVERAGE($G$2:$G$385),=AVERAGE($D$2:$D$385),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Ultra Modern Oceanfront Home w/ Pool & Boardwalk!,SPI Rentals LLC,,260283,278890,1221.99,64.16,333,5,5,14,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.8,90,3,21+,Luxury,false,919,true,213,41,2026-05-13,South Padre Island,South Padre Island,South Padre Island,Texas,78597,United States,coastal,https://www.airbnb.com/rooms/40015303,https://a0.muscache.com/im/pictures/prohost-api/Hosting-40015303/original/8c9a6a17-1cdc-4124-83aa-b0b80e5cba40.jpeg,40015303,1694649,26.12265,-97.16755,=AVERAGE($G$2:$G$385),=AVERAGE($D$2:$D$385),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Large Heated Pool/Hot Tub/Bball Court/Beach View,SPI Rentals LLC,,250292,299012,1398.28,63.25,296,6,5,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.05,108,2,21+,Luxury,false,1313,true,179,46,2026-05-17,South Padre Island,South Padre Island,South Padre Island,Texas,78597,United States,coastal,https://www.airbnb.com/rooms/53771074,https://a0.muscache.com/im/pictures/prohost-api/Hosting-53771074/original/50d40a3a-be9e-406a-95d3-8816f1b4fc4a.jpeg,53771074,1237066,26.11797,-97.16779,=AVERAGE($G$2:$G$385),=AVERAGE($D$2:$D$385),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
"100 Steps to water, 2 slides, heated pool & spa",216975002,,226301,271755,1414.38,57.97,286,6,4,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,205,2,6-20,Luxury,true,561,true,160,41,2026-05-11,South Padre Island,South Padre Island,South Padre Island,Texas,78597,United States,coastal,https://www.airbnb.com/rooms/40029165,https://a0.muscache.com/im/pictures/prohost-api/Hosting-40029165/original/9cce65c5-3c16-401f-a8cd-957cae7cff06.jpeg,40029165,1025694,26.0978,-97.1644,=AVERAGE($G$2:$G$385),=AVERAGE($D$2:$D$385),"=IFERROR(($AT12-G12)/$AT12,0)","=IFERROR(($AU12-D12)/$AU12,0)",=$AU12-D12
"Sleek Oceanfront Home w/ Pool, Hot Tub & Boardwalk",SPI Rentals LLC,,225958,385953,1914.9,78.15,231,5,5,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.55,93,2,21+,Luxury,false,2333,true,118,25,2026-05-17,South Padre Island,South Padre Island,South Padre Island,Texas,78597,United States,coastal,https://www.airbnb.com/rooms/36807525,https://a0.muscache.com/im/pictures/prohost-api/Hosting-36807525/original/763b4c02-1ce6-48a0-a98e-6b61f3fdfd98.jpeg,36807525,1640058,26.12241,-97.16831,=AVERAGE($G$2:$G$385),=AVERAGE($D$2:$D$385),"=IFERROR(($AT13-G13)/$AT13,0)","=IFERROR(($AU13-D13)/$AU13,0)",=$AU13-D13
"Beach Retreat, Private Heated Pool! Dog Friendly!",SPI Rentals LLC,,223384,254398,1314.02,61.37,308,5,5,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.85,88,2,21+,Luxury,false,1930,true,170,39,2026-05-13,South Padre Island,South Padre Island,South Padre Island,Texas,78597,United States,coastal,https://www.airbnb.com/rooms/44614146,https://a0.muscache.com/im/pictures/prohost-api/Hosting-44614146/original/970638e6-c3e9-4fad-be08-1654f716939b.jpeg,44614146,2021233,26.12725,-97.16797,=AVERAGE($G$2:$G$385),=AVERAGE($D$2:$D$385),"=IFERROR(($AT14-G14)/$AT14,0)","=IFERROR(($AU14-D14)/$AU14,0)",=$AU14-D14
Remodeled Beachfront Penthouse w/ Views for Miles!,SPI Rentals LLC,,216577,246524,1203.21,56.43,319,4,5,16,true,false,true,true,true,false,true,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.6,85,2,21+,Luxury,false,803,true,180,47,2026-05-11,South Padre Island,South Padre Island,South Padre Island,Texas,78597,United States,coastal,https://www.airbnb.com/rooms/43946210,https://a0.muscache.com/im/pictures/prohost-api/Hosting-43946210/original/e46fb56b-0bec-45ec-8236-ac1fca98f0ae.jpeg,43946210,1986442,26.1003,-97.16289,=AVERAGE($G$2:$G$385),=AVERAGE($D$2:$D$385),"=IFERROR(($AT15-G15)/$AT15,0)","=IFERROR(($AU15-D15)/$AU15,0)",=$AU15-D15
