Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
20-acre Ranch for Events w/ Pool and 23 Units,508972123,,1514180,2415009,10442.62,67.76,214,28,28,16,true,false,false,true,true,true,true,Home/Apartment,Ranch,Unique,0,0,1,6-20,Luxury,true,1750,true,145,73,2026-05-11,Austin,Wimberley,Wimberley,Texas,78676,United States,suburban,https://www.airbnb.com/rooms/864369567557394650,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODY0MzY5NTY3NTU3Mzk0NjUw/original/f5434f00-15a7-4551-acde-771454e29372.jpeg,864369567557394650,3341720,30.04115,-98.2083,=AVERAGE($G$2:$G$353),=AVERAGE($D$2:$D$353),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Whispering Oaks Estate and Venue - Inclusive Event Space & Lodging on 55 Acres,,,442186,848892,3913.15,62.09,195,11,7,25,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,3,3,1,Luxury,false,795,false,113,29,2026-05-16,Austin,Wimberley,Dripping Springs,Texas,78620,United States,suburban,https://www.vrbo.com/7832534ha,https://media.vrbo.com/lodging/38000000/37280000/37273800/37273703/5b6ddea4.jpg?impolicy=resizecrop&rw=1200&ra=fit,,7832534ha,30.156796,-98.109544,=AVERAGE($G$2:$G$353),=AVERAGE($D$2:$D$353),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
New 5 Star Hill Country Retreat,Resort Style Vacation Homes,,391325,472853,2329.32,55.81,301,10,7,16,true,true,true,true,true,true,true,Home/Apartment,House,House/villa,4.95,97,3,21+,Luxury,true,1420,true,168,54,2026-05-17,Austin,Wimberley,Dripping Springs,Texas,78620,United States,suburban,https://www.airbnb.com/rooms/51767001,https://a0.muscache.com/im/pictures/2e0cef39-e4dc-4c40-b221-516e4a3ce6a1.jpg,51767001,,30.13312,-98.14016,=AVERAGE($G$2:$G$353),=AVERAGE($D$2:$D$353),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Amazing Ranch Sleeps 42 Plus! Located On 75 Acres With A Pool And Barn,Hill Country Premier Lodging,,319265,464960,2313.51,52.08,269,13,12,60,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.8,36,2,21+,Luxury,false,500,true,138,44,2026-05-17,Austin,Wimberley,Wimberley,Texas,78676,United States,suburban,https://www.vrbo.com/4117810ha,https://media.vrbo.com/lodging/22000000/21680000/21678400/21678318/d92f3dde.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4117810ha,30.053757,-98.127315,=AVERAGE($G$2:$G$353),=AVERAGE($D$2:$D$353),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
12 Acres | 2 Homes | Views | Fire Pit | Pickleball,HOSTÎE Vacation Rentals,,303800,330574,1633.33,56.19,331,8,5,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,16,2,21+,Luxury,true,716,false,186,57,2026-05-17,Austin,Wimberley,Wimberley,Texas,78676,United States,suburban,https://www.airbnb.com/rooms/1170385942651428728,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1170385942651428728/original/ce81fc9b-4d3e-48d8-b775-e177f4479e3e.jpeg,1170385942651428728,4065086,29.9791,-98.1423,=AVERAGE($G$2:$G$353),=AVERAGE($D$2:$D$353),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
"Pool/Spa, Treenet, Pickle, Game Rm, View, Sleep 24",1870289,,261961,283773,1416.01,54.09,342,7,4,16,true,true,false,true,true,true,true,Home/Apartment,House,House/villa,5,139,2,2-5,Luxury,true,495,false,185,62,2026-05-13,Austin,Wimberley,Wimberley,Texas,78676,United States,suburban,https://www.airbnb.com/rooms/44021462,https://a0.muscache.com/im/pictures/prohost-api/Hosting-44021462/original/93c495d6-5ea9-48a8-a16c-3d280dcdf64f.jpeg,44021462,1978028,30.0078,-98.0634,=AVERAGE($G$2:$G$353),=AVERAGE($D$2:$D$353),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Riverfront | 5 Acres | 2 Hot Tubs | Sleeps 17,Wonderlodge,,252453,339377,1207.91,75.18,278,6,5,16,true,false,true,true,false,true,false,Home/Apartment,House,House/villa,5,17,3,6-20,Luxury,true,660,true,209,75,2026-05-13,Austin,Wimberley,Wimberley,Texas,78676,United States,suburban,https://www.airbnb.com/rooms/1277460181963777618,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1277460181963777618/original/ef7e3177-3704-4ec0-bc8a-de6417a86e2a.jpeg,1277460181963777618,4269258,29.9709,-98.1219,=AVERAGE($G$2:$G$353),=AVERAGE($D$2:$D$353),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
"Private Ranch w/ River Access, Pool, Pickle ball",323793854,,234812,234812,1608.3,40,365,8,8,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,58,2,6-20,Luxury,true,651,true,146,51,2026-05-17,Austin,Wimberley,Wimberley,Texas,78676,United States,suburban,https://www.airbnb.com/rooms/997089658839834247,https://a0.muscache.com/im/pictures/prohost-api/Hosting-997089658839834247/original/74a30653-7465-4d7b-8b1f-d00d1520b8e1.jpeg,997089658839834247,2593815,29.9737,-98.19112,=AVERAGE($G$2:$G$353),=AVERAGE($D$2:$D$353),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Terracotta Retreat | Sleeps 58 | Pool & Events,TruePMG Inc.,,233625,273756,3290.49,51.45,161,17,11,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,0,0,3,21+,Luxury,false,500,false,71,20,2026-05-13,Austin,Wimberley,Wimberley,Texas,78676,United States,suburban,https://www.airbnb.com/rooms/1558890912577178262,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1558890912577178262/original/c9504562-a794-442b-81c3-5c679c279cfb.jpeg,1558890912577178262,4961707,30.064,-98.0737,=AVERAGE($G$2:$G$353),=AVERAGE($D$2:$D$353),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Downtown DRIP | Pool Spa Pickleball Golf | Slps 32,657629590,,220604,297618,1764.83,44.17,296,6,4,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,57,3,1,Luxury,true,599,true,125,35,2026-05-16,Austin,Wimberley,Dripping Springs,Texas,78620,United States,suburban,https://www.airbnb.com/rooms/1269576782235816712,https://a0.muscache.com/im/pictures/hosting/Hosting-1269576782235816712/original/302d9eb1-9ecd-4cae-8c81-a10f3ae77507.jpeg,1269576782235816712,4245888,30.1898,-98.0912,=AVERAGE($G$2:$G$353),=AVERAGE($D$2:$D$353),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
Ultimate Vacation Home with ALL of the amenities!,323793854,,213648,218332,1504.56,40.23,353,6,7,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,120,2,6-20,Luxury,true,500,false,142,42,2026-05-13,Austin,Wimberley,Wimberley,Texas,78676,United States,suburban,https://www.airbnb.com/rooms/1018260002636119334,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1018260002636119334/original/d648cf63-512e-406e-b261-19ab799f4b6b.jpeg,1018260002636119334,280220,29.94101,-98.11404,=AVERAGE($G$2:$G$353),=AVERAGE($D$2:$D$353),"=IFERROR(($AT12-G12)/$AT12,0)","=IFERROR(($AU12-D12)/$AU12,0)",=$AU12-D12
Large Luxury Blanco Riverfront Home with Pool,28984745,,205265,208250,1368.43,42.02,360,5,5,12,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,355,2,2-5,Luxury,true,425,false,150,48,2026-05-11,Austin,Wimberley,Wimberley,Texas,78676,United States,suburban,https://www.airbnb.com/rooms/5590431,https://a0.muscache.com/im/pictures/prohost-api/Hosting-5590431/original/68878960-0b09-4fa2-a2f3-c0b0a6690df6.jpeg,5590431,594553,29.9935,-98.1972,=AVERAGE($G$2:$G$353),=AVERAGE($D$2:$D$353),"=IFERROR(($AT13-G13)/$AT13,0)","=IFERROR(($AU13-D13)/$AU13,0)",=$AU13-D13
Entire property - 5 Acres 5 Spacious Tiny Homes,673408202,,198070,222879,1277.87,46.83,331,1,1,16,true,false,true,true,true,true,true,Home/Apartment,Tiny house,Unique,0,0,1,6-20,Luxury,true,535,false,155,77,2026-05-14,Austin,Wimberley,Wimberley,Texas,78676,United States,suburban,https://www.airbnb.com/rooms/1345559824786006046,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM0NTU1OTgyNDc4NjAwNjA0Ng==/original/cb4b4f84-2713-4753-9590-3b6c483dd99e.jpeg,1345559824786006046,4428426,30.0384697698,-98.2089290723,=AVERAGE($G$2:$G$353),=AVERAGE($D$2:$D$353),"=IFERROR(($AT14-G14)/$AT14,0)","=IFERROR(($AU14-D14)/$AU14,0)",=$AU14-D14
Gaines Ranch on the Square: Entire Property,276059327,,184848,250380,1432.93,48.86,271,6,6,16,true,false,false,false,true,false,false,Home/Apartment,House,House/villa,0,0,1,6-20,Luxury,true,375,true,129,57,2026-05-16,Austin,Wimberley,Wimberley,Texas,78676,United States,suburban,https://www.airbnb.com/rooms/1382577784754535867,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1382577784754535867/original/e633986b-5597-48d0-9767-31cf3cd1483c.jpeg,1382577784754535867,4496636,29.9954,-98.0976,=AVERAGE($G$2:$G$353),=AVERAGE($D$2:$D$353),"=IFERROR(($AT15-G15)/$AT15,0)","=IFERROR(($AU15-D15)/$AU15,0)",=$AU15-D15
