Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Zion Views-Kolob Cabin + Resort Access,Zion Ponderosa Resort,,241107,280272,2078.51,35.05,334,8,9,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.85,21,2,21+,Luxury,true,199,false,116,30,2026-05-11,Utah Area,Duck Creek Village,Orderville,Utah,84758,United States,rural,https://www.airbnb.com/rooms/664504019892033634,https://a0.muscache.com/im/pictures/miso/Hosting-664504019892033634/original/bbfedd07-2492-46f5-b6b6-057268efd9bb.jpeg,664504019892033634,3588553,37.26727,-112.87865,=AVERAGE($G$2:$G$228),=AVERAGE($D$2:$D$228),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
"Luxury Duck Creek Chalet | Sauna, Spa, Game Loft",3474397,,172840,177728,758.07,64.04,356,4,5,14,true,false,true,true,true,false,false,Home/Apartment,Cabin,House/villa,5,64,3,21+,Luxury,true,400,true,228,72,2026-05-17,Utah Area,Duck Creek Village,Duck Creek Village,Utah,84762,United States,rural,https://www.airbnb.com/rooms/1289255156984848211,https://a0.muscache.com/im/pictures/hosting/Hosting-1289255156984848211/original/67553dbe-e6c3-452e-8845-a74f9fcfb5ff.png,1289255156984848211,4279654,37.5151112961,-112.6551209546,=AVERAGE($G$2:$G$228),=AVERAGE($D$2:$D$228),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Zion Views-Zion Ridge Family Lodge + Resort Access,Zion Ponderosa Resort,,151737,159468,1404.97,37.37,352,7,6,16,true,false,true,true,true,false,true,Home/Apartment,Cabin,House/villa,4.9,10,3,21+,Luxury,true,199,false,108,28,2026-05-11,Utah Area,Duck Creek Village,Orderville,Utah,84758,United States,rural,https://www.airbnb.com/rooms/48684566,https://a0.muscache.com/im/pictures/miso/Hosting-48684566/original/b531421b-5985-4f1e-ad73-eae80ad7e8a8.jpeg,48684566,4464746,37.26737,-112.87894,=AVERAGE($G$2:$G$228),=AVERAGE($D$2:$D$228),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Luxury Zion Villa, Views, Gourmet Kitchen, Hot Tub",361204781,,142689,149843,1550.97,31.83,352,7,6,14,true,false,true,true,true,false,false,Home/Apartment,Villa,House/villa,5,137,3,1,Luxury,false,500,true,92,24,2026-05-13,Utah Area,Duck Creek Village,Orderville,Utah,84758,United States,rural,https://www.airbnb.com/rooms/44628715,https://a0.muscache.com/im/pictures/b86c819a-4b70-4b53-9d71-3ed7f3a2d2ab.jpg,44628715,2014780,37.26247,-112.87027,=AVERAGE($G$2:$G$228),=AVERAGE($D$2:$D$228),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
2 A-Frames Near Zion w/ Hot Tubs & Views,106669680,,133169,184168,561.89,95.95,272,3,2,8,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.8,8,2,2-5,Luxury,true,206,true,237,88,2026-05-15,Utah Area,Duck Creek Village,Glendale,Utah,84729,United States,rural,https://www.airbnb.com/rooms/1470486605373159890,https://a0.muscache.com/im/pictures/hosting/Hosting-1470486605373159890/original/a613ec8b-1295-4d75-9ebe-1063de43dbde.jpeg,1470486605373159890,3713582,37.31713,-112.59079,=AVERAGE($G$2:$G$228),=AVERAGE($D$2:$D$228),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
"White Cliffs Vista | Panoramic Views, Hot Tub, NPs",Memories4Life,,129986,139113,488.67,77.78,342,3,2,9,true,false,true,true,true,false,false,Home/Apartment,Cabin,House/villa,5,274,2,2-5,Luxury,true,190,false,266,76,2026-05-17,Utah Area,Duck Creek Village,Orderville,Utah,84758,United States,rural,https://www.airbnb.com/rooms/51027358,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTEwMjczNTg%3D/original/23a39036-2a9b-4757-860b-4cdc2d6ea07d.jpeg,51027358,4371243,37.2561,-112.6518,=AVERAGE($G$2:$G$228),=AVERAGE($D$2:$D$228),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Cliffs Edge | Private hot tub | Zion NP,My Zion Vacation,,123497,127697,431.81,81.25,352,3,2,10,true,false,true,true,false,false,false,Home/Apartment,House,House/villa,5,270,3,21+,Luxury,true,250,false,286,82,2026-05-17,Utah Area,Duck Creek Village,Orderville,Utah,84758,United States,rural,https://www.airbnb.com/rooms/52406636,https://a0.muscache.com/im/pictures/prohost-api/Hosting-52406636/original/b173af9d-0695-4cbd-80ae-bf75b589ecaa.jpeg,52406636,2471892,37.2563,-112.6526,=AVERAGE($G$2:$G$228),=AVERAGE($D$2:$D$228),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Stargazer Cabin | Private Hot tub | Zion NP,My Zion Vacation,,121896,129343,493.51,72.01,343,3,2,9,true,false,true,true,false,false,false,Home/Apartment,Cabin,House/villa,5,149,3,21+,Luxury,true,249,false,247,69,2026-05-17,Utah Area,Duck Creek Village,Orderville,Utah,84758,United States,rural,https://www.airbnb.com/rooms/853633332709853022,https://a0.muscache.com/im/pictures/prohost-api/Hosting-853633332709853022/original/51c1f5a8-dddd-4dd8-a21e-9c76065bb6b8.jpeg,853633332709853022,3318490,37.2564,-112.6489,=AVERAGE($G$2:$G$228),=AVERAGE($D$2:$D$228),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Skyfall Cabin | Private Hot tub | Zion NP,My Zion Vacation,,120891,123433,414.01,81.34,359,3,2,6,true,false,true,true,false,false,false,Home/Apartment,House,House/villa,5,263,3,21+,Luxury,true,224,false,292,82,2026-05-17,Utah Area,Duck Creek Village,Orderville,Utah,84758,United States,rural,https://www.airbnb.com/rooms/53075718,https://a0.muscache.com/im/pictures/prohost-api/Hosting-53075718/original/c1cf7f98-cf81-44b8-8c3e-9ae21098995c.jpeg,53075718,2525756,37.2586,-112.6482,=AVERAGE($G$2:$G$228),=AVERAGE($D$2:$D$228),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
[Editor’s Choice] Lux Glass House|Billiards|Views,401292917,,116047,131138,386.82,93.17,322,3,3,9,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,4.95,88,2,2-5,Luxury,true,177,true,300,142,2026-05-17,Utah Area,Duck Creek Village,Kanab,Utah,84741,United States,rural,https://www.airbnb.com/rooms/973271614285178689,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6OTczMjcxNjE0Mjg1MTc4Njg5/original/eb06a0b2-cccd-42ed-b752-75a672336dda.jpeg,973271614285178689,3683621,37.065,-111.6518,=AVERAGE($G$2:$G$228),=AVERAGE($D$2:$D$228),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
