Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Mountain Luxury Retreat with Hot Tub & Sauna,Bee Cave Management,,95217,129032,786.92,54.26,238,4,4,8,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,9,4,21+,Luxury,false,330,true,121,32,2026-05-17,Ogden,Eden,Eden,Utah,84310,United States,mid_size_city,https://www.airbnb.com/rooms/1287026555022879983,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1287026555022879983/original/5b5ead9b-ac83-4e8d-91d3-bf18621231d3.jpeg,1287026555022879983,4288120,41.3189,-111.8096,=AVERAGE($G$2:$G$209),=AVERAGE($D$2:$D$209),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
The Ledges | Ski Getaway | Hot Tub & Theater Room,Utah Homes And Vacation Rentals,,84572,94272,741.86,40.28,308,6,6,16,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,54,3,21+,Luxury,true,339,true,114,29,2026-05-11,Ogden,Eden,Eden,Utah,84310,United States,mid_size_city,https://www.airbnb.com/rooms/49561109,https://a0.muscache.com/im/pictures/prohost-api/Hosting-49561109/original/581c3049-0a5d-4409-a095-0d8ebd03db53.jpeg,49561109,2307124,41.3221,-111.8098,=AVERAGE($G$2:$G$209),=AVERAGE($D$2:$D$209),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Exceptional luxury 9 bdr 11 bath,5308304,,81741,103713,1340.02,29.9,327,9,10,16,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,9,5,6-20,Luxury,true,679,true,61,14,2026-05-16,Ogden,Eden,Eden,Utah,84310,United States,mid_size_city,https://www.airbnb.com/rooms/1150141705265204530,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1150141705265204530/original/41be3e8e-de3c-48e1-ab5c-f91105b28b88.jpeg,1150141705265204530,4010593,41.3347,-111.8309,=AVERAGE($G$2:$G$209),=AVERAGE($D$2:$D$209),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Picturesque TLC Eden family getaway-sleeps 22,508772452,,78224,95483,931.24,37.84,311,8,7,16,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,5,55,3,1,Luxury,false,450,true,84,18,2026-05-13,Ogden,Eden,Eden,Utah,84310,United States,mid_size_city,https://www.airbnb.com/rooms/867510269356065587,https://a0.muscache.com/im/pictures/miso/Hosting-867510269356065587/original/02cf8b8e-a94a-484a-91ad-8494482c8870.jpeg,867510269356065587,3346764,41.3197,-111.8103,=AVERAGE($G$2:$G$209),=AVERAGE($D$2:$D$209),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Luxury Ski Home w/Hot Tub and Incredible Views!,56384605,,76518,88032,1962,30,359,5,6,13,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,4,5,2-5,Luxury,false,348,false,39,7,2026-05-15,Ogden,Eden,Eden,Utah,84310,United States,mid_size_city,https://www.airbnb.com/rooms/744999319101296605,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzQ0OTk5MzE5MTAxMjk2NjA1/original/a6787f44-ab18-4bc6-9759-b1755969b29a.jpeg,744999319101296605,4156065,41.38033,-111.78604,=AVERAGE($G$2:$G$209),=AVERAGE($D$2:$D$209),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Experience the Majesty of Ogden Valley!!,Elite Accommodations,,75870,106163,833.74,45.27,297,8,6,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.9,76,3,21+,Luxury,true,525,true,91,17,2026-05-11,Ogden,Eden,Eden,Utah,84310,United States,mid_size_city,https://www.airbnb.com/rooms/51889915,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTE4ODk5MTU%3D/original/c91395c2-2968-4b25-aa83-2f6bee3c92e4.jpeg,51889915,2459174,41.3209,-111.81229,=AVERAGE($G$2:$G$209),=AVERAGE($D$2:$D$209),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
PowMow,307296060,,74098,82228,1723.21,32.58,256,6,5,16,false,false,true,true,true,false,false,Home/Apartment,Cabin,House/villa,5,1,1,1,Luxury,false,400,false,43,10,2026-05-15,Ogden,Eden,Eden,Utah,84310,United States,mid_size_city,https://www.airbnb.com/rooms/1485785971683731556,https://a0.muscache.com/im/pictures/hosting/Hosting-1485785971683731556/original/4baf5e11-7f13-4aa8-8cc4-5606017ad4ce.jpeg,1485785971683731556,4801344,41.37009,-111.76735,=AVERAGE($G$2:$G$209),=AVERAGE($D$2:$D$209),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
"Near 3 Ski Resorts,  Hot Tub, Sauna & Game Room!",Prime Properties,,73809,75454,281.71,73.6,356,2,2,12,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.95,179,3,21+,Luxury,false,240,true,262,75,2026-05-17,Ogden,Eden,Eden,Utah,84310,United States,mid_size_city,https://www.airbnb.com/rooms/520993972646549513,https://a0.muscache.com/im/pictures/prohost-api/Hosting-520993972646549513/original/c4bfffbc-5f22-4c7f-ac24-de55a686bf95.jpeg,520993972646549513,2579872,41.33732,-111.83167,=AVERAGE($G$2:$G$209),=AVERAGE($D$2:$D$209),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Luxurious Mountain Home with 7 BRs_ private hot tu,Basinview Lodging,,56385,88523,713.73,37.09,312,7,7,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,5,61,5,21+,Luxury,true,595,true,79,22,2026-05-13,Ogden,Eden,Eden,Utah,84310,United States,mid_size_city,https://www.airbnb.com/rooms/781370144099891334,https://a0.muscache.com/im/pictures/prohost-api/Hosting-781370144099891334/original/72938d6c-4ed1-40d8-b359-a3e9e97efc98.jpeg,781370144099891334,3155252,41.3189,-111.8106,=AVERAGE($G$2:$G$209),=AVERAGE($D$2:$D$209),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Snowbasin Lodging with Private Hot Tub EW1,Mountain Luxury Lodging,,55078,59964,562.02,35.77,332,4,5,8,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,3.8,7,2,21+,Luxury,false,267,true,98,17,2026-05-02,Ogden,Eden,Huntsville,Utah,84317,United States,mid_size_city,https://www.vrbo.com/4724518ha,https://media.vrbo.com/lodging/35000000/34150000/34144600/34144519/93f9a3a7.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4724518ha,41.29153,-111.63627,=AVERAGE($G$2:$G$209),=AVERAGE($D$2:$D$209),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
Great House Value 6 bdr 4 bath  Book Winter Now,5308304,,54858,56011,761.92,35.29,363,8,4,16,true,true,true,true,true,true,true,Home/Apartment,House,House/villa,4.8,59,3,6-20,Luxury,true,489,true,72,15,2026-05-17,Ogden,Eden,Eden,Utah,84310,United States,mid_size_city,https://www.airbnb.com/rooms/21545083,https://a0.muscache.com/im/pictures/miso/Hosting-21545083/original/384085c6-45a2-4737-8c8e-8c6a6336426a.jpeg,21545083,2285528,41.321,-111.8104,=AVERAGE($G$2:$G$209),=AVERAGE($D$2:$D$209),"=IFERROR(($AT12-G12)/$AT12,0)","=IFERROR(($AU12-D12)/$AU12,0)",=$AU12-D12
Moose Ridge Hideaway Ri903 | Ski Retreat | Hot Tub,Utah Homes And Vacation Rentals,,53974,56629,337.34,58.82,346,3,3,6,true,false,true,true,true,false,true,Home/Apartment,Townhouse,Apt/Condo/Loft,5,34,2,21+,Luxury,true,199,true,160,18,2026-05-11,Ogden,Eden,Eden,Utah,84310,United States,mid_size_city,https://www.airbnb.com/rooms/1126295407778623640,https://a0.muscache.com/im/pictures/hosting/Hosting-1126295407778623640/original/b32c4e02-9c16-47f0-9bc5-94cc18f87d39.jpeg,1126295407778623640,3960491,41.3209,-111.8202,=AVERAGE($G$2:$G$209),=AVERAGE($D$2:$D$209),"=IFERROR(($AT13-G13)/$AT13,0)","=IFERROR(($AU13-D13)/$AU13,0)",=$AU13-D13
Powder Mountain Escape B1 | Hot Tub | Ski Getaway,Utah Homes And Vacation Rentals,,52642,63317,271.35,66.21,293,3,2,8,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.95,102,2,21+,Luxury,true,169,true,194,52,2026-05-13,Ogden,Eden,Eden,Utah,84310,United States,mid_size_city,https://www.airbnb.com/rooms/47311805,https://a0.muscache.com/im/pictures/prohost-api/Hosting-47311805/original/855d01c7-861d-4a42-9f08-9f57088c2640.jpeg,47311805,2159709,41.3483,-111.823,=AVERAGE($G$2:$G$209),=AVERAGE($D$2:$D$209),"=IFERROR(($AT14-G14)/$AT14,0)","=IFERROR(($AU14-D14)/$AU14,0)",=$AU14-D14
Powder Mountain Ski-in-Ski-out Summit Home,1887642,,52606,55242,1119.28,63.51,132,2,2,8,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,4.95,19,2,2-5,Luxury,false,324,false,47,1,2026-05-13,Ogden,Eden,Eden,Utah,84310,United States,mid_size_city,https://www.airbnb.com/rooms/46332382,https://a0.muscache.com/im/pictures/hosting/Hosting-46332382/original/42eec9f3-cdfd-4691-96b6-d5cfb9c6abde.jpeg,46332382,3122367,41.3687,-111.7598,=AVERAGE($G$2:$G$209),=AVERAGE($D$2:$D$209),"=IFERROR(($AT15-G15)/$AT15,0)","=IFERROR(($AU15-D15)/$AU15,0)",=$AU15-D15
F4919 | Fairway Vista Retreat: Eden Escape,Wolf Creek Resort Rentals,,49639,50188,564.08,31.21,348,4,2,10,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.85,7,2,21+,Luxury,false,367,true,88,23,2026-05-15,Ogden,Eden,Eden,Utah,84310,United States,mid_size_city,https://www.airbnb.com/rooms/1202194417038423108,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1202194417038423108/original/0d2951a3-d0a1-4061-b598-dad1a853cff0.jpeg,1202194417038423108,4096576,41.33567,-111.83002,=AVERAGE($G$2:$G$209),=AVERAGE($D$2:$D$209),"=IFERROR(($AT16-G16)/$AT16,0)","=IFERROR(($AU16-D16)/$AU16,0)",=$AU16-D16
