Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Escalante Cliff House,,,122667,162862,517.58,92.94,255,3,3,12,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,91,2,1,Luxury,false,180,true,237,92,2026-05-16,Utah Area,Escalante,Escalante,Utah,84726,United States,rural,https://www.vrbo.com/3711238,https://media.vrbo.com/lodging/101000000/100390000/100384400/100384325/38b6e5b7.jpg?impolicy=resizecrop&rw=1200&ra=fit,,3711238,37.773813,-111.674367,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Luxe Home ~ 2 Mi to Bryce Canyon National Park!,Evolve,,116132,124804,416.24,82.54,338,3,2,10,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,4.95,386,2,21+,Luxury,false,148,true,279,123,2026-05-17,Utah Area,Escalante,Bryce,Utah,84764,United States,rural,https://www.airbnb.com/rooms/27458886,https://a0.muscache.com/im/pictures/prohost-api/Hosting-27458886/original/92830f2e-e8a5-45c3-b844-e93afeee3e17.jpeg,27458886,7218123ha,37.6724,-112.1635,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Escalante Cliff House,34760591,,113682,118596,451.12,72,350,3,3,12,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,336,2,2-5,Luxury,true,180,true,252,88,2026-05-17,Utah Area,Escalante,Escalante,Utah,84726,United States,rural,https://www.airbnb.com/rooms/29825279,https://a0.muscache.com/im/pictures/8543dadd-51c6-43a7-b986-7039039ad233.jpg,29825279,1525150,37.7735,-111.6744,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Birch Creek House,34760591,,91086,93318,394.31,64.71,357,3,3,12,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.95,171,2,2-5,Luxury,true,179,true,231,80,2026-05-17,Utah Area,Escalante,,Utah,,United States,rural,https://www.airbnb.com/rooms/684984926591481695,https://a0.muscache.com/im/pictures/prohost-api/Hosting-684984926591481695/original/01897f04-3c40-4d0c-a203-006179afed14.jpeg,684984926591481695,2993547,37.76627,-111.68658,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
40 Acre Escalante Canyon Retreat,77009207,,76927,110418,392.48,70.76,277,2,2,4,true,false,false,true,true,false,false,Home/Apartment,Cabin,House/villa,5,366,1,2-5,Luxury,true,118,true,196,65,2026-05-17,Utah Area,Escalante,Escalante,Utah,84726,United States,rural,https://www.airbnb.com/rooms/13466741,https://a0.muscache.com/im/pictures/miso/Hosting-13466741/original/4057a1e1-c303-48c5-a0c9-0b429e626f39.jpeg,13466741,228445,37.77111,-111.41624,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Bryce Canyon Homestead | Peaceful Escape for 8,522920442,,74013,87786,408.91,58.39,310,3,3,8,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,192,2,1,Luxury,true,0,true,181,74,2026-05-17,Utah Area,Escalante,Tropic,Utah,84776,United States,rural,https://www.airbnb.com/rooms/925382278224220181,https://a0.muscache.com/im/pictures/prohost-api/Hosting-925382278224220181/original/6b1daaa1-303f-49f4-b14e-908218b1a855.jpeg,925382278224220181,3498283,37.6237,-112.086,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
40 Acre Escalante Canyon Guest House,77009207,,59868,68009,248.41,74.15,325,1,1,2,true,false,false,true,true,false,false,Home/Apartment,Cabin,House/villa,4.95,167,2,2-5,Luxury,true,84,true,241,64,2026-05-11,Utah Area,Escalante,Boulder,Utah,84716,United States,rural,https://www.airbnb.com/rooms/53363997,https://a0.muscache.com/im/pictures/miso/Hosting-53363997/original/e1694bc5-b63d-49a6-94c2-6c42d6c7a002.jpeg,53363997,652481,37.77104,-111.41177,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Double Queen and King Two Room Suite,161226046,,51634,61756,379.66,71.2,191,2,2,6,true,false,false,false,true,false,false,Home/Apartment,Apartment,Apt/Condo/Loft,0,0,1,6-20,Luxury,true,70,true,136,53,2025-07-28,Utah Area,Escalante,Tropic,Utah,84776,United States,rural,https://www.airbnb.com/rooms/1224769912614083341,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1224769912614083341/original/1dffc713-2940-491e-80e9-8c5cf54cc3eb.jpeg,1224769912614083341,,37.62412,-112.08268,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Beautiful Boulder Hillside Perch,574395194,,48181,55280,220,76.57,293,1,1,2,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,104,2,1,Luxury,true,80,false,219,57,2026-05-15,Utah Area,Escalante,Boulder,Utah,84716,United States,rural,https://www.airbnb.com/rooms/1143536793446610720,https://a0.muscache.com/im/pictures/hosting/Hosting-1143536793446610720/original/ac5364d9-51e3-4c50-b5cc-5206c564ac9c.jpeg,1143536793446610720,3004774,37.89758,-111.44037,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Private Entrance Cottage,161226046,,44910,48990,210.85,64.35,331,1,1,4,true,false,false,true,true,false,false,Home/Apartment,Cottage,House/villa,4.7,31,1,6-20,Luxury,false,34,true,213,101,2026-05-11,Utah Area,Escalante,Tropic,Utah,84776,United States,rural,https://www.airbnb.com/rooms/998564758462481149,https://a0.muscache.com/im/pictures/prohost-api/Hosting-998564758462481149/original/4e7697bc-99e4-42f1-853b-573453e4c2de.jpeg,998564758462481149,,37.62413,-112.08116,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
King Luxury Dome 6,465547912,,43448,60582,336.81,49.81,264,2,1,4,true,false,false,true,true,false,false,Home/Apartment,Dome house,Unique,5,30,1,6-20,Luxury,true,0,true,129,55,2026-05-11,Utah Area,Escalante,Cannonville,Utah,84718,United States,rural,https://www.airbnb.com/rooms/731958615716732944,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzMxOTU4NjE1NzE2NzMyOTQ0/original/5198d795-455f-4942-bdc9-6fe0b22fc2f3.jpeg,731958615716732944,,37.53715,-112.06725,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT12-G12)/$AT12,0)","=IFERROR(($AU12-D12)/$AU12,0)",=$AU12-D12
Luxury Dome 10,465547912,,43293,61653,286.71,59.45,257,2,1,4,true,false,false,true,true,false,false,Home/Apartment,Dome house,Unique,5,7,1,6-20,Luxury,true,0,true,151,70,2026-05-17,Utah Area,Escalante,Cannonville,Utah,84718,United States,rural,https://www.airbnb.com/rooms/732654271091381137,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzMyNjU0MjcxMDkxMzgxMTM3/original/13c32ead-19d2-4eec-ad38-12aa9384247e.jpeg,732654271091381137,,37.5367,-112.0663,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT13-G13)/$AT13,0)","=IFERROR(($AU13-D13)/$AU13,0)",=$AU13-D13
Cabin #1,Boulder Mountain,,42384,47535,275.22,51.85,335,2,1,5,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,4.95,23,1,6-20,Luxury,true,0,true,154,63,2026-05-11,Utah Area,Escalante,Boulder,Utah,84716,United States,rural,https://www.airbnb.com/rooms/19073883,https://a0.muscache.com/im/pictures/feeac87b-6ce6-40fd-8dd1-fe8a6f676083.jpg,19073883,2005452,37.9057,-111.5062,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT14-G14)/$AT14,0)","=IFERROR(($AU14-D14)/$AU14,0)",=$AU14-D14
STAY SATORI ✨ Desert oasis near Bryce & Escalante.,409119164,,42133,44296,386.54,39.21,352,3,2,6,true,false,false,true,true,false,false,Home/Apartment,Villa,House/villa,5,165,3,1,Luxury,false,155,false,109,29,2026-05-13,Utah Area,Escalante,Cannonville,Utah,84718,United States,rural,https://www.airbnb.com/rooms/617636554327514831,https://a0.muscache.com/im/pictures/ef45be6a-9fc8-4d3b-a92c-aa1363237733.jpg,617636554327514831,2784417,37.54535,-112.0455,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT15-G15)/$AT15,0)","=IFERROR(($AU15-D15)/$AU15,0)",=$AU15-D15
King Luxury Dome 13,465547912,,42031,57104,313.66,51.34,261,1,1,4,true,false,false,true,true,false,false,Home/Apartment,Dome house,Unique,0,0,1,6-20,Luxury,true,0,true,134,70,2026-05-11,Utah Area,Escalante,Cannonville,Utah,84718,United States,rural,https://www.airbnb.com/rooms/1116832429318691338,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTExNjgzMjQyOTMxODY5MTMzOA==/original/c2cf39e2-61a1-41c8-92ac-bd5c8e9b3d3c.jpeg,1116832429318691338,,37.53623,-112.06698,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT16-G16)/$AT16,0)","=IFERROR(($AU16-D16)/$AU16,0)",=$AU16-D16
Hilltop Vacation Home - Big Dipper,64812380,,41711,43363,211.73,56.45,349,1,1,4,true,false,false,true,true,true,false,Home/Apartment,Bungalow,House/villa,4.85,128,1,6-20,Luxury,false,0,true,197,91,2026-05-13,Utah Area,Escalante,Escalante,Utah,84726,United States,rural,https://www.airbnb.com/rooms/23141111,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjMxNDExMTE=/original/d2c00630-988a-412f-a205-a91eeea3c383.jpeg,23141111,,37.77293,-111.61317,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT17-G17)/$AT17,0)","=IFERROR(($AU17-D17)/$AU17,0)",=$AU17-D17
Luxury Dome 3,465547912,,40044,60995,260.03,63.9,241,2,1,4,true,false,false,true,true,false,false,Home/Apartment,Dome house,Unique,4.5,2,1,6-20,Luxury,true,0,true,154,81,2026-05-17,Utah Area,Escalante,Cannonville,Utah,84718,United States,rural,https://www.airbnb.com/rooms/732575336539468946,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzMyNTc1MzM2NTM5NDY4OTQ2/original/b98333c1-b08b-4ab6-9a65-4cfe214f400e.jpeg,732575336539468946,,37.5367,-112.0663,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT18-G18)/$AT18,0)","=IFERROR(($AU18-D18)/$AU18,0)",=$AU18-D18
Ticaboo Lakehouse | Near Lake Powell | Sleeps 27+,Innkeeper Bnb Management,,39325,50094,524.33,45.45,299,4,3,16,true,false,false,true,true,false,false,Home/Apartment,Barn,Unique,5,4,4,21+,Luxury,true,680,true,75,6,2026-05-15,Utah Area,Escalante,Lake Powell,Utah,84533,United States,rural,https://www.airbnb.com/rooms/1411841299639259983,https://a0.muscache.com/im/pictures/miso/Hosting-1411841299639259983/original/564fdec2-038c-4293-bdfc-9385c243a2da.jpeg,1411841299639259983,4571878,37.6814,-110.6994,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT19-G19)/$AT19,0)","=IFERROR(($AU19-D19)/$AU19,0)",=$AU19-D19
Cabin #3,Boulder Mountain,,38371,40913,327.96,35.67,345,2,1,9,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,4.7,16,1,6-20,Luxury,true,0,true,117,48,2026-05-13,Utah Area,Escalante,Boulder,Utah,84716,United States,rural,https://www.airbnb.com/rooms/20174356,https://a0.muscache.com/im/pictures/27811ebb-ed60-4814-ab6c-96e190e944d4.jpg,20174356,2359406,37.9055,-111.5067,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT20-G20)/$AT20,0)","=IFERROR(($AU20-D20)/$AU20,0)",=$AU20-D20
Luxury Dome 4,465547912,,36701,59228,260.29,61.3,230,2,1,4,true,false,false,true,true,false,false,Home/Apartment,Dome house,Unique,5,13,1,6-20,Luxury,true,0,true,141,76,2026-05-17,Utah Area,Escalante,Cannonville,Utah,84718,United States,rural,https://www.airbnb.com/rooms/732585828636704839,https://a0.muscache.com/im/pictures/miso/Hosting-732585828636704839/original/bf441e13-e81e-4d9e-803d-815f0658767b.jpeg,732585828636704839,,37.5367,-112.0663,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT21-G21)/$AT21,0)","=IFERROR(($AU21-D21)/$AU21,0)",=$AU21-D21
King Luxury Dome 1,465547912,,36356,63065,359.96,64.74,156,2,1,4,true,false,false,true,true,false,false,Home/Apartment,Dome house,Unique,0,0,1,6-20,Luxury,true,0,true,101,47,2026-05-13,Utah Area,Escalante,Cannonville,Utah,84718,United States,rural,https://www.airbnb.com/rooms/654954586365668962,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjU0OTU0NTg2MzY1NjY4OTYy/original/1eaf440a-5412-4044-8461-d72a2e93a608.jpeg,654954586365668962,,37.5367,-112.0663,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT22-G22)/$AT22,0)","=IFERROR(($AU22-D22)/$AU22,0)",=$AU22-D22
Cabin #2,Boulder Mountain,,35759,40826,288.38,47.33,314,2,1,7,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,4.9,16,1,6-20,Luxury,true,0,true,124,51,2026-05-13,Utah Area,Escalante,Boulder,Utah,84716,United States,rural,https://www.airbnb.com/rooms/22926169,https://a0.muscache.com/im/pictures/1bff53c7-1e30-4be9-a656-14a5e2e09d9f.jpg,22926169,2359230,37.90652,-111.50546,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT23-G23)/$AT23,0)","=IFERROR(($AU23-D23)/$AU23,0)",=$AU23-D23
Modern Tiny Home Near Escalante Monument View,122293349,,35184,39024,225.54,58.65,275,1,1,4,true,false,false,true,true,false,false,Home/Apartment,Tiny house,Unique,4.95,55,2,6-20,Luxury,true,94,true,156,59,2026-05-11,Utah Area,Escalante,Escalante,Utah,84726,United States,rural,https://www.airbnb.com/rooms/32665522,https://a0.muscache.com/im/pictures/prohost-api/Hosting-32665522/original/32f02045-ec1f-40de-9f8f-c571f7263d84.jpeg,32665522,7676338ha,37.7739,-111.6086,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT24-G24)/$AT24,0)","=IFERROR(($AU24-D24)/$AU24,0)",=$AU24-D24
Bryce Views Apartment - Claron Suite,251184919,,32312,46480,203.22,90.86,175,1,1,4,true,false,false,true,true,false,false,Home/Apartment,Apartment,Apt/Condo/Loft,5,343,1,1,Luxury,true,0,false,159,76,2026-05-11,Utah Area,Escalante,Tropic,Utah,84776,United States,rural,https://www.airbnb.com/rooms/33344060,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzMzNDQwNjA%3D/original/707ac8bd-0fe2-406c-b6cc-9b9a34bd525c.jpeg,33344060,1601229,37.64326,-112.07468,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT25-G25)/$AT25,0)","=IFERROR(($AU25-D25)/$AU25,0)",=$AU25-D25
Luxury Dome 9,465547912,,31683,50252,285.43,50.92,218,2,1,4,true,false,false,true,true,false,false,Home/Apartment,Dome house,Unique,5,3,1,6-20,Luxury,true,0,true,111,55,2026-05-11,Utah Area,Escalante,Cannonville,Utah,84718,United States,rural,https://www.airbnb.com/rooms/732642077794491253,https://a0.muscache.com/im/pictures/miso/Hosting-732642077794491253/original/95c7edf2-4d80-4f9b-839d-fbdb2a6e669c.jpeg,732642077794491253,,37.5367,-112.0663,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT26-G26)/$AT26,0)","=IFERROR(($AU26-D26)/$AU26,0)",=$AU26-D26
Dora's Country Cottage,eviivo,,31540,44587,525.67,27.15,317,2,2,4,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.75,26,1,21+,Luxury,true,0,true,60,30,2026-05-16,Utah Area,Escalante,Escalante,Utah,84726,United States,rural,https://www.airbnb.com/rooms/47064303,https://a0.muscache.com/im/pictures/f6b16546-ac14-4166-8d46-a22a91521de0.jpg,47064303,9882782ha,37.76734,-111.60074,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT27-G27)/$AT27,0)","=IFERROR(($AU27-D27)/$AU27,0)",=$AU27-D27
Luxury Dome 8,465547912,,31105,50706,285.37,50.23,225,2,1,4,true,false,false,true,true,false,false,Home/Apartment,Dome house,Unique,5,3,1,6-20,Luxury,true,0,true,109,57,2026-05-11,Utah Area,Escalante,Cannonville,Utah,84718,United States,rural,https://www.airbnb.com/rooms/732618039963005163,https://a0.muscache.com/im/pictures/miso/Hosting-732618039963005163/original/799fd265-9dfe-4087-adf5-f2e52e090b29.jpeg,732618039963005163,,37.5367,-112.0663,=AVERAGE($G$2:$G$75),=AVERAGE($D$2:$D$75),"=IFERROR(($AT28-G28)/$AT28,0)","=IFERROR(($AU28-D28)/$AU28,0)",=$AU28-D28
