Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Huge Ski In/Out Estate w/ 12 Person Hot Tub,LUXE HAUS,,1111851,1153705,10794.67,37.87,356,11,10,16,true,true,true,true,true,true,false,Home/Apartment,House,House/villa,5,3,5,21+,Luxury,false,1685,true,103,20,2026-05-14,Utah Area,Heber City,Park City,Utah,84060,United States,mountains_lakes,https://www.airbnb.com/rooms/1341434034825314007,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1341434034825314007/original/c1f90d95-dddf-4e8f-8c76-12f5707e89d0.jpeg,1341434034825314007,3918330,40.6364981141,-111.4619498584,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Sky Ridge Retreat-Ultra Luxe Deer Crest Chalet!,Natural Retreats,,1035946,1178030,6203.27,57.59,317,7,7,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.65,9,5,21+,Luxury,true,1403,true,167,41,2026-05-13,Utah Area,Heber City,Midway,Utah,84049,United States,mountains_lakes,https://www.airbnb.com/rooms/20471094,https://a0.muscache.com/im/pictures/prohost-api/Hosting-20471094/original/713352c7-b997-41ad-a0d2-0be6c9243ba1.jpeg,20471094,4529010ha,40.63239,-111.46928,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Home in Midway - Shrt Drive to Deer Valley Gondola,All Seasons Resort Lodging,,819751,853669,5614.73,72.64,333,4,3,8,true,false,false,true,false,false,false,Home/Apartment,House,House/villa,5,5,30,21+,Luxury,false,350,true,146,3,2026-05-14,Utah Area,Heber City,Midway,Utah,84049,United States,mountains_lakes,https://www.airbnb.com/rooms/1208836584760162295,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1208836584760162295/original/26d2412e-d3da-4ad8-9789-f0a447d32b45.jpeg,1208836584760162295,4116217,40.5188,-111.501,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Gym, Deck, Hot Tub, Hike, Bike | By InvitedHome",InvitedHome,,650987,675263,6199.88,35.12,347,6,9,14,false,true,true,true,true,false,false,Home/Apartment,House,House/villa,5,1,5,21+,Luxury,true,1399,true,105,16,2026-05-17,Utah Area,Heber City,Midway,Utah,84049,United States,mountains_lakes,https://www.airbnb.com/rooms/1369066085053577784,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1369066085053577784/original/15830aa5-0d98-4f14-bbfa-62f70bc024a7.jpeg,1369066085053577784,20119925ha,40.6359426411,-111.4584070801,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Deer Valley Modern Slopeside Sanctuary,544455360,,566620,582943,4260.3,53.41,354,7,7,16,true,true,true,true,true,true,false,Home/Apartment,House,House/villa,5,15,5,2-5,Luxury,false,1350,true,133,12,2026-05-17,Utah Area,Heber City,Park City,Utah,84060,United States,mountains_lakes,https://www.airbnb.com/rooms/1019671787293490820,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1019671787293490820/original/af305b2c-9958-4857-bfb9-863dc08c508c.jpeg,1019671787293490820,3811774,40.6374,-111.4589,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Dream Pointe - Hot Tub! Theatre! Elevator! Views!,Natural Retreats,,461439,471505,8873.83,27.23,363,6,6,14,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,0,0,5,21+,Luxury,true,1189,true,52,11,2026-01-12,Utah Area,Heber City,Park City,Utah,84060,United States,mountains_lakes,https://www.airbnb.com/rooms/1268172539899874304,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1268172539899874304/original/8d64b52b-d9ec-4f4f-b64d-8246ad588490.jpeg,1268172539899874304,20062728ha,40.6366396478,-111.4607851667,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
"8 Bedroom Deer Valley Masterpiece with endless views. Theater, hot tub, game room, ski-in/out",Summit Luxury Vacations,,446290,446290,10885.12,27.33,365,8,7,16,true,true,true,true,true,false,false,Home/Apartment,House,House/villa,5,2,4,21+,Luxury,false,1500,true,41,5,2026-05-14,Utah Area,Heber City,Midway,Utah,84049,United States,mountains_lakes,https://www.vrbo.com/2249959,https://media.vrbo.com/lodging/67000000/66170000/66160600/66160598/9b3a0327.jpg?impolicy=resizecrop&rw=1200&ra=fit,,2249959,40.634758,-111.468807,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Silver Springs Lodge in the Heber Valley,Recreational Properties Unlimited,,437329,460411,2634.51,48.26,346,10,13,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.9,46,2,6-20,Luxury,true,994,false,166,46,2026-05-11,Utah Area,Heber City,Heber City,Utah,84032,United States,mountains_lakes,https://www.airbnb.com/rooms/1151445030815303934,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1151445030815303934/original/2b4efcf7-b124-4156-87e8-d8636fcc9b7a.jpeg,1151445030815303934,434648,40.49268,-111.31637,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Deer Crest Escape-Ski-in/Ski-out! Hot Tub!,Natural Retreats,,367880,391046,7074.62,51.49,116,6,6,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,0,0,5,21+,Luxury,true,1364,false,52,8,2026-05-14,Utah Area,Heber City,Park City,Utah,84060,United States,mountains_lakes,https://www.airbnb.com/rooms/1587827298324583969,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1587827298324583969/original/35f8a9b9-c624-423b-9011-ac7a90abb4ea.jpeg,1587827298324583969,20235818ha,40.6370720802,-111.4614383546,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
"The Apres Haus, Deer Valley",61886461,,310985,383335,5015.89,30.69,309,6,10,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,24,1,1,Luxury,false,900,true,62,15,2025-04-22,Utah Area,Heber City,Park City,Utah,84060,United States,mountains_lakes,https://www.airbnb.com/rooms/53186274,https://a0.muscache.com/im/pictures/miso/Hosting-53186274/original/86dd2c93-bad4-4afa-9f39-6e31eada314c.jpeg,53186274,2534967,40.63836,-111.46733,=AVERAGE($G$2:$G$501),=AVERAGE($D$2:$D$501),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
