Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
"Sleeps 60! Pickleball, Hot tubs,  Sauna, and more!",,,491936,675515,3935.49,52.97,245,14,21,72,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,2,3,1,Luxury,false,1096,true,125,30,2026-05-15,St. George,Hurricane,Hurricane,Utah,84737,United States,mountains_lakes,https://www.vrbo.com/4296542,https://media.vrbo.com/lodging/111000000/110880000/110876400/110876358/5f1919b7.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4296542,37.174532,-113.328575,=AVERAGE($G$2:$G$242),=AVERAGE($D$2:$D$242),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
9 Bedrooms -Huge Private Pool -Indoor Sports Court,450196953,,394621,490990,2099.05,63.3,297,9,9,16,true,true,false,true,true,false,true,Home/Apartment,House,House/villa,5,195,3,1,Luxury,true,751,true,188,45,2026-05-17,St. George,Hurricane,Hurricane,Utah,84737,United States,mountains_lakes,https://www.airbnb.com/rooms/585542978749767728,https://a0.muscache.com/im/pictures/miso/Hosting-585542978749767728/original/c824e029-08a5-4960-b514-dceb6ea9bc90.jpeg,585542978749767728,2693859,37.0924,-113.32155,=AVERAGE($G$2:$G$242),=AVERAGE($D$2:$D$242),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
"Sleeps 72! Pickleball, Hot tubs, Sauna, and more!",663079779,,388385,481136,3058.15,43.94,300,17,21,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,0,0,3,2-5,Luxury,false,1100,false,127,26,2026-05-13,St. George,Hurricane,Hurricane,Utah,84737,United States,mountains_lakes,https://www.airbnb.com/rooms/1293862907475544888,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTI5Mzg2MjkwNzQ3NTU0NDg4OA%3D%3D/original/5d16cd9d-c95e-42a2-aea2-f7e7898db91b.jpeg,1293862907475544888,,37.1416,-113.4051,=AVERAGE($G$2:$G$242),=AVERAGE($D$2:$D$242),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Pecan Valley Oasis - Lux Pool, Sauna and Theater",Private Vacations,,359190,446721,2112.88,59.23,290,10,13,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,33,2,21+,Luxury,true,652,true,170,43,2026-05-11,St. George,Hurricane,Hurricane,Utah,84737,United States,mountains_lakes,https://www.airbnb.com/rooms/1171205571493209260,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1171205571493209260/original/51d5df96-c283-46fa-8185-06fa6d41c2d1.jpeg,1171205571493209260,4042513,37.1415,-113.4047,=AVERAGE($G$2:$G$242),=AVERAGE($D$2:$D$242),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
"Copper Rock Golf Course, Private Pool & Sleeps 23",Red Sands Vacation Properties LLC,,313446,361809,2161.7,51.79,283,6,7,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.85,56,3,21+,Luxury,true,972,true,145,39,2026-05-13,St. George,Hurricane,Hurricane,Utah,84737,United States,mountains_lakes,https://www.airbnb.com/rooms/674030408954174907,https://a0.muscache.com/im/pictures/prohost-api/Hosting-674030408954174907/original/a057cd2f-4f86-41fb-9046-a9736a9a0fca.jpeg,674030408954174907,2704000,37.1098,-113.316,=AVERAGE($G$2:$G$242),=AVERAGE($D$2:$D$242),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Mollie's Landing: Private Pool  + Waterslides,Red Rock Vacation Rentals,,302044,366338,1706.46,63.44,283,7,6,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.9,78,4,21+,Luxury,true,1030,true,177,45,2026-05-17,St. George,Hurricane,Hurricane,Utah,84737,United States,mountains_lakes,https://www.airbnb.com/rooms/1008636136294071622,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1008636136294071622/original/d8f11f86-a006-4713-88ac-2f7a5dc61ae4.jpeg,1008636136294071622,3597213,37.0927,-113.322,=AVERAGE($G$2:$G$242),=AVERAGE($D$2:$D$242),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Pecan Valley 5205/5193 2 Private Pools&Spas,Red Sands Vacation Properties LLC,,255986,474473,2133.22,80.54,153,15,16,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,1,3,21+,Luxury,true,1670,true,120,21,2026-05-17,St. George,Hurricane,Hurricane,Utah,84737,United States,mountains_lakes,https://www.airbnb.com/rooms/1365994196063551928,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1365994196063551928/original/eb950cc9-100e-4e2f-93f3-870848d7c4e8.png,1365994196063551928,4443964,37.1421097348,-113.4045555679,=AVERAGE($G$2:$G$242),=AVERAGE($D$2:$D$242),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
"Sleeps 34! Indoor Pickleball, Pool, Sauna, & More!",663079779,,254686,297735,1944.17,43.67,324,10,12,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.85,6,3,2-5,Luxury,false,638,true,131,27,2026-05-17,St. George,Hurricane,Hurricane,Utah,84737,United States,mountains_lakes,https://www.airbnb.com/rooms/1300843955565634659,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTMwMDg0Mzk1NTU2NTYzNDY1OQ%3D%3D/original/52be5244-06c6-4452-a77d-451108405009.jpeg,1300843955565634659,4305455,37.1742794172,-113.3295221077,=AVERAGE($G$2:$G$242),=AVERAGE($D$2:$D$242),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Sand Hollow Aquatic Adventure,Morii Property Management,,253868,265043,1256.77,57.88,349,7,8,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,96,2,21+,Luxury,true,709,true,202,57,2026-05-17,St. George,Hurricane,Hurricane,Utah,84737,United States,mountains_lakes,https://www.airbnb.com/rooms/892212035072124889,https://a0.muscache.com/im/pictures/b0fb1cbd-49d8-45b2-b506-5e6255b9d780.jpg,892212035072124889,3418273,37.14305,-113.40383,=AVERAGE($G$2:$G$242),=AVERAGE($D$2:$D$242),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Private Pool+HotTub•7 Suites•Golf•Sleeps 35,50742926,,226838,259520,1163.27,65,303,8,7,16,true,false,true,true,true,false,true,Home/Apartment,Villa,House/villa,5,83,2,2-5,Luxury,true,698,true,195,48,2026-05-17,St. George,Hurricane,Hurricane,Utah,84737,United States,mountains_lakes,https://www.airbnb.com/rooms/42804234,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDI4MDQyMzQ%3D/original/bfe1ce33-b638-4eed-be8c-0ba3bde861b0.jpeg,42804234,3696413,37.15157,-113.38652,=AVERAGE($G$2:$G$242),=AVERAGE($D$2:$D$242),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
