Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Grand Elite Retreat: 2 Side by Side Homes,Red Rock Vacation Rentals,,505896,564154,2621.22,65.65,301,16,18,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.65,25,3,21+,Luxury,true,1381,true,193,55,2026-05-17,St. George,Ivins,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/1211621308841300787,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1211621308841300787/original/9a90c82c-e752-41bb-8f41-5c4547ec7bad.jpeg,1211621308841300787,4123048,37.1537,-113.6635,=AVERAGE($G$2:$G$74),=AVERAGE($D$2:$D$74),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Arcadia 68/69 | Two Private Pools + Two Private,Arcadia Resort,,365087,407092,2062.64,53.31,332,10,12,16,true,true,true,true,true,false,true,Home/Apartment,Townhouse,Apt/Condo/Loft,5,7,2,21+,Luxury,true,1271,true,177,51,2026-05-17,St. George,Ivins,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/1011552635071358786,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1011552635071358786/original/1d0098b7-ed7c-48a2-b361-6b314e8b7d04.jpeg,1011552635071358786,3588208,37.15583,-113.66564,=AVERAGE($G$2:$G$74),=AVERAGE($D$2:$D$74),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
PVZ 98| Sleeps 43 * Pool & Hot Tub! * Sports Court,Utah's Best Vacation Rentals,,346102,375356,1517.99,66.67,342,9,9,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.8,142,2,21+,Luxury,false,1105,true,228,52,2026-05-17,St. George,Ivins,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/39136700,https://a0.muscache.com/im/pictures/prohost-api/Hosting-39136700/original/f744a470-f779-491f-96d2-5dd3e9372e2e.jpeg,39136700,1479053,37.1521,-113.6658,=AVERAGE($G$2:$G$74),=AVERAGE($D$2:$D$74),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"94, 95, 96 | 3 Neighboring Homes, Kid Friendly w/Hot Tub's, Game Stations, Air-hockey, and More!",Red Sands Vacation Properties,,344418,826803,4305.23,74.77,107,20,19,72,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,5,4,3,21+,Luxury,false,872,true,80,22,2025-12-05,St. George,Ivins,Ivins,Utah,84738,United States,mountains_lakes,https://www.vrbo.com/1990963,https://media.vrbo.com/lodging/54000000/53900000/53897400/53897385/w1966h1305x0y143-38316985.jpg?impolicy=resizecrop&rw=1200&ra=fit,,1990963,37.15144,-113.662796,=AVERAGE($G$2:$G$74),=AVERAGE($D$2:$D$74),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Sentierre-3Kg Suites&PRIVT Pool-Sleeps 8-Daily HK,200253291,,256371,300976,2489.04,36.4,332,4,4,8,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,1,2,6-20,Luxury,true,0,true,103,20,2026-05-13,St. George,Ivins,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/46236797,https://a0.muscache.com/im/pictures/prohost-api/Hosting-46236797/original/23a8c7e7-1e00-4247-9fea-2fc3a5ed091b.jpeg,46236797,2111799,37.1827,-113.6588,=AVERAGE($G$2:$G$74),=AVERAGE($D$2:$D$74),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Resort within a Resort,243696386,,245569,259926,1681.98,46.79,347,9,9,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,45,3,1,Luxury,false,494,true,146,34,2026-05-13,St. George,Ivins,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/630446336717367947,https://a0.muscache.com/im/pictures/prohost-api/Hosting-630446336717367947/original/7f875020-d79a-42a2-9f62-8b744376c361.jpeg,630446336717367947,2932343,37.15322,-113.66506,=AVERAGE($G$2:$G$74),=AVERAGE($D$2:$D$74),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
"Two Pools, Hot Tubs, Arcades, Pool Tables, Sleeps",Arcadia Resort,,244646,290260,1760.04,44.41,318,10,12,16,true,true,true,true,true,false,true,Home/Apartment,Townhouse,Apt/Condo/Loft,4.7,9,2,21+,Luxury,true,1270,true,139,40,2026-05-11,St. George,Ivins,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/884861672951363406,https://a0.muscache.com/im/pictures/prohost-api/Hosting-884861672951363406/original/45f274fe-9925-46de-b8b7-f1af34af84b2.jpeg,884861672951363406,3391533,37.15603,-113.66561,=AVERAGE($G$2:$G$74),=AVERAGE($D$2:$D$74),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Arcadia 4/5 | Sleep 36! Perfect Poolside Location,Arcadia Resort,,235117,256563,1460.35,48.49,338,10,12,16,true,true,true,true,true,false,true,Home/Apartment,Townhouse,Apt/Condo/Loft,5,33,2,21+,Luxury,true,1070,true,161,48,2026-05-10,St. George,Ivins,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/46374753,https://a0.muscache.com/im/pictures/prohost-api/Hosting-46374753/original/2c66f694-0acb-4774-8611-2743620bd19b.jpeg,46374753,2118581,37.15493,-113.66573,=AVERAGE($G$2:$G$74),=AVERAGE($D$2:$D$74),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Million Dollar View: Private Pool at Paradise,Red Rock Vacation Rentals,,213777,251075,1068.88,61.35,326,7,7,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,5,43,3,21+,Luxury,true,655,true,200,52,2026-05-17,St. George,Ivins,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/45099012,https://a0.muscache.com/im/pictures/hosting/Hosting-45099012/original/031c4fa6-58c4-45ee-a975-4725370894cb.jpeg,45099012,2045970,37.1524,-113.6643,=AVERAGE($G$2:$G$74),=AVERAGE($D$2:$D$74),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Elite Retreat #87: Private Pool + Waterpark,Red Rock Vacation Rentals,,190637,223172,1262.5,50.17,301,7,7,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.65,126,3,21+,Luxury,true,829,true,151,45,2026-05-13,St. George,Ivins,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/1191424540775601009,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1191424540775601009/original/175b47dc-c876-486c-bbe1-388ff9c8d7ab.jpeg,1191424540775601009,4082727,37.1532,-113.664,=AVERAGE($G$2:$G$74),=AVERAGE($D$2:$D$74),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
