Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
"Luxury Moab Retreat-12 BR, 2 pools, 2 spas & Views",Exclusive Retreats,,486710,685878,3288.58,70.81,239,12,15,16,true,false,true,true,false,false,true,Home/Apartment,House,House/villa,5,4,3,6-20,Luxury,true,977,true,148,36,2026-05-13,Moab,Moab,Moab,Utah,84532,United States,mountains_lakes,https://www.airbnb.com/rooms/1336419648307900359,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1336419648307900359/original/ed4c4134-68f1-4729-b9ab-2e44e86e4613.png,1336419648307900359,20101368ha,38.4964,-109.442,=AVERAGE($G$2:$G$319),=AVERAGE($D$2:$D$319),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Sleeps 58/Bikes/Pool/Spa/Garage | 420/424/428/432,Empty Spaces,,409810,689381,2732.07,65.79,242,15,12,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,4,2,21+,Luxury,true,1329,false,150,37,2026-05-17,Moab,Moab,Moab,Utah,84532,United States,mountains_lakes,https://www.airbnb.com/rooms/1411650982144876142,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1411650982144876142/original/66509585-1fa0-4cc2-8d60-67b40092164b.jpeg,1411650982144876142,9484889ha,38.57909,-109.5632,=AVERAGE($G$2:$G$319),=AVERAGE($D$2:$D$319),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
"Sleeps 51, Bikes/Pool/Spa/Garage | 417/421/425/429",Empty Spaces,,372448,750026,4598.12,87.1,93,15,12,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,2,2,21+,Luxury,true,0,false,81,24,2025-03-03,Moab,Moab,Moab,Utah,84532,United States,mountains_lakes,https://www.airbnb.com/rooms/53726814,https://a0.muscache.com/im/pictures/prohost-api/Hosting-53726814/original/a4d8ef26-9e0e-4d58-95fc-a7597332d7b0.jpeg,53726814,9476862ha,38.57974,-109.5637,=AVERAGE($G$2:$G$319),=AVERAGE($D$2:$D$319),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Sleeps 58/Bikes/Pool/Spa/Garage | 420/424/428/432,Empty Spaces,,316408,411932,3555.15,51.74,172,15,12,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,0,0,1,21+,Luxury,true,0,false,89,29,2025-05-02,Moab,Moab,Moab,Utah,84532,United States,mountains_lakes,https://www.airbnb.com/rooms/844745419849731960,https://a0.muscache.com/im/pictures/prohost-api/Hosting-844745419849731960/original/c7130b8e-9ad6-4a4d-a305-4ebbf76620c3.jpeg,844745419849731960,,38.58006,-109.56489,=AVERAGE($G$2:$G$319),=AVERAGE($D$2:$D$319),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
"Beautiful Lodge in Moab, Utah",Recreational Properties Unlimited,,303313,311253,3939.13,36.32,317,15,15,16,true,false,true,true,true,false,true,Private Room,Nature lodge,Unique,5,35,3,6-20,Luxury,true,1298,false,77,21,2026-05-13,Moab,Moab,Moab,Utah,84532,United States,mountains_lakes,https://www.airbnb.com/rooms/1616068738286803629,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1616068738286803629/original/33d03110-a0ac-40bd-9f59-9916ca3f5348.jpeg,1616068738286803629,1181122,38.5552192537,-109.5295968402,=AVERAGE($G$2:$G$319),=AVERAGE($D$2:$D$319),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Pack Creek Ranch All,Moab Loding Vacation Rentals,,273554,484400,2378.73,99.14,146,,18,16,false,false,true,true,true,true,true,Home/Apartment,Cabin,House/villa,0,0,1,21+,Luxury,true,0,true,115,28,2026-05-15,Moab,Moab,Moab,Utah,84532,United States,mountains_lakes,https://www.airbnb.com/rooms/1511068599344617548,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1511068599344617548/original/2e75959f-83f8-4903-a808-967f615606bf.jpeg,1511068599344617548,20195287ha,38.4395630128,-109.3631443476,=AVERAGE($G$2:$G$319),=AVERAGE($D$2:$D$319),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
"Sleeps 37, Bikes/Pool/Spa/Garage | 417/421/425",Empty Spaces,,259832,557520,2887.02,87.38,103,11,9,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,2,2,21+,Luxury,true,0,false,90,22,2025-03-03,Moab,Moab,Moab,Utah,84532,United States,mountains_lakes,https://www.airbnb.com/rooms/44419621,https://a0.muscache.com/im/pictures/prohost-api/Hosting-44419621/original/afefc020-d4b8-45cb-972d-a520c4bdcc0e.jpeg,44419621,9485673ha,38.57937,-109.56396,=AVERAGE($G$2:$G$319),=AVERAGE($D$2:$D$319),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Sleeps 48/Bikes/Pool/Spa/Garage | 424/428/432,Empty Spaces,,217235,296784,3242.31,40.61,165,12,9,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,1,1,21+,Luxury,true,0,false,67,19,2025-05-02,Moab,Moab,Moab,Utah,84532,United States,mountains_lakes,https://www.airbnb.com/rooms/43691342,https://a0.muscache.com/im/pictures/prohost-api/Hosting-43691342/original/98d6e7ed-d0e8-4c62-a6d2-527e9f5ab4fe.jpeg,43691342,11363434ha,38.57884,-109.56286,=AVERAGE($G$2:$G$319),=AVERAGE($D$2:$D$319),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
"Sleeps 46, Bikes/Pool/Spa/Garage | 420/424/428",Empty Spaces,,208391,254218,2894.32,43.9,164,11,9,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,0,0,1,21+,Luxury,true,0,false,72,23,2025-05-02,Moab,Moab,Moab,Utah,84532,United States,mountains_lakes,https://www.airbnb.com/rooms/818897919601317063,https://a0.muscache.com/im/pictures/prohost-api/Hosting-818897919601317063/original/b4a10413-ea37-4e43-82c2-2ddead613b8c.jpeg,818897919601317063,,38.58039,-109.56353,=AVERAGE($G$2:$G$319),=AVERAGE($D$2:$D$319),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
"Sleeps 41, Bikes/Pool/Spa/Garage | 421/425/429",Empty Spaces,,207168,297344,2917.86,45.51,156,12,9,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,1,3,21+,Luxury,true,0,false,71,18,2025-05-02,Moab,Moab,Moab,Utah,84532,United States,mountains_lakes,https://www.airbnb.com/rooms/37367012,https://a0.muscache.com/im/pictures/prohost-api/Hosting-37367012/original/fd82a477-1301-492d-b7c9-82ca9aff1b39.jpeg,37367012,11363443ha,38.57925,-109.56265,=AVERAGE($G$2:$G$319),=AVERAGE($D$2:$D$319),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
