Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
The Grand Lodge at Cougar Ridge,497633653,,120098,155975,3336.06,18,279,5,6,16,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,1,2,2-5,Luxury,false,300,true,36,12,2026-05-15,Utah Area,Torrey,Torrey,Utah,84775,United States,rural,https://www.airbnb.com/rooms/810973568710052972,https://a0.muscache.com/im/pictures/miso/Hosting-810973568710052972/original/14b8d0dc-a100-463c-ac86-25a6367172e4.jpeg,810973568710052972,,38.29959,-111.41948,=AVERAGE($G$2:$G$45),=AVERAGE($D$2:$D$45),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
The Juniper House at Capitol Reef (new HOT TUB!),37612582,,102824,110063,414.61,73.16,339,3,2,8,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.95,259,2,1,Luxury,true,98,true,248,95,2026-05-17,Utah Area,Torrey,Torrey,Utah,84775,United States,rural,https://www.airbnb.com/rooms/49299838,https://a0.muscache.com/im/pictures/miso/Hosting-49299838/original/4662d3b1-2493-481f-835f-93f57144d2e6.jpeg,49299838,2466103,38.2998,-111.41824,=AVERAGE($G$2:$G$45),=AVERAGE($D$2:$D$45),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
The Pinyon House at Capitol Reef (new HOT TUB!),418919699,,100627,109590,417.54,72.81,331,3,2,8,true,false,false,true,true,false,false,Home/Apartment,Cabin,House/villa,4.95,283,2,2-5,Luxury,true,98,true,241,101,2026-05-17,Utah Area,Torrey,Torrey,Utah,84775,United States,rural,https://www.airbnb.com/rooms/51709748,https://a0.muscache.com/im/pictures/miso/Hosting-51709748/original/be3c3c9e-94f8-461c-9513-32a9c333ed1d.jpeg,51709748,2558788,38.29952,-111.40287,=AVERAGE($G$2:$G$45),=AVERAGE($D$2:$D$45),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Private Mountain Lodge 3 suites, 7 Cabins 50+",398759675,,97471,117660,1740.55,29.47,344,10,12,16,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.95,25,3,6-20,Luxury,false,496,true,56,17,2026-05-13,Utah Area,Torrey,Lyman,Utah,84749,United States,rural,https://www.airbnb.com/rooms/841212759145669668,https://a0.muscache.com/im/pictures/prohost-api/Hosting-841212759145669668/original/24c42c7e-aeaf-42fb-ab8e-eed336a8e942.jpeg,841212759145669668,3280901,38.3969,-111.5896,=AVERAGE($G$2:$G$45),=AVERAGE($D$2:$D$45),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Teasdale Plateau Capitol Reef,97448313,,87796,94492,498.84,53.99,341,3,3,6,true,false,false,true,true,false,false,Home/Apartment,Cabin,House/villa,4.9,43,2,2-5,Luxury,true,176,false,176,39,2026-05-11,Utah Area,Torrey,Teasdale,Utah,84773,United States,rural,https://www.airbnb.com/rooms/1073374731229414962,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTA3MzM3NDczMTIyOTQxNDk2Mg%3D%3D/original/76b0ef3a-613b-41ff-bdb6-b3e488db5a9a.jpeg,1073374731229414962,,38.25935,-111.4583,=AVERAGE($G$2:$G$45),=AVERAGE($D$2:$D$45),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Lavish Shipping Container Experience! 2BED/2BATH,456654049,,82377,85928,361.3,66.86,341,2,2,6,true,false,false,true,true,false,false,Home/Apartment,Shipping container,Unique,5,257,2,2-5,Luxury,true,130,false,228,78,2026-05-17,Utah Area,Torrey,Teasdale,Utah,84773,United States,rural,https://www.airbnb.com/rooms/615874460645391405,https://a0.muscache.com/im/pictures/miso/Hosting-615874460645391405/original/131469cf-99e0-465b-9462-46efd2f4cc42.jpeg,615874460645391405,4958012,38.2571,-111.454,=AVERAGE($G$2:$G$45),=AVERAGE($D$2:$D$45),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Hanksville Red Rock Cave Home - A Desert Paradise,129339029,,81940,87764,395.85,61.24,338,3,3,12,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.85,243,2,2-5,Luxury,false,199,true,207,44,2026-05-17,Utah Area,Torrey,Hanksville,Utah,84734,United States,rural,https://www.airbnb.com/rooms/32183107,https://a0.muscache.com/im/pictures/miso/Hosting-32183107/original/00a0b7b9-2b0b-4b36-b235-d5876d535f50.jpeg,32183107,,38.3814,-110.7175,=AVERAGE($G$2:$G$45),=AVERAGE($D$2:$D$45),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
NEW Lavish Container Retreat! 3 King Suites (Park),456654049,,80176,81559,421.98,53.22,357,3,3,7,true,false,false,true,true,false,false,Home/Apartment,Shipping container,Unique,5,87,2,2-5,Luxury,true,179,false,190,68,2026-05-17,Utah Area,Torrey,Teasdale,Utah,84773,United States,rural,https://www.airbnb.com/rooms/1246363036648291906,https://a0.muscache.com/im/pictures/miso/Hosting-1242014486519421763/original/923e4d17-9236-4afd-ae1d-a89812102174.jpeg,1246363036648291906,4992082,38.263,-111.4477,=AVERAGE($G$2:$G$45),=AVERAGE($D$2:$D$45),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Lavish Shipping Container with 3 King Suites (MTN),456654049,,67208,68526,381.86,49.3,357,3,3,7,true,false,false,true,true,false,false,Home/Apartment,Shipping container,Unique,5,70,2,2-5,Luxury,true,180,false,176,63,2026-05-11,Utah Area,Torrey,Teasdale,Utah,84773,United States,rural,https://www.airbnb.com/rooms/1242014486519421763,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTI0MjAxNDQ4NjUxOTQyMTc2Mw%3D%3D/original/ea53a640-258e-4f8a-b348-168d9879c62f.jpeg,1242014486519421763,4990716,38.263,-111.4478,=AVERAGE($G$2:$G$45),=AVERAGE($D$2:$D$45),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Tiny Creek Retreat,19990978,,65234,72137,437.81,51.74,327,3,2,8,true,false,false,true,true,false,false,Home/Apartment,Cabin,House/villa,4.95,73,2,2-5,Luxury,true,150,false,149,51,2026-05-11,Utah Area,Torrey,Teasdale,Utah,84773,United States,rural,https://www.airbnb.com/rooms/990683444300753087,https://a0.muscache.com/im/pictures/miso/Hosting-990683444300753087/original/9d3500d8-a76a-4b6a-aeb7-9eccd0cf9171.jpeg,990683444300753087,3806090,38.23948,-111.38779,=AVERAGE($G$2:$G$45),=AVERAGE($D$2:$D$45),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
